season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats,team_name,team_id,sdrm_id,this_is_softball,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,hitting_stats,fielding_stats,hitting_summary_stats,global_rank,rating,composite_score,ranking_segment,pitching_stats_k_per_9,pitching_stats_whip
2026-27,baseball,Atlantic East Conference (AEC),aec,Saint Elizabeth University,Trevor Policastro,Trevor,Policastro,,9684,Trevor Policastro,0,0ST. ELIZ,15,15,,,51,12,22,7,6,0,1,8,0,1,6,5,4,0,0,0,0,0,0,0,0,1,0,0.517,31,60,4,1.000,.431,.608,74,12,0,0,0,5,0,5,0,86,1.000,5,1.000,,1,0,14,8,"5,18",0.28,5,18,"14,29",0.48,14,29,"4,14",0.29,4,14,"3,10",0.30,3,10,0,0,0,0,"6,11","2,4","23,33","1,1",1.00,1,1,70,0,0,0,6,7,0,,Saint Elizabeth University,ST. ELIZ,2002-2785,False,13,1,2,0,1,1,0,0,0,0,11.2,9,6,4,5,5,1,0,4.63,48,54,1,0,0,1,1,0,0,0,.271,8,22,0,"5,5","3,12","2,6",0,"2,7",,,,1,99,59.0,batting,,
2026-27,baseball,Atlantic East Conference (AEC),aec,Marymount (VA),Anthony Farmakides,Anthony,Farmakides,,394,Anthony Farmakides,0,0MARYMOUN,19,19,,,69,15,35,31,9,1,2,7,2,9,5,0,1,0,0,2,0,0,0,0,0,0,0,0.586,52,87,1,1.000,.507,.754,115,7,0,0,0,0,0,9,0,122,1.000,0,.000,,2,0,8,21,"8,25",0.32,8,25,"25,43",0.58,25,43,"22,38",0.58,22,38,"5,10",0.50,5,10,0,0,0,0,"14,21","12,16","33,52",17,0,0,0,0,0,0,0,8,23,0,,Marymount (VA),MARYMOUN,658-2192,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,99,58.0,batting,,
2026-27,baseball,Atlantic East Conference (AEC),aec,Marywood,Joel Ayers,Joel,Ayers,,397,Joel Ayers,0,0MARYWOOD,17,17,,,53,20,23,15,3,1,1,14,0,5,8,5,4,1,0,2,0,0,0,1,0,1,0,0.568,31,74,5,.800,.434,.585,65,8,1,1,0,15,3,1,0,74,.986,18,.833,,2,2,14,10,"6,22",0.27,6,22,"17,35",0.49,17,35,"11,22",0.50,11,22,"3,8",0.38,3,8,0,0,0,0,"6,9","4,4","32,47","0,1",0,0,1,0,0,0,0,5,14,0,,Marywood,MARYWOOD,1307-2553,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,99,57.0,batting,,
2026-27,baseball,Atlantic East Conference (AEC),aec,Neumann,Jerval Shuler,Jerval,Shuler,,1254,Jerval Shuler,0,0NEUMANN,9,9,,,31,14,14,12,3,1,2,5,0,3,8,1,1,1,1,1,0,0,0,0,2,0,0,0.550,25,41,2,.500,.452,.806,20,0,0,0,0,0,0,0,0,20,1.000,0,.000,,1,4,5,3,"3,10",0.30,3,10,"7,22",0.32,7,22,"5,12",0.42,5,12,"1,6",0.17,1,6,0,0,0,0,"5,7","5,6","17,28",2,0,0,0,0,0,0,0,3,9,0,,Neumann,NEUMANN,1309-5518,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,98,56.0,batting,,
2026-27,baseball,Atlantic East Conference (AEC),aec,Marywood,Cam Bott,Cam,Bott,,397,Cam Bott,0,0MARYWOOD,16,16,,,57,18,25,11,4,4,0,3,0,1,10,4,11,0,2,0,0,0,0,0,0,0,0,0.475,37,63,11,1.000,.439,.649,43,2,0,0,0,0,0,0,0,45,1.000,0,.000,,5,3,13,8,"5,18",0.28,5,18,"13,30",0.43,13,30,"10,19",0.53,10,19,"5,8",0.63,5,8,0,0,0,0,"9,14","3,5","17,32",159,0,0,0,0,0,0,0,2,13,0,,Marywood,MARYWOOD,1307-2895,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,98,55.0,batting,,
2026-27,baseball,Atlantic East Conference (AEC),aec,Marymount (VA),Evan Schick,Evan,Schick,,394,Evan Schick,0,0MARYMOUN,13,13,,,42,11,19,11,4,0,0,8,0,1,4,0,0,0,3,1,0,0,0,0,0,0,0,0.538,23,55,0,.000,.452,.548,7,18,3,0,0,0,0,2,0,28,.893,0,.000,,2,4,15,6,"5,11",0.45,5,11,"13,25",0.52,13,25,"7,18",0.39,7,18,"1,1",1.00,1,1,0,0,0,0,"6,13","4,6","26,33",36,0,0,0,0,0,0,0,5,10,0,,Marymount (VA),MARYMOUN,658-2010,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,98,54.0,batting,,
2026-27,baseball,Atlantic East Conference (AEC),aec,Marymount (VA),Quincy Via,Quincy,Via,,394,Quincy Via,0,0MARYMOUN,19,19,,,72,25,30,10,8,2,0,14,1,4,11,2,19,4,3,0,0,0,0,1,1,1,0,0.533,42,93,23,.826,.417,.583,27,1,0,0,0,0,0,0,0,28,1.000,0,.000,,1,5,22,10,"6,17",0.35,6,17,"8,27",0.30,8,27,"7,21",0.33,7,21,"5,7",0.71,5,7,0,0,0,0,"22,39","4,6","23,36",30,0,0,0,0,0,0,0,6,14,0,,Marymount (VA),MARYMOUN,658-1837,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,97,53.0,batting,,
2026-27,baseball,Atlantic East Conference (AEC),aec,Gwynedd Mercy Univ.,Karl Wissman,Karl,Wissman,,12399,Karl Wissman,0,0GWYNEDD,11,6,,,31,9,13,10,1,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.500,14,36,0,.000,.419,.452,19,0,1,0,0,0,0,0,0,20,.950,0,.000,,2,2,7,6,"4,10",0.40,4,10,"7,23",0.30,7,23,"5,20",0.25,5,20,0,0,0,0,0,0,0,0,"4,4","5,7","15,25",24,0,0,0,36,0,0,0,2,11,0,,Gwynedd Mercy Univ.,GWYNEDD,1305-2723,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,97,52.0,batting,,
2026-27,baseball,Atlantic East Conference (AEC),aec,Neumann,Nick Ciesielka,Nick,Ciesielka,,1254,Nick Ciesielka,0,0NEUMANN,11,11,,,40,14,14,8,5,0,2,8,2,1,6,0,5,0,0,1,0,0,0,3,1,3,0,0.460,25,50,5,1.000,.350,.625,11,0,0,0,0,0,0,0,0,11,1.000,0,.000,,2,6,12,6,"4,11",0.36,4,11,"8,27",0.30,8,27,"3,15",0.20,3,15,"1,5",0.20,1,5,0,0,0,0,"4,5","2,5","18,30",22,0,0,0,0,0,0,0,3,6,0,,Neumann,NEUMANN,1309-6046,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,97,51.0,batting,,
2026-27,baseball,Atlantic East Conference (AEC),aec,Immaculata,Josh Goulburn,Josh,Goulburn,,303,Josh Goulburn,0,0IMMACULA,15,15,,,49,6,18,8,4,0,0,8,0,3,8,0,4,3,5,0,0,0,0,1,0,1,0,0.483,22,65,7,.571,.367,.449,23,2,0,0,0,0,0,0,0,25,1.000,0,.000,,2,1,15,11,"6,16",0.38,6,16,"9,25",0.36,9,25,"6,19",0.32,6,19,"1,12",0.08,1,12,0,0,0,0,"3,9","4,5","20,34",45,0,0,0,0,0,0,0,8,14,0,,Immaculata,IMMACULA,1306-3442,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,96,50.0,batting,,
