season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats,team_name,team_id,sdrm_id,this_is_softball,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,hitting_stats,fielding_stats,hitting_summary_stats
2026-27,baseball,Atlantic East Conference (AEC),aec,Marymount (VA),Quincy Via,Quincy,Via,,394,Quincy Via,0,0MARYMOUN,19,19,,,72,25,30,10,8,2,0,14,1,4,11,2,19,4,3,0,0,0,0,1,1,1,0,0.533,42,93,23,.826,.417,.583,27,1,0,0,0,0,0,0,0,28,1.000,0,.000,,1,5,22,10,"6,17",0.35,6,17,"8,27",0.30,8,27,"7,21",0.33,7,21,"5,7",0.71,5,7,0,0,0,0,"22,39","4,6","23,36",30,0,0,0,0,0,0,0,6,14,0,,Marymount (VA),MARYMOUN,658-1837,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Atlantic East Conference (AEC),aec,Marymount (VA),Seth Sadler,Seth,Sadler,,394,Seth Sadler,0,0MARYMOUN,18,19,,,69,11,14,8,1,1,1,14,0,1,17,7,1,0,3,0,0,0,0,1,0,3,0,0.345,20,87,1,1.000,.203,.290,39,32,1,0,0,0,0,8,0,72,.986,0,.000,,0,4,20,18,"8,22",0.36,8,22,"8,42",0.19,8,42,"4,34",0.12,4,34,"2,11",0.18,2,11,0,0,0,0,"7,17","3,7","24,52",8,0,0,0,0,0,0,0,6,26,0,,Marymount (VA),MARYMOUN,658-2203,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Atlantic East Conference (AEC),aec,Marymount (VA),Ryan Cuadros,Ryan,Cuadros,,394,Ryan Cuadros,0,0MARYMOUN,13,12,,,49,15,17,16,4,2,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0.353,28,52,1,1.000,.347,.571,14,0,0,0,0,0,0,0,0,14,1.000,0,.000,,4,3,11,18,"11,25",0.44,11,25,"14,33",0.42,14,33,"10,22",0.45,10,22,"1,6",0.17,1,6,0,0,0,0,"1,3","4,6","26,35",2,0,0,0,143,0,0,0,8,10,0,,Marymount (VA),MARYMOUN,658-1822,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Atlantic East Conference (AEC),aec,Marymount (VA),Evan Schick,Evan,Schick,,394,Evan Schick,0,0MARYMOUN,13,13,,,42,11,19,11,4,0,0,8,0,1,4,0,0,0,3,1,0,0,0,0,0,0,0,0.538,23,55,0,.000,.452,.548,7,18,3,0,0,0,0,2,0,28,.893,0,.000,,2,4,15,6,"5,11",0.45,5,11,"13,25",0.52,13,25,"7,18",0.39,7,18,"1,1",1.00,1,1,0,0,0,0,"6,13","4,6","26,33",36,0,0,0,0,0,0,0,5,10,0,,Marymount (VA),MARYMOUN,658-2010,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Atlantic East Conference (AEC),aec,Marymount (VA),Connor Vick,Connor,Vick,,394,Connor Vick,0,0MARYMOUN,8,2,,,11,3,1,1,0,0,0,1,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0.154,1,13,0,.000,.091,.091,1,0,0,0,0,0,0,0,0,1,1.000,0,.000,,0,0,3,5,"1,5",0.20,1,5,"0,5",0,0,5,"0,3",0,0,3,"0,3",0,0,3,0,0,0,0,"0,3","1,1","1,6",0,0,0,0,1,0,0,0,3,2,0,,Marymount (VA),MARYMOUN,658-2444,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Atlantic East Conference (AEC),aec,Marymount (VA),Francis Swekosky,Francis,Swekosky,,394,Francis Swekosky,0,0MARYMOUN,18,18,,,64,11,22,15,5,0,0,8,0,6,12,8,5,4,1,0,0,0,0,0,0,1,0,0.462,27,79,9,.556,.344,.422,27,3,0,0,0,0,0,0,0,30,1.000,0,.000,,0,2,15,16,"4,20",0.20,4,20,"14,41",0.34,14,41,"11,33",0.33,11,33,"1,7",0.14,1,7,0,0,0,0,"4,8","9,13","25,47",60,0,0,0,0,0,0,0,4,16,0,,Marymount (VA),MARYMOUN,658-2014,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Atlantic East Conference (AEC),aec,Marymount (VA),Anthony Farmakides,Anthony,Farmakides,,394,Anthony Farmakides,0,0MARYMOUN,19,19,,,69,15,35,31,9,1,2,7,2,9,5,0,1,0,0,2,0,0,0,0,0,0,0,0.586,52,87,1,1.000,.507,.754,115,7,0,0,0,0,0,9,0,122,1.000,0,.000,,2,0,8,21,"8,25",0.32,8,25,"25,43",0.58,25,43,"22,38",0.58,22,38,"5,10",0.50,5,10,0,0,0,0,"14,21","12,16","33,52",17,0,0,0,0,0,0,0,8,23,0,,Marymount (VA),MARYMOUN,658-2192,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Atlantic East Conference (AEC),aec,Marymount (VA),William Alvarez,William,Alvarez,,394,William Alvarez,0,0MARYMOUN,9,2,,,7,1,0,1,0,0,0,2,0,0,4,1,0,0,2,0,0,0,0,0,0,0,0,0.222,0,11,0,.000,.000,.000,7,2,1,0,0,0,0,0,0,10,.900,0,.000,,0,0,2,3,"0,3",0,0,3,"0,2",0,0,2,"0,3",0,0,3,"0,3",0,0,3,0,0,0,0,"0,3",0,"2,5",1,0,0,0,6,0,0,0,1,4,0,,Marymount (VA),MARYMOUN,658-2187,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Atlantic East Conference (AEC),aec,Marymount (VA),Gray Ellenburg,Gray,Ellenburg,,394,Gray Ellenburg,0,0MARYMOUN,16,16,,,39,11,11,8,4,0,0,17,1,3,6,2,6,1,1,0,0,0,0,0,0,0,0,0.525,15,60,7,.857,.282,.385,106,12,4,2,0,21,10,0,0,122,.967,31,.677,,0,1,8,15,"5,15",0.33,5,15,"7,26",0.27,7,26,"5,12",0.42,5,12,"2,7",0.29,2,7,0,0,0,0,"6,8","3,6","14,33",66,0,0,0,0,0,0,0,1,13,0,,Marymount (VA),MARYMOUN,658-2000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Atlantic East Conference (AEC),aec,Marymount (VA),Joshmar Carbonell,Joshmar,Carbonell,,394,Joshmar Carbonell,0,0MARYMOUN,19,19,,,60,21,18,13,3,1,0,10,0,15,12,8,2,1,2,2,0,0,0,0,2,1,0,0.494,23,89,3,.667,.300,.383,22,43,3,0,0,0,0,6,0,68,.956,0,.000,,1,5,14,19,"2,14",0.14,2,14,"9,33",0.27,9,33,"7,26",0.27,7,26,"1,11",0.09,1,11,0,0,0,0,"5,8","6,14","22,44",45,0,0,0,0,0,0,0,5,20,0,,Marymount (VA),MARYMOUN,658-2190,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
