season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,goalie_stats,composite_score,global_rank,rating
2026-27,msoc,Atlantic East Conference (AEC),aec,Centenary (NJ),"Morales, Brandon",Brandon,Morales,,12884,"Morales, Brandon","MORALES,BRANDON",Centenary (NJ),CENTEN,1331-3371,3,3,9,0,9,0,0,2,3,4,0,2,0,0,1.00,.67,1.33,.667,.000,0,0,0,0,2,0,1,.333,1,0,0,0,.33,.00,.00,.00,0,,229:00,0,.00,.00,,,,,,,,,,,,,,,,,,18.814133177151753,1,99
2026-27,msoc,Atlantic East Conference (AEC),aec,Saint Elizabeth University,"Quishpi, Brandon",Brandon,Quishpi,,9684,"Quishpi, Brandon","QUISHPI,BRANDON",Saint Elizabeth University,SEU,0,2,1,9,0,9,0,0,5,7,2,0,1,1,1,3.50,2.50,1.00,.500,.000,4,1,0,0,0,1,0,.000,1,0,0,0,.50,.00,.00,.00,0,,143:00,0,.00,.00,,,,,,,,,,,,,,,,,,11.324034383457104,2,99
2026-27,msoc,Atlantic East Conference (AEC),aec,Immaculata,"Derkosh, Brady",Brady,Derkosh,,303,"Derkosh, Brady","DERKOSH,BRADY",Immaculata,IMM,1306-3794,2,2,34,0,34,0,0,4,4,2,0,1,0,0,2.00,2.00,1.00,.500,.000,3,0,0,0,0,1,0,.000,4,0,1,0,2.00,.50,.00,.00,0,,110:00,0,.00,.00,,,,,,,,,,,,,,,,,,10.730320852370337,3,99
2026-27,msoc,Atlantic East Conference (AEC),aec,Saint Elizabeth University,"Bozogluer, Tugay",Tugay,Bozogluer,,9684,"Bozogluer, Tugay","BOZOGLUER,TUGAY",Saint Elizabeth University,SEU,0,2,2,8,0,8,0,0,3,7,2,0,1,0,0,3.50,1.50,1.00,.500,.000,2,0,0,0,0,1,0,.000,3,0,0,0,1.50,.00,.00,.00,0,,125:00,0,.00,.00,,,,,,,,,,,,,,,,,,10.13660732128357,4,98
2026-27,msoc,Atlantic East Conference (AEC),aec,Centenary (NJ),"Morales, Bryant",Bryant,Morales,,12884,"Morales, Bryant","MORALES,BRYANT",Centenary (NJ),CENTEN,1331-3372,3,3,10,0,10,0,0,3,3,2,0,1,1,1,1.00,1.00,.67,.333,.000,2,0,0,0,0,1,0,.000,2,0,0,0,.67,.00,.00,.00,0,,233:00,0,.00,.00,,,,,,,,,,,,,,,,,,10.13660732128357,5,98
2026-27,msoc,Atlantic East Conference (AEC),aec,Marymount (VA),"Shoetter-Rojas, Erick",Erick,Shoetter-Rojas,,394,"Shoetter-Rojas, Erick","SHOETTER-ROJAS,ERICK",Marymount (VA),MARY,658-1915,3,3,12,0,12,0,0,3,4,2,0,1,1,0,1.33,1.00,.67,.333,.000,2,0,0,0,1,1,0,.000,1,0,0,0,.33,.00,.00,.00,0,,224:00,0,.00,.00,,,,,,,,,,,,,,,,,,10.13660732128357,6,98
2026-27,msoc,Atlantic East Conference (AEC),aec,Gwynedd Mercy Univ.,"Christensen, Gunnar",Gunnar,Christensen,,12399,"Christensen, Gunnar","CHRISTENSEN,GUNNAR",Gwynedd Mercy Univ.,GMU,1305-2519,2,2,19,0,19,0,0,2,4,2,0,1,0,0,2.00,1.00,1.00,.500,.000,1,0,0,0,1,0,1,.500,0,0,0,0,.00,.00,.00,.00,0,,121:00,0,.00,.00,,,,,,,,,,,,,,,,,,9.542893790196802,7,97
2026-27,msoc,Atlantic East Conference (AEC),aec,Pratt Institute,Lucca Novi,Lucca,Novi,,2715,Lucca Novi,"NOVI,LUCCA",Pratt Institute,PRATT,2097-1129,2,1,6,0,6,0,0,1,1,2,0,1,0,0,.50,.50,1.00,.500,.000,0,0,0,0,1,0,1,.500,1,0,0,0,.50,.00,.00,.00,0,,86:00,0,.00,.00,,,,,,,,,,,,,,,,,,8.949180259110035,8,97
2026-27,msoc,Atlantic East Conference (AEC),aec,Pratt Institute,Dylan Costa,Dylan,Costa,,2715,Dylan Costa,"COSTA,DYLAN",Pratt Institute,PRATT,2097-991,2,2,7,0,7,0,0,3,5,1,1,0,0,0,2.50,1.50,.50,.000,.500,3,0,0,0,0,0,0,.000,2,0,0,0,1.00,.00,.00,.00,0,,161:00,0,.00,.00,,,,,,,,,,,,,,,,,,8.593505566160196,9,97
2026-27,msoc,Atlantic East Conference (AEC),aec,Centenary (NJ),"Dorwart, Aedan",Aedan,Dorwart,,12884,"Dorwart, Aedan","DORWART,AEDAN",Centenary (NJ),CENTEN,1331-3908,3,3,32,0,32,0,0,0,0,1,1,0,0,0,.00,.00,.33,.000,.333,0,0,0,0,0,0,0,.000,2,0,0,0,.67,.00,.00,.00,0,,185:00,0,.00,.00,,,,,,,,,,,,,,,,,,6.812364972899896,10,96
2026-27,msoc,Atlantic East Conference (AEC),aec,Centenary (NJ),"Gambarony, Shane",Shane,Gambarony,,12884,"Gambarony, Shane","GAMBARONY,SHANE",Centenary (NJ),CENTEN,1331-3909,3,2,22,0,22,0,0,0,2,1,1,0,0,0,.67,.00,.33,.000,.333,0,0,0,0,0,0,0,.000,2,0,0,0,.67,.00,.00,.00,0,,109:00,0,.00,.00,,,,,,,,,,,,,,,,,,6.812364972899896,11,96
2026-27,msoc,Atlantic East Conference (AEC),aec,Centenary (NJ),"Garcia, Tony",Tony,Garcia,,12884,"Garcia, Tony","GARCIA,TONY",Centenary (NJ),CENTEN,1331-3905,3,2,8,0,8,0,0,0,1,1,1,0,0,0,.33,.00,.33,.000,.333,0,0,0,0,0,0,0,.000,4,0,0,0,1.33,.00,.00,.00,0,,170:00,0,.00,.00,,,,,,,,,,,,,,,,,,6.812364972899896,12,96
2026-27,msoc,Atlantic East Conference (AEC),aec,Gwynedd Mercy Univ.,"Lodise, Dominic",Dominic,Lodise,,12399,"Lodise, Dominic","LODISE,DOMINIC",Gwynedd Mercy Univ.,GMU,1305-2523,2,2,21,0,21,0,0,0,0,1,1,0,0,0,.00,.00,.50,.000,.500,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,161:00,0,.00,.00,,,,,,,,,,,,,,,,,,6.812364972899896,13,95
