season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,team_name,team_id,sdrm_id,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,goalie_stats,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,avg_points_game,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct,goal_stats,penalty_stats,misc_stats,shot_stats,composite_score,global_rank,rating
2026-27,wlax,Atlantic East Conference (AEC),aec,Gwynedd Mercy Univ.,Kira Bradley,Kira,Bradley,,12399,Kira Bradley,"BRADLEY,KIRA",BRADLEYKIRAGWYNEDD,15,15,,,Gwynedd Mercy Univ.,GWYNEDD,1305-2646,0,4,0,0,0,1,27,0,10,0,0,0,0,16,5,0,0,0,0,0,0,0,0,57,60,52,57,873:00,14,0,1.000,,86,115,15,68,21,47,.748,4.53,,,,,,,,,,,,,,,,,,,14.178351865885233,1,99
2026-27,wlax,Atlantic East Conference (AEC),aec,Marymount (VA),Mackenzie Morrissette,Mackenzie,Morrissette,,394,Mackenzie Morrissette,"MORRISSETTE,MACKENZIE",MORRISSETTEMACKENZIEMARYMOUN,17,17,,,Marymount (VA),MARYMOUN,658-2168,0,1,0,0,0,2,19,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,12,5,44,5,994:00,64,0,1.000,,44,52,2,83,50,33,.846,4.88,,,,,,,,,,,,,,,,,,,11.890310506049252,2,99
2026-27,wlax,Atlantic East Conference (AEC),aec,Immaculata,Elizabeth Mahmud,Elizabeth,Mahmud,,303,Elizabeth Mahmud,"MAHMUD,ELIZABETH",MAHMUDELIZABETHIMMACULA,18,18,,,Immaculata,IMMACULA,1306-3764,0,10,0,0,0,2,39,1,12,2,0,0,0,5,3,0,0,0,0,0,0,0,0,50,94,37,35,1062:00,57,0,1.000,,86,117,12,60,7,53,.735,3.33,,,,,,,,,,,,,,,,,,,10.445611691081934,3,99
2026-27,wlax,Atlantic East Conference (AEC),aec,Marymount (VA),Tess Valentino,Tess,Valentino,,394,Tess Valentino,"VALENTINO,TESS",VALENTINOTESSMARYMOUN,17,17,,,Marymount (VA),MARYMOUN,658-1849,0,11,0,0,0,2,33,0,6,3,0,0,0,7,1,0,0,0,0,0,0,0,0,20,2,30,13,1005:00,61,0,1.000,,91,117,19,75,16,59,.778,4.41,,,,,,,,,,,,,,,,,,,9.988832221870902,4,98
2026-27,wlax,Atlantic East Conference (AEC),aec,Gwynedd Mercy Univ.,Rebecca Gordon,Rebecca,Gordon,,12399,Rebecca Gordon,"GORDON,REBECCA",GORDONREBECCAGWYNEDD,15,15,,,Gwynedd Mercy Univ.,GWYNEDD,1305-2414,0,5,0,0,0,1,19,2,4,2,0,0,0,15,1,0,0,0,0,0,0,0,0,24,23,64,22,900:00,0,0,1.000,,54,74,9,47,17,30,.730,3.13,,,,,,,,,,,,,,,,,,,6.884564664574468,5,98
2026-27,wlax,Atlantic East Conference (AEC),aec,Gwynedd Mercy Univ.,Elena Colliluori,Elena,Colliluori,,12399,Elena Colliluori,"COLLILUORI,ELENA",COLLILUORIELENAGWYNEDD,14,14,,,Gwynedd Mercy Univ.,GWYNEDD,1305-2579,0,4,0,0,0,1,6,2,7,0,0,0,0,14,5,0,0,0,0,0,0,0,0,28,66,43,21,822:00,30,0,1.000,,51,64,6,39,12,27,.797,2.79,,,,,,,,,,,,,,,,,,,5.625479478554188,6,98
2026-27,wlax,Atlantic East Conference (AEC),aec,Centenary (NJ),Nora Dornich,Nora,Dornich,,12884,Nora Dornich,"DORNICH,NORA",DORNICHNORACENT,13,13,,,Centenary (NJ),CENT,1331-3416,0,2,0,0,0,1,20,0,6,2,0,0,0,16,1,0,0,0,0,0,0,0,0,37,30,32,29,780:00,0,0,1.000,,53,81,12,32,6,26,.654,2.46,,,,,,,,,,,,,,,,,,,5.336897440331711,7,97
2026-27,wlax,Atlantic East Conference (AEC),aec,Marymount (VA),Natalia Ortiz,Natalia,Ortiz,,394,Natalia Ortiz,"ORTIZ,NATALIA",ORTIZNATALIAMARYMOUN,17,17,,,Marymount (VA),MARYMOUN,658-1847,0,11,0,0,0,1,25,1,3,1,0,0,0,7,2,0,0,0,0,0,0,0,0,38,31,41,19,991:00,65,0,1.000,,43,60,13,36,7,29,.717,2.12,,,,,,,,,,,,,,,,,,,5.3114244812398335,8,97
2026-27,wlax,Atlantic East Conference (AEC),aec,Marymount (VA),Jillian Blair,Jillian,Blair,,394,Jillian Blair,"BLAIR,JILLIAN",BLAIRJILLIANMARYMOUN,15,15,,,Marymount (VA),MARYMOUN,658-1845,0,4,0,0,0,3,20,3,7,1,0,0,0,13,3,0,0,0,0,0,0,0,0,33,19,28,20,860:00,60,0,1.000,,50,76,11,35,7,28,.658,2.33,,,,,,,,,,,,,,,,,,,4.985998680117092,9,97
2026-27,wlax,Atlantic East Conference (AEC),aec,Immaculata,Alexa Marczak,Alexa,Marczak,,303,Alexa Marczak,"MARCZAK,ALEXA",MARCZAKALEXAIMMACULA,17,17,,,Immaculata,IMMACULA,1306-3326,0,2,0,0,0,1,12,1,4,3,0,0,0,12,5,0,0,0,0,0,0,0,0,31,14,32,17,1002:00,57,0,1.000,,50,61,4,36,4,32,.820,2.12,,,,,,,,,,,,,,,,,,,4.666275981357979,10,96
2026-27,wlax,Atlantic East Conference (AEC),aec,Marymount (VA),Kaylee Heath,Kaylee,Heath,,394,Kaylee Heath,"HEATH,KAYLEE",HEATHKAYLEEMARYMOUN,17,17,,,Marymount (VA),MARYMOUN,658-1842,0,9,0,0,0,1,17,0,8,1,0,0,0,12,3,0,0,0,0,0,0,0,0,21,11,18,17,1005:00,61,0,1.000,,51,67,13,38,4,34,.761,2.24,,,,,,,,,,,,,,,,,,,4.445321594713866,11,96
2026-27,wlax,Atlantic East Conference (AEC),aec,Immaculata,Keira Benoit,Keira,Benoit,,303,Keira Benoit,"BENOIT,KEIRA",BENOITKEIRAIMMACULA,11,11,,,Immaculata,IMMACULA,1306-3671,0,1,0,0,0,2,12,0,1,0,0,0,0,15,0,0,0,0,0,0,0,0,0,22,31,29,17,657:00,10,0,1.000,,36,44,7,32,12,20,.818,2.91,,,,,,,,,,,,,,,,,,,4.048023903369465,12,96
2026-27,wlax,Atlantic East Conference (AEC),aec,Immaculata,Julia Pohl,Julia,Pohl,,303,Julia Pohl,"POHL,JULIA",POHLJULIAIMMACULA,11,11,,,Immaculata,IMMACULA,1306-3376,0,0,0,0,0,1,8,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,33,27,19,13,657:00,10,0,1.000,,24,31,3,26,18,8,.774,2.36,,,,,,,,,,,,,,,,,,,3.7764562482205766,13,95
2026-27,wlax,Atlantic East Conference (AEC),aec,Centenary (NJ),Olivia Evans,Olivia,Evans,,12884,Olivia Evans,"EVANS,OLIVIA",EVANSOLIVIACENT,13,13,,,Centenary (NJ),CENT,1331-3866,0,3,0,0,0,1,6,0,1,0,0,0,0,5,1,0,0,0,0,0,0,0,0,39,10,28,24,780:00,0,0,1.000,,24,35,4,21,8,13,.686,1.62,,,,,,,,,,,,,,,,,,,3.62662679516305,14,94
2026-27,wlax,Atlantic East Conference (AEC),aec,Centenary (NJ),Matalina Kratzel,Matalina,Kratzel,,12884,Matalina Kratzel,"KRATZEL,MATALINA",KRATZELMATALINACENT,13,13,,,Centenary (NJ),CENT,1331-3864,0,2,0,0,0,0,13,0,6,0,0,0,0,5,2,0,0,0,0,0,0,0,0,35,35,38,23,780:00,0,0,1.000,,44,55,7,23,5,18,.800,1.77,,,,,,,,,,,,,,,,,,,3.4872305665752616,15,94
2026-27,wlax,Atlantic East Conference (AEC),aec,Centenary (NJ),Trista Hough,Trista,Hough,,12884,Trista Hough,"HOUGH,TRISTA",HOUGHTRISTACENT,12,12,,,Centenary (NJ),CENT,1331-3464,0,6,0,0,0,2,18,0,6,1,0,0,0,13,3,0,0,0,0,0,0,0,0,33,18,25,15,720:00,0,0,1.000,,47,68,16,27,6,21,.691,2.25,,,,,,,,,,,,,,,,,,,3.449271796442075,16,93
2026-27,wlax,Atlantic East Conference (AEC),aec,Marymount (VA),Carmella Garcia,Carmella,Garcia,,394,Carmella Garcia,"GARCIA,CARMELLA",GARCIACARMELLAMARYMOUN,16,15,,,Marymount (VA),MARYMOUN,658-2165,0,4,0,0,0,0,9,0,3,3,0,0,0,4,1,0,0,0,0,0,0,0,0,19,104,22,7,902:00,67,0,1.000,,41,56,10,33,5,28,.732,2.06,,,,,,,,,,,,,,,,,,,2.987827579242981,17,92
2026-27,wlax,Atlantic East Conference (AEC),aec,Immaculata,Aaliya Piperato,Aaliya,Piperato,,303,Aaliya Piperato,"PIPERATO,AALIYA",PIPERATOAALIYAIMMACULA,18,18,,,Immaculata,IMMACULA,1306-3730,0,6,0,0,0,1,12,0,5,0,0,0,0,3,1,0,0,0,0,0,0,0,0,13,2,30,10,1062:00,57,0,1.000,,39,49,12,23,5,18,.796,1.28,,,,,,,,,,,,,,,,,,,1.470636139478832,18,91
2026-27,wlax,Atlantic East Conference (AEC),aec,Centenary (NJ),Lauren Helder,Lauren,Helder,,12884,Lauren Helder,"HELDER,LAUREN",HELDERLAURENCENT,11,9,,,Centenary (NJ),CENT,1331-3715,0,1,0,0,0,0,5,0,2,0,0,0,0,6,1,0,0,0,0,0,0,0,0,25,10,20,10,540:00,0,0,1.000,,20,24,4,15,7,8,.833,1.36,,,,,,,,,,,,,,,,,,,1.0405373738036314,19,90
2026-27,wlax,Atlantic East Conference (AEC),aec,Marymount (VA),Adrina Cantarelli,Adrina,Cantarelli,,394,Adrina Cantarelli,"CANTARELLI,ADRINA",CANTARELLIADRINAMARYMOUN,17,4,,,Marymount (VA),MARYMOUN,658-2408,0,7,0,0,0,0,9,0,3,0,0,0,0,7,2,0,0,0,0,0,0,0,0,19,27,25,13,291:00,21,0,1.000,,24,29,15,16,3,13,.828,0.94,,,,,,,,,,,,,,,,,,,0.8853811862443844,20,90
2026-27,wlax,Atlantic East Conference (AEC),aec,Marymount (VA),Brooke Bretney,Brooke,Bretney,,394,Brooke Bretney,"BRETNEY,BROOKE",BRETNEYBROOKEMARYMOUN,15,15,,,Marymount (VA),MARYMOUN,658-1840,0,1,0,0,0,0,2,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,18,0,15,12,842:00,69,0,1.000,,15,17,4,11,4,7,.882,0.73,,,,,,,,,,,,,,,,,,,0.10465058454644388,21,89
2026-27,wlax,Atlantic East Conference (AEC),aec,Marymount (VA),Ava Vautour,Ava,Vautour,,394,Ava Vautour,"VAUTOUR,AVA",VAUTOURAVAMARYMOUN,17,17,,,Marymount (VA),MARYMOUN,658-2169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,5,2,1005:00,61,0,1.000,,0,0,0,0,0,0,.000,0.00,17,926:56,145,141,0,8,9,0,0,0,0,412,9.39,.493,,,,,0.08037616497860578,22,88
2026-27,wlax,Atlantic East Conference (AEC),aec,Centenary (NJ),Erika Hathaway,Erika,Hathaway,,12884,Erika Hathaway,"HATHAWAY,ERIKA",HATHAWAYERIKACENT,0,0,,,Centenary (NJ),CENT,1331-3865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0.0,23,88
2026-27,wlax,Atlantic East Conference (AEC),aec,Gwynedd Mercy Univ.,Nikki Williams,Nikki,Williams,,12399,Nikki Williams,"WILLIAMS,NIKKI",WILLIAMSNIKKIGWYNEDD,0,0,,,Gwynedd Mercy Univ.,GWYNEDD,1305-2392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0.0,24,87
2026-27,wlax,Atlantic East Conference (AEC),aec,Gwynedd Mercy Univ.,Samantha Whelan,Samantha,Whelan,,12399,Samantha Whelan,"WHELAN,SAMANTHA",WHELANSAMANTHAGWYNEDD,15,14,,,Gwynedd Mercy Univ.,GWYNEDD,1305-2658,0,1,0,0,0,1,3,0,0,0,0,0,0,10,8,0,0,0,0,0,0,0,0,31,15,39,15,840:00,0,0,1.000,,7,12,3,4,0,4,.583,0.27,,,,,,,,,,,,,,,,,,,-0.22820121730776433,25,86
2026-27,wlax,Atlantic East Conference (AEC),aec,Immaculata,Morgan Barnes,Morgan,Barnes,,303,Morgan Barnes,"BARNES,MORGAN",BARNESMORGANIMMACULA,18,18,,,Immaculata,IMMACULA,1306-3650,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,25,16,56,9,1062:00,57,0,1.000,,6,11,1,6,3,3,.545,0.33,,,,,,,,,,,,,,,,,,,-0.5122875462415118,26,85
2026-27,wlax,Atlantic East Conference (AEC),aec,Gwynedd Mercy Univ.,Deshe Dunlap,Deshe,Dunlap,,12399,Deshe Dunlap,"DUNLAP,DESHE",DUNLAPDESHEGWYNEDD,14,14,,,Gwynedd Mercy Univ.,GWYNEDD,1305-2584,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,26,1,22,20,840:00,0,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,,-0.7021012723489869,27,84
2026-27,wlax,Atlantic East Conference (AEC),aec,Immaculata,Claire Dunfee,Claire,Dunfee,,303,Claire Dunfee,"DUNFEE,CLAIRE",DUNFEECLAIREIMMACULA,13,0,,,Immaculata,IMMACULA,1306-3558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,1,00:00,0,0,1.000,,0,0,0,0,0,0,.000,0.00,13,132:09,14,20,0,0,0,0,0,0,0,43,6.36,.588,,,,,-0.7637229369530527,28,84
2026-27,wlax,Atlantic East Conference (AEC),aec,Gwynedd Mercy Univ.,Teagan O'Neill,Teagan,O'Neill,,12399,Teagan O'Neill,"O'NEILL,TEAGAN",O'NEILLTEAGANGWYNEDD,13,13,,,Gwynedd Mercy Univ.,GWYNEDD,1305-2480,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,19,2,9,22,776:00,15,0,1.000,,1,2,0,0,0,0,.500,0.00,,,,,,,,,,,,,,,,,,,-0.9167800664134218,29,83
2026-27,wlax,Atlantic East Conference (AEC),aec,Immaculata,Brooke Kakowski,Brooke,Kakowski,,303,Brooke Kakowski,"KAKOWSKI,BROOKE",KAKOWSKIBROOKEIMMACULA,18,18,,,Immaculata,IMMACULA,1306-3616,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,17,0,16,22,1062:00,57,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,,-1.0178765579249849,30,82
2026-27,wlax,Atlantic East Conference (AEC),aec,Immaculata,Carly Oberg,Carly,Oberg,,303,Carly Oberg,"OBERG,CARLY",OBERGCARLYIMMACULA,18,18,,,Immaculata,IMMACULA,1306-3282,0,0,0,0,0,0,0,0,2,0,0,0,0,2,5,0,0,0,0,0,0,0,0,20,7,25,10,1062:00,57,0,1.000,,9,14,0,4,2,2,.643,0.22,,,,,,,,,,,,,,,,,,,-1.0306946672762203,31,82
2026-27,wlax,Atlantic East Conference (AEC),aec,Immaculata,Abigail Guarneri,Abigail,Guarneri,,303,Abigail Guarneri,"GUARNERI,ABIGAIL",GUARNERIABIGAILIMMACULA,18,18,,,Immaculata,IMMACULA,1306-3278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,38,3,1062:00,57,0,1.000,,0,0,0,0,0,0,.000,0.00,18,885:46,235,147,0,6,11,0,0,0,0,502,15.92,.385,,,,,-1.0609910237091054,32,81
2026-27,wlax,Atlantic East Conference (AEC),aec,Immaculata,Bailee Neitz,Bailee,Neitz,,303,Bailee Neitz,"NEITZ,BAILEE",NEITZBAILEEIMMACULA,18,18,,,Immaculata,IMMACULA,1306-3475,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,23,0,28,14,1062:00,57,0,1.000,,2,2,0,1,1,0,1.000,0.06,,,,,,,,,,,,,,,,,,,-1.078241468382473,33,80
