conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game
aec,Atlantic East Conference (AEC),2025-26,wsoc,Pratt Institute,"Gaspari, Emma",0,,0,16,16,0,0,1,1,2,0,1,0,0,.06,.06,.13,.063,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,1135:00,0,.00,.00,87,1,4,7,2,.642,1.81,34,19,944:14,16,16,1.19,0.642,.125,2.13
aec,Atlantic East Conference (AEC),2025-26,wsoc,Pratt Institute,"DePaz, Savannah",0,,1,12,0,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,535:00,0,.00,.00,60,1,2,1,0,.724,1.63,21,8,443:35,0,11,.67,0.724,.000,1.75
aec,Atlantic East Conference (AEC),2025-26,wsoc,Pratt Institute,"Tien, Chloe",0,,3,15,14,0,0,28,46,28,4,12,0,0,3.07,1.87,1.87,.800,.267,16,1,1,0,2,3,0,.000,7,0,0,0,.47,.00,.00,.00,0,,1250:00,0,.00,.00,,,,,,,,,,,,,,,,
aec,Atlantic East Conference (AEC),2025-26,wsoc,Pratt Institute,"Darcy, Lina",0,,4,15,15,0,0,4,8,1,1,0,0,0,.53,.27,.07,.000,.067,4,0,0,0,0,0,0,.000,16,0,1,0,1.07,.07,.00,.00,0,,1257:00,0,.00,.00,,,,,,,,,,,,,,,,
aec,Atlantic East Conference (AEC),2025-26,wsoc,Pratt Institute,"Ford, Maya",0,,5,13,5,0,0,2,2,0,0,0,0,0,.15,.15,.00,.000,.000,2,0,0,0,0,0,0,.000,1,0,0,0,.08,.00,.00,.00,0,,621:00,0,.00,.00,,,,,,,,,,,,,,,,
aec,Atlantic East Conference (AEC),2025-26,wsoc,Pratt Institute,"Russell, Annabella",0,,6,10,9,0,0,9,11,10,2,4,0,0,1.10,.90,1.00,.400,.200,5,0,1,0,0,4,0,.000,1,0,1,0,.10,.10,.00,.00,0,,822:00,0,.00,.00,,,,,,,,,,,,,,,,
aec,Atlantic East Conference (AEC),2025-26,wsoc,Pratt Institute,"Joshua, Juno",0,,9,16,6,0,0,1,4,0,0,0,0,0,.25,.06,.00,.000,.000,1,0,0,0,0,0,0,.000,12,0,1,0,.75,.06,.00,.00,0,,834:00,0,.00,.00,,,,,,,,,,,,,,,,
aec,Atlantic East Conference (AEC),2025-26,wsoc,Pratt Institute,"Falk, Esme",0,,10,15,15,0,0,7,12,6,2,2,0,0,.80,.47,.40,.133,.133,5,0,0,0,0,0,0,.000,13,0,0,0,.87,.00,.00,.00,0,,1160:00,0,.00,.00,,,,,,,,,,,,,,,,
aec,Atlantic East Conference (AEC),2025-26,wsoc,Pratt Institute,"Trujillo, Alyssa",0,,13,16,16,0,0,34,50,22,4,9,0,0,3.13,2.13,1.38,.563,.250,25,2,1,0,1,2,2,.125,11,0,0,0,.69,.00,.00,.00,0,,1237:00,0,.00,.00,,,,,,,,,,,,,,,,
aec,Atlantic East Conference (AEC),2025-26,wsoc,Pratt Institute,"Reed, Layan",0,,14,9,6,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,4,0,1,0,.44,.11,.00,.00,0,,399:00,0,.00,.00,,,,,,,,,,,,,,,,
aec,Atlantic East Conference (AEC),2025-26,wsoc,Pratt Institute,"Nolan, Kate",0,,15,16,16,0,0,50,82,44,10,17,0,0,5.13,3.13,2.75,1.063,.625,33,0,2,0,5,8,2,.125,7,0,0,0,.44,.00,.00,.00,0,,1304:00,0,.00,.00,,,,,,,,,,,,,,,,
aec,Atlantic East Conference (AEC),2025-26,wsoc,Pratt Institute,"Kanach, Josey",0,,16,14,13,0,0,9,9,11,1,5,0,0,.64,.64,.79,.357,.071,4,0,0,0,2,0,1,.071,0,0,0,0,.00,.00,.00,.00,0,,1194:00,0,.00,.00,,,,,,,,,,,,,,,,
aec,Atlantic East Conference (AEC),2025-26,wsoc,Pratt Institute,"Thomsen, Kat",0,,17,14,14,0,0,26,57,27,7,10,1,0,4.07,1.86,1.93,.714,.500,16,0,0,0,1,5,1,.071,5,0,1,0,.36,.07,.00,.00,0,,1146:00,0,.00,.00,,,,,,,,,,,,,,,,
aec,Atlantic East Conference (AEC),2025-26,wsoc,Pratt Institute,"Pratt, Emma",0,,18,16,16,0,0,45,82,22,6,8,0,0,5.13,2.81,1.38,.500,.375,37,0,0,0,1,8,2,.125,36,0,1,0,2.25,.06,.00,.00,0,,1298:00,0,.00,.00,,,,,,,,,,,,,,,,
aec,Atlantic East Conference (AEC),2025-26,wsoc,Pratt Institute,"Hook, Claire",0,,19,16,15,0,0,9,14,9,3,3,0,0,.88,.56,.56,.188,.188,6,0,1,0,0,1,0,.000,8,0,0,0,.50,.00,.00,.00,0,,1282:00,0,.00,.00,,,,,,,,,,,,,,,,
aec,Atlantic East Conference (AEC),2025-26,wsoc,Marywood,"Galea, Addie",0,,0,2,1,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,90:00,0,.00,.00,1,0,0,1,0,1.000,0.00,1,0,90:00,1,2,.00,1.000,.000,.50
