conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,z_per_set_stats_points,z_per_set_stats_kills,z_per_set_stats_assists,z_per_set_stats_blocks,z_per_set_stats_aces,z_per_set_stats_digs,z_attack_stats_errors,z_serve_stats_errors,composite_score,rank,rating
aec,Atlantic East Conference (AEC),2025-26,wvball,Marywood,"Hallam, Taylor",0,,11,105,54,0.312,641.0,90.0,290.0,16.0,2.0,72.0,0.0,50.0,37.0,354.0,0.0,0.0,12.0,0.0,75.0,89.0,11.0,61.0,28.0,398.5,5.0,2.76,0.15,0.71,0.85,0.48,3.8,2.556649031339348,2.099269614348103,-0.38317296757557845,3.503496358704878,1.374936743558879,-0.4446603360902984,1.0807799937085911,1.1289296614659372,5.867669770137589,1,99
aec,Atlantic East Conference (AEC),2025-26,wvball,Centenary (NJ),"Skjonnemand, Poppy",0,,19,121,44,0.237,1188.0,194.0,475.0,13.0,29.0,204.0,0.0,45.0,29.0,406.0,0.0,0.0,586.0,38.0,289.0,23.0,2.0,5.0,18.0,540.5,1.0,3.93,0.11,2.39,0.19,0.37,4.47,3.1921646268769512,3.3511705369749354,-0.4062107764130138,0.14864871163488122,0.8189305040412477,1.119592600583509,3.283596749801766,0.6719937668118844,5.587250571547368,2,94
aec,Atlantic East Conference (AEC),2025-26,wvball,Gwynedd Mercy Univ.,"Etter, Kate",0,,11,92,52,0.173,886.0,144.0,297.0,19.0,11.0,91.0,0.0,29.0,32.0,259.0,0.0,0.0,374.0,36.0,217.0,25.0,1.0,22.0,3.0,340.0,1.0,3.23,0.21,2.36,0.27,0.32,3.7,2.4617959573785124,2.602169984975976,-0.3486162543194255,0.5552969112797295,0.5662003951695972,1.0916595124286195,2.2245502324492783,0.8433447273071542,4.582161165361926,3,91
aec,Atlantic East Conference (AEC),2025-26,wvball,Saint Elizabeth University,Dadlyna Louis,0,,3,94,52,0.291,537.0,72.0,228.0,6.0,5.0,85.0,0.0,38.0,61.0,312.0,0.0,0.0,9.0,2.0,69.0,52.0,2.0,26.0,26.0,305.0,0.0,2.43,0.06,0.73,0.55,0.4,3.24,2.025471817158665,1.7461693541200227,-0.43500803745980793,1.9785656100366977,0.9705685693642382,-0.42603827732037214,0.6995232474616955,2.499737345428096,4.042524757377601,4,90
aec,Atlantic East Conference (AEC),2025-26,wvball,Marywood,"Samaniego, Carolina",0,,22,94,53,0.154,787.0,133.0,254.0,22.0,4.0,93.0,0.0,45.0,27.0,368.0,0.0,0.0,332.0,24.0,231.0,18.0,4.0,15.0,3.0,309.5,2.0,2.7,0.23,2.46,0.19,0.48,3.29,2.0728983541390833,2.035069567033907,-0.33709734990070783,0.14864871163488122,1.374936743558879,1.1847698062782508,1.991559998631731,0.5577597931483711,3.9650991235951567,5,88
aec,Atlantic East Conference (AEC),2025-26,wvball,Gwynedd Mercy Univ.,"Pugh, Charlotte",0,,13,92,57,0.134,776.0,167.0,271.0,45.0,14.0,195.0,0.0,13.0,23.0,157.0,0.0,0.0,490.0,38.0,307.0,27.0,9.0,20.0,7.0,301.0,1.0,2.95,0.49,3.34,0.29,0.14,3.27,2.0539277393469155,2.3025697641763925,-0.18735159245737834,0.6569589611909412,-0.34362799676834493,2.004140392155007,2.711711630431423,0.32929184582134463,3.9003644644720676,6,87
aec,Atlantic East Conference (AEC),2025-26,wvball,Neumann,"Eddy, Melissa",0,,4,112,53,0.149,959.0,138.0,281.0,12.0,7.0,120.0,0.0,67.0,46.0,440.0,0.0,0.0,899.0,79.0,340.0,19.0,0.0,16.0,3.0,359.0,0.0,2.51,0.11,3.04,0.17,0.6,3.21,1.9970158949704142,1.8317694172056176,-0.4062107764130138,0.046986661723669255,1.9814890048508405,1.724809510606113,2.09746465036698,1.6429825429517468,3.8822050889722286,7,86
aec,Atlantic East Conference (AEC),2025-26,wvball,Gwynedd Mercy Univ.,"Gaston, Ayanna",0,,15,80,52,0.221,181.0,13.0,53.0,629.0,23.0,1404.0,0.0,45.0,36.0,368.0,0.0,0.0,4.0,1.0,160.0,24.0,1.0,20.0,4.0,112.0,1.0,0.66,7.86,2.0,0.3,0.56,1.4,0.28017525627927703,-0.14773204164877438,4.057364685840078,0.7077899861465473,1.7793049177535203,0.7564624545699465,-0.5501516430142404,1.0718126746341807,3.8539900694209024,8,85
aec,Atlantic East Conference (AEC),2025-26,wvball,Centenary (NJ),"Thistlethwaite, Jenny",0,,1,111,44,0.153,1015.0,130.0,285.0,12.0,35.0,252.0,0.0,76.0,51.0,470.0,0.0,0.0,477.0,50.0,237.0,9.0,4.0,8.0,1.0,366.0,0.0,2.57,0.11,2.14,0.08,0.68,3.3,2.0823836615351667,1.8959694645198142,-0.4062107764130138,-0.4104925628767849,2.3858571790454817,0.8868168659594305,1.9280172075905817,1.92856747711053,3.7477733847436983,9,84
aec,Atlantic East Conference (AEC),2025-26,wvball,Pratt Institute,"Russell, Colleen",0,,19,71,41,0.149,429.0,92.0,156.0,17.0,4.0,99.0,0.0,27.0,29.0,217.0,0.0,0.0,167.0,25.0,113.0,34.0,3.0,20.0,14.0,207.0,0.0,2.2,0.24,1.59,0.48,0.38,2.92,1.7219419804839888,1.5000691727489361,-0.331337897691349,1.6227484353474553,0.8694765258155779,0.3747102497864579,1.1231418544026908,0.6719937668118844,3.684209222953175,10,83
