season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,matches_played,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,attack_stats,set_stats,serve_stats,defense_stats,block_stats,misc_stats,composite_score,global_rank,rating
2026-27,wvball,Atlantic East Conference (AEC),aec,Gwynedd Mercy Univ.,"Etter, Kate",Kate,Etter,,12399,"Etter, Kate","ETTER, KATE",Gwynedd Mercy Univ.,GM,1305-2383,10,3,11,0,11,0,.078,102,21,29,2,1,19,0,0,3,36,0,0,77,5,40,3,0,2,1,31,0,2.90,0.20,4.00,0.30,0.00,3.10,,,,,,,7.254818090828675,1,99
2026-27,wvball,Atlantic East Conference (AEC),aec,Centenary (NJ),"Miller, Gabriella",Gabriella,Miller,,12884,"Miller, Gabriella","MILLER, GABRIELLA",Centenary (NJ),CentNJ,1331-3792,3,1,8,0,8,0,.000,26,6,6,3,0,12,0,2,0,9,0,0,0,0,8,1,0,1,0,8.5,0,2.00,1.00,2.67,0.33,0.67,2.83,,,,,,,6.592989175083354,2,99
2026-27,wvball,Atlantic East Conference (AEC),aec,Marymount (VA),"Knaub, Eliana",Eliana,Knaub,,394,"Knaub, Eliana","KNAUB, ELIANA",Marymount (VA),Marym,658-2054,16,3,14,0,14,0,.237,97,12,35,1,0,12,0,2,0,25,0,0,0,0,25,9,1,9,0,41.5,0,2.19,0.06,1.56,0.56,0.13,2.59,,,,,,,6.537514873072893,3,99
2026-27,wvball,Atlantic East Conference (AEC),aec,Centenary (NJ),"Skjonnemand, Poppy",Poppy,Skjonnemand,,12884,"Skjonnemand, Poppy","SKJONNEMAND, POPPY",Centenary (NJ),CentNJ,1331-3519,3,1,23,0,23,0,.269,26,2,9,0,1,9,0,1,3,7,0,0,9,1,4,0,0,0,0,10.0,0,3.00,0.00,1.33,0.00,0.33,3.33,,,,,,,6.369919299027822,4,98
2026-27,wvball,Atlantic East Conference (AEC),aec,Immaculata,"Hirschtritt, Tara",Tara,Hirschtritt,,303,"Hirschtritt, Tara","HIRSCHTRITT, TARA",Immaculata,IU,1306-3791,13,4,18,0,18,0,.239,67,11,27,42,3,144,0,4,3,52,0,0,0,0,25,5,0,5,0,33.5,0,2.08,3.23,1.92,0.38,0.31,2.58,,,,,,,6.363522345962223,5,98
2026-27,wvball,Atlantic East Conference (AEC),aec,Marymount (VA),"Donahue, Brigid",Brigid,Donahue,,394,"Donahue, Brigid","DONAHUE, BRIGID",Marymount (VA),Marym,658-2466,16,4,9,0,9,0,.123,146,24,42,2,0,9,0,0,1,1,0,0,24,2,7,10,0,10,0,47,0,2.63,0.13,0.44,0.63,0.00,2.94,,,,,,,6.05660326762635,6,98
2026-27,wvball,Atlantic East Conference (AEC),aec,Pratt Institute,"Russell, Colleen",Colleen,Russell,,2715,"Russell, Colleen","RUSSELL, COLLEEN",Pratt Institute,Pratt,2097-935,6,2,19,0,19,0,.081,37,8,11,0,0,0,0,0,0,12,0,0,0,0,3,6,0,6,0,14,0,1.83,0.00,0.50,1.00,0.00,2.33,,,,,,,5.917938369898867,7,97
2026-27,wvball,Atlantic East Conference (AEC),aec,Marymount (VA),"Stackpole, Elizabeth",Elizabeth,Stackpole,,394,"Stackpole, Elizabeth","STACKPOLE, ELIZABETH",Marymount (VA),Marym,658-1884,16,4,5,0,5,0,.301,73,7,29,1,0,3,0,3,6,36,0,0,1,0,1,11,0,10,1,38,0,1.81,0.06,0.06,0.69,0.19,2.38,,,,,,,5.857039258184863,8,97
2026-27,wvball,Atlantic East Conference (AEC),aec,Centenary (NJ),"Bennett, Rey",Rey,Bennett,,12884,"Bennett, Rey","BENNETT, REY",Centenary (NJ),CentNJ,1331-3791,3,0,7,0,7,0,.200,5,0,1,2,0,13,0,3,2,16,0,0,19,0,15,0,0,0,0,4.0,0,0.33,0.67,5.00,0.00,1.00,1.33,,,,,,,5.258622189103649,9,97
2026-27,wvball,Atlantic East Conference (AEC),aec,Immaculata,"Banach, Sophia",Sophia,Banach,,303,"Banach, Sophia","BANACH, SOPHIA",Immaculata,IU,1306-3790,1,0,15,0,15,0,.333,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1.5,0,1.00,0.00,0.00,1.00,0.00,1.50,,,,,,,5.0464562745848625,10,96
