rank,conference_code,conference,season,team,player_name,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,composite_score,z_ppg,z_rpg,z_apg,z_spg,z_bpg,z_tov_pg
1,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Pitt.-Bradford,J Rodriguez,25,27.1,19.6,3.8,1.9,3.0,0.4,1.4,6.724964095955485,2.171328567955323,0.05373167244943619,0.2109808379009949,3.803807199720865,0.35875711633764296,-0.14465755596285468
2,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Pitt.-Greensburg,T Rozich,27,33.8,16.6,6.9,4.4,1.3,0.2,2.4,5.143135472736925,1.5523160165619174,1.6500101081347656,2.485617996521097,0.6923247413717891,-0.21692290755299387,1.3676714381942643
3,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,La Roche,M Rainey,27,33.1,16.1,6.6,1.4,0.7,1.8,2.1,5.034561666012008,1.4491472579963498,1.4955315498426367,-0.2439465938230255,-0.405845538045532,4.388517283572101,0.9139727399471288
4,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Penn St.-Altoona,K Claar,26,29.9,15.2,5.8,2.3,2.5,0.4,1.8,4.943337017776051,1.2634434925783278,1.0835887277302938,0.5749227832802112,2.8886653002064313,0.35875711633764296,0.4602740416999931
5,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Hilbert,L Morse,27,31.1,18.9,8.2,1.0,0.9,0.7,2.5,4.627975387211551,2.026892305963528,2.3194171940673223,-0.6078885392022417,-0.03978877823975818,1.222277152173598,1.5189043376099762
6,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Pitt.-Greensburg,J Byer,26,26.8,15.0,5.8,2.0,2.1,0.2,1.3,4.620767315511266,1.222175989152101,1.0835887277302938,0.30196632424579906,2.156551780594884,-0.21692290755299387,-0.2958904553785664
7,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Penn St.-Behrend,J Dunkle,27,29.8,17.0,8.3,1.0,0.7,0.7,1.9,4.422827356340599,1.6348510234143714,2.370910046831366,-0.6078885392022417,-0.405845538045532,1.222277152173598,0.6115069411157048
8,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,La Roche,B Epps,27,31.6,16.9,6.3,2.4,1.6,0.1,2.1,4.270452715058747,1.6142172717012575,1.341052991550508,0.6659082696250153,1.2414098810804497,-0.5047629194983123,0.9139727399471288
9,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Hilbert,J Montgomery,27,30.6,9.0,4.9,6.9,1.9,0.7,2.6,3.904863815187957,-0.015849113634710588,0.6201530528539081,4.760255155141199,1.79049502078911,1.222277152173598,1.6701372370256882
10,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Mt. Aloysius,S Jenkins,25,30.1,12.9,9.7,1.0,1.2,0.4,1.8,3.382286924324718,0.7888672031767169,3.0918099855279655,-0.6078885392022417,0.5092963614689021,0.35875711633764296,0.4602740416999931
11,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Penn St.-Altoona,M Baskerville,20,27.0,8.7,6.2,1.3,1.6,1.8,1.6,3.2014558915163622,-0.07775036877405131,1.2895601387864655,-0.3349320801678295,1.2414098810804497,4.388517283572101,0.15780824286856937
12,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Mt. Aloysius,D Bass-Briscoe,25,28.3,14.2,5.1,3.8,1.6,0.3,2.8,3.0562837007290686,1.0571059754471925,0.7231387583819935,1.9397050784522722,1.2414098810804497,0.07091710439232447,1.9726030358571116
13,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Carlow,J Giannetta,25,32.2,16.0,4.5,2.4,1.1,0.0,2.4,2.285785325068179,1.4285135062832361,0.4141816417977364,0.6659082696250153,0.3262679815660156,-0.7926029314436307,1.3676714381942643
14,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Alfred St.,M Lawson,26,32.3,17.2,4.3,2.6,1.6,0.2,3.5,2.250846500040241,1.6761185268405983,0.3111959362696506,0.8478792423146236,1.2414098810804497,-0.21692290755299387,3.031233331767095
15,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,La Roche,C Rankin,26,30.8,10.7,5.1,3.8,1.3,0.4,2.3,2.086230114592299,0.33492466548821914,0.7231387583819935,1.9397050784522722,0.6923247413717891,0.35875711633764296,1.2164385387785521
16,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Penn St.-Behrend,N Edwards,27,31.5,11.5,4.9,1.7,1.1,0.2,1.1,1.9877609414064643,0.4999946791931275,0.6201530528539081,0.029009865211386775,0.3262679815660156,-0.21692290755299387,-0.5983562542099901
17,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Mt. Aloysius,T Tinch,24,26.3,15.0,5.1,1.1,0.5,0.1,1.5,1.945124088734296,1.222175989152101,0.7231387583819935,-0.5169030528574375,-0.7719022978513055,-0.5047629194983123,0.006575343452857337
18,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Pitt.-Greensburg,M Marinchak,27,28.9,13.0,3.1,1.2,1.2,0.3,1.1,1.8749485416902179,0.8095009548898303,-0.3067182968988638,-0.4259175665126336,0.5092963614689021,0.07091710439232447,-0.5983562542099901
19,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Pitt.-Greensburg,T Keffer,27,28.5,9.3,5.0,1.6,1.4,0.3,0.8,1.8336525569476345,0.04605214150463013,0.6716459056179508,-0.06197562113341718,0.8753531212746757,0.07091710439232447,-1.0520549524571259
20,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Pitt.-Bradford,N Poplar,25,20.8,10.8,6.2,1.0,1.6,0.9,2.3,1.7348196516611227,0.35555841720133297,1.2895601387864655,-0.6078885392022417,1.2414098810804497,1.797957176064235,1.2164385387785521
21,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Alfred St.,D Cunningham Jr,26,32.5,15.5,5.2,2.1,1.3,0.4,3.4,1.6895384736245944,1.3253447477176685,0.7746316111460366,0.39295181059060325,0.6923247413717891,0.35875711633764296,2.880000432351383
22,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Penn St.-Behrend,M McDonough,27,32.0,11.2,2.6,3.2,0.8,0.1,1.1,1.571808532420146,0.43809342405378676,-0.5641825607190781,1.3937921603834482,-0.22281715814264497,-0.5047629194983123,-0.5983562542099901
23,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Penn St.-Altoona,N Frye,17,27.9,14.2,5.6,0.8,0.8,0.1,1.8,1.5157231359311625,1.0571059754471925,0.9806030222022079,-0.7898595118918499,-0.22281715814264497,-0.5047629194983123,0.4602740416999931
24,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Penn St.-Altoona,R Daniels,19,24.7,14.8,2.1,1.4,0.8,0.5,1.9,1.3385860107757195,1.1809084857258738,-0.8216468245392925,-0.2439465938230255,-0.22281715814264497,0.6465971282829613,0.6115069411157048
25,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Carlow,C Cook,25,25.2,9.8,5.3,1.4,1.0,0.4,1.2,1.3146633520371418,0.14922090007019775,0.8261244639100793,-0.2439465938230255,0.1432396016631286,0.35875711633764296,-0.4471233547942784
26,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Pitt.-Bradford,X Norris,25,25.0,12.0,3.4,1.9,1.4,0.2,1.8,1.2084415185242183,0.6031634377586951,-0.15223973860673526,0.2109808379009949,0.8753531212746757,-0.21692290755299387,0.4602740416999931
27,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Pitt.-Greensburg,M Bigley,27,26.4,10.0,3.9,3.0,0.8,0.1,1.3,1.1758311315103471,0.19048840349642465,0.10522452521347911,1.2118211876938398,-0.22281715814264497,-0.5047629194983123,-0.2958904553785664
28,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Penn St.-Behrend,M Blankenberg,27,30.7,10.3,3.9,2.4,1.2,0.2,1.6,1.0645124063215754,0.25238965863576535,0.10522452521347911,0.6659082696250153,0.5092963614689021,-0.21692290755299387,0.15780824286856937
29,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Carlow,T Pavihi,22,27.7,12.5,6.6,1.5,0.6,0.4,2.5,1.0222818314102469,0.7063321963242627,1.4955315498426367,-0.15296110747822134,-0.5888739179484187,0.35875711633764296,1.5189043376099762
30,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Pitt.-Bradford,C Cobbins,25,20.0,9.4,4.8,1.1,1.3,0.4,1.4,0.8108687631231861,0.06668589321774358,0.568660200089865,-0.5169030528574375,0.6923247413717891,0.35875711633764296,-0.14465755596285468
31,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Hilbert,N Fowlks,25,23.0,7.8,5.0,2.1,0.8,1.0,1.8,0.7815809145353017,-0.2634541341920729,0.6716459056179508,0.39295181059060325,-0.22281715814264497,2.0857971880095536,0.4602740416999931
32,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Hilbert,A Jones,26,27.0,13.4,4.2,1.6,1.0,0.0,2.2,0.7456349707645786,0.8920359617422845,0.2597030835056079,-0.06197562113341718,0.1432396016631286,-0.7926029314436307,1.0652056393628409
