season,sport,gender,conference,conference_code,team,school_name,player_name,position,class_year,clippd_player_id,clippd_rank,player_ranking_status,scoring_stats_scoring_average,scoring_stats_vs_par,scoring_stats_rounds,scoring_stats_adjusted_score,scoring_stats_stroke_play_events,top10_finishes,events_won,average_points,strength_of_schedule,region,data_source
2025-26,mgolf,Men,Allegheny Mountain Collegiate Conference,amcc,Mount Aloysius,Mount Aloysius College,Josh Nicholl,,Third Year,35510,308,ACTIVE,75.62,3.62,21,74.7073900996088,11,2,2,22.6591945046071,-11.9219831501631,Region V - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Allegheny Mountain Collegiate Conference,amcc,Penn State Altoona,Penn State Altoona,Peter Nusbaum,,,20175,355,ACTIVE,75.9,3.9,20,75.3699937195363,10,1,1,20.9891543098972,-11.0623844157249,Region V - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Allegheny Mountain Collegiate Conference,amcc,Penn State Altoona,Penn State Altoona,Andrew Bruce,,Fourth Year,4170,358,ACTIVE,76.0,4.0,16,75.5562656401645,8,1,0,20.9172140019824,-11.6186855745173,Region V - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Allegheny Mountain Collegiate Conference,amcc,Mount Aloysius,Mount Aloysius College,William Willis,,Second Year,7039,445,ACTIVE,76.86,4.86,21,75.9454853377041,11,2,1,18.27075080096,-11.9219831501631,Region V - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Allegheny Mountain Collegiate Conference,amcc,Pitt-Bradford,"University of Pittsburgh, Bradford",Evan Steffen,,Second Year,3830,497,ACTIVE,76.71,4.71,14,75.8668130104155,10,2,0,17.0476228612778,-15.5462403470323,Region V - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Allegheny Mountain Collegiate Conference,amcc,Penn State Altoona,Penn State Altoona,Nick Helsley,,Third Year,32708,592,ACTIVE,77.94,5.94,18,77.2428194970017,9,0,0,14.7454523510604,-11.3128470455494,Region V - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Allegheny Mountain Collegiate Conference,amcc,Pitt-Greensburg,"University of Pittsburgh, Greensburg",Zachary Abdallah,,,35137,634,ACTIVE,77.27,5.27,15,76.7705046942495,10,3,2,14.0276443432896,-15.0101231132876,Region V - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Allegheny Mountain Collegiate Conference,amcc,Pitt-Greensburg,"University of Pittsburgh, Greensburg",Nicholas Thomas,,Fourth Year,14907,656,ACTIVE,77.88,5.88,17,76.8782918192645,12,2,1,13.4047192069441,-15.0269640351102,Region V - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Allegheny Mountain Collegiate Conference,amcc,Mount Aloysius,Mount Aloysius College,Ethan Batstone,,Third Year,35511,681,ACTIVE,78.0,6.0,20,76.8895538820312,11,0,0,12.915333751418,-12.1401274481298,Region V - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Allegheny Mountain Collegiate Conference,amcc,Pitt-Greensburg,"University of Pittsburgh, Greensburg",Anthony Treonze,,Fourth Year,23069,694,ACTIVE,77.71,5.71,17,76.7018212310292,12,1,1,12.7493206870716,-15.0269640351102,Region V - (M) DIII,clippd_scoreboard
