season,sport,gender,conference,conference_code,team,school_name,player_name,position,class_year,clippd_player_id,clippd_rank,player_ranking_status,scoring_stats_scoring_average,scoring_stats_vs_par,scoring_stats_rounds,scoring_stats_adjusted_score,scoring_stats_stroke_play_events,top10_finishes,events_won,average_points,strength_of_schedule,region,data_source,global_rank,rating,composite_score
2025-26,wgolf,Women,Allegheny Mountain Collegiate Conference,amcc,Mount Aloysius,Mount Aloysius College,Chloe Fritch,,Second Year,9384,100000,ACTIVE,83.82,11.82,11,84.9614638159326,8,3,2,2.86578593079168,-33.6441960542544,Southeast - (W) DIII,clippd_scoreboard,506,80,2.43645177566222
2025-26,wgolf,Women,Allegheny Mountain Collegiate Conference,amcc,Penn State Altoona,Penn State Altoona,Gabby Catalogna,,Second Year,4187,100000,ACTIVE,94.67,22.67,9,94.2705255308601,6,1,0,0.217798893638128,-31.2665885273239,Southeast - (W) DIII,clippd_scoreboard,1081,62,1.1712942281568
2025-26,wgolf,Women,Allegheny Mountain Collegiate Conference,amcc,Carlow,Carlow University,Lilli Hope,,,15930,100000,ACTIVE,96.33,24.33,9,95.7998493207866,7,2,1,0.45436316543735,-33.5939549250604,Southeast - (W) DIII,clippd_scoreboard,1129,61,0.00242575014242121
2025-26,wgolf,Women,Allegheny Mountain Collegiate Conference,amcc,Carlow,Carlow University,Maci Lorigan,,,23283,100000,ACTIVE,97.0,25.0,11,96.1453636109561,8,1,1,0.298915561083133,-32.0941803458785,Southeast - (W) DIII,clippd_scoreboard,1144,61,0.715778729792795
2025-26,wgolf,Women,Allegheny Mountain Collegiate Conference,amcc,Penn State Altoona,Penn State Altoona,Lexi Peacock,,Second Year,4189,928,ACTIVE,99.14,27.14,15,100.535310706058,9,0,0,0.0510013589364449,-31.0720663266487,Southeast - (W) DIII,clippd_scoreboard,1194,59,23.7675995785492
2025-26,wgolf,Women,Allegheny Mountain Collegiate Conference,amcc,Carlow,Carlow University,Jena Norman,,,25104,100000,ACTIVE,106.27,34.27,11,105.418090883683,8,0,0,0.0202436562468574,-32.0941803458785,Southeast - (W) DIII,clippd_scoreboard,1325,55,0.0434568709471495
2025-26,wgolf,Women,Allegheny Mountain Collegiate Conference,amcc,Penn State Altoona,Penn State Altoona,Clarissa Long,,Second Year,4190,978,ACTIVE,112.29,40.29,14,113.879711761493,8,0,0,0.00706510177484589,-31.3756922193511,Southeast - (W) DIII,clippd_scoreboard,1390,53,0.0184369265256937
2025-26,wgolf,Women,Allegheny Mountain Collegiate Conference,amcc,Penn State Altoona,Penn State Altoona,Alyssa Franks,,Third Year,34381,991,ACTIVE,119.5,47.5,17,120.201765672018,10,0,0,0.0013296054241058,-30.5468416746893,Southeast - (W) DIII,clippd_scoreboard,1432,52,4.45474993048181
2025-26,wgolf,Women,Allegheny Mountain Collegiate Conference,amcc,Mount Aloysius,Mount Aloysius College,Ava Iapalucci,,Second Year,9385,100000,ACTIVE,120.29,48.29,7,122.061778440305,5,0,0,0.000259789151953022,-33.8841558822712,Southeast - (W) DIII,clippd_scoreboard,1435,52,0.211109777747469
2025-26,wgolf,Women,Allegheny Mountain Collegiate Conference,amcc,Mount Aloysius,Mount Aloysius College,Belle Lint,,Second Year,9386,100000,ACTIVE,124.14,52.14,7,125.918921297448,5,0,0,9.55149573799972e-05,-33.8841558822712,Southeast - (W) DIII,clippd_scoreboard,1450,51,0.00172361646819205
