season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats,team_name,team_id,sdrm_id,this_is_softball,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,hitting_stats,fielding_stats,hitting_summary_stats,composite_score,global_rank,rating,ranking_segment
2025-26,baseball,American Rivers Conference (ARC),arc,Loras,Vince Polizzi,Vince,Polizzi,,364,Vince Polizzi,0,0LORAS,38,38,,,139,34,47,42,11,0,11,16,1,9,29,9,0,0,0,1,0,0,0,1,2,4,0,0.436,91,165,0,.000,.338,.655,24,0,0,0,0,0,0,3,0,24,1.000,0,.000,,5,4,34,24,"10,40",0.25,10,40,"26,71",0.37,26,71,"20,50",0.40,20,50,"12,20",0.60,12,20,0,0,0,0,"15,40","11,14","41,79",139,0,0,0,0,0,0,0,6,34,0,,Loras,LORAS,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.105262416483876,1,99,batting
2025-26,baseball,American Rivers Conference (ARC),arc,Luther,Josh Matanich,Josh,Matanich,,372,Josh Matanich,0,0LUTHER,42,42,,,167,33,64,43,9,0,8,15,2,7,13,5,6,0,0,3,0,0,0,2,0,5,0,0.448,97,192,6,1.000,.383,.581,307,16,1,0,0,0,0,18,0,324,.997,0,.000,,6,4,37,50,"14,38",0.37,14,38,"31,78",0.40,31,78,"20,50",0.40,20,50,"10,17",0.59,10,17,0,0,0,0,"12,34","12,14","56,87",118,0,0,0,0,0,0,0,16,30,0,,Luther,LUTHER,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.560616111290187,2,99,batting
2025-26,baseball,American Rivers Conference (ARC),arc,Buena Vista,Evan Taylor,Evan,Taylor,,84,Evan Taylor,0,0BVUBB,45,45,,,178,58,66,43,26,3,5,26,0,12,29,5,16,3,3,4,0,0,0,1,3,2,0,0.473,113,223,19,.842,.371,.635,289,27,4,6,0,31,14,1,0,320,.988,45,.689,,2,5,41,46,"17,52",0.33,17,52,"30,78",0.38,30,78,"21,58",0.36,21,58,"11,28",0.39,11,28,0,0,0,0,"28,57","14,20","54,95",110,0,0,0,0,0,0,0,13,35,0,,Buena Vista,BVUBB,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.41554952567948,3,99,batting
2025-26,baseball,American Rivers Conference (ARC),arc,Loras,Colin Kissane,Colin,Kissane,,364,Colin Kissane,0,0LORAS,38,26,,,103,25,37,38,12,0,7,8,1,8,17,4,1,0,0,1,0,0,0,0,0,0,0,0.442,70,120,1,1.000,.359,.680,36,1,1,0,0,0,0,0,0,38,.974,0,.000,,5,5,22,22,"12,33",0.36,12,33,"26,65",0.40,26,65,"19,45",0.42,19,45,"6,15",0.40,6,15,0,0,0,0,"6,23","4,9","43,73",58,0,0,0,55,0,0,0,6,19,0,,Loras,LORAS,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.253069770346462,4,98,batting
2025-26,baseball,American Rivers Conference (ARC),arc,Univ. of Dubuque,Aidan Elfering,Aidan,Elfering,,192,Aidan Elfering,0,0UDBQB,36,36,,,135,26,48,32,9,0,9,13,1,3,31,5,3,0,0,2,0,0,0,0,0,1,0,0.418,84,153,3,1.000,.356,.622,231,25,3,0,0,6,3,9,0,259,.988,9,.667,,2,5,23,33,"20,45",0.44,20,45,"25,57",0.44,25,57,"16,35",0.46,16,35,"4,19",0.21,4,19,0,0,0,0,"7,30","5,6","38,66",69,0,0,0,0,0,0,0,3,17,0,,Univ. of Dubuque,UDBQB,0,False,80,1,10,4,5,0,3,0,0,0,70.0,43,35,5,86,11,7,1,4.50,290,298,2,0,0,0,3,0,0,27,.276,34,79,2,"1,7","2,12","2,9",0,"5,13",,,,9.150606999630211,5,98,batting
2025-26,baseball,American Rivers Conference (ARC),arc,Buena Vista,Joel Garcia,Joel,Garcia,,84,Joel Garcia,0,0BVUBB,45,45,,,181,43,62,40,13,1,7,28,1,8,22,1,4,1,0,5,0,0,0,2,0,2,0,0.441,98,222,5,.800,.343,.541,60,117,15,0,0,0,0,15,0,192,.922,0,.000,,7,5,29,66,"11,41",0.27,11,41,"30,88",0.34,30,88,"20,56",0.36,20,56,"11,24",0.46,11,24,0,0,0,0,"18,46","14,17","59,101",95,0,0,0,0,0,0,0,19,30,0,,Buena Vista,BVUBB,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.442613618685447,6,98,batting
2025-26,baseball,American Rivers Conference (ARC),arc,Wartburg,Zach Walton,Zach,Walton,,750,Zach Walton,0,0WARTBURG,41,41,,,143,44,45,29,7,0,8,34,2,13,38,12,1,1,0,1,0,0,0,2,0,3,0,0.482,76,191,2,.500,.315,.531,348,13,4,0,0,0,0,25,0,365,.989,0,.000,,4,2,22,34,"13,41",0.32,13,41,"24,79",0.30,24,79,"11,47",0.23,11,47,"8,24",0.33,8,24,0,0,0,0,"11,33","6,7","48,92",10,0,0,0,0,0,0,0,10,22,0,,Wartburg,WARTBURG,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.907883569067711,7,97,batting
2025-26,baseball,American Rivers Conference (ARC),arc,Buena Vista,Kaden Struck,Kaden,Struck,,84,Kaden Struck,0,0BVUBB,43,42,,,152,37,55,42,13,4,1,26,1,13,31,9,5,2,2,2,0,0,0,1,0,1,0,0.487,79,195,7,.714,.362,.520,315,17,4,0,0,0,0,17,0,336,.988,0,.000,,8,4,28,35,"13,57",0.23,13,57,"37,99",0.37,37,99,"27,71",0.38,27,71,"7,21",0.33,7,21,0,0,0,0,"19,35","14,17","63,116",167,0,0,0,0,0,0,0,10,54,0,,Buena Vista,BVUBB,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.709166632309344,8,97,batting
2025-26,baseball,American Rivers Conference (ARC),arc,Luther,Mark Prince,Mark,Prince,,372,Mark Prince,0,0LUTHER,42,42,,,167,32,48,45,14,0,11,13,2,2,28,10,6,1,0,4,0,0,0,1,0,4,0,0.339,95,186,7,.857,.287,.569,81,4,2,0,0,0,0,0,0,87,.977,0,.000,,4,6,35,56,"14,64",0.22,14,64,"29,98",0.30,29,98,"17,54",0.31,17,54,"3,12",0.25,3,12,0,0,0,0,"12,27","11,19","45,106",92,0,0,0,0,0,0,0,9,45,0,,Luther,LUTHER,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.207179549108089,9,97,batting
2025-26,baseball,American Rivers Conference (ARC),arc,Wartburg,Carter Stubitz,Carter,Stubitz,,750,Carter Stubitz,0,0WARTBURG,41,41,,,143,27,39,39,7,0,9,32,1,6,41,9,1,2,1,0,0,0,0,2,0,2,0,0.425,73,182,3,.333,.273,.510,237,13,5,6,0,24,8,0,0,255,.980,32,.750,,3,4,19,40,"10,40",0.25,10,40,"27,95",0.28,27,95,"18,62",0.29,18,62,"9,27",0.33,9,27,0,0,0,0,"11,31","5,12","52,112",116,0,0,0,0,0,0,0,7,39,0,,Wartburg,WARTBURG,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.783545901144609,10,96,batting
