rank,conference_code,conference,season,team,player_name,class_year,position,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,composite_score,z_ppg,z_rpg,z_apg,z_spg,z_bpg,z_tov_pg
1,arc,American Rivers Conference (ARC),2025-26,Loras,"Haynes,Jack",0,F,23,29.043478260869566,16.91,9.22,0.91,1.13,0.57,1.0869565217391304,6.062960900139926,1.9019632219948686,2.611811346588315,-0.6498994578479459,0.7578674750590711,0.6405335636678543,-0.2331195183355844
2,arc,American Rivers Conference (ARC),2025-26,Wartburg,"Bienemann,Austin",0,G,26,32.34615384615385,15.58,4.46,3.42,2.08,1.23,2.3846153846153846,5.773088440201979,1.6036154931498043,0.3428956472534803,1.7706220203013638,2.7592029431513763,2.354980176072471,1.8383705912474306
3,arc,American Rivers Conference (ARC),2025-26,Coe,"Nailor,Cooper",0,G,27,36.74074074074074,15.52,6.33,5.44,2.11,0.22,3.111111111111111,5.525722060112958,1.590156197111681,1.2342553862778796,3.7186114170589764,2.822403010564817,-0.2686426701830786,2.998096583296341
4,arc,American Rivers Conference (ARC),2025-26,Univ. of Dubuque,"Thompson,Grady",0,G,25,31.08,18.32,6.16,1.68,1.2,0.16,1.36,5.386843225755425,2.2182566788907634,1.153222682730207,0.09265095576757935,0.9053342990237674,-0.42450145312895277,0.20274762740245023
5,arc,American Rivers Conference (ARC),2025-26,Wartburg,"Yungtum,Ethan",0,G,26,29.692307692307693,15.54,11.23,0.96,0.62,0.19,0.9615384615384616,5.282150168898494,1.5946426291243887,3.5699039002990323,-0.6016818985222625,-0.3165336709694292,-0.3465720616560157,-0.43332796964837567
6,arc,American Rivers Conference (ARC),2025-26,Coe,"Bryte,Kanyon",0,F,27,25.22222222222222,12.52,7.67,1.52,0.93,1.78,1.3703703703703705,4.986987726751241,0.9171913952055214,1.872983755418358,-0.06164523407460766,0.3365336923027967,3.7836856864096515,0.21930214744581505
7,arc,American Rivers Conference (ARC),2025-26,Buena Vista,"Sievers,Carter",0,G,21,32.285714285714285,17.81,3.57,3.52,0.71,0.1,1.619047619047619,4.611046172810697,2.103852662566716,-0.08133438896668832,1.8670571389527308,-0.1269334687291056,-0.580360236074827,0.6162727811387472
8,arc,American Rivers Conference (ARC),2025-26,Univ. of Dubuque,"Williams,Jacob",0,F,28,30.642857142857142,15.75,6.5,1.04,0.71,1.32,1.75,4.407693109670033,1.6417501652578201,1.3152880898255521,-0.5245338036011689,-0.1269334687291056,2.5887683504912826,0.8253158276047062
9,arc,American Rivers Conference (ARC),2025-26,Loras,"Berendes,Nolan",0,F,27,30.85185185185185,12.89,7.07,1.26,1.26,0.63,1.2962962962962965,3.725826309483604,1.0001903874406146,1.5869859781912783,-0.31237654256816166,1.03173443385065,0.7963923466137286,0.10105557570749499
10,arc,American Rivers Conference (ARC),2025-26,Simpson,"Henderson,Cam",0,G,25,30.2,16.92,2.84,1.8,1.36,0.16,1.52,3.6961869569892944,1.9042064380012227,-0.42929835125963556,0.20837309814921975,1.2424013252287875,-0.42450145312895277,0.45816022235722187
11,arc,American Rivers Conference (ARC),2025-26,Central,"Schipper,Owen",0,F,25,35.0,12.48,8.84,2.92,0.8,0.36,2.0,3.519154028656224,0.9082185311801061,2.4306794210111637,1.2884464270445293,0.06266673351121817,0.09502782335729458,1.224398007221537
12,arc,American Rivers Conference (ARC),2025-26,Nebraska Wesleyan,"Howard,Nick",0,F,26,27.153846153846153,15.46,5.73,1.65,0.38,1.04,2.0,3.4019065933927535,1.576696901073558,0.9482576090507998,0.06372042017216925,-0.8221342102769588,1.861427363410536,1.224398007221537
13,arc,American Rivers Conference (ARC),2025-26,Nebraska Wesleyan,"Newton,Seth",0,F,25,30.52,8.76,6.92,2.52,1.76,0.4,1.28,2.9221873148173243,0.07374217681646802,1.515486533884508,0.9027059524390616,2.085068890741337,0.19893367865454414,0.07504132992506425
14,arc,American Rivers Conference (ARC),2025-26,Univ. of Dubuque,"Scott,Jalen",0,G,24,26.833333333333332,9.25,4.33,5.5,2.04,0.5,2.7916666666666665,2.783791545170828,0.1836597611278075,0.28092946218761305,3.776472488249796,2.6749361866001213,0.4586983168976678,2.4881582426748343
