conference_code,conference,season,team,player_name,first_name,last_name,class_year,position,gp,mp_total,mpg,pts_total,ppg,reb_total,rpg,ast_total,apg,stl_total,spg,blk_total,bpg,tov_total,tov_pg,fgm,fga,fg_pct,tpm,tpa,tp_pct,ftm,fta,ft_pct
arc,American Rivers Conference (ARC),2025-26,Loras,"Loew,Emmett",Emmett,Loew,0,G,12,233.0,19.416666666666668,84.0,7.0,10.0,0.83,19.0,1.58,14.0,1.17,1.0,0.08,13.0,1.0833333333333333,30.0,75.0,0.4,15.0,48.0,0.31,9.0,10.0,0.9
arc,American Rivers Conference (ARC),2025-26,Loras,"Jackson,Damyen",Damyen,Jackson,0,G,26,530.0,20.384615384615383,186.0,7.15,70.0,2.69,44.0,1.69,25.0,0.96,6.0,0.23,41.0,1.5769230769230769,65.0,148.0,0.44,22.0,56.0,0.39,34.0,44.0,0.77
arc,American Rivers Conference (ARC),2025-26,Loras,"Balling,Lukas",Lukas,Balling,0,F,11,92.0,8.363636363636363,27.0,2.45,16.0,1.45,3.0,0.27,1.0,0.09,0.0,0.0,4.0,0.3636363636363636,7.0,22.0,0.32,1.0,2.0,0.5,12.0,12.0,1.0
arc,American Rivers Conference (ARC),2025-26,Loras,"Meyer,Ethan",Ethan,Meyer,0,F,7,15.0,2.142857142857143,6.0,0.86,3.0,0.43,0.0,0.0,1.0,0.14,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
arc,American Rivers Conference (ARC),2025-26,Loras,"Sarvis,Gavin",Gavin,Sarvis,0,G,24,633.0,26.375,314.0,13.08,92.0,3.83,73.0,3.04,29.0,1.21,13.0,0.54,53.0,2.2083333333333335,108.0,240.0,0.45,23.0,75.0,0.31,75.0,101.0,0.74
arc,American Rivers Conference (ARC),2025-26,Loras,"Berendes,Nolan",Nolan,Berendes,0,F,27,833.0,30.85185185185185,348.0,12.89,191.0,7.07,34.0,1.26,34.0,1.26,17.0,0.63,35.0,1.2962962962962965,115.0,260.0,0.44,57.0,155.0,0.37,61.0,72.0,0.85
arc,American Rivers Conference (ARC),2025-26,Loras,"Massey,Brock",Brock,Massey,0,F,22,327.0,14.863636363636363,92.0,4.18,58.0,2.64,38.0,1.73,18.0,0.82,2.0,0.09,11.0,0.5,31.0,74.0,0.42,6.0,28.0,0.21,24.0,29.0,0.83
arc,American Rivers Conference (ARC),2025-26,Loras,"Mosele,Connor",Connor,Mosele,0,G,10,104.0,10.4,12.0,1.2,8.0,0.8,11.0,1.1,3.0,0.3,0.0,0.0,4.0,0.4,3.0,17.0,0.18,3.0,12.0,0.25,3.0,4.0,0.75
arc,American Rivers Conference (ARC),2025-26,Loras,"Navarrete,Jim",Jim,Navarrete,0,G,7,14.0,2.0,8.0,1.14,3.0,0.43,0.0,0.0,1.0,0.14,2.0,0.29,0.0,0.0,3.0,6.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0
arc,American Rivers Conference (ARC),2025-26,Loras,"Quarnstrom,Patrick",Patrick,Quarnstrom,0,G,16,95.0,5.9375,23.0,1.44,22.0,1.38,7.0,0.44,1.0,0.06,1.0,0.06,7.0,0.4375,8.0,20.0,0.4,1.0,7.0,0.14,6.0,10.0,0.6
arc,American Rivers Conference (ARC),2025-26,Loras,"Haynes,Jack",Jack,Haynes,0,F,23,668.0,29.043478260869566,389.0,16.91,212.0,9.22,21.0,0.91,26.0,1.13,13.0,0.57,25.0,1.0869565217391304,152.0,267.0,0.57,13.0,38.0,0.34,72.0,101.0,0.71
arc,American Rivers Conference (ARC),2025-26,Loras,"Kober,Kyle",Kyle,Kober,0,G,27,581.0,21.51851851851852,232.0,8.59,73.0,2.7,33.0,1.22,28.0,1.04,1.0,0.04,22.0,0.8148148148148148,78.0,190.0,0.41,24.0,77.0,0.31,52.0,74.0,0.7
