season,sport,gender,conference,conference_code,team,school_name,player_name,position,class_year,clippd_player_id,clippd_rank,player_ranking_status,scoring_stats_scoring_average,scoring_stats_vs_par,scoring_stats_rounds,scoring_stats_adjusted_score,scoring_stats_stroke_play_events,top10_finishes,events_won,average_points,strength_of_schedule,region,data_source,global_rank,rating,composite_score
2025-26,mgolf,Men,American Rivers Conference,arc,Dubuque,University of Dubuque,Luke Harwick,,Third Year,30740,27,ACTIVE,71.07,-0.93,27,70.8085651887131,12,6,3,54.1848868829208,-10.6431337891667,Region VI - (M) DIII,clippd_scoreboard,4,98,68.4742279349335
2025-26,mgolf,Men,American Rivers Conference,arc,Dubuque,University of Dubuque,John Dobbe,,Fourth Year,27941,32,ACTIVE,71.89,-0.11,27,71.6233800035279,12,5,4,51.1850902959064,-10.6431337891667,Region VI - (M) DIII,clippd_scoreboard,18,95,57.8552016830767
2025-26,mgolf,Men,American Rivers Conference,arc,Simpson (IA),Simpson College,Blake Perrin,,Third Year,10578,195,ACTIVE,74.5,2.5,22,74.2193354127284,12,6,2,28.0051678564451,-12.7447091974879,Region VI - (M) DIII,clippd_scoreboard,231,91,25.7271111636448
2025-26,mgolf,Men,American Rivers Conference,arc,Central (IA),Central College,Carter Yurgae,,Third Year,35739,142,ACTIVE,74.74,2.74,23,73.6984985357735,11,3,1,31.7474683235355,-10.9172983598717,Region VI - (M) DIII,clippd_scoreboard,263,90,24.4172150652331
2025-26,mgolf,Men,American Rivers Conference,arc,Nebraska Wesleyan,Nebraska Wesleyan University,Brayden Schram,,Fourth Year,35812,210,ACTIVE,74.88,2.88,24,74.1427269737606,11,4,2,27.0500851343185,-10.6764909336852,Region VI - (M) DIII,clippd_scoreboard,289,90,23.2416417066182
2025-26,mgolf,Men,American Rivers Conference,arc,Nebraska Wesleyan,Nebraska Wesleyan University,Jacob Cosimano,,Third Year,35808,189,ACTIVE,75.08,3.08,25,74.0385562254298,11,3,0,28.1870510496173,-10.514056853845,Region VI - (M) DIII,clippd_scoreboard,315,89,22.3254322658486
2025-26,mgolf,Men,American Rivers Conference,arc,Dubuque,University of Dubuque,Paul Bloomquist,,,27926,410,ACTIVE,75.11,3.11,27,74.8456022257501,12,0,0,19.5697467058442,-10.6431337891667,Region VI - (M) DIII,clippd_scoreboard,324,89,22.1858411544451
2025-26,mgolf,Men,American Rivers Conference,arc,Nebraska Wesleyan,Nebraska Wesleyan University,Jaiden Ronke,,Third Year,35811,252,ACTIVE,75.29,3.29,21,74.09912776309,9,0,0,24.7843801239817,-10.5194325135094,Region VI - (M) DIII,clippd_scoreboard,356,89,20.9887635065824
2025-26,mgolf,Men,American Rivers Conference,arc,Nebraska Wesleyan,Nebraska Wesleyan University,Jackson Lapour,,,11378,311,ACTIVE,75.52,3.52,25,74.4785562254298,11,1,0,22.4791690560998,-10.514056853845,Region VI - (M) DIII,clippd_scoreboard,392,88,20.0215291127639
2025-26,mgolf,Men,American Rivers Conference,arc,Coe (IA),Coe College,Sam Scully,,,12639,756,ACTIVE,75.63,3.63,19,77.4509097581971,11,2,1,11.6902241324764,-13.7050510063792,Region VI - (M) DIII,clippd_scoreboard,421,87,19.0520517046425
2025-26,mgolf,Men,American Rivers Conference,arc,Coe (IA),Coe College,Tyler Santi,,Second Year,6699,748,ACTIVE,75.84,3.84,19,77.6614360739866,11,3,2,11.884058589436,-13.7050510063792,Region VI - (M) DIII,clippd_scoreboard,462,87,17.7618529857207
2025-26,mgolf,Men,American Rivers Conference,arc,Nebraska Wesleyan,Nebraska Wesleyan University,Travis Tilford,,Fourth Year,26544,303,ACTIVE,75.92,3.92,25,74.8785562254298,11,1,1,22.8075647514441,-10.514056853845,Region VI - (M) DIII,clippd_scoreboard,478,86,17.5202668305317
2025-26,mgolf,Men,American Rivers Conference,arc,Dubuque,University of Dubuque,Tyson Malak,,Fourth Year,38268,492,ACTIVE,75.96,3.96,25,75.7534446139968,11,0,0,17.1206657253591,-10.6426506925653,Region VI - (M) DIII,clippd_scoreboard,484,86,17.3690018066477
2025-26,mgolf,Men,American Rivers Conference,arc,Dubuque,University of Dubuque,Bob Ryan,,Fourth Year,12142,488,ACTIVE,76.11,4.11,27,75.7354911240749,12,2,0,17.1890493978274,-10.831072176168,Region VI - (M) DIII,clippd_scoreboard,514,86,16.7445342779619
2025-26,mgolf,Men,American Rivers Conference,arc,Wartburg,Wartburg College,Vaughn Tyler,,Third Year,35784,472,ACTIVE,76.15,4.15,20,75.9241181658958,11,2,1,17.6205126103849,-12.5733556755043,Region VI - (M) DIII,clippd_scoreboard,530,85,16.0448991792198
2025-26,mgolf,Men,American Rivers Conference,arc,Dubuque,University of Dubuque,Joe LaBarbera,,Fourth Year,12856,562,ACTIVE,76.33,4.33,18,76.3744158151173,9,0,0,15.3666716309934,-12.5855326212907,Region VI - (M) DIII,clippd_scoreboard,574,84,15.1758736580389
2025-26,mgolf,Men,American Rivers Conference,arc,Nebraska Wesleyan,Nebraska Wesleyan University,Harrison Weddell,,Fourth Year,26043,331,ACTIVE,76.55,4.55,20,75.5486742816563,9,1,1,21.8603467718776,-10.5467960072047,Region VI - (M) DIII,clippd_scoreboard,624,84,14.1580390362554
2025-26,mgolf,Men,American Rivers Conference,arc,Buena Vista,Buena Vista University,Matthew Turpen,,,17431,716,ACTIVE,76.83,4.83,23,77.2375447339689,10,2,0,12.368179001518,-12.1946019327713,Region VI - (M) DIII,clippd_scoreboard,701,82,12.6002687829843
2025-26,mgolf,Men,American Rivers Conference,arc,Dubuque,University of Dubuque,Caleb McCullough,,Second Year,30741,711,ACTIVE,77.19,5.19,16,76.9805070128422,8,1,0,12.4505604630687,-13.2849039880649,Region VI - (M) DIII,clippd_scoreboard,789,80,11.163835241792
2025-26,mgolf,Men,American Rivers Conference,arc,Central (IA),Central College,Bautista Valeiras,,Third Year,35738,466,ACTIVE,77.2,5.2,20,76.1320821390947,10,0,0,17.7152751989451,-10.9496193378009,Region VI - (M) DIII,clippd_scoreboard,792,80,11.1436231677241
2025-26,mgolf,Men,American Rivers Conference,arc,Central (IA),Central College,Blake Wynn,,,21294,486,ACTIVE,77.22,5.22,23,76.1767594053387,11,1,0,17.3003757531085,-10.9172983598717,Region VI - (M) DIII,clippd_scoreboard,799,80,11.0572930165286
2025-26,mgolf,Men,American Rivers Conference,arc,Simpson (IA),Simpson College,Jackson Tennis,,Third Year,34870,680,ACTIVE,77.23,5.23,22,76.9466081400011,12,3,0,12.919005523141,-12.7447091974879,Region VI - (M) DIII,clippd_scoreboard,805,80,10.9381373867517
2025-26,mgolf,Men,American Rivers Conference,arc,Buena Vista,Buena Vista University,Gabe Kramer,,Fourth Year,32383,816,ACTIVE,77.32,5.32,22,77.5747360321577,9,1,0,10.686408257008,-12.0087443779295,Region VI - (M) DIII,clippd_scoreboard,828,80,10.4156472215352
2025-26,mgolf,Men,American Rivers Conference,arc,Wartburg,Wartburg College,Duke Taylor,,Third Year,35783,737,ACTIVE,77.65,5.65,20,77.4241181658958,11,1,0,12.0061596170691,-12.5733556755043,Region VI - (M) DIII,clippd_scoreboard,907,78,9.06712680763264
2025-26,mgolf,Men,American Rivers Conference,arc,Dubuque,University of Dubuque,Bock Mueller,,Second Year,8458,100000,ACTIVE,77.75,5.75,8,77.3120579989805,4,2,0,13.5372079262888,-13.8628773827368,Region VI - (M) DIII,clippd_scoreboard,930,78,8.74190286665697
2025-26,mgolf,Men,American Rivers Conference,arc,Coe (IA),Coe College,Mitchell Katz,,,6775,1089,ACTIVE,77.79,5.79,19,79.6088044950392,11,0,0,6.64679868034667,-13.7050510063792,Region VI - (M) DIII,clippd_scoreboard,939,78,8.64609656157596
2025-26,mgolf,Men,American Rivers Conference,arc,Coe (IA),Coe College,Lane Pierson,,,31659,1045,ACTIVE,77.93,5.93,15,79.5747430470275,8,0,0,7.38420430575602,-13.3544039468155,Region VI - (M) DIII,clippd_scoreboard,976,77,8.18232391420726
2025-26,mgolf,Men,American Rivers Conference,arc,Coe (IA),Coe College,Reece Breitenbach,,Fourth Year,27854,1187,ACTIVE,77.94,5.94,16,80.258966366553,10,0,0,5.44256938608727,-14.266809142597,Region VI - (M) DIII,clippd_scoreboard,979,77,8.13048611564944
2025-26,mgolf,Men,American Rivers Conference,arc,Central (IA),Central College,Maison Brandt,,Third Year,35736,692,ACTIVE,77.96,5.96,23,76.9158898401214,11,0,0,12.7816230228025,-10.9172983598717,Region VI - (M) DIII,clippd_scoreboard,980,77,8.12366016056158
2025-26,mgolf,Men,American Rivers Conference,arc,Nebraska Wesleyan,Nebraska Wesleyan University,Reid Styskal,,Third Year,35813,100000,ACTIVE,78.0,6.0,6,78.7904158259441,3,0,0,7.48113159509472,-10.9763852730034,Region VI - (M) DIII,clippd_scoreboard,996,77,7.95658029043101
2025-26,mgolf,Men,American Rivers Conference,arc,Buena Vista,Buena Vista University,Ashton Richey,,Second Year,3749,100000,ACTIVE,78.09,6.09,11,78.9735595698818,6,2,0,15.3034701640225,-13.4702640642424,Region VI - (M) DIII,clippd_scoreboard,1006,76,7.73071191076204
