conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,field_goals_made,field_goals_attempted,three_points_made,three_points_attempted,free_throws_attempted,free_throws_made,points_scored,blocked_shots,steals,assists,minutes_played,offensive_rebounds,defensive_rebounds,total_rebounds,personal_fouls,technical_fouls,turnovers,disqualifications,deadballs,field_goals_pct,three_points_pct,free_throws_pct,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocked_shots_per_game
arc,American Rivers Conference (ARC),2025-26,wbball,Buena Vista,"Neuberger,Grace",0,G,00,4,0,0,4,0,3,0,0,0,0,0,1,10,0,2,2,0,0,0,0,0,0.00,0.00,0.00,0.00,0.50,0.25,0.00,0.00
arc,American Rivers Conference (ARC),2025-26,wbball,Buena Vista,"Hulton,Ruthie",0,G,01,3,0,1,1,1,1,0,0,3,0,0,1,8,0,0,0,0,0,2,0,0,1.00,1.00,0.00,1.00,0.00,0.33,0.00,0.00
arc,American Rivers Conference (ARC),2025-26,wbball,Buena Vista,"Scott,Mckenna",0,G,02,17,0,7,19,2,3,4,3,19,1,4,11,87,2,10,12,3,0,15,0,0,0.37,0.67,0.75,1.12,0.71,0.65,0.24,0.06
arc,American Rivers Conference (ARC),2025-26,wbball,Buena Vista,"Sitzman,Rysaiah",0,G,03,13,0,3,10,1,3,0,0,7,0,0,4,46,0,7,7,5,0,2,0,0,0.30,0.33,0.00,0.54,0.54,0.31,0.00,0.00
arc,American Rivers Conference (ARC),2025-26,wbball,Buena Vista,"Demers,Danika",0,G,04,27,27,36,103,17,56,22,19,108,0,36,112,645,27,79,106,47,0,71,0,0,0.35,0.30,0.86,4.00,3.93,4.15,1.33,0.00
arc,American Rivers Conference (ARC),2025-26,wbball,Buena Vista,"Howard,Adriana",0,F,05,22,5,42,88,3,11,31,25,112,11,10,19,380,38,76,114,37,0,20,1,0,0.48,0.27,0.81,5.09,5.18,0.86,0.45,0.50
arc,American Rivers Conference (ARC),2025-26,wbball,Buena Vista,"Walker,Mary",0,G,10,27,27,128,322,37,126,108,74,367,7,41,58,857,29,73,102,59,0,80,0,0,0.40,0.29,0.69,13.59,3.78,2.15,1.52,0.26
arc,American Rivers Conference (ARC),2025-26,wbball,Buena Vista,"Nothwehr,Emily",0,G,11,8,0,3,6,1,2,0,0,7,0,0,0,18,0,1,1,0,0,1,0,0,0.50,0.50,0.00,0.88,0.13,0.00,0.00,0.00
arc,American Rivers Conference (ARC),2025-26,wbball,Buena Vista,"McCullough,Sophia",0,F,12,5,0,2,3,0,0,0,0,4,0,0,0,12,0,4,4,0,0,1,0,0,0.67,0.00,0.00,0.80,0.80,0.00,0.00,0.00
arc,American Rivers Conference (ARC),2025-26,wbball,Buena Vista,"Raveling,Maddy",0,G,13,27,0,22,58,8,22,17,7,59,1,11,31,362,4,31,35,22,0,34,0,0,0.38,0.36,0.41,2.19,1.30,1.15,0.41,0.04
arc,American Rivers Conference (ARC),2025-26,wbball,Buena Vista,"Flaharty,Alexis",0,F,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
arc,American Rivers Conference (ARC),2025-26,wbball,Buena Vista,"Mattson,Olivia",0,G,15,9,0,3,5,3,4,2,2,11,0,0,1,20,0,4,4,0,0,2,0,0,0.60,0.75,1.00,1.22,0.44,0.11,0.00,0.00
arc,American Rivers Conference (ARC),2025-26,wbball,Buena Vista,"Dutler,Shae",0,G,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
arc,American Rivers Conference (ARC),2025-26,wbball,Buena Vista,"Humphrey,Hayley",0,F,21,7,0,1,4,0,1,0,0,2,0,0,0,14,2,1,3,2,0,1,0,0,0.25,0.00,0.00,0.29,0.43,0.00,0.00,0.00
arc,American Rivers Conference (ARC),2025-26,wbball,Buena Vista,"Krager,Bradi",0,G,22,27,27,152,296,37,101,104,83,424,18,54,49,866,75,129,204,57,0,56,0,0,0.51,0.37,0.80,15.70,7.56,1.81,2.00,0.67
arc,American Rivers Conference (ARC),2025-26,wbball,Buena Vista,"Boettcher,Tyme",0,G,23,27,25,111,317,31,139,33,29,282,7,48,55,708,18,142,160,42,0,64,0,0,0.35,0.22,0.88,10.44,5.93,2.04,1.78,0.26
arc,American Rivers Conference (ARC),2025-26,wbball,Buena Vista,"Yanga,Adeeya",0,F,24,27,24,117,232,5,17,68,51,290,44,21,22,596,20,88,108,66,0,55,2,0,0.50,0.29,0.75,10.74,4.00,0.81,0.78,1.63
arc,American Rivers Conference (ARC),2025-26,wbball,Buena Vista,"Cone,McKenna",0,G,25,27,0,29,90,17,64,10,8,83,2,10,10,294,15,15,30,13,0,9,0,0,0.32,0.27,0.80,3.07,1.11,0.37,0.37,0.07
arc,American Rivers Conference (ARC),2025-26,wbball,Buena Vista,"Bekaert,Kyra",0,G,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
arc,American Rivers Conference (ARC),2025-26,wbball,Buena Vista,"Hilgendorf,Maddie",0,F,33,26,0,30,69,10,24,13,12,82,4,7,24,350,21,65,86,11,0,28,0,0,0.43,0.42,0.92,3.15,3.31,0.92,0.27,0.15
arc,American Rivers Conference (ARC),2025-26,wbball,Buena Vista,"Hallock,Jenna",0,F,34,23,0,13,32,0,1,21,10,36,2,2,10,147,11,22,33,18,0,14,1,0,0.41,0.00,0.48,1.57,1.43,0.43,0.09,0.09
arc,American Rivers Conference (ARC),2025-26,wbball,Buena Vista,"Johnson,Annie",0,F,35,4,0,0,1,0,1,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
arc,American Rivers Conference (ARC),2025-26,wbball,Simpson,"DeVault,Maddax",0,G,10,26,26,170,409,50,159,68,60,450,1,54,75,814,9,46,55,46,0,93,0,0,0.42,0.31,0.88,17.31,2.12,2.88,2.08,0.04
arc,American Rivers Conference (ARC),2025-26,wbball,Simpson,"Duckmann,Lili",0,G,11,23,0,11,46,1,8,21,8,31,1,9,8,140,4,19,23,8,0,16,0,0,0.24,0.13,0.38,1.35,1.00,0.35,0.39,0.04
arc,American Rivers Conference (ARC),2025-26,wbball,Simpson,"Jacks,Karsen",0,G,12,5,5,13,30,3,7,31,23,52,0,11,16,139,7,17,24,7,0,15,0,0,0.43,0.43,0.74,10.40,4.80,3.20,2.20,0.00
arc,American Rivers Conference (ARC),2025-26,wbball,Simpson,"Gaskill,Macy",0,G,13,8,0,6,24,1,10,3,0,13,1,3,2,70,2,5,7,4,0,3,0,0,0.25,0.10,0.00,1.63,0.88,0.25,0.38,0.13
arc,American Rivers Conference (ARC),2025-26,wbball,Simpson,"Darensbourg,Megan",0,G,14,5,0,3,6,0,2,0,0,6,0,1,2,15,2,2,4,4,0,0,0,0,0.50,0.00,0.00,1.20,0.80,0.40,0.20,0.00
arc,American Rivers Conference (ARC),2025-26,wbball,Simpson,"Grimsley,Reagan",0,G,21,26,1,31,79,1,6,29,21,84,15,9,35,384,7,52,59,43,0,32,0,0,0.39,0.17,0.72,3.23,2.27,1.35,0.35,0.58
arc,American Rivers Conference (ARC),2025-26,wbball,Simpson,"Christian,Morgan",0,G,22,25,0,21,51,3,8,10,7,52,1,29,45,343,14,36,50,22,0,27,0,0,0.41,0.38,0.70,2.08,2.00,1.80,1.16,0.04
arc,American Rivers Conference (ARC),2025-26,wbball,Simpson,"Paup,Doryn",0,F,24,26,25,72,151,0,1,24,16,160,13,20,35,496,17,121,138,37,0,42,0,0,0.48,0.00,0.67,6.15,5.31,1.35,0.77,0.50
