season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats,team_name,team_id,sdrm_id,this_is_softball,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,hitting_summary_stats
2026-27,baseball,American Southwest Conference (ASC),asc,Hardin-Simmons,Justin Blancaflor,Justin,Blancaflor,,271,Justin Blancaflor,0,0HSU,25,25,,,105,30,37,39,10,1,7,11,0,4,15,5,6,0,1,2,0,0,0,3,0,3,0,0.426,70,123,6,1.000,.352,.667,44,1,0,0,0,0,0,0,0,45,1.000,0,.000,,3,1,23,30,"12,33",0.36,12,33,"24,58",0.41,24,58,"21,47",0.45,21,47,"4,6",0.67,4,6,0,0,0,0,"10,36","7,11","42,68",3,0,0,0,0,0,0,0,9,28,0,,Hardin-Simmons,HSU,637-3545,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,American Southwest Conference (ASC),asc,Hardin-Simmons,Jacob Hollingsworth,Jacob,Hollingsworth,,271,Jacob Hollingsworth,0,0HSU,25,25,,,116,25,41,25,9,1,3,3,0,2,15,4,5,2,1,2,0,0,0,2,1,3,0,0.374,61,124,7,.714,.353,.526,10,48,5,0,0,0,0,5,0,63,.921,0,.000,,5,3,27,31,"11,29",0.38,11,29,"21,60",0.35,21,60,"12,37",0.32,12,37,"4,9",0.44,4,9,0,0,0,0,"3,15","6,11","33,63",12,0,0,0,0,0,0,0,13,21,0,,Hardin-Simmons,HSU,637-3307,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,American Southwest Conference (ASC),asc,Hardin-Simmons,Brock Calvillo,Brock,Calvillo,,271,Brock Calvillo,0,0HSU,23,23,,,88,19,34,21,5,1,0,13,0,5,6,4,2,3,1,1,0,0,0,1,0,3,0,0.486,41,108,5,.400,.386,.466,46,2,1,0,0,0,0,1,0,49,.980,0,.000,,6,3,23,21,"11,29",0.38,11,29,"21,49",0.43,21,49,"16,36",0.44,16,36,"3,7",0.43,3,7,0,0,0,0,"14,24","11,20","34,54",1,0,0,0,0,0,0,0,7,10,0,,Hardin-Simmons,HSU,637-3299,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,American Southwest Conference (ASC),asc,Hardin-Simmons,Catcher Ridings,Catcher,Ridings,,271,Catcher Ridings,0,0HSU,25,25,,,101,30,45,22,13,2,4,14,0,5,8,0,2,0,0,0,0,0,0,2,0,2,0,0.533,74,120,2,1.000,.446,.733,92,5,4,0,0,15,3,0,0,101,.960,18,.833,,2,1,16,29,"16,37",0.43,16,37,"28,58",0.48,28,58,"17,35",0.49,17,35,"4,6",0.67,4,6,0,0,0,0,"10,19","4,8","39,63","0,1",0,0,1,0,0,0,0,4,16,0,,Hardin-Simmons,HSU,637-3803,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,American Southwest Conference (ASC),asc,Hardin-Simmons,Mike Lozano,Mike,Lozano,,271,Mike Lozano,0,0HSU,18,16,,,57,14,17,16,4,0,3,7,0,4,12,1,1,0,0,2,0,0,0,2,0,2,0,0.400,30,70,1,1.000,.298,.526,104,3,2,0,0,0,0,10,0,109,.982,0,.000,,1,1,12,17,"6,19",0.32,6,19,"10,36",0.28,10,36,"7,27",0.26,7,27,"1,4",0.25,1,4,0,0,0,0,"5,11","3,7","21,42",1,0,0,0,"1,1",1.00,1,1,6,16,0,,Hardin-Simmons,HSU,637-3804,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,American Southwest Conference (ASC),asc,Hardin-Simmons,Rayshawn Riley,Rayshawn,Riley,,271,Rayshawn Riley,0,0HSU,7,6,,,24,2,6,1,1,1,0,1,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0.269,9,26,1,1.000,.250,.375,11,1,2,0,0,0,0,0,0,14,.857,0,.000,,0,2,5,8,"2,11",0.18,2,11,"3,14",0.21,3,14,"0,10",0,0,10,"0,2",0,0,2,0,0,0,0,"1,4","1,2","6,16","0,1",0,0,1,0,0,0,0,1,14,0,,Hardin-Simmons,HSU,637-3806,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,American Southwest Conference (ASC),asc,Hardin-Simmons,Paul Samaripa,Paul,Samaripa,,271,Paul Samaripa,0,0HSU,22,22,,,79,30,33,32,7,0,5,10,0,0,10,1,4,1,1,5,0,0,0,0,0,0,0,0.457,55,95,5,.800,.418,.696,23,69,5,0,0,0,0,12,0,97,.948,0,.000,,4,4,12,26,"12,31",0.39,12,31,"21,51",0.41,21,51,"14,36",0.39,14,36,"1,7",0.14,1,7,0,0,0,0,"8,13","11,17","35,58",23,0,0,0,0,0,0,0,13,21,0,,Hardin-Simmons,HSU,637-3801,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,American Southwest Conference (ASC),asc,Hardin-Simmons,Benji Fielder,Benji,Fielder,,271,Benji Fielder,0,0HSU,20,20,,,72,21,25,9,0,1,0,4,0,6,8,2,2,2,0,0,0,0,0,3,1,3,0,0.427,27,82,4,.500,.347,.375,37,55,6,0,0,0,0,12,0,98,.939,0,.000,,2,2,27,10,"5,27",0.19,5,27,"17,47",0.36,17,47,"14,30",0.47,14,30,"3,8",0.38,3,8,0,0,0,0,"5,15","5,8","25,52",11,0,0,0,0,0,0,0,2,22,0,,Hardin-Simmons,HSU,637-3302,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,American Southwest Conference (ASC),asc,Hardin-Simmons,Karson Leatherwood,Karson,Leatherwood,,271,Karson Leatherwood,0,0HSU,12,7,,,23,4,6,4,0,1,1,1,0,4,9,4,2,0,2,0,0,0,0,0,0,0,0,0.393,11,30,2,1.000,.261,.478,9,1,0,0,0,0,0,0,0,10,1.000,0,.000,,1,0,3,7,"4,9",0.44,4,9,"3,12",0.25,3,12,"3,11",0.27,3,11,"1,2",0.50,1,2,0,0,0,0,"0,5","0,3","8,16","0,1",0,0,1,"1,1",1.00,1,1,4,5,0,,Hardin-Simmons,HSU,637-210,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,American Southwest Conference (ASC),asc,Hardin-Simmons,Jack Kimsey,Jack,Kimsey,,271,Jack Kimsey,0,0HSU,8,6,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,.000,.000,.000,1,5,1,0,0,5,3,0,0,7,.857,8,.625,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Hardin-Simmons,HSU,637-3554,False,43,1,6,2,1,0,0,0,0,0,37.2,30,21,25,33,11,0,2,5.02,153,187,5,7,0,1,1,0,0,6,.281,33,36,1,"21,39","22,84","4,26",0,"19,53",
