season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,shot_stats,goal_stats,caution_stats,misc_stats
2026-27,msoc,American Southwest Conference (ASC),asc,Mary Hardin-Baylor,"Verbeck, Zach",Zach,Verbeck,,1203,"Verbeck, Zach","VERBECK,ZACH",Mary Hardin-Baylor,UMHB,641-6150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,American Southwest Conference (ASC),asc,Mary Hardin-Baylor,"Taggart, Hughston",Hughston,Taggart,,1203,"Taggart, Hughston","TAGGART,HUGHSTON",Mary Hardin-Baylor,UMHB,641-6481,2,2,1,0,1,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,180:00,0,.00,.00,,16,0,0,2,1,.900,0.50,9,1,180:00,2,2,.50,0.900,.500,4.50,,,,
2026-27,msoc,American Southwest Conference (ASC),asc,Mary Hardin-Baylor,"Niedecken, Benjamin",Benjamin,Niedecken,,1203,"Niedecken, Benjamin","NIEDECKEN,BENJAMIN",Mary Hardin-Baylor,UMHB,641-6463,0,0,55,0,55,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,American Southwest Conference (ASC),asc,Mary Hardin-Baylor,"Vazquez, Emerson",Emerson,Vazquez,,1203,"Vazquez, Emerson","VAZQUEZ,EMERSON",Mary Hardin-Baylor,UMHB,641-6817,0,0,99,0,99,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,American Southwest Conference (ASC),asc,Mary Hardin-Baylor,"Bowler, Grayson",Grayson,Bowler,,1203,"Bowler, Grayson","BOWLER,GRAYSON",Mary Hardin-Baylor,UMHB,641-6476,2,2,2,0,2,0,0,4,9,5,1,2,0,0,4.50,2.00,2.50,1.000,.500,2,0,0,0,1,2,1,.500,0,0,0,0,.00,.00,.00,.00,0,,101:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,American Southwest Conference (ASC),asc,Mary Hardin-Baylor,"Sotello, Cooper",Cooper,Sotello,,1203,"Sotello, Cooper","SOTELLO,COOPER",Mary Hardin-Baylor,UMHB,641-6815,0,0,3,0,3,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,American Southwest Conference (ASC),asc,Mary Hardin-Baylor,"Bates, Cooper",Cooper,Bates,,1203,"Bates, Cooper","BATES,COOPER",Mary Hardin-Baylor,UMHB,641-6792,2,0,4,0,4,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,1,0,0,0,.50,.00,.00,.00,0,,46:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,American Southwest Conference (ASC),asc,Mary Hardin-Baylor,"Whitley, Jackson",Jackson,Whitley,,1203,"Whitley, Jackson","WHITLEY,JACKSON",Mary Hardin-Baylor,UMHB,641-4618,2,0,5,0,5,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,88:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,American Southwest Conference (ASC),asc,Mary Hardin-Baylor,"Rapuzzi, Rhett",Rhett,Rapuzzi,,1203,"Rapuzzi, Rhett","RAPUZZI,RHETT",Mary Hardin-Baylor,UMHB,641-4613,2,2,6,0,6,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,2,0,0,0,1.00,.00,.00,.00,0,,140:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,American Southwest Conference (ASC),asc,Mary Hardin-Baylor,"Valdes, Martin",Martin,Valdes,,1203,"Valdes, Martin","VALDES,MARTIN",Mary Hardin-Baylor,UMHB,641-6487,2,2,7,0,7,0,0,3,4,4,0,2,0,0,2.00,1.50,2.00,1.000,.000,1,0,0,0,1,1,0,.000,2,0,0,0,1.00,.00,.00,.00,0,,101:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
