season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,stats_stats_field_goals_made,stats_stats_field_goals_attempted,stats_stats_three_points_made,stats_stats_three_points_attempted,stats_stats_free_throws_attempted,stats_stats_free_throws_made,stats_stats_points_scored,stats_stats_blocked_shots,stats_stats_steals,stats_stats_assists,stats_stats_minutes_played,stats_stats_offensive_rebounds,stats_stats_defensive_rebounds,stats_stats_total_rebounds,stats_stats_personal_fouls,stats_stats_technical_fouls,stats_stats_turnovers,stats_stats_disqualifications,stats_stats_deadballs,stats_stats_games_played,stats_stats_field_goals_pct,stats_stats_three_points_pct,stats_stats_free_throws_pct,stats_stats_points_per_game,stats_stats_rebounds_per_game,stats_stats_assists_per_game,stats_stats_steals_per_game,stats_stats_blocked_shots_per_game,code,composite_score,global_rank,rating
2025-26,wbball,American Southwest Conference (ASC),asc,Hardin-Simmons,"Berry,Jacqueline",Jacqueline,Berry,G,271,"Berry,Jacqueline","BERRY,JACQUELINE",Hardin-Simmons,HSU,637-3535,30,30,01,0,180,419,2,13,177,91,453,23,76,84,981,60,141,201,76,0,80,1,0,30,0.43,0.15,0.51,15.10,6.70,2.80,2.53,0.77,01,65.0,1,99
2025-26,wbball,American Southwest Conference (ASC),asc,Hardin-Simmons,"Gordon,Nilaya",Nilaya,Gordon,G,271,"Gordon,Nilaya","GORDON,NILAYA",Hardin-Simmons,HSU,637-3795,28,0,02,0,22,73,2,24,29,19,65,0,18,32,278,8,13,21,30,0,25,0,0,28,0.30,0.08,0.66,2.32,0.75,1.14,0.64,0.00,02,64.0,2,99
2025-26,wbball,American Southwest Conference (ASC),asc,Hardin-Simmons,"Cruse,Reese",Reese,Cruse,G,271,"Cruse,Reese","CRUSE,REESE",Hardin-Simmons,HSU,637-3532,1,0,03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,03,63.0,3,99
2025-26,wbball,American Southwest Conference (ASC),asc,Hardin-Simmons,"Crow,Abbie",Abbie,Crow,G,271,"Crow,Abbie","CROW,ABBIE",Hardin-Simmons,HSU,637-3572,30,30,04,0,71,213,47,147,28,18,207,4,14,20,578,22,52,74,45,0,23,0,0,30,0.33,0.32,0.64,6.90,2.47,0.67,0.47,0.13,04,62.0,4,98
2025-26,wbball,American Southwest Conference (ASC),asc,Hardin-Simmons,"Merrell,Gracey",Gracey,Merrell,G,271,"Merrell,Gracey","MERRELL,GRACEY",Hardin-Simmons,HSU,637-3800,8,0,10,0,4,9,2,4,5,4,14,0,1,2,36,5,1,6,10,0,6,0,0,8,0.44,0.50,0.80,1.75,0.75,0.25,0.13,0.00,10,61.0,5,98
2025-26,wbball,American Southwest Conference (ASC),asc,Hardin-Simmons,"Croft,Caroline",Caroline,Croft,G,271,"Croft,Caroline","CROFT,CAROLINE",Hardin-Simmons,HSU,637-3528,30,30,11,0,90,233,25,72,74,61,266,6,50,118,883,28,86,114,64,0,53,0,0,30,0.39,0.35,0.82,8.87,3.80,3.93,1.67,0.20,11,60.0,6,98
2025-26,wbball,American Southwest Conference (ASC),asc,Hardin-Simmons,"Bennett,Savannah",Savannah,Bennett,F,271,"Bennett,Savannah","BENNETT,SAVANNAH",Hardin-Simmons,HSU,637-3289,30,0,12,0,53,102,0,0,29,18,124,14,23,20,396,69,86,155,52,0,21,0,0,30,0.52,0.00,0.62,4.13,5.17,0.67,0.77,0.47,12,59.0,7,97
2025-26,wbball,American Southwest Conference (ASC),asc,Hardin-Simmons,"Bullen,Tayley",Tayley,Bullen,G,271,"Bullen,Tayley","BULLEN,TAYLEY",Hardin-Simmons,HSU,637-3796,30,0,14,0,44,131,27,84,20,14,129,6,18,31,529,39,55,94,41,0,30,0,0,30,0.34,0.32,0.70,4.30,3.13,1.03,0.60,0.20,14,58.0,8,97
2025-26,wbball,American Southwest Conference (ASC),asc,Hardin-Simmons,"Martinez,Melody",Melody,Martinez,G,271,"Martinez,Melody","MARTINEZ,MELODY",Hardin-Simmons,HSU,637-3799,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15,57.0,9,97
2025-26,wbball,American Southwest Conference (ASC),asc,Hardin-Simmons,"Sims,Grace",Grace,Sims,G,271,"Sims,Grace","SIMS,GRACE",Hardin-Simmons,HSU,637-3291,16,0,20,0,4,12,0,2,6,3,11,1,5,2,65,1,4,5,5,0,7,0,0,16,0.33,0.00,0.50,0.69,0.31,0.13,0.31,0.06,20,56.0,10,96
