conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,field_goals_made,field_goals_attempted,three_points_made,three_points_attempted,free_throws_attempted,free_throws_made,points_scored,blocked_shots,steals,assists,minutes_played,offensive_rebounds,defensive_rebounds,total_rebounds,personal_fouls,technical_fouls,turnovers,disqualifications,deadballs,field_goals_pct,three_points_pct,free_throws_pct,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocked_shots_per_game
asc,American Southwest Conference (ASC),2025-26,wbball,Hardin-Simmons,"Berry,Jacqueline",0,G,01,27,27,156,378,2,13,166,87,401,19,68,79,879,56,126,182,71,0,71,1,0,0.41,0.15,0.52,14.85,6.74,2.93,2.52,0.70
asc,American Southwest Conference (ASC),2025-26,wbball,Hardin-Simmons,"Gordon,Nilaya",0,G,02,27,0,22,73,2,24,27,18,64,0,18,32,271,8,13,21,28,0,23,0,0,0.30,0.08,0.67,2.37,0.78,1.19,0.67,0.00
asc,American Southwest Conference (ASC),2025-26,wbball,Hardin-Simmons,"Cruse,Reese",0,G,03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
asc,American Southwest Conference (ASC),2025-26,wbball,Hardin-Simmons,"Crow,Abbie",0,G,04,27,27,66,196,45,139,20,14,191,3,13,17,513,20,49,69,39,0,22,0,0,0.34,0.32,0.70,7.07,2.56,0.63,0.48,0.11
asc,American Southwest Conference (ASC),2025-26,wbball,Hardin-Simmons,"Merrell,Gracey",0,G,10,8,0,4,9,2,4,5,4,14,0,1,2,36,5,1,6,10,0,6,0,0,0.44,0.50,0.80,1.75,0.75,0.25,0.13,0.00
asc,American Southwest Conference (ASC),2025-26,wbball,Hardin-Simmons,"Croft,Caroline",0,G,11,27,27,79,209,23,66,68,55,236,6,47,103,776,25,78,103,57,0,46,0,0,0.38,0.35,0.81,8.74,3.81,3.81,1.74,0.22
asc,American Southwest Conference (ASC),2025-26,wbball,Hardin-Simmons,"Bennett,Savannah",0,F,12,27,0,47,87,0,0,29,18,112,14,20,19,350,61,74,135,48,0,20,0,0,0.54,0.00,0.62,4.15,5.00,0.70,0.74,0.52
asc,American Southwest Conference (ASC),2025-26,wbball,Hardin-Simmons,"Bullen,Tayley",0,G,14,27,0,40,124,24,79,20,14,118,5,18,30,470,39,50,89,36,0,25,0,0,0.32,0.30,0.70,4.37,3.30,1.11,0.67,0.19
asc,American Southwest Conference (ASC),2025-26,wbball,Hardin-Simmons,"Martinez,Melody",0,G,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
asc,American Southwest Conference (ASC),2025-26,wbball,Hardin-Simmons,"Sims,Grace",0,G,20,13,0,4,11,0,2,2,2,10,1,5,1,56,1,3,4,5,0,4,0,0,0.36,0.00,1.00,0.77,0.31,0.08,0.38,0.08
asc,American Southwest Conference (ASC),2025-26,wbball,Hardin-Simmons,"Jamison,Destiny",0,G,22,13,0,5,19,1,8,7,4,15,2,1,6,69,4,14,18,6,0,9,0,0,0.26,0.13,0.57,1.15,1.38,0.46,0.08,0.15
asc,American Southwest Conference (ASC),2025-26,wbball,Hardin-Simmons,"Gay,MaeSyn",0,F,23,27,27,84,202,1,7,49,30,199,23,42,27,533,54,82,136,63,0,24,1,0,0.42,0.14,0.61,7.37,5.04,1.00,1.56,0.85
