season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,goalie_stats,shot_stats,goal_stats,caution_stats,misc_stats,composite_score,global_rank,rating
2026-27,wsoc,American Southwest Conference (ASC),asc,Howard Payne,Abbie Wetzel,Abbie,Wetzel,,2741,Abbie Wetzel,"WETZEL,ABBIE",Howard Payne,HPU,639-3218,3,3,2,0,2,0,0,1,3,4,2,1,0,0,1.00,.33,1.33,.333,.667,0,0,0,0,1,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,129:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,16.167021603247868,1,99
2026-27,wsoc,American Southwest Conference (ASC),asc,Howard Payne,Madison LaDart,Madison,LaDart,,2741,Madison LaDart,"LADART,MADISON",Howard Payne,HPU,639-3491,3,0,8,0,8,0,0,1,5,4,2,1,0,0,1.67,.33,1.33,.333,.667,0,0,0,0,0,0,1,.333,1,0,0,0,.33,.00,.00,.00,0,,127:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,16.167021603247868,2,99
2026-27,wsoc,American Southwest Conference (ASC),asc,Howard Payne,Kenzie Cameron,Kenzie,Cameron,,2741,Kenzie Cameron,"CAMERON,KENZIE",Howard Payne,HPU,639-3684,3,0,3,0,3,0,0,5,7,4,0,2,0,0,2.33,1.67,1.33,.667,.000,3,0,0,0,1,1,1,.333,0,0,0,0,.00,.00,.00,.00,0,,131:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,14.353073931544738,3,99
2026-27,wsoc,American Southwest Conference (ASC),asc,Howard Payne,Sarah Krusing,Sarah,Krusing,,2741,Sarah Krusing,"KRUSING,SARAH",Howard Payne,HPU,639-3078,3,3,14,0,14,0,0,3,5,4,0,2,0,0,1.67,1.00,1.33,.667,.000,1,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,144:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,13.30076618942366,4,98
2026-27,wsoc,American Southwest Conference (ASC),asc,Mary Hardin-Baylor,"Ruthven, Gracie",Gracie,Ruthven,,1203,"Ruthven, Gracie","RUTHVEN,GRACIE",Mary Hardin-Baylor,UMHB,641-6499,3,3,5,0,5,0,0,5,9,3,1,1,0,0,3.00,1.67,1.00,.333,.333,4,1,0,0,0,0,0,.000,7,0,0,0,2.33,.00,.00,.00,0,,215:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,13.106643808658848,5,98
2026-27,wsoc,American Southwest Conference (ASC),asc,Howard Payne,Dakota McKee,Dakota,McKee,,2741,Dakota McKee,"MCKEE,DAKOTA",Howard Payne,HPU,639-3691,3,0,27,0,27,0,0,2,2,3,1,1,0,0,.67,.67,1.00,.333,.333,1,0,0,0,0,0,0,.000,1,0,0,0,.33,.00,.00,.00,0,,84:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,11.528182195477232,6,98
2026-27,wsoc,American Southwest Conference (ASC),asc,Howard Payne,Alec Alvarado,Alec,Alvarado,,2741,Alec Alvarado,"ALVARADO,ALEC",Howard Payne,HPU,639-3687,3,0,7,0,7,0,0,1,2,3,1,1,0,0,.67,.33,1.00,.333,.333,0,0,0,0,0,1,0,.000,0,0,0,0,.00,.00,.00,.00,0,,76:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,11.002028324416692,7,97
2026-27,wsoc,American Southwest Conference (ASC),asc,Howard Payne,Kenadie Avants,Kenadie,Avants,,2741,Kenadie Avants,"AVANTS,KENADIE",Howard Payne,HPU,639-3685,3,0,4,0,4,0,0,4,5,2,0,1,0,0,1.67,1.33,.67,.333,.000,3,0,0,0,1,0,1,.333,1,0,0,0,.33,.00,.00,.00,0,,135:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,7.415496658767138,8,97
2026-27,wsoc,American Southwest Conference (ASC),asc,East Texas Baptist,"Warren, Hannah",Hannah,Warren,,1062,"Warren, Hannah","WARREN,HANNAH",East Texas Baptist,ETB,636-5517,1,1,5,0,5,0,0,3,4,2,0,1,0,0,4.00,3.00,2.00,1.000,.000,2,0,0,0,0,1,0,.000,1,0,0,0,1.00,.00,.00,.00,0,,64:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,6.8893427877066,9,97
2026-27,wsoc,American Southwest Conference (ASC),asc,East Texas Baptist,"Dale, Grace",Grace,Dale,,1062,"Dale, Grace","DALE,GRACE",East Texas Baptist,ETB,636-5197,2,0,2,0,2,0,0,2,2,2,0,1,0,0,1.00,1.00,1.00,.500,.000,1,0,0,0,1,1,1,.500,0,0,0,0,.00,.00,.00,.00,0,,52:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,6.3631889166460605,10,96
