conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points
asc,American Southwest Conference (ASC),2025-26,wvball,East Texas Baptist,"Humphrey, Callie",0,,7,115,0,.042,48,1,3,115,5,428,0,40,21,489,0,0,481,26,490,0,0,0,0,43,0,0.03,1.00,4.26,0.00,0.35,0.37
asc,American Southwest Conference (ASC),2025-26,wvball,East Texas Baptist,"Mansell, McKenzie",0,,3,46,14,.190,21,0,4,49,5,135,0,12,6,113,0,0,0,0,47,0,0,0,0,16,0,0.09,1.07,1.02,0.00,0.26,0.35
asc,American Southwest Conference (ASC),2025-26,wvball,East Texas Baptist,"Poore, Taylor",0,,12,102,95,-.100,20,3,1,21,1,78,0,5,5,112,0,0,346,22,153,1,0,1,0,6.5,1,0.01,0.21,1.50,0.01,0.05,0.06
asc,American Southwest Conference (ASC),2025-26,wvball,East Texas Baptist,"Moody, Lexi",0,,15,115,106,.387,119,3,49,594,13,1476,0,26,19,322,0,0,7,1,175,9,0,9,0,79.5,2,0.43,5.17,1.52,0.08,0.23,0.69
asc,American Southwest Conference (ASC),2025-26,wvball,East Texas Baptist,"Mosley, Graycee",0,,13,116,106,.311,1236,147,532,40,6,205,0,39,21,450,0,0,557,25,425,42,2,37,5,594.5,1,4.59,0.34,3.66,0.36,0.34,5.13
asc,American Southwest Conference (ASC),2025-26,wvball,East Texas Baptist,"Temple, Sydney",0,,16,113,0,.113,80,6,15,577,4,1353,0,39,53,456,0,0,7,0,184,1,0,1,0,54.5,2,0.13,5.11,1.63,0.01,0.35,0.48
asc,American Southwest Conference (ASC),2025-26,wvball,East Texas Baptist,"Hancock, Anita",0,,18,116,106,.316,506,65,225,8,3,67,0,0,0,1,0,0,12,1,34,131,10,96,35,308,4,1.94,0.07,0.29,1.13,0.00,2.66
asc,American Southwest Conference (ASC),2025-26,wvball,East Texas Baptist,"Kasowski, Sadie",0,,5,65,4,-.250,4,1,0,11,2,37,0,7,7,107,0,0,80,5,55,0,0,0,0,7,0,0.00,0.17,0.85,0.00,0.11,0.11
asc,American Southwest Conference (ASC),2025-26,wvball,East Texas Baptist,"McDaniel, Halie",0,,9,13,0,.211,19,3,7,2,0,6,0,0,0,0,0,0,0,0,4,5,1,5,0,9.5,0,0.54,0.15,0.31,0.38,0.00,0.73
asc,American Southwest Conference (ASC),2025-26,wvball,East Texas Baptist,"Hammer, Reegan",0,,19,9,0,.000,0,0,0,0,0,0,0,0,1,9,0,0,8,0,3,0,0,0,0,0,0,0.00,0.00,0.33,0.00,0.00,0.00
asc,American Southwest Conference (ASC),2025-26,wvball,East Texas Baptist,"Sitton, Emily",0,,24,16,9,.200,35,8,15,0,1,5,0,0,0,0,0,0,3,0,5,3,0,3,0,16.5,0,0.94,0.00,0.31,0.19,0.00,1.03
asc,American Southwest Conference (ASC),2025-26,wvball,East Texas Baptist,"Gooch, Lindsey",0,,25,110,0,.292,414,52,173,6,2,55,0,0,0,4,0,0,2,2,34,51,4,46,5,201,1,1.57,0.05,0.31,0.46,0.00,1.83
asc,American Southwest Conference (ASC),2025-26,wvball,East Texas Baptist,"Hornsby, Lara",0,,6,116,7,.254,804,141,345,12,8,103,0,23,24,358,0,0,304,23,125,27,2,22,5,384,1,2.97,0.10,1.08,0.23,0.20,3.31
asc,American Southwest Conference (ASC),2025-26,wvball,East Texas Baptist,"McGuire, Jenna",0,,11,12,0,.462,13,0,6,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2,1,8,0,0.50,0.00,0.17,0.25,0.00,0.67
asc,American Southwest Conference (ASC),2025-26,wvball,East Texas Baptist,"Riley, McKinzie",0,,14,97,83,.260,365,52,147,6,5,58,0,0,0,1,0,0,2,0,43,41,2,36,5,170,0,1.52,0.06,0.44,0.42,0.00,1.75
asc,American Southwest Conference (ASC),2025-26,wvball,East Texas Baptist,"Trimble, Kacie",0,,10,9,0,.333,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,2,0,0.11,0.00,0.00,0.22,0.00,0.22
asc,American Southwest Conference (ASC),2025-26,wvball,East Texas Baptist,"Wilson, Heidi",0,,4,14,0,-1.000,1,1,0,1,0,4,0,4,2,34,0,0,2,0,5,0,0,0,0,4,0,0.00,0.07,0.36,0.00,0.29,0.29
asc,American Southwest Conference (ASC),2025-26,wvball,East Texas Baptist,"Server, Katherine",0,,22,108,101,.259,266,32,101,12,2,72,0,21,26,324,0,0,5,1,60,68,6,53,15,163.5,3,0.94,0.11,0.56,0.63,0.19,1.51
asc,American Southwest Conference (ASC),2025-26,wvball,East Texas Baptist,Katie Server,0,,22,6,5,.500,18,1,10,0,0,0,0,0,0,8,0,0,0,0,1,7,0,4,3,15,0,1.67,0.00,0.17,1.17,0.00,2.50
asc,American Southwest Conference (ASC),2025-26,wvball,Hardin-Simmons,"Allen, Abbi",0,,21,100,35,.250,569,70,212,2,1,38,0,0,1,2,0,0,5,0,52,109,13,101,8,270.5,3,2.12,0.02,0.52,1.09,0.00,2.71
asc,American Southwest Conference (ASC),2025-26,wvball,Hardin-Simmons,"Jones, Gabby",0,,13,53,12,.387,168,20,85,4,1,37,0,20,20,162,0,0,2,0,27,41,3,40,1,126,1,1.60,0.08,0.51,0.77,0.38,2.38
asc,American Southwest Conference (ASC),2025-26,wvball,Hardin-Simmons,"Keidl, Liz",0,,11,74,22,.213,541,76,191,6,1,44,0,6,6,72,0,0,193,12,81,22,4,17,5,210.5,0,2.58,0.08,1.09,0.30,0.08,2.84
asc,American Southwest Conference (ASC),2025-26,wvball,Hardin-Simmons,"Villanueva, Ari",0,,10,88,0,-.036,28,2,1,56,3,201,0,28,22,338,0,0,291,18,269,0,0,0,0,29,0,0.01,0.64,3.06,0.00,0.32,0.33
asc,American Southwest Conference (ASC),2025-26,wvball,Hardin-Simmons,"Jespersen, Leigh",0,,3,93,35,.151,817,141,264,19,1,122,0,49,53,348,0,0,707,28,295,25,5,22,3,327,0,2.84,0.20,3.17,0.27,0.53,3.52
asc,American Southwest Conference (ASC),2025-26,wvball,Hardin-Simmons,"Hernandez, Jadyn",0,,1,77,30,.243,366,57,146,8,3,36,0,2,6,34,0,0,8,2,26,98,20,79,19,206.5,2,1.90,0.10,0.34,1.27,0.03,2.68
asc,American Southwest Conference (ASC),2025-26,wvball,Hardin-Simmons,"Pursley, Brylee",0,,4,30,5,-.200,5,1,0,3,0,20,0,2,3,25,0,0,110,8,48,0,0,0,0,2,0,0.00,0.10,1.60,0.00,0.07,0.07
asc,American Southwest Conference (ASC),2025-26,wvball,Hardin-Simmons,"Rodgers, Keatyn",0,,6,96,35,.361,72,2,28,517,11,1412,0,26,14,354,0,0,3,1,109,0,0,0,0,54,2,0.29,5.39,1.14,0.00,0.27,0.56
asc,American Southwest Conference (ASC),2025-26,wvball,Hardin-Simmons,"Nordt, Rachel",0,,16,97,0,.217,429,38,131,8,2,56,0,0,0,4,0,0,2,0,39,32,5,31,1,147.5,0,1.35,0.08,0.40,0.33,0.00,1.52
asc,American Southwest Conference (ASC),2025-26,wvball,Hardin-Simmons,"Martinez, Kat",0,,20,83,0,-.067,15,1,0,46,2,207,0,27,14,318,0,0,373,20,352,0,0,0,0,27,0,0.00,0.55,4.24,0.00,0.33,0.33
asc,American Southwest Conference (ASC),2025-26,wvball,Hardin-Simmons,"Tumlinson, Avery",0,,23,75,28,.308,237,38,111,3,1,25,0,8,29,114,0,0,2,0,24,74,9,59,15,163.5,0,1.48,0.04,0.32,0.99,0.11,2.18
asc,American Southwest Conference (ASC),2025-26,wvball,Hardin-Simmons,"Carter, Ellie",0,,7,25,6,.182,99,17,35,2,0,9,0,0,0,0,0,0,31,4,12,6,0,6,0,38,0,1.40,0.08,0.48,0.24,0.00,1.52
asc,American Southwest Conference (ASC),2025-26,wvball,Hardin-Simmons,"Cunningham, Addy",0,,17,10,1,-.250,4,1,0,6,0,15,0,1,0,22,0,0,17,3,15,0,0,0,0,1,0,0.00,0.60,1.50,0.00,0.10,0.10
asc,American Southwest Conference (ASC),2025-26,wvball,Hardin-Simmons,"Nordt, Halle",0,,15,7,0,1.000,1,0,1,1,0,7,0,0,0,20,0,0,15,5,15,0,0,0,0,1,0,0.14,0.14,2.14,0.00,0.00,0.14
asc,American Southwest Conference (ASC),2025-26,wvball,Hardin-Simmons,"O'Shaughnessy, Allison",0,,14,97,0,.064,47,5,8,418,5,1157,0,32,9,363,0,0,3,0,150,0,0,0,0,40,1,0.08,4.31,1.55,0.00,0.33,0.41
asc,American Southwest Conference (ASC),2025-26,wvball,Hardin-Simmons,"Gholson, Grace",0,,18,6,0,.667,3,0,2,19,1,55,0,6,1,19,0,0,0,0,12,0,0,0,0,8,0,0.33,3.17,2.00,0.00,1.00,1.33
asc,American Southwest Conference (ASC),2025-26,wvball,Hardin-Simmons,"O'Shaughnessy, Molly",0,,2,14,1,.257,74,7,26,5,0,11,0,6,1,44,0,0,35,1,16,6,0,6,0,35,0,1.86,0.36,1.14,0.43,0.43,2.50
asc,American Southwest Conference (ASC),2025-26,wvball,Hardin-Simmons,"Kelley, Liv",0,,8,1,0,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0.00,0.00,1.00,0.00,0.00,0.00
asc,American Southwest Conference (ASC),2025-26,wvball,Mary Hardin-Baylor,"Hurd, Dravyn",0,,6,94,50,.335,511,48,219,11,1,57,0,3,0,6,0,0,10,0,42,59,7,34,25,264,0,2.33,0.12,0.45,0.63,0.03,2.81
asc,American Southwest Conference (ASC),2025-26,wvball,Mary Hardin-Baylor,"Pesek, Cameron",0,,8,102,3,.233,416,61,158,2,0,55,0,0,0,2,0,0,3,1,40,45,6,33,12,186.5,0,1.55,0.02,0.39,0.44,0.00,1.83
asc,American Southwest Conference (ASC),2025-26,wvball,Mary Hardin-Baylor,"Clark, Faith",0,,11,78,24,.075,40,2,5,25,0,87,0,13,22,216,0,0,240,16,146,0,0,0,0,18,0,0.06,0.32,1.87,0.00,0.17,0.23
asc,American Southwest Conference (ASC),2025-26,wvball,Mary Hardin-Baylor,"Harrington, Kendall",0,,1,114,56,.202,420,23,108,1051,17,2950,0,54,22,480,0,0,16,0,316,67,11,59,8,199.5,3,0.95,9.22,2.77,0.59,0.47,1.75
asc,American Southwest Conference (ASC),2025-26,wvball,Mary Hardin-Baylor,"Sedlacek, Peyton",0,,5,95,17,.177,192,28,62,39,4,236,0,23,43,329,0,0,323,21,338,0,0,0,0,85,1,0.65,0.41,3.56,0.00,0.24,0.89
asc,American Southwest Conference (ASC),2025-26,wvball,Mary Hardin-Baylor,"Caron, Abby",0,,23,21,0,.021,47,11,12,0,0,2,0,0,0,1,0,0,0,0,2,2,0,2,0,13,0,0.57,0.00,0.10,0.10,0.00,0.62
asc,American Southwest Conference (ASC),2025-26,wvball,Mary Hardin-Baylor,"Hughes, Natalie",0,,24,110,56,.327,529,62,235,15,6,122,0,22,53,416,0,0,11,0,104,97,8,73,24,317.5,1,2.14,0.14,0.95,0.88,0.20,2.89
asc,American Southwest Conference (ASC),2025-26,wvball,Mary Hardin-Baylor,"Schaffner, Raylee",0,,3,63,10,.165,376,54,116,8,4,37,0,0,0,7,0,0,48,3,43,7,1,6,1,120,0,1.84,0.13,0.68,0.11,0.00,1.90
asc,American Southwest Conference (ASC),2025-26,wvball,Mary Hardin-Baylor,"Olang, Sifa",0,,9,21,1,.275,51,6,20,0,5,24,0,0,0,0,0,0,0,0,8,13,0,11,2,27.5,1,0.95,0.00,0.38,0.62,0.00,1.31
asc,American Southwest Conference (ASC),2025-26,wvball,Mary Hardin-Baylor,"Yates, Addison",0,,10,7,1,-.133,15,4,2,0,1,1,0,0,0,0,0,0,2,0,0,1,0,1,0,2.5,0,0.29,0.00,0.00,0.14,0.00,0.36
asc,American Southwest Conference (ASC),2025-26,wvball,Mary Hardin-Baylor,"Mobley, Baylee",0,,13,114,43,.142,816,137,253,46,5,196,0,49,65,490,0,0,666,34,344,31,2,22,9,322,2,2.22,0.40,3.02,0.27,0.43,2.82
asc,American Southwest Conference (ASC),2025-26,wvball,Mary Hardin-Baylor,"Wendt, Aspen",0,,4,5,0,.333,3,0,1,0,0,0,0,3,0,7,0,0,1,0,3,0,0,0,0,4,0,0.20,0.00,0.60,0.00,0.60,0.80
asc,American Southwest Conference (ASC),2025-26,wvball,Mary Hardin-Baylor,"Adkins, Shelbee",0,,7,7,0,.000,2,0,0,24,0,46,0,1,1,7,0,0,1,0,5,0,0,0,0,1,0,0.00,3.43,0.71,0.00,0.14,0.14
