season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,team_name,team_id,sdrm_id,this_is_softball,pitching_stats,pitching_summary_stats,global_rank,rating,composite_score,ranking_segment,pitching_stats_k_per_9,pitching_stats_whip
2026-27,baseball,Conference of New England (CCC),ccc,Wentworth Institute of Technology,Matt Robinson,Matt,Robinson,,762,Matt Robinson,0,0WIT,15,15,,,61,16,25,9,3,1,1,7,0,1,4,3,4,0,0,2,0,0,0,0,0,0,0,0.465,33,71,4,1.000,.410,.541,18,7,3,0,0,0,0,1,0,28,.893,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,17,18,"4,10",0.40,4,10,"13,27",0.48,13,27,"7,16",0.44,7,16,"1,7",0.14,1,7,0,0,0,0,"10,19","4,7","21,31",0,0,0,0,0,0,0,0,6,8,0,,,,,,,,,Wentworth Institute of Technology,WIT,0,False,,,1,99,62.0,batting,,
2026-27,baseball,Conference of New England (CCC),ccc,Western New England University,Leo Paragarino,Leo,Paragarino,,775,Leo Paragarino,0,0WESTERN,15,15,,,62,17,27,8,5,0,0,6,0,2,3,0,4,1,0,0,0,0,0,2,0,2,0,0.500,32,70,5,.800,.435,.516,18,2,1,0,0,0,0,0,0,21,.952,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,13,14,"5,20",0.25,5,20,"12,32",0.38,12,32,"7,18",0.39,7,18,"3,9",0.33,3,9,0,0,0,0,"7,11","2,3","17,36",2,0,0,0,0,0,0,0,0,14,0,,,,,,,,,Western New England University,WESTERN,1022-4390,False,,,2,99,61.0,batting,,
2026-27,baseball,Conference of New England (CCC),ccc,Curry College,Danny Leyva,Danny,Leyva,,170,Danny Leyva,0,0CC,9,8,,,32,5,13,3,2,1,0,5,0,0,4,2,1,3,1,0,0,0,0,0,1,0,0,0.486,17,38,4,.250,.406,.531,6,21,3,0,0,1,0,3,0,30,.900,1,1.000,6,1,0,0,0,0,0,0,0,0,2.1,3,3,0,1,1,0,0,11.57,12,13,0,0,0,1,0,0,0,0,.500,2,0,7,7,"3,9",0.33,3,9,"2,13",0.15,2,13,"2,10",0.20,2,10,"3,8",0.38,3,8,0,0,0,0,"7,11","2,3","7,16",1,0,0,0,0,0,0,0,4,10,0,3,3,0,"1,2","4,9","1,3",0,"1,4",Curry College,CC,0,False,,,3,99,60.0,batting,,
2026-27,baseball,Conference of New England (CCC),ccc,Roger Williams University,Will Florio,Will,Florio,,583,Will Florio,0,0RWU,12,12,,,47,13,20,21,6,0,4,3,0,1,12,4,1,2,0,2,0,0,0,1,0,1,0,0.453,38,53,3,.333,.426,.809,56,2,0,0,0,0,0,2,0,58,1.000,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,7,9,"8,15",0.53,8,15,"15,31",0.48,15,31,"11,20",0.55,11,20,"5,11",0.45,5,11,0,0,0,0,"4,10","5,6","21,35",0,0,0,0,0,0,0,0,3,6,0,,,,,,,,,Roger Williams University,RWU,697-9588,False,,,4,98,59.0,batting,,
2026-27,baseball,Conference of New England (CCC),ccc,Western New England University,Tyler Kornacki,Tyler,Kornacki,,775,Tyler Kornacki,0,0WESTERN,13,12,,,41,11,18,11,5,0,0,5,0,3,5,3,1,0,1,2,0,0,0,0,0,0,0,0.510,23,52,1,1.000,.439,.561,11,33,4,0,0,0,0,1,0,48,.917,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,7,12,"8,18",0.44,8,18,"10,26",0.38,10,26,"7,20",0.35,7,20,"3,6",0.50,3,6,0,0,0,0,"4,8","4,5","20,32",71,0,0,0,22,0,0,0,8,16,0,,,,,,,,,Western New England University,WESTERN,1022-4078,False,,,5,98,58.0,batting,,
2026-27,baseball,Conference of New England (CCC),ccc,Gordon College,Tyler Wilson,Tyler,Wilson,,1099,Tyler Wilson,0,0GORDON,14,14,,,54,14,19,9,5,1,0,4,0,1,12,3,5,0,0,0,0,0,0,0,0,0,0,0.407,26,59,5,1.000,.352,.481,33,0,0,0,0,0,0,0,0,33,1.000,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,10,8,"3,9",0.33,3,9,"11,32",0.34,11,32,"6,17",0.35,6,17,"2,6",0.33,2,6,0,0,0,0,"10,17","3,6","22,32",3,0,0,0,0,0,0,0,8,5,0,,,,,,,,,Gordon College,GORDON,693-3131,False,,,6,98,57.0,batting,,
2026-27,baseball,Conference of New England (CCC),ccc,Wentworth Institute of Technology,Lukas Poirier,Lukas,Poirier,,762,Lukas Poirier,0,0WIT,13,13,,,52,13,20,8,0,3,0,4,0,1,7,3,3,1,0,0,0,0,0,0,0,1,0,0.439,26,57,4,.750,.385,.500,13,26,3,0,0,0,0,9,0,42,.929,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,12,10,"8,18",0.44,8,18,"12,30",0.40,12,30,"6,19",0.32,6,19,"3,9",0.33,3,9,0,0,0,0,"5,13","1,4","16,32",22,0,0,0,0,0,0,0,0,12,0,,,,,,,,,Wentworth Institute of Technology,WIT,0,False,,,7,97,56.0,batting,,
2026-27,baseball,Conference of New England (CCC),ccc,Wentworth Institute of Technology,Mike Sibert,Mike,Sibert,,762,Mike Sibert,0,0WIT,12,10,,,34,13,12,8,2,1,0,9,0,0,1,0,11,1,0,0,0,0,0,0,0,0,0,0.488,16,43,12,.917,.353,.471,22,6,1,0,0,0,0,1,0,29,.966,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,10,10,"4,12",0.33,4,12,"7,22",0.32,7,22,"5,18",0.28,5,18,"2,7",0.29,2,7,0,0,0,0,"7,11","1,4","10,24",22,0,0,0,0,0,0,0,0,13,0,,,,,,,,,Wentworth Institute of Technology,WIT,0,False,,,8,97,55.0,batting,,
2026-27,baseball,Conference of New England (CCC),ccc,University of Hartford,Jackson Ciccone,Jackson,Ciccone,,272,Jackson Ciccone,0,0HARTFORD,10,10,,,34,4,13,8,2,0,0,3,0,3,3,1,3,0,1,3,0,0,0,0,0,1,0,0.442,15,44,3,1.000,.382,.441,13,0,0,0,0,0,0,0,0,13,1.000,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,9,10,"6,10",0.60,6,10,"8,20",0.40,8,20,"4,11",0.36,4,11,"1,2",0.50,1,2,0,0,0,0,"2,5","4,7","16,27","0,1",0,0,1,0,0,0,0,7,5,0,,,,,,,,,University of Hartford,HARTFORD,6-2579,False,,,9,97,54.0,batting,,
2026-27,baseball,Conference of New England (CCC),ccc,Western New England University,Alex Grenier,Alex,Grenier,,775,Alex Grenier,0,0WESTERN,14,10,,,37,12,14,7,2,0,0,5,0,2,6,3,0,0,0,1,0,0,0,0,0,0,0,0.467,16,45,0,.000,.378,.432,0,0,0,0,0,0,0,0,0,0,0.000,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,6,10,"4,10",0.40,4,10,"9,23",0.39,9,23,"7,15",0.47,7,15,"1,6",0.17,1,6,0,0,0,0,"3,7","4,6","13,25",56,0,0,0,37,0,0,0,3,6,0,,,,,,,,,Western New England University,WESTERN,1022-282,False,,,10,96,53.0,batting,,
2026-27,baseball,Conference of New England (CCC),ccc,Nichols College,Ryan Keating,Ryan,Keating,,484,Ryan Keating,0,0NC,12,12,,,48,14,18,6,7,1,0,9,0,0,10,1,12,1,0,1,0,0,0,1,0,1,0,0.466,27,58,13,.923,.375,.563,23,0,1,0,0,0,0,0,0,24,.958,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,10,10,"3,11",0.27,3,11,"6,16",0.38,6,16,"4,12",0.33,4,12,"2,5",0.40,2,5,0,0,0,0,"10,23","3,5","10,19",0,0,0,0,0,0,0,0,1,9,0,,,,,,,,,Nichols College,NC,695-4778,False,,,11,96,52.0,batting,,
2026-27,baseball,Conference of New England (CCC),ccc,University of Hartford,Nico Digioia,Nico,Digioia,,272,Nico Digioia,0,0HARTFORD,11,11,,,33,9,12,5,2,0,0,10,0,1,9,5,3,0,0,1,0,0,0,0,0,1,0,0.511,14,45,3,1.000,.364,.424,7,0,0,0,0,0,0,0,0,7,1.000,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,7,6,"3,9",0.33,3,9,"7,15",0.47,7,15,"3,8",0.38,3,8,0,0,0,0,0,0,0,0,"4,12","3,5","12,18",0,0,0,0,0,0,0,0,2,7,0,,,,,,,,,University of Hartford,HARTFORD,6-3146,False,,,12,96,51.0,batting,,
2026-27,baseball,Conference of New England (CCC),ccc,Roger Williams University,Casey DeLorenzo,Casey,DeLorenzo,,583,Casey DeLorenzo,0,0RWU,11,10,,,32,8,12,4,1,0,0,1,0,1,2,0,1,0,2,0,0,0,0,2,0,2,0,0.412,13,36,1,1.000,.375,.406,13,16,4,0,0,1,0,2,0,33,.879,1,1.000,12,1,1,1,0,0,0,0,0,0,8.1,8,6,4,14,2,0,1,6.48,39,46,1,2,0,0,1,0,0,4,.308,3,2,9,7,"1,7",0.14,1,7,"5,17",0.29,5,17,"3,9",0.33,3,9,"5,10",0.50,5,10,0,0,0,0,"5,6","3,7","12,21",5,0,0,0,0,0,0,0,3,9,0,7,4,0,"6,9","6,26","1,9",0,"0,10",Roger Williams University,RWU,697-9897,False,,,13,95,50.0,batting,,
2026-27,baseball,Conference of New England (CCC),ccc,Wentworth Institute of Technology,Josh Turcotte,Josh,Turcotte,,762,Josh Turcotte,0,0WIT,17,17,,,69,12,27,23,9,0,3,2,0,0,6,0,3,0,0,2,0,0,0,0,2,1,0,0.397,45,73,3,1.000,.391,.652,45,39,4,0,0,6,1,15,0,88,.955,7,.857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,22,15,"13,27",0.48,13,27,"20,41",0.49,20,41,"15,30",0.50,15,30,"6,11",0.55,6,11,0,0,0,0,"3,16","4,6","29,45","1,2",0.50,1,2,0,0,0,0,7,17,0,,,,,,,,,Wentworth Institute of Technology,WIT,0,False,,,14,94,49.0,batting,,
2026-27,baseball,Conference of New England (CCC),ccc,University of Hartford,Jj Romatzick,Jj,Romatzick,,272,Jj Romatzick,0,0HARTFORD,12,11,,,36,11,11,9,3,1,1,9,0,4,4,1,4,2,1,1,0,0,0,0,0,0,0,0.480,19,51,6,.667,.306,.528,19,25,2,0,0,0,0,3,0,46,.957,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,10,12,"5,14",0.36,5,14,"5,17",0.29,5,17,"4,11",0.36,4,11,"0,1",0,0,1,0,0,0,0,"9,17","2,3","11,22","0,1",0,0,1,0,0,0,0,4,13,0,,,,,,,,,University of Hartford,HARTFORD,6-2576,False,,,15,93,48.0,batting,,
2026-27,baseball,Conference of New England (CCC),ccc,Roger Williams University,Luke Miele,Luke,Miele,,583,Luke Miele,0,0RWU,11,11,,,42,12,13,9,2,0,1,8,0,0,7,4,4,0,1,0,0,0,0,0,1,0,0,0.420,18,51,4,1.000,.310,.429,8,16,7,0,0,0,0,1,0,31,.774,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,10,12,"3,14",0.21,3,14,"6,23",0.26,6,23,"5,16",0.31,5,16,"6,13",0.46,6,13,0,0,0,0,"6,11","2,3","9,24",1,0,0,0,0,0,0,0,1,10,0,,,,,,,,,Roger Williams University,RWU,697-9590,False,,,16,92,47.0,batting,,
2026-27,baseball,Conference of New England (CCC),ccc,Gordon College,Carter Shin,Carter,Shin,,1099,Carter Shin,0,0GORDON,14,14,,,54,12,17,9,5,0,0,7,0,2,3,0,4,1,0,1,0,0,0,0,1,2,0,0.406,22,64,5,.800,.315,.407,21,27,5,0,0,0,0,5,0,53,.906,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,15,19,"5,20",0.25,5,20,"12,35",0.34,12,35,"6,20",0.30,6,20,"0,6",0,0,6,0,0,0,0,"5,11","3,3","19,37","0,1",0,0,1,0,0,0,0,2,14,0,,,,,,,,,Gordon College,GORDON,693-3272,False,,,17,91,46.0,batting,,
