conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct
ccc,The Commonwealth Coast Conference (CCC),2025-26,mlax,Curry College,TJ Sedam,,,,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,26,0,6,5,843:00,107,1,1.000,1,3,0,1,1,0,.333,,,,,,,,,,,,,,
ccc,The Commonwealth Coast Conference (CCC),2025-26,mlax,Curry College,Donovan Mawhinney,,,,11,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9,1,00:00,0,0,1.000,9,11,0,7,4,3,.818,,,,,,,,,,,,,,
ccc,The Commonwealth Coast Conference (CCC),2025-26,mlax,Curry College,Bryce Hagerty,,,,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,13,0,7,9,00:00,0,0,1.000,1,1,0,0,0,0,1.000,,,,,,,,,,,,,,
ccc,The Commonwealth Coast Conference (CCC),2025-26,mlax,Curry College,Jack Canto,,,,17,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,57,0,21,28,961:00,131,0,1.000,2,3,0,4,2,2,.667,,,,,,,,,,,,,,
ccc,The Commonwealth Coast Conference (CCC),2025-26,mlax,Curry College,CJ Veader,,,,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,0,265:00,88,0,1.000,1,1,0,0,0,0,1.000,7,317:13,68,63,0,0,3,0,0,0,0,204,12.86,.481
ccc,The Commonwealth Coast Conference (CCC),2025-26,mlax,Curry College,Sebastian Reid,,,,14,1,0,0,0,0,0,0,30,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,13,0,00:00,0,0,1.000,20,35,0,11,3,8,.571,,,,,,,,,,,,,,
ccc,The Commonwealth Coast Conference (CCC),2025-26,mlax,Curry College,Tommy Fraser,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,00:00,0,0,1.000,0,0,0,0,0,0,.000,,,,,,,,,,,,,,
ccc,The Commonwealth Coast Conference (CCC),2025-26,mlax,Curry College,Edgar Klosi,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,00:00,0,1,1.000,0,1,0,0,0,0,.000,,,,,,,,,,,,,,
ccc,The Commonwealth Coast Conference (CCC),2025-26,mlax,Curry College,Logan Gibbons,,,,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,1,125:00,51,0,1.000,1,1,0,1,1,0,1.000,6,157:36,46,33,0,0,3,0,0,0,0,121,17.51,.418
ccc,The Commonwealth Coast Conference (CCC),2025-26,mlax,Curry College,Cam Bagley,,,,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,8,1,180:00,0,0,1.000,4,8,0,3,3,0,.500,,,,,,,,,,,,,,
ccc,The Commonwealth Coast Conference (CCC),2025-26,mlax,Curry College,Ethan Donovan,,,,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,20,0,14,14,961:00,131,0,1.000,0,0,0,0,0,0,.000,,,,,,,,,,,,,,
ccc,The Commonwealth Coast Conference (CCC),2025-26,mlax,Curry College,Roosevelt McMillan,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00,0,0,1.000,0,0,0,0,0,0,.000,,,,,,,,,,,,,,
ccc,The Commonwealth Coast Conference (CCC),2025-26,mlax,Curry College,Brody Dalzell,,,,16,16,0,0,0,0,0,3,45,0,4,0,0,0,0,0,0,0,0,2,2,0,0,0,0,32,0,22,12,901:00,131,0,1.000,67,118,0,34,12,22,.568,,,,,,,,,,,,,,
ccc,The Commonwealth Coast Conference (CCC),2025-26,mlax,Curry College,Connor Harney,,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,0,3,0,00:00,0,0,1.000,0,2,0,0,0,0,.000,,,,,,,,,,,,,,
ccc,The Commonwealth Coast Conference (CCC),2025-26,mlax,Curry College,Julian Henehan,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,00:00,0,0,1.000,1,1,0,0,0,0,1.000,,,,,,,,,,,,,,
ccc,The Commonwealth Coast Conference (CCC),2025-26,mlax,Curry College,Ryan McGillivray,,,,17,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,135,215,55,0,9,1,961:00,131,350,1.000,4,9,0,2,0,2,.444,,,,,,,,,,,,,,
ccc,The Commonwealth Coast Conference (CCC),2025-26,mlax,Curry College,Nicholas Cole,,,,17,6,0,0,0,0,0,0,41,0,2,0,0,0,0,0,0,0,0,3,2,0,0,0,0,17,0,58,4,301:00,79,0,1.000,62,117,0,41,19,22,.530,,,,,,,,,,,,,,
