conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,z_shot_stats_goals,z_shot_stats_assists,z_shot_stats_points,z_shot_stats_shots_on_goal,z_caution_stats_yellow_cards,z_caution_stats_red_cards,composite_score,rank,rating
ccc,The Commonwealth Coast Conference (CCC),2025-26,wsoc,University of Hartford,"Opdenbrouw, Rebecca",0,,19,19,19,0.0,0.0,35.0,75.0,37.0,9.0,14.0,3.0,3.0,3.95,1.84,1.95,0.737,0.474,21.0,0.0,0.0,0.0,3.0,6.0,6.0,0.316,12.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,,1416:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,6.130249466129589,5.10844162299086,6.295672192744594,4.324607117450856,-0.2925283627250281,-0.09933992677987828,15.061665785755284,1,99
ccc,The Commonwealth Coast Conference (CCC),2025-26,wsoc,University of Hartford,"Nerney, Anastasia",0,,11,19,18,0.0,0.0,24.0,42.0,31.0,9.0,11.0,0.0,0.0,2.21,1.26,1.63,0.579,0.474,13.0,0.0,0.0,0.0,1.0,4.0,1.0,0.053,9.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,,1357:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,4.716285088893088,5.10844162299086,5.19186216237761,2.7745966912534943,-0.2925283627250281,-0.09933992677987828,12.56503230202242,2,96
ccc,The Commonwealth Coast Conference (CCC),2025-26,wsoc,Gordon College,"Lapp, Eowyn",0,,19,18,15,0.0,0.0,41.0,91.0,31.0,3.0,14.0,0.0,0.0,5.06,2.28,1.72,0.778,0.167,27.0,2.0,2.0,0.0,2.0,5.0,2.0,0.111,16.0,0.0,2.0,0.0,0.89,0.11,0.0,0.0,0.0,,1324:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,6.130249466129589,1.3744140557094455,5.19186216237761,5.170067349922144,5.150272083128524,-0.09933992677987828,11.027851447017628,3,94
ccc,The Commonwealth Coast Conference (CCC),2025-26,wsoc,University of New England,"Belisle, Karley",0,,10,21,21,0.0,0.0,31.0,61.0,22.0,8.0,7.0,0.0,0.0,2.9,1.48,1.05,0.333,0.381,24.0,0.0,0.0,0.0,1.0,2.0,1.0,0.048,13.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,,1696:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2.8309992525777514,4.486103695110624,3.536147116827132,3.7609669624699973,-0.2925283627250281,-0.09933992677987828,9.282383438548887,4,93
ccc,The Commonwealth Coast Conference (CCC),2025-26,wsoc,Roger Williams University,"D'Antonio, Mya",0,,7,19,19,0.0,0.0,39.0,81.0,23.0,7.0,8.0,0.0,0.0,4.26,2.05,1.21,0.421,0.368,31.0,1.0,0.0,0.0,1.0,4.0,2.0,0.105,23.0,0.0,1.0,0.0,1.21,0.05,0.0,0.0,0.0,,1545:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,3.3023207116565856,3.8637657672303884,3.7201154552216296,4.888247272431714,2.428871860201748,-0.09933992677987828,9.264092213541032,5,92
ccc,The Commonwealth Coast Conference (CCC),2025-26,wsoc,Roger Williams University,"Dickinson, Camryn",0,,10,19,19,0.0,0.0,20.0,30.0,19.0,9.0,5.0,1.0,1.0,1.58,1.05,1.0,0.263,0.474,15.0,0.0,0.0,0.0,2.0,3.0,1.0,0.053,8.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,,1632:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,1.8883563344200838,5.10844162299086,2.98424210164364,2.2109565362726356,-0.2925283627250281,-0.09933992677987828,8.079041474039466,6,92
ccc,The Commonwealth Coast Conference (CCC),2025-26,wsoc,Gordon College,"Forbes-Smith, Ava",0,,25,18,18,0.0,0.0,19.0,36.0,19.0,7.0,6.0,2.0,2.0,2.0,1.06,1.06,0.333,0.389,13.0,1.0,0.0,0.0,1.0,3.0,1.0,0.056,8.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,,1518:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2.3596777934989177,3.8637657672303884,2.98424210164364,2.0700464975274206,-0.2925283627250281,-0.09933992677987828,7.650907826336927,7,91
ccc,The Commonwealth Coast Conference (CCC),2025-26,wsoc,Wentworth Institute of Technology,Lily Carlson,0,,8,19,19,0.0,0.0,28.0,43.0,21.0,1.0,10.0,0.0,0.0,2.26,1.47,1.11,0.526,0.053,18.0,1.0,0.0,0.0,3.0,0.0,3.0,0.158,1.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,,1175:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,4.2449636298142535,0.1297381999489742,3.3521787784326347,3.338236846234353,-0.2925283627250281,-0.09933992677987828,7.433568109048956,8,90
ccc,The Commonwealth Coast Conference (CCC),2025-26,wsoc,University of New England,"Talbot, Emily",0,,13,20,10,0.0,0.0,34.0,58.0,18.0,4.0,7.0,0.0,0.0,2.9,1.7,0.9,0.35,0.2,27.0,0.0,0.0,0.0,3.0,5.0,3.0,0.15,7.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,,1045:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2.8309992525777514,1.9967519835896812,2.8002737632491423,4.183697078705642,-0.2925283627250281,-0.09933992677987828,7.109271916226761,9,90
ccc,The Commonwealth Coast Conference (CCC),2025-26,wsoc,Roger Williams University,"Yucius, Elizabeth",0,,13,13,13,0.0,0.0,23.0,45.0,18.0,4.0,7.0,0.0,0.0,3.46,1.77,1.38,0.538,0.308,16.0,0.0,1.0,0.0,3.0,3.0,2.0,0.154,6.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,,975:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2.8309992525777514,1.9967519835896812,2.8002737632491423,2.63368665250828,-0.2925283627250281,-0.09933992677987828,6.7992698309872885,10,89
