conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game
ccc,Conference of New England (CCC),2025-26,wsoc,University of Hartford,"Lenig, Sydney",0,,0,1,0,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,07:00,0,.00,.00,1,0,0,0,0,1.000,0.00,1,0,07:24,0,1,.00,1.000,.000,1.00
ccc,Conference of New England (CCC),2025-26,wsoc,University of Hartford,"Rivera, Aislyn",0,,00,6,0,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,77:00,0,.00,.00,5,0,0,0,0,.667,1.15,2,1,78:28,0,6,.17,0.667,.000,.33
ccc,Conference of New England (CCC),2025-26,wsoc,University of Hartford,"Johnson, Sejal",0,,1,19,19,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,1626:00,0,.00,.00,186,1,4,14,4,.842,0.89,85,16,1624:08,19,19,.84,0.842,.211,4.47
ccc,Conference of New England (CCC),2025-26,wsoc,University of Hartford,"Dumas, Natalie",0,,2,10,4,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,389:00,0,.00,.00,,,,,,,,,,,,,,,,
ccc,Conference of New England (CCC),2025-26,wsoc,University of Hartford,"Brush, Kathleen",0,,3,17,16,0,0,23,49,22,6,8,0,0,2.88,1.35,1.29,.471,.353,15,0,0,0,4,3,3,.176,20,1,1,0,1.18,.06,.06,.00,0,,1264:00,0,.00,.00,,,,,,,,,,,,,,,,
ccc,Conference of New England (CCC),2025-26,wsoc,University of Hartford,"Buzas, Andrea",0,,4,18,14,0,0,0,2,1,1,0,0,0,.11,.00,.06,.000,.056,0,0,0,0,0,0,0,.000,6,0,0,0,.33,.00,.00,.00,0,,1443:00,0,.00,.00,,,,,,,,,,,,,,,,
ccc,Conference of New England (CCC),2025-26,wsoc,University of Hartford,"Kanter, Caitlyn",0,,5,14,0,0,0,1,2,2,0,1,0,0,.14,.07,.14,.071,.000,0,0,0,0,0,0,0,.000,4,0,0,0,.29,.00,.00,.00,0,,159:00,0,.00,.00,,,,,,,,,,,,,,,,
ccc,Conference of New England (CCC),2025-26,wsoc,University of Hartford,"Tomas, Caroline",0,,7,19,19,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,3,0,0,0,.16,.00,.00,.00,0,,1589:00,0,.00,.00,,,,,,,,,,,,,,,,
ccc,Conference of New England (CCC),2025-26,wsoc,University of Hartford,"Chávez, Angela",0,,8,14,6,0,0,9,24,5,5,0,0,0,1.71,.64,.36,.000,.357,9,0,0,0,0,0,0,.000,11,0,0,0,.79,.00,.00,.00,0,,977:00,0,.00,.00,,,,,,,,,,,,,,,,
ccc,Conference of New England (CCC),2025-26,wsoc,University of Hartford,"Wilkinson, Cameryn",0,,9,18,8,0,0,10,24,12,0,6,0,0,1.33,.56,.67,.333,.000,4,0,0,0,4,0,1,.056,5,0,1,0,.28,.06,.00,.00,0,,713:00,0,.00,.00,,,,,,,,,,,,,,,,
ccc,Conference of New England (CCC),2025-26,wsoc,University of Hartford,"Nerney, Anastasia",0,,11,19,18,0,0,24,42,31,9,11,0,0,2.21,1.26,1.63,.579,.474,13,0,0,0,1,4,1,.053,9,0,0,0,.47,.00,.00,.00,0,,1357:00,0,.00,.00,,,,,,,,,,,,,,,,
ccc,Conference of New England (CCC),2025-26,wsoc,University of Hartford,"Egan, Morgan",0,,12,17,13,0,0,6,15,5,1,2,0,0,.88,.35,.29,.118,.059,4,0,0,0,0,1,0,.000,9,0,0,0,.53,.00,.00,.00,0,,1134:00,0,.00,.00,,,,,,,,,,,,,,,,
