conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,z_per_set_stats_points,z_per_set_stats_kills,z_per_set_stats_assists,z_per_set_stats_blocks,z_per_set_stats_aces,z_per_set_stats_digs,z_attack_stats_errors,z_serve_stats_errors,composite_score,rank,rating
ccc,The Commonwealth Coast Conference (CCC),2025-26,wvball,Endicott College,Hadley Helenbrook,0,,3,106,33,0.207,1100.0,217.0,445.0,41.0,6.0,180.0,0.0,48.0,76.0,371.0,0.0,0.0,739.0,44.0,293.0,29.0,5.0,24.0,5.0,510.0,1.0,4.2,0.39,2.76,0.27,0.45,4.81,3.5719098642345606,3.6611722800306894,-0.1733958522951063,0.24827995522837254,1.6280072979121838,1.5429344358005053,4.7412899226803,4.160395284310119,6.193589169644161,1,99
ccc,The Commonwealth Coast Conference (CCC),2025-26,wvball,Gordon College,"Hutzler, Haley",0,,12,100,41,0.225,1076.0,106.0,348.0,24.0,4.0,149.0,0.0,41.0,31.0,379.0,0.0,0.0,647.0,73.0,363.0,24.0,3.0,21.0,3.0,402.5,0.0,3.48,0.24,3.63,0.24,0.41,4.03,2.8264497203845766,2.8857115821888972,-0.26004888050058406,0.13508775516756327,1.4055216130142891,2.345642789372195,1.9577101728432618,1.2088377702077753,5.68272706637846,2,95
ccc,The Commonwealth Coast Conference (CCC),2025-26,wvball,Wentworth Institute of Technology,"Sanders, Emma",0,,13,94,36,0.301,793.0,68.0,307.0,9.0,2.0,104.0,0.0,41.0,20.0,263.0,0.0,0.0,71.0,3.0,229.0,34.0,1.0,34.0,0.0,365.0,1.0,3.27,0.1,2.44,0.36,0.44,3.88,2.6830920004134255,2.6595355453183744,-0.34092504015903,0.5878565554108,1.5723858766877101,1.2476853862109183,1.004772961187339,0.48734593342720256,5.591280201925732,3,93
ccc,The Commonwealth Coast Conference (CCC),2025-26,wvball,Western New England University,"Barber, Léa",0,,9,86,25,0.127,979.0,163.0,287.0,10.0,1.0,105.0,0.0,44.0,45.0,303.0,0.0,0.0,640.0,73.0,288.0,29.0,1.0,29.0,0.0,346.0,2.0,3.34,0.12,3.35,0.34,0.51,4.02,2.8168925390531663,2.7349275576085486,-0.3293713030649663,0.512395088703594,1.9617358252590253,2.0872998709813064,3.387115990327146,2.1271001079285043,5.479795436643479,4,92
ccc,The Commonwealth Coast Conference (CCC),2025-26,wvball,Endicott College,Dresback Ava grace,0,,12,106,33,0.154,1080.0,187.0,353.0,40.0,0.0,155.0,0.0,41.0,29.0,381.0,0.0,0.0,560.0,38.0,273.0,31.0,3.0,27.0,4.0,411.5,0.0,3.33,0.38,2.58,0.29,0.39,3.88,2.6830920004134255,2.724157270138524,-0.17917272084213814,0.32374142193557853,1.294278770565342,1.3768568454063628,3.9889710713729922,1.0776574362476712,4.873150656665112,5,90
ccc,The Commonwealth Coast Conference (CCC),2025-26,wvball,Endicott College,Hannah Maguire,0,,7,107,33,0.231,238.0,24.0,79.0,1056.0,32.0,2959.0,0.0,59.0,37.0,437.0,0.0,0.0,4.0,1.0,267.0,26.0,3.0,24.0,2.0,152.0,1.0,0.74,9.87,2.5,0.24,0.55,1.42,0.33202539288655136,-0.06534718459792288,5.303075530291089,0.13508775516756327,2.1842215101569202,1.3030445830089659,-0.09862802073004553,1.6023787720880878,4.588074317718857,6,89
ccc,The Commonwealth Coast Conference (CCC),2025-26,wvball,Gordon College,"Zimmerman, Annie",0,,22,103,40,0.19,990.0,107.0,295.0,23.0,2.0,136.0,0.0,43.0,17.0,354.0,0.0,0.0,539.0,36.0,324.0,24.0,3.0,23.0,1.0,350.5,0.0,2.86,0.22,3.15,0.23,0.42,3.4,2.2243472965057434,2.217953759047354,-0.27160261759464777,0.09735702181396029,1.4611430342387628,1.9027692149878146,1.9827874678868387,0.29057543248704637,4.518961724710204,7,89
ccc,The Commonwealth Coast Conference (CCC),2025-26,wvball,University of Hartford,"Murphy, Jordan",0,,12,71,19,0.183,661.0,105.0,226.0,2.0,13.0,98.0,0.0,9.0,16.0,60.0,0.0,0.0,263.0,18.0,120.0,29.0,1.0,24.0,5.0,252.0,0.0,3.18,0.03,1.69,0.41,0.13,3.55,2.3677050164768936,2.5626029580881506,-0.38136311998825295,0.7765102221788152,-0.151878181270972,0.5556954262353236,1.9326328777996848,0.22498526550699427,4.246372103983677,8,88
ccc,The Commonwealth Coast Conference (CCC),2025-26,wvball,Wentworth Institute of Technology,"McLane, Kate",0,,1,82,29,0.232,766.0,102.0,280.0,1.0,4.0,35.0,0.0,1.0,0.0,6.0,0.0,0.0,230.0,39.0,80.0,27.0,1.0,25.0,2.0,295.5,0.0,3.41,0.01,0.98,0.33,0.01,3.6,2.4154909231339445,2.810319569898723,-0.39291685708231666,0.4746643553499909,-0.8193352359646554,-0.09938840254157252,1.857400992668954,-0.8244574061738389,4.023712989540866,9,87
ccc,The Commonwealth Coast Conference (CCC),2025-26,wvball,University of New England,Ellijah Hanley,0,,23,83,23,0.166,841.0,119.0,259.0,12.0,3.0,66.0,0.0,15.0,12.0,171.0,0.0,0.0,312.0,25.0,165.0,22.0,3.0,22.0,0.0,285.0,0.0,3.12,0.14,1.99,0.27,0.18,3.43,2.2530188404999736,2.497981233268001,-0.3178175659709026,0.24827995522837254,0.126228924851396,0.8324914102255616,2.2837150084097617,-0.037375402413214014,3.9904622262023386,10,86
