season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,matches_played,attack_stats,set_stats,serve_stats,defense_stats,block_stats,misc_stats,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,composite_score,global_rank,rating
2026-27,wvball,Conference of New England (CCC),ccc,Western New England University,"Barber, Léa",Léa,Barber,,775,"Barber, Léa","BARBER, LéA",Western New England University,WNE,1022-4115,12,6,9,0,9,0,,,,,,,4.67,0.25,3.42,0.58,0.42,5.38,.152,171,30,56,3,1,15,0,5,5,34,0,0,65,9,41,7,1,7,0,64.5,0,10.664651240650985,1,99
2026-27,wvball,Conference of New England (CCC),ccc,Endicott College,"Helenbrook, Hadley",Hadley,Helenbrook,,8981,"Helenbrook, Hadley","HELENBROOK, HADLEY",Endicott College,EC,0,8,2,3,0,3,0,,,,,,,4.00,0.50,4.63,0.25,0.63,4.88,.282,78,10,32,4,0,12,0,5,5,30,0,0,57,5,37,2,0,0,2,39,0,9.933539078144932,2,99
2026-27,wvball,Conference of New England (CCC),ccc,Gordon College,"Hutzler, Haley",Haley,Hutzler,,1099,"Hutzler, Haley","HUTZLER, HALEY",Gordon College,GC,693-3047,10,3,12,0,12,0,,,,,,,4.30,0.50,3.60,0.50,0.00,4.55,.184,141,17,43,5,1,11,0,0,1,32,0,0,72,6,36,5,1,5,0,45.5,0,8.984008771635628,3,99
2026-27,wvball,Conference of New England (CCC),ccc,University of New England,Hannah Nowell,Hannah,Nowell,,1255,Hannah Nowell,"NOWELL,HANNAH",University of New England,UNE,990-2801,8,2,12,0,12,0,,,,,,,3.50,0.25,4.13,0.50,0.13,3.94,.176,85,13,28,2,0,2,0,1,3,27,0,0,39,4,33,4,0,3,1,31.5,0,8.336755857648011,4,98
2026-27,wvball,Conference of New England (CCC),ccc,Gordon College,"Brideweser, Teagan",Teagan,Brideweser,,1099,"Brideweser, Teagan","BRIDEWESER, TEAGAN",Gordon College,GC,693-2873,11,3,18,0,18,0,,,,,,,2.55,0.00,0.55,1.27,0.27,3.50,.333,54,10,28,0,0,6,0,3,2,27,0,0,3,0,6,14,4,13,1,38.5,0,8.243248055309952,5,98
2026-27,wvball,Conference of New England (CCC),ccc,University of Hartford,"McCombs, Calla",Calla,McCombs,,272,"McCombs, Calla","MCCOMBS, CALLA",University of Hartford,Hart,6-3416,11,3,8,0,8,0,,,,,,,3.18,0.45,2.64,0.36,0.73,4.23,.295,88,9,35,5,0,20,0,8,6,41,0,0,38,3,29,4,0,1,3,46.5,0,7.938825851056696,6,98
2026-27,wvball,Conference of New England (CCC),ccc,Gordon College,"Zimmerman, Annie",Annie,Zimmerman,,1099,"Zimmerman, Annie","ZIMMERMAN, ANNIE",Gordon College,GC,693-2874,11,3,22,0,22,0,,,,,,,2.55,0.18,3.09,0.36,0.73,3.45,.163,104,11,28,2,0,11,0,8,1,60,0,0,77,9,34,4,0,4,0,38,0,6.849607315789934,7,97
2026-27,wvball,Conference of New England (CCC),ccc,Endicott College,"Abramaitys, Lincoln",Lincoln,Abramaitys,,8981,"Abramaitys, Lincoln","ABRAMAITYS, LINCOLN",Endicott College,EC,0,8,2,9,0,9,0,,,,,,,2.25,0.25,1.50,0.75,0.50,3.38,.326,46,3,18,2,0,6,0,4,5,33,0,0,1,0,12,6,2,2,4,27,0,6.797466312311555,8,97
2026-27,wvball,Conference of New England (CCC),ccc,University of Hartford,"Miller, Rylee",Rylee,Miller,,272,"Miller, Rylee","MILLER, RYLEE",University of Hartford,Hart,6-3420,11,3,13,0,13,0,,,,,,,2.82,0.09,1.64,0.18,0.82,3.82,.253,83,10,31,1,1,13,0,9,5,39,0,0,22,3,18,2,0,0,2,42,0,6.00560610725447,9,97
2026-27,wvball,Conference of New England (CCC),ccc,University of New England,Tess Madden,Tess,Madden,,1255,Tess Madden,"MADDEN,TESS",University of New England,UNE,990-3392,11,3,1,0,1,0,,,,,,,3.18,0.00,2.18,0.18,0.36,3.64,.289,83,11,35,0,0,0,0,4,3,27,0,0,35,1,24,2,0,2,0,40,0,6.005072125964537,10,96
