conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points
ccc,Conference of New England (CCC),2025-26,wvball,Endicott College,Hadley Helenbrook,0,,3,106,33,.207,1100,217,445,41,6,180,0,48,76,371,0,0,739,44,293,29,5,24,5,510,1,4.20,0.39,2.76,0.27,0.45,4.81
ccc,Conference of New England (CCC),2025-26,wvball,Endicott College,Angelina Fitzharris,0,,5,82,24,.231,350,55,136,7,1,28,0,0,0,0,0,0,2,0,11,54,4,44,10,168,0,1.66,0.09,0.13,0.66,0.00,2.05
ccc,Conference of New England (CCC),2025-26,wvball,Endicott College,Hannah Maguire,0,,7,107,33,.231,238,24,79,1056,32,2959,0,59,37,437,0,0,4,1,267,26,3,24,2,152,1,0.74,9.87,2.50,0.24,0.55,1.42
ccc,Conference of New England (CCC),2025-26,wvball,Endicott College,Dresback Ava grace,0,,12,106,33,.154,1080,187,353,40,0,155,0,41,29,381,0,0,560,38,273,31,3,27,4,411.5,0,3.33,0.38,2.58,0.29,0.39,3.88
ccc,Conference of New England (CCC),2025-26,wvball,Endicott College,Talia Camacho,0,,14,60,15,.211,180,28,66,3,0,14,0,0,2,2,0,0,0,0,15,37,6,33,4,86.5,0,1.10,0.05,0.25,0.62,0.00,1.44
ccc,Conference of New England (CCC),2025-26,wvball,Endicott College,Kelsey Sanborn,0,,21,67,10,.187,273,43,94,0,0,17,0,10,4,45,0,0,2,0,27,36,2,30,6,125,1,1.40,0.00,0.40,0.54,0.15,1.87
ccc,Conference of New England (CCC),2025-26,wvball,Endicott College,Julia Young,0,,2,7,0,.189,37,9,16,1,1,5,0,2,5,15,0,0,16,1,10,1,0,1,0,18.5,0,2.29,0.14,1.43,0.14,0.29,2.64
ccc,Conference of New England (CCC),2025-26,wvball,Endicott College,Abby Downs,0,,8,106,0,.000,11,2,2,67,3,265,0,44,35,440,0,0,583,46,428,0,0,0,0,46,0,0.02,0.63,4.04,0.00,0.42,0.43
ccc,Conference of New England (CCC),2025-26,wvball,Endicott College,Reagan Mitchell,0,,10,105,13,.200,5,1,2,24,0,91,0,32,31,411,0,0,15,0,162,1,0,1,0,34.5,0,0.02,0.23,1.54,0.01,0.30,0.33
ccc,Conference of New England (CCC),2025-26,wvball,Endicott College,Emma Gulaskey,0,,11,16,0,.000,0,0,0,3,1,12,0,0,4,36,0,0,17,3,36,0,0,0,0,0,0,0.00,0.19,2.25,0.00,0.00,0.00
ccc,Conference of New England (CCC),2025-26,wvball,Endicott College,Sophie Breitenbach,0,,13,10,2,.350,40,2,16,1,0,5,0,0,0,0,0,0,0,0,2,2,0,2,0,17,0,1.60,0.10,0.20,0.20,0.00,1.70
ccc,Conference of New England (CCC),2025-26,wvball,Endicott College,Abby Parulis,0,,19,1,0,-.222,9,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0,1.00,0.00,0.00,0.00,0.00,1.00
ccc,Conference of New England (CCC),2025-26,wvball,Endicott College,Susanna Mikkelsen,0,,22,93,4,-.500,2,1,0,30,2,85,0,14,21,256,0,0,0,0,51,0,0,0,0,14,2,0.00,0.32,0.55,0.00,0.15,0.15
ccc,Conference of New England (CCC),2025-26,wvball,Endicott College,Bridget Thompson,0,,24,1,0,-1.000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0.00,0.00,0.00,0.00,0.00,0.00
ccc,Conference of New England (CCC),2025-26,wvball,Endicott College,Lauren Egan,0,,27,4,0,.667,3,0,2,19,1,46,0,1,2,14,0,0,0,0,4,0,0,0,0,3,0,0.50,4.75,1.00,0.00,0.25,0.75
ccc,Conference of New England (CCC),2025-26,wvball,Endicott College,Ava Barnhart,0,,33,33,4,.040,101,26,30,6,0,17,0,1,3,13,0,0,43,4,19,4,4,4,0,33,0,0.91,0.18,0.58,0.12,0.03,1.00
ccc,Conference of New England (CCC),2025-26,wvball,Endicott College,"Moreau, Stephanie",0,,16,90,30,.089,282,75,100,0,1,15,0,0,0,1,0,0,1,0,9,50,2,43,7,128.5,0,1.11,0.00,0.10,0.56,0.00,1.43
ccc,Conference of New England (CCC),2025-26,wvball,Endicott College,"Batek, Francesca",0,,4,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
ccc,Conference of New England (CCC),2025-26,wvball,Endicott College,"Draper, Annie",0,,17,20,3,.153,72,14,25,1,0,4,0,0,1,2,0,0,0,0,4,2,2,2,0,26,0,1.25,0.05,0.20,0.10,0.00,1.30
ccc,Conference of New England (CCC),2025-26,wvball,Wentworth Institute of Technology,"Zweifler, Amanda",0,,19,91,0,.100,10,0,1,41,2,181,0,45,37,383,0,0,434,30,374,0,0,0,0,46,1,0.01,0.45,4.11,0.00,0.49,0.51
ccc,Conference of New England (CCC),2025-26,wvball,Wentworth Institute of Technology,"Schoonmaker, Riley",0,,7,82,33,.434,290,17,143,3,3,37,0,0,1,1,0,0,3,0,20,61,3,51,10,178.5,1,1.74,0.04,0.24,0.74,0.00,2.18
ccc,Conference of New England (CCC),2025-26,wvball,Wentworth Institute of Technology,"Cefalu, Gianna",0,,23,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
ccc,Conference of New England (CCC),2025-26,wvball,Wentworth Institute of Technology,"McLane, Kate",0,,1,82,29,.232,766,102,280,1,4,35,0,1,0,6,0,0,230,39,80,27,1,25,2,295.5,0,3.41,0.01,0.98,0.33,0.01,3.60
ccc,Conference of New England (CCC),2025-26,wvball,Wentworth Institute of Technology,"DeCastro, Kayla",0,,3,36,2,.078,64,10,15,1,1,12,0,9,7,83,0,0,37,0,23,2,0,2,0,25,0,0.42,0.03,0.64,0.06,0.25,0.69
ccc,Conference of New England (CCC),2025-26,wvball,Wentworth Institute of Technology,"Morford, Savannah",0,,9,9,1,.082,49,11,15,0,1,3,0,0,0,0,0,0,6,0,6,3,0,3,0,16.5,0,1.67,0.00,0.67,0.33,0.00,1.83
ccc,Conference of New England (CCC),2025-26,wvball,Wentworth Institute of Technology,"Lutz, Kinsey",0,,10,52,2,.138,188,18,44,2,0,24,0,9,6,60,0,0,64,6,39,4,1,3,1,55.5,0,0.85,0.04,0.75,0.08,0.17,1.07
ccc,Conference of New England (CCC),2025-26,wvball,Wentworth Institute of Technology,"Sanders, Emma",0,,13,94,36,.301,793,68,307,9,2,104,0,41,20,263,0,0,71,3,229,34,1,34,0,365,1,3.27,0.10,2.44,0.36,0.44,3.88
ccc,Conference of New England (CCC),2025-26,wvball,Wentworth Institute of Technology,"Soares, Brenda",0,,14,3,3,.000,0,0,0,1,1,3,0,0,0,2,0,0,2,1,3,0,0,0,0,0,0,0.00,0.33,1.00,0.00,0.00,0.00
ccc,Conference of New England (CCC),2025-26,wvball,Wentworth Institute of Technology,"Vaughn, Olivia",0,,18,81,32,.031,65,7,9,722,11,1907,0,41,14,380,0,0,4,0,184,20,0,20,0,60,2,0.11,8.91,2.27,0.25,0.51,0.74
ccc,Conference of New England (CCC),2025-26,wvball,Wentworth Institute of Technology,"Gregson, Ainsley",0,,8,87,11,.091,11,0,1,29,3,111,0,25,40,260,0,0,213,15,99,0,0,0,0,26,0,0.01,0.33,1.14,0.00,0.29,0.30
ccc,Conference of New England (CCC),2025-26,wvball,Wentworth Institute of Technology,"Lowder, Becca",0,,11,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
ccc,Conference of New England (CCC),2025-26,wvball,Wentworth Institute of Technology,"Taylor, Clairissa",0,,12,9,2,.308,26,3,11,0,0,1,0,0,1,7,0,0,0,0,3,2,0,2,0,12,0,1.22,0.00,0.33,0.22,0.00,1.33
ccc,Conference of New England (CCC),2025-26,wvball,Wentworth Institute of Technology,"Duron, Montserrat",0,,25,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
ccc,Conference of New England (CCC),2025-26,wvball,Wentworth Institute of Technology,"Szczepaniak, Jagoda",0,,5,14,2,.031,64,11,13,0,0,6,0,0,0,1,0,0,27,3,15,0,0,0,0,13,0,0.93,0.00,1.07,0.00,0.00,0.93
ccc,Conference of New England (CCC),2025-26,wvball,Wentworth Institute of Technology,"Bachli, Megan",0,,2,1,0,.800,5,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,4.5,0,4.00,0.00,1.00,1.00,0.00,4.50
ccc,Conference of New England (CCC),2025-26,wvball,Wentworth Institute of Technology,"Lobrigo, Vanessa",0,,4,3,0,.667,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0.67,0.00,0.33,0.00,0.00,0.67
ccc,Conference of New England (CCC),2025-26,wvball,Wentworth Institute of Technology,"Stadtherr, Ella",0,,6,6,0,-.167,30,10,5,0,0,0,0,0,0,0,0,0,11,1,5,1,0,1,0,5.5,0,0.83,0.00,0.83,0.17,0.00,0.92
ccc,Conference of New England (CCC),2025-26,wvball,Wentworth Institute of Technology,"Koliopoulos, Kate",0,,15,94,18,.115,26,2,5,36,3,174,0,47,53,369,0,0,258,27,187,0,0,0,0,52,0,0.05,0.38,1.99,0.00,0.50,0.55
ccc,Conference of New England (CCC),2025-26,wvball,Wentworth Institute of Technology,"Smith, Sydnee",0,,16,27,5,-.023,44,7,6,155,6,424,0,9,14,90,0,0,1,0,49,2,0,2,0,16,0,0.22,5.74,1.81,0.07,0.33,0.59
ccc,Conference of New England (CCC),2025-26,wvball,Wentworth Institute of Technology,"Rocchio, Ava",0,,17,74,26,.274,252,37,106,4,1,38,0,6,13,76,0,0,10,1,32,61,2,53,8,146.5,0,1.43,0.05,0.43,0.82,0.08,1.98
ccc,Conference of New England (CCC),2025-26,wvball,Wentworth Institute of Technology,"Gehrig, Sarah",0,,20,9,2,-.500,2,1,0,2,0,7,0,0,2,13,0,0,29,1,10,0,0,0,0,0,0,0.00,0.22,1.11,0.00,0.00,0.00
ccc,Conference of New England (CCC),2025-26,wvball,Wentworth Institute of Technology,"Swanson, Mika",0,,21,37,13,.258,128,22,55,5,1,21,0,20,16,106,0,0,4,0,32,17,0,16,1,84,0,1.49,0.14,0.86,0.46,0.54,2.27
ccc,Conference of New England (CCC),2025-26,wvball,Wentworth Institute of Technology,"Homsy, Angelina",0,,22,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
ccc,Conference of New England (CCC),2025-26,wvball,Wentworth Institute of Technology,"Davenport, Elena",0,,24,49,5,.147,273,46,86,1,2,17,0,0,1,1,0,0,63,9,25,18,0,17,1,95.5,0,1.76,0.02,0.51,0.37,0.00,1.95
ccc,Conference of New England (CCC),2025-26,wvball,Gordon College,"Schmitt, Annika",0,,1,105,41,.144,209,13,43,899,19,2573,0,70,49,482,0,0,10,0,270,16,3,16,0,121,3,0.41,8.56,2.57,0.15,0.67,1.15
ccc,Conference of New England (CCC),2025-26,wvball,Gordon College,"Bruner, Morgan",0,,5,93,37,.146,274,48,88,10,3,54,0,13,17,144,0,0,4,0,39,41,7,34,7,125,0,0.95,0.11,0.42,0.44,0.14,1.34
ccc,Conference of New England (CCC),2025-26,wvball,Gordon College,"Hutzler, Haley",0,,12,100,41,.225,1076,106,348,24,4,149,0,41,31,379,0,0,647,73,363,24,3,21,3,402.5,0,3.48,0.24,3.63,0.24,0.41,4.03
ccc,Conference of New England (CCC),2025-26,wvball,Gordon College,"Brideweser, Teagan",0,,18,93,39,.252,341,70,156,7,4,61,0,15,13,106,0,0,9,1,46,69,13,60,9,210,0,1.68,0.08,0.49,0.74,0.16,2.26
ccc,Conference of New England (CCC),2025-26,wvball,Gordon College,"Zimmerman, Annie",0,,22,103,40,.190,990,107,295,23,2,136,0,43,17,354,0,0,539,36,324,24,3,23,1,350.5,0,2.86,0.22,3.15,0.23,0.42,3.40
ccc,Conference of New England (CCC),2025-26,wvball,Gordon College,"Clarabuch, Maria",0,,24,88,30,.164,590,98,195,10,4,59,0,22,42,243,0,0,3,1,90,33,9,33,0,233.5,0,2.22,0.11,1.02,0.38,0.25,2.65
ccc,Conference of New England (CCC),2025-26,wvball,Gordon College,"Alleva, Rachel",0,,2,15,1,.185,65,7,19,3,0,8,0,1,3,25,0,0,41,6,27,3,0,3,0,21.5,0,1.27,0.20,1.80,0.20,0.07,1.43
ccc,Conference of New England (CCC),2025-26,wvball,Gordon College,"Trogdon, Allison",0,,3,40,8,.155,213,31,64,6,3,37,0,5,5,51,0,0,86,12,73,16,1,16,0,77,0,1.60,0.15,1.83,0.40,0.13,1.93
ccc,Conference of New England (CCC),2025-26,wvball,Gordon College,"Serna, Mia",0,,4,43,1,.000,1,0,0,9,0,27,0,7,5,89,0,0,64,4,58,0,0,0,0,7,0,0.00,0.21,1.35,0.00,0.16,0.16
ccc,Conference of New England (CCC),2025-26,wvball,Gordon College,"Hansen, Evey",0,,8,30,6,.234,94,16,38,2,0,5,0,0,3,33,0,0,3,1,11,20,1,17,3,49.5,0,1.27,0.07,0.37,0.67,0.00,1.65
ccc,Conference of New England (CCC),2025-26,wvball,Gordon College,"Arico, Quinn",0,,10,17,2,.089,56,10,15,3,0,11,0,5,2,39,0,0,0,0,24,2,0,2,0,21,0,0.88,0.18,1.41,0.12,0.29,1.24
ccc,Conference of New England (CCC),2025-26,wvball,Gordon College,"Ledbetter, Jael",0,,11,11,1,.333,33,6,17,1,0,1,0,0,0,1,0,0,1,0,1,7,1,6,1,21,0,1.55,0.09,0.09,0.64,0.00,1.91
ccc,Conference of New England (CCC),2025-26,wvball,Gordon College,"Pierce, Amanda",0,,15,107,0,-.083,24,3,1,94,6,340,0,49,38,422,0,0,445,37,395,0,0,0,0,50,1,0.01,0.88,3.69,0.00,0.46,0.47
ccc,Conference of New England (CCC),2025-26,wvball,Gordon College,"Doyle, Kate",0,,16,8,1,.273,11,2,5,31,0,86,0,0,0,0,0,0,0,0,5,4,1,2,2,8,0,0.63,3.88,0.63,0.50,0.00,1.00
ccc,Conference of New England (CCC),2025-26,wvball,Gordon College,"Burnett, Alexandra",0,,17,87,4,-.357,14,6,1,8,1,49,0,3,13,38,0,0,37,5,143,0,0,0,0,4,0,0.01,0.09,1.64,0.00,0.03,0.05
ccc,Conference of New England (CCC),2025-26,wvball,Gordon College,"Kennedy, Alicia",0,,21,9,0,-.077,13,5,4,0,0,1,0,0,0,3,0,0,1,0,2,2,0,1,1,5.5,0,0.44,0.00,0.22,0.22,0.00,0.61
ccc,Conference of New England (CCC),2025-26,wvball,Gordon College,"Castano, Vivian",0,,33,19,0,.333,3,0,1,63,1,158,0,2,6,35,0,0,0,0,17,0,0,0,0,3,0,0.05,3.32,0.89,0.00,0.11,0.16
ccc,Conference of New England (CCC),2025-26,wvball,Roger Williams University,"Unsworth, Izzy",0,,2,93,15,.095,441,77,119,15,6,127,0,45,76,368,0,0,470,23,258,11,3,10,1,170,0,1.28,0.16,2.77,0.12,0.48,1.83
ccc,Conference of New England (CCC),2025-26,wvball,Roger Williams University,"Bosco, Emma",0,,4,83,25,.168,125,7,28,653,27,1902,0,25,22,340,0,0,5,0,203,3,0,3,0,54.5,3,0.34,7.87,2.45,0.04,0.30,0.66
ccc,Conference of New England (CCC),2025-26,wvball,Roger Williams University,"Devino, Samantha",0,,5,68,4,.125,8,0,1,4,2,38,0,18,25,175,0,0,168,9,121,0,0,0,0,19,0,0.01,0.06,1.78,0.00,0.26,0.28
ccc,Conference of New England (CCC),2025-26,wvball,Roger Williams University,"Jackson, Kaylee",0,,12,97,29,.142,746,120,226,29,15,218,0,22,17,336,0,0,454,20,303,19,4,16,3,259,3,2.33,0.30,3.12,0.20,0.23,2.67
ccc,Conference of New England (CCC),2025-26,wvball,Roger Williams University,"Fish, Kaydence",0,,14,77,23,.282,248,36,106,9,3,60,0,22,36,138,0,0,2,0,39,86,11,73,13,177.5,2,1.38,0.12,0.51,1.12,0.29,2.31
ccc,Conference of New England (CCC),2025-26,wvball,Roger Williams University,"West, Angela",0,,17,90,24,.297,414,49,172,4,3,51,0,0,0,2,0,0,0,0,25,76,2,61,15,217.5,1,1.91,0.04,0.28,0.84,0.00,2.42
ccc,Conference of New England (CCC),2025-26,wvball,Roger Williams University,"Kasper, Adele",0,,1,4,0,.000,3,0,0,0,0,1,0,1,0,3,0,0,0,0,1,1,0,1,0,1.5,0,0.00,0.00,0.25,0.25,0.25,0.38
ccc,Conference of New England (CCC),2025-26,wvball,Roger Williams University,"Hernandez, Marianna",0,,6,97,0,.059,51,4,7,65,4,323,0,20,24,320,0,0,490,36,377,0,0,0,0,27,0,0.07,0.67,3.89,0.00,0.21,0.28
ccc,Conference of New England (CCC),2025-26,wvball,Roger Williams University,"Lisboa, Victoria",0,,7,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
ccc,Conference of New England (CCC),2025-26,wvball,Roger Williams University,"Felix, Peyton",0,,8,96,24,.203,587,68,187,12,6,85,0,1,12,59,0,0,46,3,98,81,5,77,4,230.5,2,1.95,0.13,1.02,0.84,0.01,2.40
ccc,Conference of New England (CCC),2025-26,wvball,Roger Williams University,"Smith, Jillian",0,,9,4,1,.167,12,1,3,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,3,0,0.75,0.25,0.25,0.00,0.00,0.75
ccc,Conference of New England (CCC),2025-26,wvball,Roger Williams University,"Scilbelli, Zoe",0,,11,33,0,.000,5,1,1,1,1,7,0,11,11,120,0,0,21,0,20,0,0,0,0,12,0,0.03,0.03,0.61,0.00,0.33,0.36
ccc,Conference of New England (CCC),2025-26,wvball,Roger Williams University,"McGonagle, Ava",0,,13,30,4,.152,46,5,12,158,14,535,0,5,8,52,0,0,0,0,19,10,2,10,0,22,3,0.40,5.27,0.63,0.33,0.17,0.73
ccc,Conference of New England (CCC),2025-26,wvball,Roger Williams University,"Winsten, Lily",0,,16,40,11,.151,106,17,33,5,1,23,0,12,6,112,0,0,3,1,17,27,3,22,5,61,1,0.83,0.13,0.43,0.68,0.30,1.53
ccc,Conference of New England (CCC),2025-26,wvball,Roger Williams University,"Picchietti, Brianna",0,,19,73,13,.201,596,66,186,4,5,48,0,0,0,0,0,0,81,11,40,24,1,21,3,199.5,0,2.55,0.05,0.55,0.33,0.00,2.73
