season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats,team_name,team_id,sdrm_id,this_is_softball,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,hitting_stats,fielding_stats,hitting_summary_stats
2026-27,baseball,College Conference of Illinois and Wisconsin (CCIW),cciw,Augustana,Riley Hendre,Riley,Hendre,,40,Riley Hendre,0,0AUGUSTAN,20,19,,,80,30,28,17,11,1,2,4,0,12,10,2,11,1,0,1,0,0,0,0,1,0,0,0.454,47,97,12,.917,.350,.588,39,0,3,0,0,0,0,0,0,42,.929,0,.000,,5,3,19,19,"12,30",0.40,12,30,"18,46",0.39,18,46,"9,30",0.30,9,30,"4,11",0.36,4,11,0,0,0,0,"12,23","4,7","23,49",44,0,0,0,44,0,0,0,3,22,0,,Augustana,AUGUSTAN,489-5387,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,College Conference of Illinois and Wisconsin (CCIW),cciw,Augustana,Ryan Coon,Ryan,Coon,,40,Ryan Coon,0,0AUGUSTAN,19,19,,,78,30,24,23,6,0,2,9,0,5,15,4,12,1,1,3,0,0,0,0,1,0,0,0.400,36,96,13,.923,.308,.462,42,0,0,0,0,0,0,0,0,42,1.000,0,.000,,9,0,14,20,"6,22",0.27,6,22,"11,31",0.35,11,31,"11,31",0.35,11,31,"1,8",0.13,1,8,0,0,0,0,"13,27","8,10","26,41","1,1",1.00,1,1,0,0,0,0,7,11,0,,Augustana,AUGUSTAN,489-5391,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,College Conference of Illinois and Wisconsin (CCIW),cciw,Augustana,Kaileb Hackm,Kaileb,Hackm,,40,Kaileb Hackm,0,0AUGUSTAN,19,19,,,83,26,42,28,11,0,5,8,0,3,16,9,1,0,0,0,0,0,0,0,0,0,0,0.564,68,94,1,1.000,.506,.819,21,1,2,0,0,0,0,0,0,24,.917,0,.000,,0,0,9,14,"18,29",0.62,18,29,"27,53",0.51,27,53,"17,35",0.49,17,35,"7,10",0.70,7,10,0,0,0,0,"5,14","5,10","34,56",47,0,0,0,0,0,0,0,5,10,0,,Augustana,AUGUSTAN,489-5392,False,5,1,1,0,1,0,0,0,0,0,0.0,6,5,2,2,2,0,0,99.00,-6,-6,3,2,0,0,0,0,0,2,-.833,2,-4,0,"0,1","0,2","1,2",0,"0,1",,,
2026-27,baseball,College Conference of Illinois and Wisconsin (CCIW),cciw,Augustana,Charlie Berg,Charlie,Berg,,40,Charlie Berg,0,0AUGUSTAN,20,20,,,71,21,26,24,6,1,2,10,1,11,6,2,4,0,0,3,0,0,0,3,0,3,0,0.495,40,95,4,1.000,.366,.563,93,12,3,0,0,0,0,9,0,108,.972,0,.000,,4,4,22,16,"10,24",0.42,10,24,"20,48",0.42,20,48,"18,37",0.49,18,37,"7,12",0.58,7,12,0,0,0,0,"8,11","11,16","39,59",148,0,0,0,0,0,0,0,9,15,0,,Augustana,AUGUSTAN,489-5081,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,College Conference of Illinois and Wisconsin (CCIW),cciw,Augustana,Ryan Theile,Ryan,Theile,,40,Ryan Theile,0,0AUGUSTAN,17,18,,,59,15,18,15,5,1,0,12,0,7,11,6,0,1,1,1,0,0,0,0,0,0,0,0.468,25,80,1,.000,.305,.424,132,5,1,1,0,29,2,0,0,138,.993,31,.935,,2,7,12,17,"9,25",0.36,9,25,"12,41",0.29,12,41,"10,30",0.33,10,30,"4,9",0.44,4,9,0,0,0,0,"6,11","5,9","30,55",36,0,0,0,5,0,0,0,3,14,0,,Augustana,AUGUSTAN,489-5397,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,College Conference of Illinois and Wisconsin (CCIW),cciw,Augustana,Niko Schaefe,Niko,Schaefe,,40,Niko Schaefe,0,0AUGUSTAN,5,1,,,6,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0.250,0,8,1,.000,.000,.000,3,0,0,1,0,-1,0,0,0,3,1.000,-1,1.000,,1,0,0,4,"0,1",0,0,1,"0,3",0,0,3,"0,4",0,0,4,0,0,0,0,0,0,0,0,"1,4","0,1","2,4",0,0,0,0,12,0,0,0,0,1,0,,Augustana,AUGUSTAN,489-5698,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,College Conference of Illinois and Wisconsin (CCIW),cciw,Augustana,Lawson Shick,Lawson,Shick,,40,Lawson Shick,0,0AUGUSTAN,8,7,,,23,6,2,1,0,0,0,3,0,1,8,6,0,0,1,0,0,0,0,0,0,0,0,0.222,2,28,0,.000,.087,.087,26,5,2,0,0,0,0,0,0,33,.939,0,.000,,2,1,9,3,"0,12",0,0,12,"0,16",0,0,16,"0,14",0,0,14,"0,2",0,0,2,0,0,0,0,"0,3","1,3","3,18",16,0,0,0,22,0,0,0,2,26,0,,Augustana,AUGUSTAN,489-5701,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,College Conference of Illinois and Wisconsin (CCIW),cciw,Augustana,Gabe Kashyck,Gabe,Kashyck,,40,Gabe Kashyck,0,0AUGUSTAN,7,5,,,20,3,5,3,1,0,0,2,0,0,6,2,1,0,1,0,0,0,0,0,0,0,0,0.318,6,23,1,1.000,.250,.300,2,10,3,0,0,0,0,1,0,15,.800,0,.000,,0,0,5,5,"2,3",0.67,2,3,"3,13",0.23,3,13,"3,7",0.43,3,7,"2,5",0.40,2,5,0,0,0,0,"2,7","1,3","6,14",44,0,0,0,3,0,0,0,4,2,0,,Augustana,AUGUSTAN,489-5694,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,College Conference of Illinois and Wisconsin (CCIW),cciw,Augustana,Ethan Sosnow,Ethan,Sosnow,,40,Ethan Sosnow,0,0AUGUSTAN,8,5,,,22,6,3,10,0,1,2,4,0,0,10,7,0,0,0,0,0,0,0,0,0,0,0,0.269,11,26,0,.000,.136,.500,0,0,0,0,0,0,0,0,0,0,0.000,0,.000,,1,1,5,3,"3,9",0.33,3,9,"3,11",0.27,3,11,"3,9",0.33,3,9,"1,5",0.20,1,5,0,0,0,0,"3,9","1,3","6,11",56,0,0,0,10,0,0,0,3,8,0,,Augustana,AUGUSTAN,489-4667,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,College Conference of Illinois and Wisconsin (CCIW),cciw,Augustana,Alec Schaubl,Alec,Schaubl,,40,Alec Schaubl,0,0AUGUSTAN,9,3,,,16,1,5,2,0,0,1,0,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0.313,8,16,1,.000,.313,.500,0,0,0,0,0,0,0,0,0,0,0.000,0,.000,,0,0,0,6,"2,6",0.33,2,6,"2,9",0.22,2,9,"1,5",0.20,1,5,"1,2",0.50,1,2,0,0,0,0,0,"0,1","3,9",0,0,0,0,201,0,0,0,1,2,0,,Augustana,AUGUSTAN,489-5699,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
