conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,z_hitting_stats_hits,z_hitting_stats_runs,z_hitting_stats_runs_batted_in,z_hitting_stats_home_runs,z_hitting_stats_stolen_bases,z_hitting_stats_strikeouts,composite_score,rank,rating
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,softball,Carthage,Clare Rettle,,,,43,43,172.0,69.0,127.0,32.0,1.0,8.0,0.0,13.0,0.0,0.0,7.0,1.0,81.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.757,144.0,186.0,84.0,0.964,0.738,0.837,57.0,-14.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,45.0,0.956,1.0,1.0,5.0,2.0,24.0,11.0,"41,61",0.67,41.0,61.0,"61,76",0.8,61.0,76.0,"44,48",0.92,44.0,48.0,"22,26",0.85,22.0,26.0,0.0,0.0,0.0,0.0,"53,75","7,1","61,79",57,0.0,0.0,0.0,0,0.0,0.0,0.0,-1.0,23.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.710663614552721,5.1429492091356614,2.051531052306561,-0.3795700640864853,10.541658429746827,0.04812447331621947,9.601670073170098,1,99
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,softball,Illinois Wesleyan,"Kuhn, Jen",,,,47,47,160.0,38.0,71.0,59.0,18.0,0.0,8.0,10.0,0.0,1.0,11.0,1.0,11.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.471,113.0,178.0,12.0,0.917,0.444,0.706,71.0,110.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,184.0,0.984,0.0,0.0,4.0,3.0,33.0,47.0,"29,67",0.43,29.0,67.0,"46,97",0.47,46.0,97.0,"36,70",0.51,36.0,70.0,"7,15",0.47,7.0,15.0,0.0,0.0,0.0,0.0,"11,24","15,22","66,106",78,0.0,0.0,0.0,"1,1",1.0,1.0,1.0,23.0,27.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.843941706839464,2.4627537735938354,4.398124503366809,4.947729080986993,1.0914939925018006,0.6142947476246841,8.998340840477795,2,95
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,softball,Illinois Wesleyan,"Khoury, Ava",,,,47,47,139.0,28.0,51.0,50.0,14.0,0.0,9.0,17.0,0.0,4.0,23.0,4.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.439,92.0,165.0,2.0,1.0,0.367,0.662,309.0,13.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,325.0,0.991,0.0,0.0,4.0,4.0,28.0,38.0,"21,58",0.36,21.0,58.0,"32,84",0.38,32.0,84.0,"28,63",0.44,28.0,63.0,"6,15",0.4,6.0,15.0,0.0,0.0,0.0,0.0,"10,24","12,15","49,90",35,0.0,0.0,0.0,2,0.0,0.0,0.0,18.0,34.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8201124540847293,1.598174600838408,3.6159266863467265,5.613641474121178,-0.12352714942970285,2.3128055705500774,7.330823097540135,3,93
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,softball,Wheaton,Abby Whitehead,,,,38,34,103.0,23.0,41.0,42.0,4.0,1.0,8.0,10.0,0.0,0.0,8.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.44,71.0,117.0,0.0,0.0,0.398,0.689,36.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.909,0.0,0.0,3.0,1.0,19.0,36.0,"14,43",0.33,14.0,43.0,"25,63",0.4,25.0,63.0,"19,42",0.45,19.0,42.0,"3,7",0.43,3.0,7.0,0.0,0.0,0.0,0.0,"6,20","11,12","39,71",36,0.0,0.0,0.0,12,0.0,0.0,0.0,10.0,31.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.308197827707362,1.165885014460694,2.920639737884431,4.947729080986993,-0.3935318476367036,0.1896670418933356,6.31107393916057,4,92
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,softball,Augustana,"Duke, Alexis",,,,40,40,144.0,50.0,60.0,29.0,9.0,0.0,4.0,9.0,0.0,5.0,0.0,1.0,14.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.468,81.0,161.0,14.0,1.0,0.417,0.563,51.0,80.0,10.0,0.0,0.0,0.0,0.0,5.0,0.0,141.0,0.929,0.0,0.0,4.0,6.0,30.0,52.0,"7,22",0.32,7.0,22.0,"23,68",0.34,23.0,68.0,"17,40",0.43,17.0,40.0,"5,21",0.24,5.0,21.0,0.0,0.0,0.0,0.0,"38,70","14,17","41,73",209,0.0,0.0,0.0,44,0.0,0.0,0.0,12.0,20.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.28083561782436,3.5002487809003484,1.7907984466332,2.284079508450254,1.4965010398123018,-0.9426735067235935,6.079420620238262,5,91
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,softball,Illinois Wesleyan,"Pinter, Bella",,,,47,46,128.0,25.0,46.0,32.0,7.0,0.0,7.0,23.0,0.0,0.0,18.0,9.0,4.0,1.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.445,74.0,164.0,5.0,0.8,0.359,0.578,8.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0,1.0,3.0,1.0,4.0,6.0,40.0,34.0,"15,37",0.41,15.0,37.0,"25,59",0.42,25.0,59.0,"18,40",0.45,18.0,40.0,"7,13",0.54,7.0,13.0,0.0,0.0,0.0,0.0,"13,33","9,14","46,76",23,0.0,0.0,0.0,69,0.0,0.0,0.0,19.0,22.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5641551408960457,1.3388008490117795,2.051531052306561,4.281816687852809,0.1464775487772979,1.6050927276644968,5.425128456123532,6,90
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,softball,Illinois Wesleyan,"Beckman, Anna",,,,47,47,159.0,46.0,56.0,34.0,12.0,2.0,2.0,12.0,0.0,2.0,11.0,9.0,26.0,2.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.402,78.0,181.0,28.0,0.929,0.352,0.491,63.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,65.0,1.0,0.0,0.0,5.0,8.0,46.0,49.0,"13,46",0.28,13.0,46.0,"26,81",0.32,26.0,81.0,"20,52",0.38,20.0,52.0,"6,16",0.38,6.0,16.0,0.0,0.0,0.0,0.0,"18,38","8,15","51,92",71,0.0,0.0,0.0,0,0.0,0.0,0.0,19.0,35.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0760697672734127,3.1544171117981774,2.2253527894221348,0.9522547221818844,3.116529229054306,0.6142947476246841,5.3212985034552736,7,89
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,softball,Illinois Wesleyan,"Post, Claire",,,,46,42,124.0,14.0,40.0,30.0,5.0,0.0,8.0,12.0,0.0,0.0,17.0,11.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.38,69.0,141.0,2.0,1.0,0.323,0.556,168.0,21.0,1.0,2.0,0.0,27.0,14.0,0.0,0.0,190.0,0.995,41.0,0.659,6.0,4.0,31.0,34.0,"12,40",0.3,12.0,40.0,"27,68",0.4,27.0,68.0,"18,41",0.44,18.0,41.0,"3,9",0.33,3.0,9.0,0.0,0.0,0.0,0.0,"10,26","7,10","44,77",34,0.0,0.0,0.0,14,0.0,0.0,0.0,7.0,31.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2570063650696253,0.3877637589808092,1.8777093151909872,4.947729080986993,-0.12352714942970285,1.4635501590873807,5.169577091793198,8,88
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,softball,Augustana,"Gradin, Aubrey",,,,42,40,133.0,18.0,51.0,43.0,19.0,0.0,5.0,13.0,0.0,0.0,16.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.432,85.0,148.0,1.0,1.0,0.383,0.639,242.0,2.0,3.0,0.0,0.0,0.0,0.0,12.0,0.0,247.0,0.988,0.0,0.0,1.0,3.0,38.0,29.0,"17,49",0.35,17.0,49.0,"31,91",0.34,31.0,91.0,"25,65",0.38,25.0,65.0,"7,15",0.47,7.0,15.0,0.0,0.0,0.0,0.0,"12,25","18,25","53,98",125,0.0,0.0,0.0,82,0.0,0.0,0.0,19.0,40.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8201124540847293,0.7335954280829803,3.0075506064422175,2.9499919015844385,-0.25852949853320323,1.3220075905102646,4.913069970996453,9,87
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,softball,Augustana,"Stontz, McKensey",,,,44,44,162.0,40.0,62.0,36.0,18.0,1.0,3.0,11.0,0.0,3.0,13.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.432,91.0,177.0,3.0,0.667,0.383,0.562,40.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,46.0,0.978,0.0,0.0,6.0,12.0,44.0,33.0,"11,34",0.32,11.0,34.0,"40,100",0.4,40.0,100.0,"26,62",0.42,26.0,62.0,"5,22",0.23,5.0,22.0,0.0,0.0,0.0,0.0,"6,16","6,15","64,104",28,0.0,0.0,0.0,39,0.0,0.0,0.0,11.0,27.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3832185430998334,2.635669608144921,2.399174526537709,1.6181671153160693,-0.12352714942970285,0.8973798847789163,4.839886543977048,10,87
