conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct,z_shot_stats_points,z_shot_stats_goals,z_shot_stats_assists,z_misc_stats_ground_balls,z_misc_stats_caused_turnovers,z_misc_stats_turnovers,z_penalty_stats_minutes,composite_score,rank,rating
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wlax,Carroll,Elizabeth Wang,,,,17,13,0.0,15.0,0.0,0.0,0.0,6.0,39.0,1.0,7.0,2.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,37.0,12.0,780:00,0.0,0.0,1.0,119.0,159.0,18.0,82.0,21.0,61.0,0.748,,,,,,,,,,,,,,,4.234362876967804,4.0957827692456314,3.6192611562234913,0.6941070320756342,0.48534309860403774,1.8400487887976715,0.0,9.662287425405585,1,99
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wlax,Carthage,Piper Lefevre,,,,17,17,0.0,18.0,0.0,0.0,0.0,2.0,33.0,0.0,7.0,5.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,38.0,31.0,23.0,1018:00,61.0,0.0,1.0,85.0,114.0,27.0,73.0,18.0,55.0,0.746,,,,,,,,,,,,,,,3.6991203784746824,3.634045254549882,3.0153053390539344,1.5808999279451352,1.6044960511304291,1.3505776824179954,0.0,9.132458040207814,2,94
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wlax,North Central,Abby MacKenzie,,,,16,16,0.0,10.0,0.0,0.0,0.0,2.0,40.0,0.0,5.0,4.0,0.0,0.0,0.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,113.0,31.0,12.0,958:00,59.0,0.0,1.0,83.0,103.0,16.0,60.0,8.0,52.0,0.806,,,,,,,,,,,,,,,2.92599232509573,3.4031764972020073,1.0021192818220792,2.541592231803761,0.48534309860403774,1.3505776824179954,0.0,6.717866546287932,3,92
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wlax,North Central,Annelise Oster,,,,16,16,0.0,13.0,0.0,0.0,0.0,3.0,47.0,1.0,3.0,2.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,27.0,3.0,918:00,103.0,0.0,1.0,87.0,105.0,24.0,66.0,4.0,62.0,0.829,,,,,,,,,,,,,,,3.282820657424477,4.172739021694923,0.19684485892933698,0.47240880810825886,-0.4303274989175552,1.024263611498211,0.0,6.361722224188879,4,90
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wlax,Carroll,Grace Brockman,,,,17,16,0.0,2.0,0.0,0.0,0.0,0.0,13.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,32.0,1.0,960:00,0.0,0.0,1.0,33.0,49.0,4.0,52.0,30.0,22.0,0.673,,,,,,,,,,,,,,,2.4502212153240666,1.0944889237232587,5.431128607732161,-0.04488704781561673,-0.6338098539223536,1.4321562001479413,0.0,6.351130829134617,5,89
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wlax,Carthage,August Claridge,,,,12,10,0.0,9.0,0.0,0.0,0.0,4.0,41.0,1.0,4.0,2.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,30.0,25.0,18.0,598:00,61.0,0.0,1.0,85.0,107.0,21.0,58.0,7.0,51.0,0.794,,,,,,,,,,,,,,,2.807049547652814,3.3262202447527156,0.8008006760988936,0.9897046640321344,1.095790163618433,0.8611065760383191,0.0,6.309792034604054,6,88
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wlax,Illinois Wesleyan,"Fiandaca, Mia",,,,12,12,0.0,6.0,0.0,0.0,0.0,1.0,15.0,1.0,1.0,2.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,53.0,29.0,58.0,726:00,120.0,0.0,1.0,67.0,101.0,12.0,38.0,2.0,36.0,0.663,,,,,,,,,,,,,,,1.6176217732236553,2.171876458013341,-0.2057923525170341,2.467692823814636,5.165437263714402,1.1874206469581032,0.0,5.026039060347874,7,87
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wlax,Augustana,Madison Langewisch,,,,14,14,0.0,3.0,0.0,0.0,0.0,0.0,26.0,2.0,10.0,2.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,58.0,40.0,10.0,838:00,75.0,0.0,1.0,72.0,93.0,9.0,48.0,12.0,36.0,0.774,,,,,,,,,,,,,,,2.2123356604382347,2.171876458013341,1.8073937047148214,1.6547993359342603,0.28186074359923935,2.0847843419875094,0.0,4.96209670721433,8,86
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wlax,Elmhurst,Gracie Eastman,,,,13,13,0.0,6.0,0.0,0.0,1.0,0.0,30.0,1.0,3.0,3.0,0.0,0.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,58.0,39.0,11.0,768:00,102.0,0.0,1.0,66.0,83.0,18.0,49.0,16.0,33.0,0.795,,,,,,,,,,,,,,,2.2718070491596927,1.9410077006654665,2.6126681276075634,-0.04488704781561673,0.38360192110163854,2.0032058242575634,0.0,4.953813031300141,9,85
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wlax,Carroll,Abby Tubbs,,,,17,17,0.0,4.0,0.0,0.0,0.0,1.0,15.0,3.0,1.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,79.0,27.0,6.0,1020:00,0.0,0.0,1.0,60.0,70.0,10.0,47.0,10.0,37.0,0.857,,,,,,,,,,,,,,,2.1528642717167767,2.248832710462633,1.4047564932684502,0.2507105841408836,-0.12510396641035754,1.024263611498211,0.0,4.563236526094672,10,84
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wlax,Illinois Wesleyan,"Newton, Sadie",,,,17,17,0.0,1.0,0.0,0.0,0.0,2.0,13.0,1.0,2.0,1.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,61.0,29.0,31.0,1026:00,120.0,0.0,1.0,43.0,62.0,4.0,36.0,10.0,26.0,0.694,,,,,,,,,,,,,,,1.4986789957807396,1.402313933520425,1.4047564932684502,2.1720951918581357,2.418425471149623,1.1874206469581032,0.0,4.50604762800408,11,83
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wlax,Carthage,Shannon Heitschmidt,,,,15,13,0.0,1.0,0.0,0.0,0.0,0.0,15.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,15.0,19.0,7.0,773:00,49.0,0.0,1.0,44.0,55.0,8.0,37.0,14.0,23.0,0.8,,,,,,,,,,,,,,,1.5581503845021973,1.1714451761725502,2.2100309161611924,-0.11878645580474181,-0.023362788907958315,0.37163546965864297,0.0,3.8510292054758053,12,82
