season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,goalie_stats
2026-27,wsoc,College Conference of Illinois and Wisconsin (CCIW),cciw,Millikin,"Bearley, Jessica",Jessica,Bearley,,424,"Bearley, Jessica","BEARLEY,JESSICA",Millikin,MUS,684-5304,2,2,00,0,00,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,173:00,0,.00,.00,10,0,1,1,0,.600,1.05,3,2,172:10,2,2,1.00,0.600,.000,1.50,
2026-27,wsoc,College Conference of Illinois and Wisconsin (CCIW),cciw,Millikin,"Everly, Madalyn",Madalyn,Everly,,424,"Everly, Madalyn","EVERLY,MADALYN",Millikin,MUS,684-4853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,wsoc,College Conference of Illinois and Wisconsin (CCIW),cciw,Millikin,"Fulton, Haley",Haley,Fulton,,424,"Fulton, Haley","FULTON,HALEY",Millikin,MUS,684-5314,1,0,99,0,99,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,07:00,0,.00,.00,0,0,0,0,0,0.0,0.00,0,0,07:50,0,1,.00,0.000,.000,.00,
2026-27,wsoc,College Conference of Illinois and Wisconsin (CCIW),cciw,Millikin,"Connelly, Olivia",Olivia,Connelly,,424,"Connelly, Olivia","CONNELLY,OLIVIA",Millikin,MUS,684-5574,2,0,2,0,2,0,0,1,1,0,0,0,0,0,.50,.50,.00,.000,.000,1,0,0,0,0,0,0,.000,1,0,0,0,.50,.00,.00,.00,0,,34:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,wsoc,College Conference of Illinois and Wisconsin (CCIW),cciw,Millikin,"Ward, Alaina",Alaina,Ward,,424,"Ward, Alaina","WARD,ALAINA",Millikin,MUS,684-5575,0,0,4,0,4,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,wsoc,College Conference of Illinois and Wisconsin (CCIW),cciw,Millikin,"Raymond, Audrey",Audrey,Raymond,,424,"Raymond, Audrey","RAYMOND,AUDREY",Millikin,MUS,684-5576,2,0,5,0,5,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,1,0,0,0,.50,.00,.00,.00,0,,58:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,wsoc,College Conference of Illinois and Wisconsin (CCIW),cciw,Millikin,"Weed, Addison",Addison,Weed,,424,"Weed, Addison","WEED,ADDISON",Millikin,MUS,684-5232,2,2,6,0,6,0,0,2,4,2,0,1,0,0,2.00,1.00,1.00,.500,.000,1,1,0,0,0,1,0,.000,2,0,0,0,1.00,.00,.00,.00,0,,105:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,wsoc,College Conference of Illinois and Wisconsin (CCIW),cciw,Millikin,"Schroeder, Ellie",Ellie,Schroeder,,424,"Schroeder, Ellie","SCHROEDER,ELLIE",Millikin,MUS,684-5305,2,2,7,0,7,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,3,0,0,0,1.50,.00,.00,.00,0,,150:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,wsoc,College Conference of Illinois and Wisconsin (CCIW),cciw,Millikin,"Hamilton, Natalie",Natalie,Hamilton,,424,"Hamilton, Natalie","HAMILTON,NATALIE",Millikin,MUS,684-5306,2,0,8,0,8,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,1,0,0,0,.50,.00,.00,.00,0,,37:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,wsoc,College Conference of Illinois and Wisconsin (CCIW),cciw,Millikin,"Schmidt, Caty",Caty,Schmidt,,424,"Schmidt, Caty","SCHMIDT,CATY",Millikin,MUS,684-5307,2,0,9,0,9,0,0,2,3,2,0,1,0,0,1.50,1.00,1.00,.500,.000,1,0,0,0,0,1,0,.000,1,0,0,0,.50,.00,.00,.00,0,,112:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,wsoc,College Conference of Illinois and Wisconsin (CCIW),cciw,Millikin,"Rufino, Chelsey",Chelsey,Rufino,,424,"Rufino, Chelsey","RUFINO,CHELSEY",Millikin,MUS,684-5577,0,0,10,0,10,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,wsoc,College Conference of Illinois and Wisconsin (CCIW),cciw,Millikin,"Meeds, Livia",Livia,Meeds,,424,"Meeds, Livia","MEEDS,LIVIA",Millikin,MUS,684-5313,2,2,11,0,11,0,0,0,1,0,0,0,0,0,.50,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,2,0,0,0,1.00,.00,.00,.00,0,,146:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,wsoc,College Conference of Illinois and Wisconsin (CCIW),cciw,Millikin,"Orrick, Quinn",Quinn,Orrick,,424,"Orrick, Quinn","ORRICK,QUINN",Millikin,MUS,684-5578,1,0,12,0,12,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,1,0,0,0,1.00,.00,.00,.00,0,,22:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,wsoc,College Conference of Illinois and Wisconsin (CCIW),cciw,Millikin,"Valdes, Katelynn",Katelynn,Valdes,,424,"Valdes, Katelynn","VALDES,KATELYNN",Millikin,MUS,684-5579,0,0,13,0,13,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,wsoc,College Conference of Illinois and Wisconsin (CCIW),cciw,Millikin,"Morris, Marissa",Marissa,Morris,,424,"Morris, Marissa","MORRIS,MARISSA",Millikin,MUS,684-5309,2,0,14,0,14,0,0,1,1,0,0,0,0,0,.50,.50,.00,.000,.000,1,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,29:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,wsoc,College Conference of Illinois and Wisconsin (CCIW),cciw,Millikin,"Skol, Julia",Julia,Skol,,424,"Skol, Julia","SKOL,JULIA",Millikin,MUS,684-5580,2,2,15,0,15,0,0,1,1,0,0,0,0,0,.50,.50,.00,.000,.000,1,0,0,0,0,0,0,.000,1,0,0,0,.50,.00,.00,.00,0,,180:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,wsoc,College Conference of Illinois and Wisconsin (CCIW),cciw,Millikin,"Vugteveen, Abby",Abby,Vugteveen,,424,"Vugteveen, Abby","VUGTEVEEN,ABBY",Millikin,MUS,684-5310,0,0,16,0,16,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,wsoc,College Conference of Illinois and Wisconsin (CCIW),cciw,Millikin,"Brown, Mia",Mia,Brown,,424,"Brown, Mia","BROWN,MIA",Millikin,MUS,684-4848,2,2,17,0,17,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,126:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,wsoc,College Conference of Illinois and Wisconsin (CCIW),cciw,Millikin,"Gaudy, Morgan",Morgan,Gaudy,,424,"Gaudy, Morgan","GAUDY,MORGAN",Millikin,MUS,684-5581,2,0,19,0,19,0,0,2,2,0,0,0,0,0,1.00,1.00,.00,.000,.000,2,0,0,0,0,0,0,.000,2,0,0,0,1.00,.00,.00,.00,0,,82:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,wsoc,College Conference of Illinois and Wisconsin (CCIW),cciw,Millikin,"Ramsey, Hannah",Hannah,Ramsey,,424,"Ramsey, Hannah","RAMSEY,HANNAH",Millikin,MUS,684-5312,2,2,20,0,20,0,0,5,6,2,0,1,0,0,3.00,2.50,1.00,.500,.000,4,0,0,0,0,1,0,.000,0,0,0,0,.00,.00,.00,.00,0,,115:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,wsoc,College Conference of Illinois and Wisconsin (CCIW),cciw,Millikin,"Smith, Alanna",Alanna,Smith,,424,"Smith, Alanna","SMITH,ALANNA",Millikin,MUS,684-4852,1,0,21,0,21,0,0,1,1,0,0,0,0,0,1.00,1.00,.00,.000,.000,1,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,20:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,wsoc,College Conference of Illinois and Wisconsin (CCIW),cciw,Millikin,"Keisacker, Emma",Emma,Keisacker,,424,"Keisacker, Emma","KEISACKER,EMMA",Millikin,MUS,684-5582,2,0,22,0,22,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,56:00,0,.00,.00,,,,,,,,,,,,,,,,,
