season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats,team_name,team_id,sdrm_id,this_is_softball,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,hitting_stats,fielding_stats,hitting_summary_stats,composite_score,global_rank,rating,ranking_segment,pitching_stats_k_per_9,pitching_stats_whip,pitching_stats_strike_percentage
2026-27,baseball,Centennial Conference,centennial_conference,Swarthmore,Kedar Leor,Kedar,Leor,,686,Kedar Leor,0,0SWARTHMO,15,15,,,62,27,35,25,7,3,8,9,2,2,9,1,13,5,0,1,0,0,0,1,1,1,0,0.622,72,74,18,.722,.565,1.161,28,1,1,0,0,0,0,0,0,30,.967,0,.000,,1,1,8,9,"10,19",0.53,10,19,"17,30",0.57,17,30,"13,21",0.62,13,21,"6,7",0.86,6,7,"2,10",0.20,2,10,"14,25","4,5","22,33",99,0,0,0,0,0,0,0,2,7,0,,Swarthmore,SWARTHMO,670-6562,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.32126122101916,1,99,batting,,,
2026-27,baseball,Centennial Conference,centennial_conference,Washington College,Chase Ruppel,Chase,Ruppel,,753,Chase Ruppel,0,0WASHINGT,21,21,,,74,30,31,33,8,2,9,23,0,5,11,6,5,2,0,0,0,0,0,1,0,2,0,0.578,70,102,7,.714,.419,.946,146,7,2,0,0,0,0,10,0,155,.987,0,.000,,0,2,13,18,"9,21",0.43,9,21,"21,46",0.46,21,46,"13,31",0.42,13,31,"7,18",0.39,7,18,0,0,0,0,"4,8","6,15","32,51",70,0,0,0,0,0,0,0,4,8,0,,Washington College,WASHINGT,672-3967,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.405866667345823,2,99,batting,,,
2026-27,baseball,Centennial Conference,centennial_conference,Swarthmore,Sullivan Aidan,Sullivan,Aidan,,686,Sullivan Aidan,0,0SWARTHMO,15,15,,,59,21,28,19,7,0,3,11,1,4,4,3,11,2,1,0,0,0,0,3,0,3,0,0.581,44,75,13,.846,.475,.746,24,2,1,0,0,0,0,1,0,27,.963,0,.000,,1,0,16,11,"9,18",0.50,9,18,"14,33",0.42,14,33,"11,26",0.42,11,26,"1,5",0.20,1,5,0,0,0,0,"5,6","6,9","22,37",34,0,0,0,0,0,0,0,8,16,0,,Swarthmore,SWARTHMO,670-5766,False,0,1,0,0,0,0,0,0,0,0,2.0,1,0,2,4,0,0,0,0.00,6,8,0,0,0,0,0,0,0,1,.000,0,0,0,"1,1","0,2","0,1",0,"0,1",,,,7.2914258539922345,3,99,batting,,,
2026-27,baseball,Centennial Conference,centennial_conference,Franklin & Marshall,Matt Hollender,Matt,Hollender,,239,Matt Hollender,0,0FMC,17,17,,,62,17,28,28,6,0,3,5,0,4,9,1,0,1,0,0,0,0,0,0,0,0,0,0.521,43,71,1,.000,.452,.694,69,9,3,1,0,9,3,0,0,81,.963,12,.750,,3,2,9,13,"7,21",0.33,7,21,"21,40",0.53,21,40,"17,29",0.59,17,29,"5,11",0.45,5,11,0,0,0,0,"5,12","6,7","33,45",22,0,0,0,0,0,0,0,5,9,0,,Franklin & Marshall,FMC,664-5088,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.735855656002334,4,98,batting,,,
2026-27,baseball,Centennial Conference,centennial_conference,Johns Hopkins,William Jaun,William,Jaun,,322,William Jaun,0,0JHU,21,21,,,66,31,27,27,6,0,4,11,0,1,8,2,1,0,0,2,0,0,0,3,0,3,0,0.488,45,80,1,1.000,.409,.682,123,5,2,0,0,2,0,11,0,130,.985,2,1.000,,1,1,21,11,"6,22",0.27,6,22,"17,45",0.38,17,45,"11,36",0.31,11,36,"4,13",0.31,4,13,0,0,0,0,"8,12","11,14","31,51",21,0,0,0,0,0,0,0,14,16,0,,Johns Hopkins,JHU,667-8179,False,17,1,5,1,1,0,0,0,0,0,19.1,12,12,11,25,5,0,2,5.59,69,88,4,4,0,3,1,0,0,5,.246,17,13,1,"1,4","0,3","1,3",0,"0,2",,,,5.849960295536299,5,98,batting,,,
2026-27,baseball,Centennial Conference,centennial_conference,Franklin & Marshall,Tanner Wolpert,Tanner,Wolpert,,239,Tanner Wolpert,0,0FMC,13,11,,,34,18,14,16,4,2,2,9,0,4,6,0,1,0,1,1,0,0,0,0,0,0,0,0.563,28,49,1,1.000,.412,.824,47,0,3,0,0,0,0,3,0,50,.940,0,.000,,1,0,6,9,"7,13",0.54,7,13,"8,16",0.50,8,16,"6,11",0.55,6,11,"2,6",0.33,2,6,0,0,0,0,"5,10","5,6","17,22",33,0,0,0,2,0,0,0,7,1,0,,Franklin & Marshall,FMC,664-5697,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.814471931987549,6,98,batting,,,
2026-27,baseball,Centennial Conference,centennial_conference,Johns Hopkins,Lukas Geer,Lukas,Geer,,322,Lukas Geer,0,0JHU,20,20,,,67,34,25,33,6,0,4,13,0,5,20,7,4,0,0,4,0,0,0,1,0,2,0,0.483,43,89,4,1.000,.373,.642,27,1,0,0,0,0,0,0,0,28,1.000,0,.000,,2,4,12,11,"6,17",0.35,6,17,"21,42",0.50,21,42,"17,33",0.52,17,33,"4,13",0.31,4,13,0,0,0,0,"8,18","11,13","35,52",27,0,0,0,0,0,0,0,7,12,0,,Johns Hopkins,JHU,667-5666,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.694763884573779,7,97,batting,,,
2026-27,baseball,Centennial Conference,centennial_conference,McDaniel,Ben Davis,Ben,Davis,,773,Ben Davis,0,0MCDANIEL,21,21,,,80,23,33,34,9,1,2,15,2,2,8,2,0,2,0,2,0,0,0,2,0,2,0,0.505,50,99,2,.000,.413,.625,139,7,1,0,0,0,0,9,0,147,.993,0,.000,,3,1,14,24,"12,31",0.39,12,31,"23,46",0.50,23,46,"19,33",0.58,19,33,"6,12",0.50,6,12,0,0,0,0,"6,14","10,15","37,55",123,0,0,0,0,0,0,0,7,19,0,,McDaniel,MCDANIEL,668-3100,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.68402203047069,8,97,batting,,,
2026-27,baseball,Centennial Conference,centennial_conference,Johns Hopkins,Jacob Harris,Jacob,Harris,,322,Jacob Harris,0,0JHU,19,19,,,71,26,24,22,3,0,7,13,0,5,4,1,8,0,0,0,0,0,0,0,0,0,0,0.472,48,89,8,1.000,.338,.676,35,36,2,0,0,0,0,11,0,73,.973,0,.000,,2,1,15,26,"4,17",0.24,4,17,"10,27",0.37,10,27,"6,17",0.35,6,17,"3,11",0.27,3,11,0,0,0,0,"16,33","6,7","18,31",60,0,0,0,0,0,0,0,4,11,0,,Johns Hopkins,JHU,667-5663,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.319782741465891,9,97,batting,,,
2026-27,baseball,Centennial Conference,centennial_conference,Gettysburg,Henry Smith,Henry,Smith,,258,Henry Smith,0,0GETTYSBU,17,10,,,40,15,20,6,2,4,0,8,0,0,8,4,10,0,0,0,0,0,0,0,0,0,0,0.583,30,48,10,1.000,.500,.750,19,0,0,0,0,0,0,0,0,19,1.000,0,.000,,0,2,7,5,"5,12",0.42,5,12,"9,20",0.45,9,20,"6,14",0.43,6,14,"10,15",0.67,10,15,0,0,0,0,"6,13","0,1","12,23",0,0,0,0,"1,1",1.00,1,1,0,9,0,,Gettysburg,GETTYSBU,665-2370,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.711933847758678,10,96,batting,,,
