conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct
centennial_conference,Centennial Conference,2025-26,mlax,Dickinson,Ramsey Huggins,,,,22,20,0,0,0,0,0,1,13,1,0,3,0,0,0,0,0,0,0,1,6,0,0,0,0,49,0,31,10,1205:00,152,0,1.000,64,106,0,47,12,35,.604,,,,,,,,,,,,,,
centennial_conference,Centennial Conference,2025-26,mlax,Dickinson,Parker Polgar,,,,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,0,00:00,0,0,1.000,4,9,0,5,3,2,.444,,,,,,,,,,,,,,
centennial_conference,Centennial Conference,2025-26,mlax,Dickinson,Ryan Backus,,,,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,27,3,0,0,2,00:00,0,36,1.000,0,0,0,0,0,0,.000,,,,,,,,,,,,,,
centennial_conference,Centennial Conference,2025-26,mlax,Dickinson,Landen Hyatt,,,,21,15,0,0,0,0,0,3,8,0,6,3,0,0,0,0,0,0,0,1,3,0,0,0,0,22,0,16,1,905:00,152,0,1.000,67,129,0,55,5,50,.519,,,,,,,,,,,,,,
centennial_conference,Centennial Conference,2025-26,mlax,Dickinson,Taner Marusa,,,,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,00:00,0,0,1.000,4,4,0,3,0,3,1.000,,,,,,,,,,,,,,
centennial_conference,Centennial Conference,2025-26,mlax,Dickinson,Mac Childs,,,,16,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,13,0,243:00,23,0,1.000,24,48,0,9,5,4,.500,,,,,,,,,,,,,,
centennial_conference,Centennial Conference,2025-26,mlax,Dickinson,Blake Resnick,,,,7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,60:00,0,0,1.000,1,2,0,1,0,1,.500,,,,,,,,,,,,,,
centennial_conference,Centennial Conference,2025-26,mlax,Dickinson,Hagen McTear,,,,9,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,240:00,0,0,1.000,10,15,0,6,0,6,.667,,,,,,,,,,,,,,
centennial_conference,Centennial Conference,2025-26,mlax,Dickinson,Jamie Book,,,,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,26,0,5,6,00:00,0,0,1.000,1,1,0,2,2,0,1.000,,,,,,,,,,,,,,
centennial_conference,Centennial Conference,2025-26,mlax,Dickinson,Ethan Gess,,,,22,22,0,0,0,0,0,2,5,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,38,0,33,3,1325:00,152,0,1.000,59,95,0,52,29,23,.621,,,,,,,,,,,,,,
