season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats,team_name,team_id,sdrm_id,this_is_softball,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,hitting_stats,fielding_stats,hitting_summary_stats
2025-26,softball,Centennial Conference,centennial_conference,Gettysburg,Audrey Bergan,Audrey,Bergan,,258,Audrey Bergan,0,0GC,50,50,,,167,58,78,25,5,4,0,24,0,1,12,5,9,1,1,0,0,0,0,0,0,0,0,0.536,91,193,10,.900,.467,.545,46,2,5,0,0,0,0,0,0,53,.906,0,.000,,6,6,53,19,"21,52",0.40,21,52,"37,75",0.49,37,75,"25,49",0.51,25,49,"7,12",0.58,7,12,0,0,0,0,"40,69","7,7","56,82",37,0,0,0,0,0,0,0,9,29,0,,Gettysburg,GC,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-26,softball,Centennial Conference,centennial_conference,Gettysburg,Elie Lardiere,Elie,Lardiere,,258,Elie Lardiere,0,0GC,6,-1,,,1,4,2,4,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.333,6,3,0,.000,2.000,6.000,1,-3,-1,0,0,0,0,0,0,-3,.667,0,.000,,0,0,3,1,"2,2",1.00,2,2,"2,2",1.00,2,2,"2,1",2.00,2,1,"0,3",0,0,3,0,0,0,0,"0,2","1,1","3,4",0,0,0,0,23,0,0,0,2,0,0,,Gettysburg,GC,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-26,softball,Centennial Conference,centennial_conference,Gettysburg,Jamie Shaw,Jamie,Shaw,,258,Jamie Shaw,0,0GC,49,49,,,153,47,55,17,3,2,1,21,0,1,29,8,10,3,6,1,0,0,0,0,0,0,0,0.438,65,182,13,.769,.359,.425,52,7,5,0,0,0,0,2,0,64,.922,0,.000,,8,9,48,18,"15,38",0.39,15,38,"31,89",0.35,31,89,"15,54",0.28,15,54,"7,11",0.64,7,11,0,0,0,0,"17,30","10,15","62,104",96,0,0,0,0,0,0,0,19,30,0,,Gettysburg,GC,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-26,softball,Centennial Conference,centennial_conference,Gettysburg,Kate Buckley,Kate,Buckley,,258,Kate Buckley,0,0GC,21,0,,,0,10,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,0,1,1,1.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0.000,0,.000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Gettysburg,GC,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-26,softball,Centennial Conference,centennial_conference,Gettysburg,Elliana Hopple,Elliana,Hopple,,258,Elliana Hopple,0,0GC,39,39,,,116,22,37,40,11,2,0,9,0,8,14,2,1,0,5,6,0,0,0,0,0,2,0,0.388,52,144,1,1.000,.319,.448,172,17,3,4,0,20,4,0,0,192,.984,24,.833,,5,6,30,41,"15,40",0.38,15,40,"27,78",0.35,27,78,"20,51",0.39,20,51,"1,4",0.25,1,4,0,0,0,0,"4,16","15,18","57,98",68,0,0,0,0,0,0,0,20,24,0,,Gettysburg,GC,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-26,softball,Centennial Conference,centennial_conference,Gettysburg,Emma Rokoszak,Emma,Rokoszak,,258,Emma Rokoszak,0,0GC,1,-1,,,-2,-1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,-1.000,0,0,0,.000,.000,.000,-2,0,0,0,0,0,0,0,0,-2,1.000,0,.000,,1,0,1,0,"0,2",0,0,2,"0,1",0,0,1,"0,1",0,0,1,"0,2",0,0,2,0,0,0,0,0,0,"1,2",0,0,0,0,0,0,0,0,1,0,0,,Gettysburg,GC,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-26,softball,Centennial Conference,centennial_conference,Gettysburg,Zoe Brennan,Zoe,Brennan,,258,Zoe Brennan,0,0GC,25,15,,,42,10,15,4,3,0,0,2,0,0,6,0,5,0,4,0,0,0,0,0,0,0,0,0.386,18,48,5,1.000,.357,.429,10,2,1,0,0,0,0,0,0,13,.923,0,.000,,1,5,18,6,"3,13",0.23,3,13,"5,21",0.24,5,21,"3,14",0.21,3,14,"1,1",1.00,1,1,0,0,0,0,"3,5","1,3","13,26",5,0,0,0,0,0,0,0,4,13,0,,Gettysburg,GC,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-26,softball,Centennial Conference,centennial_conference,Gettysburg,Morgan DeFreitas,Morgan,DeFreitas,,258,Morgan DeFreitas,0,0GC,46,43,,,130,20,50,36,10,0,1,23,0,0,12,2,0,0,0,3,0,0,0,0,0,2,0,0.468,63,156,0,.000,.385,.485,274,15,4,0,0,0,0,3,0,293,.986,0,.000,,5,3,32,33,"21,52",0.40,21,52,"34,86",0.40,34,86,"20,53",0.38,20,53,"1,3",0.33,1,3,0,0,0,0,"14,29","12,15","56,96",221,0,0,0,50,0,0,0,13,32,0,,Gettysburg,GC,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-26,softball,Centennial Conference,centennial_conference,Gettysburg,Sydney Goldstein,Sydney,Goldstein,,258,Sydney Goldstein,0,0GC,5,2,,,5,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.429,1,7,0,.000,.200,.200,11,1,0,0,0,0,0,0,0,12,1.000,0,.000,,0,0,1,2,0,0,0,0,"0,1",0,0,1,"0,1",0,0,1,0,0,0,0,0,0,0,0,"1,4",0,"0,1",0,0,0,0,13,0,0,0,0,0,0,,Gettysburg,GC,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-26,softball,Centennial Conference,centennial_conference,Gettysburg,Renee Laczkowski,Renee,Laczkowski,,258,Renee Laczkowski,0,0GC,48,46,,,141,18,45,44,10,1,4,13,0,1,19,7,0,0,0,4,0,0,0,0,0,2,0,0.371,69,159,0,.000,.319,.489,29,68,15,0,0,0,0,4,0,112,.866,0,.000,,5,4,38,38,"15,49",0.31,15,49,"29,92",0.32,29,92,"19,66",0.29,19,66,"5,8",0.63,5,8,0,0,0,0,"13,24","18,23","58,104",119,0,0,0,4,0,0,0,25,34,0,,Gettysburg,GC,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
