season,sport,gender,conference,conference_code,team,school_name,player_name,position,class_year,clippd_player_id,clippd_rank,player_ranking_status,scoring_stats_scoring_average,scoring_stats_vs_par,scoring_stats_rounds,scoring_stats_adjusted_score,scoring_stats_stroke_play_events,top10_finishes,events_won,average_points,strength_of_schedule,region,data_source,global_rank,rating,composite_score
2025-26,wgolf,Women,Centennial Conference,centennial_conference,Franklin & Marshall,Franklin & Marshall College,Sarah Wang,,Third Year,34553,100000,ACTIVE,78.18,6.18,11,78.1545273163802,9,8,5,14.8522094908433,-30.7705331883248,Southeast - (W) DIII,clippd_scoreboard,128,91,17.7718239549221
2025-26,wgolf,Women,Centennial Conference,centennial_conference,Marymount (VA),Marymount University - Virginia,Chonpatchsorn Mahathep,,Second Year,8047,223,ACTIVE,78.45,6.45,20,79.3881924713357,11,7,0,9.88617670808244,-23.3066139530511,Southeast - (W) DIII,clippd_scoreboard,146,91,16.1059688354028
2025-26,wgolf,Women,Centennial Conference,centennial_conference,Marymount (VA),Marymount University - Virginia,Tinleigh Rusher,,Third Year,34414,197,ACTIVE,79.05,7.05,20,79.9881924713358,11,3,3,11.4150221954967,-23.3066139530511,Southeast - (W) DIII,clippd_scoreboard,182,90,12.1470533342541
2025-26,wgolf,Women,Centennial Conference,centennial_conference,Marymount (VA),Marymount University - Virginia,Kate Parsons,,,27089,214,ACTIVE,79.35,7.35,20,80.2881924713357,11,3,2,10.5523735870382,-23.3066139530511,Southeast - (W) DIII,clippd_scoreboard,196,89,11.529751466014
2025-26,wgolf,Women,Centennial Conference,centennial_conference,Marymount (VA),Marymount University - Virginia,Eunice Chang,,Third Year,34412,295,ACTIVE,80.6,8.6,20,81.5381924713357,11,1,1,6.94068035176364,-23.3066139530511,Southeast - (W) DIII,clippd_scoreboard,283,87,7.50017724581627
2025-26,wgolf,Women,Centennial Conference,centennial_conference,Marymount (VA),Marymount University - Virginia,Noelle Jensen,,,27962,344,ACTIVE,81.1,9.1,20,82.0381924713357,11,1,0,5.25034883229085,-23.3066139530511,Southeast - (W) DIII,clippd_scoreboard,311,86,6.42793354817866
2025-26,wgolf,Women,Centennial Conference,centennial_conference,Gettysburg,Gettysburg College,Lucy Barton,,Fourth Year,27472,100000,ACTIVE,82.45,10.45,11,81.1182665193425,7,4,1,6.27567416533651,-23.6589382663157,Southeast - (W) DIII,clippd_scoreboard,398,83,4.08384751486112
2025-26,wgolf,Women,Centennial Conference,centennial_conference,Gettysburg,Gettysburg College,Chloe Barton,,Fourth Year,9825,309,ACTIVE,83.0,11.0,12,81.5198730433926,8,2,0,6.58478288618003,-23.9280609628676,Southeast - (W) DIII,clippd_scoreboard,437,82,3.31801600869322
2025-26,wgolf,Women,Centennial Conference,centennial_conference,Franklin & Marshall,Franklin & Marshall College,Allie Tarreto,,Second Year,4203,100000,ACTIVE,86.09,14.09,11,86.0636182254711,9,3,0,3.40066911555908,-30.7705331883248,Southeast - (W) DIII,clippd_scoreboard,660,75,1.20508731491423
2025-26,wgolf,Women,Centennial Conference,centennial_conference,Gettysburg,Gettysburg College,Claire Mamlouk,,Second Year,8838,472,ACTIVE,86.4,14.4,15,85.0277020829406,11,0,0,2.80203687325836,-27.624021565423,Southeast - (W) DIII,clippd_scoreboard,681,75,1.03569488526438
