conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,z_per_set_stats_points,z_per_set_stats_kills,z_per_set_stats_assists,z_per_set_stats_blocks,z_per_set_stats_aces,z_per_set_stats_digs,z_attack_stats_errors,z_serve_stats_errors,composite_score,rank,rating
centennial_conference,Centennial Conference,2025-26,wvball,Dickinson,"Thomas, Mallie",0,,5,102,51,0.209,1127.0,173.0,408.0,23.0,1.0,84.0,0.0,41.0,28.0,387.0,0.0,0.0,505.0,27.0,313.0,20.0,2.0,18.0,2.0,460.0,3.0,4.0,0.23,3.07,0.2,0.4,4.51,3.0454475606952465,3.095444364308502,-0.39605097777521203,-0.08683480776077558,1.084478476585248,1.8233535756799513,3.671472732743165,1.0680883589418075,5.289281463707807,1,99
centennial_conference,Centennial Conference,2025-26,wvball,Johns Hopkins,"Adam, Simone",0,,20,102,94,0.319,912.0,76.0,367.0,12.0,3.0,91.0,0.0,27.0,47.0,297.0,0.0,0.0,403.0,25.0,285.0,55.0,2.0,46.0,9.0,426.0,0.0,3.6,0.12,2.79,0.54,0.26,4.18,2.7358635416564363,2.6913667406484354,-0.46604664224066433,1.1667294007950144,0.33436134456273037,1.5474761847337497,1.1786119933422061,2.4265346912515815,5.234931365443224,2,95
centennial_conference,Centennial Conference,2025-26,wvball,Johns Hopkins,"Swafford, Ivy",0,,8,23,24,0.201,229.0,31.0,77.0,2.0,0.0,6.0,0.0,7.0,7.0,52.0,0.0,0.0,66.0,6.0,58.0,9.0,0.0,7.0,2.0,89.5,0.0,3.35,0.09,2.52,0.39,0.3,3.89,2.463804858258694,2.4388182258608935,-0.48513636891306045,0.6136863676086364,0.5486805251405924,1.2814515577499124,0.022130207022173453,-0.4333523241374162,5.009365091906912,3,93
centennial_conference,Centennial Conference,2025-26,wvball,Johns Hopkins,"Swaak, Helena",0,,5,109,94,0.233,528.0,79.0,202.0,635.0,17.0,1503.0,0.0,45.0,58.0,378.0,0.0,0.0,6.0,1.0,339.0,63.0,0.0,60.0,3.0,280.0,2.0,1.85,5.83,3.11,0.58,0.41,2.57,1.2254687821034533,0.923527137135644,3.167364667738723,1.3142075429780482,1.1380582717297132,1.8627646315294089,1.255710779096875,3.213003620483556,4.870285012650734,4,91
centennial_conference,Centennial Conference,2025-26,wvball,Muhlenberg,"Marcin, Christina",0,,16,87,41,0.205,860.0,124.0,300.0,26.0,2.0,102.0,0.0,34.0,21.0,301.0,0.0,0.0,423.0,31.0,243.0,15.0,2.0,14.0,1.0,342.0,1.0,3.45,0.3,2.79,0.17,0.39,3.93,2.501330193899762,2.5398376317759106,-0.3515082822062879,-0.19744341439805116,1.0308986814407823,1.5474761847337497,2.412192565416907,0.567608131248733,4.4836028153491885,5,90
centennial_conference,Centennial Conference,2025-26,wvball,Haverford,Elizabeth Cella,0,,19,105,57,0.224,978.0,142.0,361.0,10.0,1.0,52.0,0.0,29.0,40.0,212.0,0.0,0.0,527.0,43.0,264.0,42.0,8.0,36.0,6.0,414.0,1.0,3.44,0.1,2.51,0.4,0.28,3.94,2.5107115278100287,2.5297356911844084,-0.4787731266889284,0.6505559031543949,0.44152093485166155,1.2715987937875477,2.8747852799449203,1.926054463558507,4.2994597263641126,6,89
centennial_conference,Centennial Conference,2025-26,wvball,Gettysburg,"Huegel, Mary",0,,20,90,55,0.328,427.0,40.0,180.0,4.0,2.0,29.0,0.0,28.0,27.0,241.0,0.0,0.0,4.0,0.0,48.0,104.0,10.0,72.0,32.0,276.0,1.0,2.0,0.04,0.53,1.16,0.31,3.07,1.694535477616802,1.075056246008169,-0.5169525800337205,3.4526406046320424,0.602260320285058,-0.6792484707605935,0.25342656428617993,0.9965911835570826,3.891476807930056,7,88
centennial_conference,Centennial Conference,2025-26,wvball,Franklin & Marshall,"Shultz, Coco",0,,4,94,60,0.177,798.0,119.0,260.0,19.0,3.0,97.0,0.0,57.0,44.0,434.0,0.0,0.0,563.0,30.0,283.0,13.0,0.0,10.0,3.0,325.0,0.0,2.77,0.2,3.01,0.14,0.61,3.46,2.0604075001172144,1.8529056715537973,-0.41514070444760803,-0.3080520210353267,2.209654174619024,1.7642369919057652,2.283694589159126,2.212043165097407,3.7865992876565087,8,87
centennial_conference,Centennial Conference,2025-26,wvball,Franklin & Marshall,"Connolly, Ceci",0,,15,95,59,0.313,693.0,88.0,305.0,4.0,6.0,66.0,0.0,0.0,1.0,2.0,0.0,0.0,7.0,0.0,67.0,61.0,5.0,56.0,5.0,338.0,0.0,3.21,0.04,0.71,0.64,0.0,3.56,2.154220839219884,2.2973910575798704,-0.5169525800337205,1.5354247562525996,-1.0587133291933737,-0.5018987194380352,1.4870071363608814,-0.8623353764457659,3.6895466142253897,9,87
centennial_conference,Centennial Conference,2025-26,wvball,Franklin & Marshall,"Benkowitz, Melissa",0,,16,96,60,0.202,863.0,131.0,305.0,21.0,4.0,127.0,0.0,39.0,47.0,351.0,0.0,0.0,433.0,30.0,269.0,11.0,3.0,9.0,2.0,350.5,1.0,3.18,0.22,2.8,0.11,0.41,3.65,2.2386528444122864,2.2670852358053653,-0.40241421999934407,-0.4186606276726023,1.1380582717297132,1.557328948696114,2.592089732177801,2.4265346912515815,3.6850263175258666,10,86
centennial_conference,Centennial Conference,2025-26,wvball,Haverford,Eliana Brown,0,,7,103,66,0.166,877.0,120.0,266.0,29.0,3.0,84.0,0.0,35.0,31.0,351.0,0.0,0.0,603.0,48.0,329.0,44.0,0.0,43.0,1.0,323.5,3.0,2.58,0.28,3.19,0.43,0.34,3.14,1.760204814988671,1.6609688003152656,-0.36423476665455184,0.7611645097916704,0.7629997057184548,1.9415867432283236,2.3093941844106824,1.2825798850959824,3.451480992846715,11,85
centennial_conference,Centennial Conference,2025-26,wvball,Swarthmore,"Adam, Isabel",0,,10,99,64,0.205,982.0,146.0,347.0,11.0,2.0,82.0,0.0,20.0,22.0,179.0,0.0,0.0,444.0,32.0,169.0,12.0,1.0,8.0,4.0,375.0,4.0,3.51,0.11,1.71,0.12,0.2,3.79,2.3699915191560246,2.6004492753249204,-0.47240988446479637,-0.3817910921268438,0.012882573695937167,0.4833776767983998,2.9775836609511455,0.6391053066334579,3.4425796484980613,12,84
centennial_conference,Centennial Conference,2025-26,wvball,Muhlenberg,"Oswari, Abigail",0,,2,83,39,0.142,646.0,104.0,196.0,18.0,4.0,75.0,0.0,44.0,16.0,336.0,0.0,0.0,398.0,19.0,220.0,15.0,0.0,14.0,1.0,248.0,0.0,2.36,0.22,2.65,0.18,0.53,2.99,1.6194848063346665,1.4387261073022288,-0.40241421999934407,-0.16057387885229268,1.7810158134633,1.4095374892606487,1.8982006603857817,0.21012225432510825,3.112868560941512,13,84
centennial_conference,Centennial Conference,2025-26,wvball,Dickinson,"Kim, Amelia",0,,11,101,46,0.198,875.0,124.0,297.0,8.0,3.0,51.0,0.0,2.0,4.0,61.0,0.0,0.0,357.0,24.0,142.0,42.0,2.0,36.0,6.0,323.0,0.0,2.94,0.08,1.41,0.42,0.02,3.2,1.816492818450273,2.024638661609325,-0.4914996111371925,0.7242949742459118,-0.9515537389044426,0.18779475792746927,2.412192565416907,-0.6478438502915911,2.752124534044241,14,83
centennial_conference,Centennial Conference,2025-26,wvball,Gettysburg,"Gonzalez, Erin",0,,1,96,57,0.196,693.0,84.0,220.0,11.0,0.0,100.0,0.0,33.0,17.0,334.0,0.0,0.0,404.0,30.0,249.0,30.0,4.0,28.0,2.0,269.0,0.0,2.29,0.11,2.59,0.31,0.34,2.8,1.4412394620395936,1.3680125231617173,-0.47240988446479637,0.31873008324256813,0.7629997057184548,1.3504209054864627,1.3842087553546563,0.28161942970983317,2.7493700061284563,15,83
centennial_conference,Centennial Conference,2025-26,wvball,Ursinus,"Eglinton, Mel",0,,10,83,59,0.235,533.0,69.0,194.0,19.0,5.0,87.0,0.0,16.0,15.0,190.0,0.0,0.0,419.0,29.0,185.0,35.0,6.0,24.0,11.0,233.0,0.0,2.34,0.23,2.23,0.42,0.19,2.81,1.450620795949861,1.4185222261192254,-0.39605097777521203,0.7242949742459118,-0.04069722144852842,0.995721402841346,0.998714826581312,0.1386250789403833,2.729001466223694,16,82
centennial_conference,Centennial Conference,2025-26,wvball,Bryn Mawr,"Loller, Emma",0,,17,72,40,0.056,533.0,129.0,159.0,9.0,11.0,103.0,0.0,32.0,21.0,205.0,0.0,0.0,288.0,41.0,122.0,28.0,5.0,17.0,11.0,210.5,0.0,2.21,0.13,1.69,0.39,0.44,2.92,1.5538154689627974,1.2871969984297038,-0.4596834000165323,0.6136863676086364,1.2987976571631101,0.46367214887367114,2.5406905416746888,0.567608131248733,2.6851443901248104,17,82
centennial_conference,Centennial Conference,2025-26,wvball,McDaniel,"Young, Kailey",0,,6,90,58,0.17,647.0,125.0,235.0,6.0,1.0,43.0,0.0,8.0,6.0,38.0,0.0,0.0,4.0,0.0,65.0,56.0,1.0,47.0,9.0,275.5,1.0,2.61,0.07,0.72,0.62,0.09,3.06,1.6851541437065352,1.6912746220897703,-0.49786285336132446,1.4616856851610824,-0.5764951728931839,-0.49204595547567087,2.4378921606684636,-0.5048494995221412,2.6795959317344282,18,81
centennial_conference,Centennial Conference,2025-26,wvball,Washington College,"Diehl, Izzy",0,,7,66,24,0.241,503.0,73.0,194.0,3.0,5.0,49.0,0.0,1.0,3.0,9.0,0.0,0.0,133.0,12.0,61.0,22.0,0.0,19.0,3.0,208.0,1.0,2.94,0.05,0.92,0.33,0.02,3.15,1.769586148898938,2.024638661609325,-0.5105893378095885,0.39246915433408525,-0.9515537389044426,-0.29499067622838376,1.1015132075875371,-0.719341025676316,2.6764403490989386,19,80
