conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points
centennial_conference,Centennial Conference,2025-26,wvball,Johns Hopkins,"De Marzi, Michela",0,,9,105,94,.301,379,51,165,11,1,50,0,1,3,21,0,0,6,0,55,105,5,87,18,227.5,2,1.57,0.10,0.52,1.00,0.01,2.17
centennial_conference,Centennial Conference,2025-26,wvball,Johns Hopkins,"Wilhelm, Grace",0,,22,40,0,1.000,1,0,1,10,1,49,0,8,11,95,0,0,100,8,51,0,0,0,0,9,0,0.03,0.25,1.28,0.00,0.20,0.23
centennial_conference,Centennial Conference,2025-26,wvball,Johns Hopkins,"Swaak, Helena",0,,5,109,94,.233,528,79,202,635,17,1503,0,45,58,378,0,0,6,1,339,63,0,60,3,280,2,1.85,5.83,3.11,0.58,0.41,2.57
centennial_conference,Centennial Conference,2025-26,wvball,Johns Hopkins,"Yu, Alice",0,,18,107,94,.272,382,52,156,14,3,63,0,34,40,334,0,0,7,0,76,106,4,85,21,253.5,0,1.46,0.13,0.71,0.99,0.32,2.37
centennial_conference,Centennial Conference,2025-26,wvball,Johns Hopkins,"Adam, Simone",0,,20,102,94,.319,912,76,367,12,3,91,0,27,47,297,0,0,403,25,285,55,2,46,9,426,0,3.60,0.12,2.79,0.54,0.26,4.18
centennial_conference,Centennial Conference,2025-26,wvball,Johns Hopkins,"Swafford, Ivy",0,,8,23,24,.201,229,31,77,2,0,6,0,7,7,52,0,0,66,6,58,9,0,7,2,89.5,0,3.35,0.09,2.52,0.39,0.30,3.89
centennial_conference,Centennial Conference,2025-26,wvball,Johns Hopkins,"Sol, Alejandra",0,,24,5,0,.000,0,0,0,0,0,0,0,1,0,11,0,0,9,0,9,0,0,0,0,1,0,0.00,0.00,1.80,0.00,0.20,0.20
centennial_conference,Centennial Conference,2025-26,wvball,Johns Hopkins,"Tuszynski, Nicole",0,,1,107,0,.267,15,0,4,127,3,431,0,26,29,341,0,0,478,41,440,0,0,0,0,30,0,0.04,1.19,4.11,0.00,0.24,0.28
centennial_conference,Centennial Conference,2025-26,wvball,Johns Hopkins,"Pantano, Anna",0,,4,49,24,.163,215,44,79,1,2,19,0,22,24,149,0,0,241,27,80,10,1,10,0,106,0,1.61,0.02,1.63,0.20,0.45,2.16
centennial_conference,Centennial Conference,2025-26,wvball,Johns Hopkins,"Anderson, Annika",0,,7,109,21,.111,18,1,3,548,11,1152,0,41,46,380,0,0,3,0,181,0,0,0,0,44,3,0.03,5.03,1.66,0.00,0.38,0.40
centennial_conference,Centennial Conference,2025-26,wvball,Johns Hopkins,"Voss, Charlotte",0,,2,38,10,.000,2,0,0,4,0,18,0,15,19,107,0,0,129,8,48,0,0,0,0,15,0,0.00,0.11,1.26,0.00,0.39,0.39
centennial_conference,Centennial Conference,2025-26,wvball,Johns Hopkins,"Wang, Emma",0,,10,11,0,.400,5,1,3,34,2,81,0,4,5,17,0,0,0,0,5,1,0,1,0,7.5,0,0.27,3.09,0.45,0.09,0.36,0.68
centennial_conference,Centennial Conference,2025-26,wvball,Johns Hopkins,"Overtoom, Emily",0,,11,14,0,.259,27,2,9,1,0,2,0,0,0,0,0,0,0,0,3,1,0,1,0,9.5,0,0.64,0.07,0.21,0.07,0.00,0.68
centennial_conference,Centennial Conference,2025-26,wvball,Johns Hopkins,"Wismer, Ella",0,,15,18,0,.366,41,7,22,1,0,2,0,1,2,17,0,0,0,0,4,8,0,7,1,27.5,0,1.22,0.06,0.22,0.44,0.06,1.53
centennial_conference,Centennial Conference,2025-26,wvball,Johns Hopkins,"Pye, Jocelyn",0,,21,77,36,.202,411,56,139,9,1,45,0,18,21,141,0,0,260,20,120,19,0,17,2,167.5,2,1.81,0.12,1.56,0.25,0.23,2.18
