season,sport,gender,conference,conference_code,team,school_name,player_name,position,class_year,clippd_player_id,clippd_rank,player_ranking_status,scoring_stats_scoring_average,scoring_stats_vs_par,scoring_stats_rounds,scoring_stats_adjusted_score,scoring_stats_stroke_play_events,top10_finishes,events_won,average_points,strength_of_schedule,region,data_source,global_rank,rating,composite_score
2025-26,mgolf,Men,Old Dominion Athletic Conference,odac,Washington and Lee,Washington and Lee University,Jonathan McEwen,,Third Year,19519,1,ACTIVE,70.36,-1.64,28,68.3360279840805,9,6,3,101.565549609327,-6.35383281578337,Region IV - (M) DIII,clippd_scoreboard,1,99,101.565549609327
2025-26,mgolf,Men,Southern California Inter. Athletic Conference,sciac,Clarem-Mudd-Scripps,Claremont-Mudd-Scripps Colleges,Samson Li,,First Year,5282,5,ACTIVE,70.5,-1.5,24,69.8494838726354,10,4,2,69.0189164401014,-7.5057465001582,Region VII - (M) DIII,clippd_scoreboard,2,99,79.3626863429658
2025-26,mgolf,Men,Centennial Conference,centennial_conference,Dickinson,Dickinson College,Collin McMahon-Shea,,Fourth Year,24636,15,ACTIVE,70.97,-1.03,29,70.5129785871362,12,8,4,58.8812781344989,-9.98157609997909,Region III - (M) DIII,clippd_scoreboard,3,99,71.8710833848878
2025-26,mgolf,Men,American Rivers Conference,arc,Dubuque,University of Dubuque,Luke Harwick,,Second Year,30740,27,ACTIVE,71.07,-0.93,27,70.8105591873156,12,6,3,54.6984229537923,-10.6054378174951,Region VI - (M) DIII,clippd_scoreboard,4,98,69.072855061857
2025-26,mgolf,Men,Southern Athletic Association,saa,Oglethorpe,Oglethorpe University,Jackson Hiller,,Third Year,27184,3,ACTIVE,71.16,-0.84,31,70.0783427403036,10,4,3,71.8710833848878,-6.80274899404418,Region IV - (M) DIII,clippd_scoreboard,5,98,69.0189164401014
2025-26,mgolf,Men,University Athletic Association,uaa,Emory,Emory University,Kevin Mu,,Third Year,23096,2,ACTIVE,71.29,-0.71,31,69.5693080150689,10,4,3,79.3626863429658,-6.51599030352224,Region IV - (M) DIII,clippd_scoreboard,6,98,68.9922231567945
2025-26,mgolf,Men,University Athletic Association,uaa,Carnegie Mellon,Carnegie Mellon University,Joshua Wang,,First Year,6993,6,ACTIVE,71.35,-0.65,31,69.8445242171289,10,3,2,68.9922231567945,-6.39830712489232,Region V - (M) DIII,clippd_scoreboard,7,97,67.9474812342418
2025-26,mgolf,Men,Landmark Conference,landmark_conference,Drew,Drew University,Elliot Parker,,Fourth Year,17160,29,ACTIVE,71.36,-0.64,25,71.2873397958632,11,5,5,52.9644055894552,-10.1267659723394,Region III - (M) DIII,clippd_scoreboard,8,97,67.2500375305943
2025-26,mgolf,Men,Southern California Inter. Athletic Conference,sciac,Clarem-Mudd-Scripps,Claremont-Mudd-Scripps Colleges,Sebi Aliaga,,First Year,5284,11,ACTIVE,71.38,-0.62,24,70.7244838726354,10,5,1,62.2466812231084,-7.5057465001582,Region VII - (M) DIII,clippd_scoreboard,9,97,65.413034493607
2025-26,mgolf,Men,Liberty League,ll,Rochester,University of Rochester,Alvin Su,,First Year,35297,21,ACTIVE,71.38,-0.62,21,70.5356447433476,8,3,3,57.326053208289,-6.97642435395116,Region II - (M) DIII,clippd_scoreboard,10,96,62.9364236854167
