season,sport,gender,conference,conference_code,team,school_name,player_name,position,class_year,clippd_player_id,clippd_rank,player_ranking_status,scoring_stats_scoring_average,scoring_stats_vs_par,scoring_stats_rounds,scoring_stats_adjusted_score,scoring_stats_stroke_play_events,top10_finishes,events_won,average_points,strength_of_schedule,region,data_source,global_rank,rating,composite_score
2025-26,wgolf,Women,University Athletic Association,uaa,Emory,Emory University,Zimo Li,,Second Year,35698,1,ACTIVE,72.38,0.38,21,69.703655615485,9,4,1,98.6413204749963,-9.70184848854898,Southeast - (W) DIII,clippd_scoreboard,1,99,98.6413204749963
2025-26,wgolf,Women,Liberty League,ll,New York,New York University,Jiayi (Yoyo) Fu,,First Year,6639,3,ACTIVE,72.44,0.44,16,70.6531755277112,7,4,2,80.9736041641517,-12.377947675441,East - (W) DIII,clippd_scoreboard,2,99,90.8473257806356
2025-26,wgolf,Women,University Athletic Association,uaa,Emory,Emory University,Amanda Zheng,,First Year,9259,2,ACTIVE,72.9,0.9,21,70.2274651392945,9,3,3,90.8473257806356,-9.70184848854898,Southeast - (W) DIII,clippd_scoreboard,3,99,80.9736041641517
2025-26,wgolf,Women,University Athletic Association,uaa,Carnegie Mellon,Carnegie Mellon University,Emma Wong,,Second Year,36602,5,ACTIVE,73.0,1.0,15,71.8031168451442,7,2,2,67.6666727149596,-11.5508895580274,Great Lakes - (W) DIII,clippd_scoreboard,4,98,76.9441739543579
2025-26,wgolf,Women,University Athletic Association,uaa,Washington-St. Louis,Washington University in St. Louis,Amy Beanblossom,,Third Year,16705,7,ACTIVE,73.22,1.22,18,71.4738649691348,9,4,2,63.6980569417732,-12.1823891682952,Central - (W) DIII,clippd_scoreboard,5,98,67.6666727149596
2025-26,wgolf,Women,University Athletic Association,uaa,Carnegie Mellon,Carnegie Mellon University,Alyssa Lim,,First Year,8302,6,ACTIVE,73.27,1.27,15,71.6459699159651,7,1,0,64.9151016077293,-11.102299430876,Great Lakes - (W) DIII,clippd_scoreboard,6,98,64.9151016077293
2025-26,wgolf,Women,Minnesota Intercollegiate Athletic Conference,miac,Carleton,Carleton College,Carter Sichol,,Fourth Year,11730,21,ACTIVE,73.59,1.59,17,72.971475654204,8,5,2,47.8542721344541,-15.3193804390412,Central - (W) DIII,clippd_scoreboard,7,97,63.6980569417732
2025-26,wgolf,Women,University Athletic Association,uaa,Emory,Emory University,Carys Code,,Third Year,25571,4,ACTIVE,73.62,1.62,21,70.9417508535802,9,3,1,76.9441739543579,-9.70184848854898,Southeast - (W) DIII,clippd_scoreboard,8,97,63.6389087675285
2025-26,wgolf,Women,North Coast Athletic Conference,ncac,DePauw,DePauw University,Becky Williams,,Fourth Year,23995,23,ACTIVE,73.65,1.65,20,73.2468533534285,9,6,5,46.6004069969841,-16.9901497930719,Great Lakes - (W) DIII,clippd_scoreboard,9,97,62.8905102134563
2025-26,wgolf,Women,Southern Athletic Association,saa,Trinity (TX),Trinity University (Texas),Jessica Mason,,Third Year,24668,25,ACTIVE,73.78,1.78,18,72.9491128660028,8,5,1,45.1768067362397,-14.4134275397766,Southeast - (W) DIII,clippd_scoreboard,10,96,57.9038062759594
2025-26,wgolf,Women,University Athletic Association,uaa,Carnegie Mellon,Carnegie Mellon University,Samantha Wang,,Third Year,26380,11,ACTIVE,73.83,1.83,18,72.2406707195494,8,2,1,57.5101896114016,-11.5166436877372,Great Lakes - (W) DIII,clippd_scoreboard,11,96,57.5101896114016
2025-26,wgolf,Women,Southern Athletic Association,saa,Sewanee,University of the South,Natalie Catapano,,First Year,8962,18,ACTIVE,74.05,2.05,21,72.9562160504861,9,3,2,49.2582321344914,-13.4991142165274,Southeast - (W) DIII,clippd_scoreboard,12,96,56.3763820102845
2025-26,wgolf,Women,Liberty League,ll,New York,New York University,Inha Jun,,First Year,6644,14,ACTIVE,74.06,2.06,16,72.2781755277112,7,1,0,53.1524997405821,-12.6255066289498,East - (W) DIII,clippd_scoreboard,13,95,55.6138660704501
2025-26,wgolf,Women,Liberty League,ll,New York,New York University,Shih Ting Tan,,Second Year,36427,13,ACTIVE,74.25,2.25,16,72.4656755277112,7,2,1,55.6138660704501,-12.377947675441,East - (W) DIII,clippd_scoreboard,14,95,53.1524997405821
