season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,team_name,team_id,sdrm_id,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,goal_stats_hat_tricks,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_misc10,penalty_stats_miscgame,penalty_stats_miscgross,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_total_faceoffs,misc_stats_faceoff_win_pct,misc_stats_faceoffs_won_pct,misc_stats_plus,misc_stats_minus,misc_stats_plusminus,misc_stats_blocks,goalie_stats,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_pct,shot_stats_penalty_shot_goals,shot_stats_penalty_shots_attempted,is_goalie,game,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_saves_by_prd,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_save_pct,goalie_stats_games_started,goalie_stats_penalty_shot_goals_allowed,goalie_stats_shootout_goals_allowed,goalie_stats_goals_against_avg
2025-26,whockey,Middle Atlantic Conferences (MAC),mac,Alvernia,"Gularte, Addy",Addy,Gularte,0,938,"Gularte, Addy","Gularte,Addy",GularteAddyALV,21,5,2,,Alvernia,ALV,1300-9856,0,,0,0,0,0,0,0,1,0,0,5,10:00,0,0,0,0,0,0,5,86,92,178,.483,1.07,16,17,-1,10,,0,41,9,6,3,0.07,0,0,False,,,,,,,,,,,,,,,,,,
2025-26,whockey,Middle Atlantic Conferences (MAC),mac,Alvernia,"Tosi, Laila",Laila,Tosi,0,938,"Tosi, Laila","Tosi,Laila",TosiLailaALV,23,18,4,,Alvernia,ALV,1300-8311,0,,0,0,0,2,0,0,0,2,0,6,12:00,0,0,0,0,0,0,6,0,3,3,.000,0,20,15,5,17,,0,23,5,2,3,0.13,0,0,False,,,,,,,,,,,,,,,,,,
2025-26,whockey,Middle Atlantic Conferences (MAC),mac,Alvernia,"Moriarty, Kayla",Kayla,Moriarty,0,938,"Moriarty, Kayla","Moriarty,Kayla",MoriartyKaylaALV,24,1,5,,Alvernia,ALV,1300-8308,0,,0,0,0,0,0,0,0,0,0,3,06:00,0,0,0,0,0,0,3,0,0,0,NaN,0,17,18,-1,15,,0,21,1,1,0,0.00,0,0,False,,,,,,,,,,,,,,,,,,
2025-26,whockey,Middle Atlantic Conferences (MAC),mac,Alvernia,"Caswell, Marissa",Marissa,Caswell,0,938,"Caswell, Marissa","Caswell,Marissa",CaswellMarissaALV,23,8,6,,Alvernia,ALV,1300-9855,0,,0,0,0,0,0,0,0,0,0,3,06:00,0,0,0,0,0,0,3,0,1,1,.000,0,19,11,8,13,,0,42,7,4,3,0.07,0,0,False,,,,,,,,,,,,,,,,,,
2025-26,whockey,Middle Atlantic Conferences (MAC),mac,Alvernia,"Tobin, Carla",Carla,Tobin,0,938,"Tobin, Carla","Tobin,Carla",TobinCarlaALV,19,0,7,,Alvernia,ALV,1300-10126,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,34,31,65,.523,0.91,4,12,-8,5,,0,13,1,1,0,0.00,0,0,False,,,,,,,,,,,,,,,,,,
2025-26,whockey,Middle Atlantic Conferences (MAC),mac,Alvernia,"De Magistris, Noelle",Noelle,De Magistris,0,938,"De Magistris, Noelle","De Magistris,Noelle",DeMagistrisNoelleALV,24,2,8,,Alvernia,ALV,1300-8630,0,,0,1,0,2,0,0,3,4,0,4,08:00,0,0,0,0,0,0,4,43,62,105,.410,1.44,11,18,-7,14,,0,42,11,3,8,0.19,0,0,False,,,,,,,,,,,,,,,,,,
2025-26,whockey,Middle Atlantic Conferences (MAC),mac,Alvernia,"Hart, Emma",Emma,Hart,0,938,"Hart, Emma","Hart,Emma",HartEmmaALV,24,10,9,,Alvernia,ALV,1300-9857,0,,0,0,1,1,3,1,1,1,1,4,08:00,0,0,0,0,0,0,4,166,114,280,.593,0.69,18,13,5,14,,0,68,19,10,9,0.13,0,0,False,,,,,,,,,,,,,,,,,,
2025-26,whockey,Middle Atlantic Conferences (MAC),mac,Alvernia,"Oliveira, Alexis",Alexis,Oliveira,0,938,"Oliveira, Alexis","Oliveira,Alexis",OliveiraAlexisALV,23,10,10,,Alvernia,ALV,1300-10124,0,,0,0,0,4,1,0,2,2,1,4,08:00,0,0,0,0,0,0,4,82,116,198,.414,1.41,15,14,1,6,,0,70,14,2,12,0.17,0,0,False,,,,,,,,,,,,,,,,,,
2025-26,whockey,Middle Atlantic Conferences (MAC),mac,Alvernia,"Artrip, Josalyn",Josalyn,Artrip,0,938,"Artrip, Josalyn","Artrip,Josalyn",ArtripJosalynALV,23,1,11,,Alvernia,ALV,1300-8303,0,,0,0,0,0,0,0,0,0,0,5,10:00,0,0,0,0,0,0,5,20,31,51,.392,1.55,3,14,-11,10,,0,11,2,2,0,0.00,0,0,False,,,,,,,,,,,,,,,,,,
2025-26,whockey,Middle Atlantic Conferences (MAC),mac,Alvernia,"Schutt, Erin",Erin,Schutt,0,938,"Schutt, Erin","Schutt,Erin",SchuttErinALV,22,10,12,,Alvernia,ALV,1300-10125,0,,0,0,0,2,2,0,3,0,0,4,08:00,0,0,0,0,0,0,4,3,2,5,.600,0.67,24,17,7,14,,0,56,15,7,8,0.14,0,0,False,,,,,,,,,,,,,,,,,,
2025-26,whockey,Middle Atlantic Conferences (MAC),mac,Alvernia,"Hill, Riley",Riley,Hill,0,938,"Hill, Riley","Hill,Riley",HillRileyALV,23,13,13,,Alvernia,ALV,1300-8632,0,,0,0,0,1,0,0,0,1,0,4,08:00,0,0,0,0,0,0,4,1,1,2,.500,1.00,20,13,7,12,,0,46,8,5,3,0.07,0,0,False,,,,,,,,,,,,,,,,,,
2025-26,whockey,Middle Atlantic Conferences (MAC),mac,Alvernia,"King, Sofia",Sofia,King,0,938,"King, Sofia","King,Sofia",KingSofiaALV,24,1,15,,Alvernia,ALV,1300-8634,0,,0,0,0,0,0,0,0,0,0,3,06:00,0,0,0,0,0,0,3,0,0,0,NaN,0,14,17,-3,7,,0,26,7,5,2,0.08,0,0,False,,,,,,,,,,,,,,,,,,
2025-26,whockey,Middle Atlantic Conferences (MAC),mac,Alvernia,"Ask, Sikke",Sikke,Ask,0,938,"Ask, Sikke","Ask,Sikke",AskSikkeALV,9,0,16,,Alvernia,ALV,1300-8628,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,5,1,6,.833,0.20,1,1,0,3,,0,13,0,0,0,0.00,0,0,False,,,,,,,,,,,,,,,,,,
2025-26,whockey,Middle Atlantic Conferences (MAC),mac,Alvernia,"Jascewsky, Lauren",Lauren,Jascewsky,0,938,"Jascewsky, Lauren","Jascewsky,Lauren",JascewskyLaurenALV,23,1,17,,Alvernia,ALV,1300-8633,0,,0,0,0,0,0,0,0,0,0,1,02:00,0,0,0,0,0,0,1,11,10,21,.524,0.91,8,10,-2,16,,0,16,1,1,0,0.00,0,0,False,,,,,,,,,,,,,,,,,,
2025-26,whockey,Middle Atlantic Conferences (MAC),mac,Alvernia,"Burton, Carolyn",Carolyn,Burton,0,938,"Burton, Carolyn","Burton,Carolyn",BurtonCarolynALV,20,1,18,,Alvernia,ALV,1300-8304,0,,0,0,0,0,0,0,0,0,0,3,06:00,0,0,0,0,0,0,3,0,0,0,NaN,0,4,9,-5,12,,0,13,2,2,0,0.00,0,0,False,,,,,,,,,,,,,,,,,,
2025-26,whockey,Middle Atlantic Conferences (MAC),mac,Alvernia,"Evans, Gillian",Gillian,Evans,0,938,"Evans, Gillian","Evans,Gillian",EvansGillianALV,23,13,20,,Alvernia,ALV,1300-8305,0,,0,0,0,0,0,0,0,0,0,3,06:00,0,0,0,0,0,0,3,18,17,35,.514,0.94,10,8,2,8,,0,37,6,6,0,0.00,0,0,False,,,,,,,,,,,,,,,,,,
2025-26,whockey,Middle Atlantic Conferences (MAC),mac,Alvernia,"Palmer, Kathryn",Kathryn,Palmer,0,938,"Palmer, Kathryn","Palmer,Kathryn",PalmerKathrynALV,22,12,21,,Alvernia,ALV,1300-8309,0,,0,0,0,0,1,0,1,0,0,1,02:00,0,0,0,0,0,0,1,139,95,234,.594,0.68,17,8,9,8,,0,52,13,10,3,0.06,0,0,False,,,,,,,,,,,,,,,,,,
2025-26,whockey,Middle Atlantic Conferences (MAC),mac,Alvernia,"Campbell, Emily",Emily,Campbell,0,938,"Campbell, Emily","Campbell,Emily",CampbellEmilyALV,20,0,22,,Alvernia,ALV,1300-10121,0,,0,0,0,0,0,0,0,0,0,1,02:00,0,0,0,0,0,0,1,0,0,0,NaN,0,3,7,-4,1,,0,5,0,0,0,0.00,0,0,False,,,,,,,,,,,,,,,,,,
2025-26,whockey,Middle Atlantic Conferences (MAC),mac,Alvernia,"Morris, Maddie",Maddie,Morris,0,938,"Morris, Maddie","Morris,Maddie",MorrisMaddieALV,23,2,24,,Alvernia,ALV,1300-10123,0,,0,0,0,0,1,0,0,1,0,9,18:00,0,0,0,0,0,0,9,1,2,3,.333,2.00,12,25,-13,6,,0,42,7,3,4,0.10,0,0,False,,,,,,,,,,,,,,,,,,
2025-26,whockey,Middle Atlantic Conferences (MAC),mac,Alvernia,"Connick, Khenzie",Khenzie,Connick,0,938,"Connick, Khenzie","Connick,Khenzie",ConnickKhenzieALV,22,7,27,,Alvernia,ALV,1300-8629,0,,0,0,0,2,0,0,0,1,0,3,06:00,0,0,0,0,0,0,3,10,20,30,.333,2.00,15,15,0,10,,0,73,11,7,4,0.05,0,0,False,,,,,,,,,,,,,,,,,,
2025-26,whockey,Middle Atlantic Conferences (MAC),mac,Alvernia,"Lagh, Moa",Moa,Lagh,0,938,"Lagh, Moa","Lagh,Moa",LaghMoaALV,10,5,28,,Alvernia,ALV,1300-9858,0,,0,0,0,0,1,0,0,0,0,1,02:00,0,0,0,0,0,0,1,0,0,0,NaN,0,7,4,3,7,,0,18,1,0,1,0.06,0,0,False,,,,,,,,,,,,,,,,,,
2025-26,whockey,Middle Atlantic Conferences (MAC),mac,Alvernia,"Skorupa, Stephanie",Stephanie,Skorupa,0,938,"Skorupa, Stephanie","Skorupa,Stephanie",SkorupaStephanieALV,16,16,1,,Alvernia,ALV,1300-9860,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,,0,0,1,1,0,0.00,0,0,True,,16,935:22,34,422,1512915129,3,1,1,0,5,2,0,.925,16,0,0,2.18
2025-26,whockey,Middle Atlantic Conferences (MAC),mac,Alvernia,"Rodgers, Juju",Juju,Rodgers,0,938,"Rodgers, Juju","Rodgers,Juju",RodgersJujuALV,6,5,30,,Alvernia,ALV,1300-8310,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,,0,0,0,0,0,0.00,0,0,True,,6,329:01,16,112,0000,0,1,1,0,4,1,0,.875,5,0,0,2.92
2025-26,whockey,Middle Atlantic Conferences (MAC),mac,Alvernia,"Derosiers, Belle",Belle,Derosiers,0,938,"Derosiers, Belle","Derosiers,Belle",DerosiersBelleALV,4,3,31,,Alvernia,ALV,1300-10122,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,,0,0,0,0,0,0.00,0,0,True,,4,166:02,11,77,0000,0,1,1,0,1,0,0,.875,3,0,0,3.98
2025-26,whockey,Middle Atlantic Conferences (MAC),mac,Arcadia,"Matthews, Grace",Grace,Matthews,0,966,"Matthews, Grace","Matthews,Grace",MatthewsGraceARC,27,12,3,,Arcadia,ARC,1301-2728,0,,0,0,0,0,2,0,0,1,0,4,08:00,0,0,0,0,0,0,4,182,211,393,.463,1.16,20,6,14,15,,0,40,13,10,3,0.08,0,0,False,,,,,,,,,,,,,,,,,,
2025-26,whockey,Middle Atlantic Conferences (MAC),mac,Arcadia,"Kos, Haylee",Haylee,Kos,0,966,"Kos, Haylee","Kos,Haylee",KosHayleeARC,27,6,4,,Arcadia,ARC,1301-2294,0,,0,1,1,1,2,0,3,3,0,1,02:00,0,0,0,0,0,0,1,1,1,2,.500,1.00,23,9,14,12,,0,82,23,13,10,0.12,0,0,False,,,,,,,,,,,,,,,,,,
2025-26,whockey,Middle Atlantic Conferences (MAC),mac,Arcadia,"Hatcher, Leah",Leah,Hatcher,0,966,"Hatcher, Leah","Hatcher,Leah",HatcherLeahARC,27,11,5,,Arcadia,ARC,1301-2295,0,,0,0,0,0,0,0,0,0,0,5,10:00,0,0,0,0,0,0,5,0,1,1,.000,0,28,16,12,37,,0,45,14,13,1,0.02,0,0,False,,,,,,,,,,,,,,,,,,
2025-26,whockey,Middle Atlantic Conferences (MAC),mac,Arcadia,"Plotnikoff, Reese",Reese,Plotnikoff,0,966,"Plotnikoff, Reese","Plotnikoff,Reese",PlotnikoffReeseARC,27,11,6,,Arcadia,ARC,1301-2935,0,,0,0,0,0,0,0,0,0,0,13,26:00,0,0,0,0,0,0,13,0,1,1,.000,0,19,11,8,15,,0,41,6,5,1,0.02,0,0,False,,,,,,,,,,,,,,,,,,
2025-26,whockey,Middle Atlantic Conferences (MAC),mac,Arcadia,"Beers, Kylie",Kylie,Beers,0,966,"Beers, Kylie","Beers,Kylie",BeersKylieARC,26,1,9,,Arcadia,ARC,1301-2726,0,,0,0,0,0,0,0,0,0,0,5,10:00,0,0,0,0,0,0,5,1,0,1,1.000,100,19,6,13,17,,0,22,3,2,1,0.05,0,0,False,,,,,,,,,,,,,,,,,,
