conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct
aec,Atlantic East Conference (AEC),2025-26,wlax,Centenary (NJ),Chloe Neubauer,,,,14,14,0.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,26.0,6.0,805:00,60.0,0.0,1.0,19.0,23.0,3.0,12.0,2.0,10.0,0.826,,,,,,,,,,,,,,
aec,Atlantic East Conference (AEC),2025-26,wlax,Centenary (NJ),Carmelarose Fowler,,,,10,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,143:00,73.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
aec,Atlantic East Conference (AEC),2025-26,wlax,Centenary (NJ),Pauline Mrad,,,,14,9,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,22.0,3.0,592:00,97.0,0.0,1.0,17.0,24.0,0.0,9.0,3.0,6.0,0.708,,,,,,,,,,,,,,
aec,Atlantic East Conference (AEC),2025-26,wlax,Centenary (NJ),Giulianna Falquez,,,,10,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,402:00,96.0,0.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,
aec,Atlantic East Conference (AEC),2025-26,wlax,Centenary (NJ),Trista Hough,,,,14,14,0.0,6.0,0.0,0.0,0.0,1.0,14.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,12.0,32.0,21.0,779:00,0.0,0.0,1.0,41.0,58.0,14.0,38.0,12.0,26.0,0.707,,,,,,,,,,,,,,
aec,Atlantic East Conference (AEC),2025-26,wlax,Centenary (NJ),Erin Cooper,,,,9,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,132:00,89.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
aec,Atlantic East Conference (AEC),2025-26,wlax,Centenary (NJ),Cassandra Minervinni,,,,4,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,6.0,2.0,201:00,100.0,0.0,1.0,5.0,5.0,1.0,4.0,2.0,2.0,1.0,,,,,,,,,,,,,,
aec,Atlantic East Conference (AEC),2025-26,wlax,Centenary (NJ),Saoirse Twomey,,,,12,10,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,5.0,8.0,13.0,692:00,97.0,0.0,1.0,8.0,12.0,2.0,6.0,3.0,3.0,0.667,,,,,,,,,,,,,,
aec,Atlantic East Conference (AEC),2025-26,wlax,Centenary (NJ),Isabel Moreira,,,,13,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,9.0,6.0,310:00,77.0,0.0,1.0,4.0,8.0,4.0,2.0,1.0,1.0,0.5,,,,,,,,,,,,,,
aec,Atlantic East Conference (AEC),2025-26,wlax,Centenary (NJ),Dyani Alonso,,,,14,14,0.0,5.0,0.0,0.0,0.0,1.0,17.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,54.0,30.0,12.0,823:00,48.0,0.0,1.0,52.0,68.0,11.0,42.0,13.0,29.0,0.765,,,,,,,,,,,,,,
