season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,matches_played,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,attack_stats,set_stats,serve_stats,defense_stats,block_stats,misc_stats
2026-27,wvball,American Rivers Conference (ARC),arc,Buena Vista,"Trappe, Kylie",Kylie,Trappe,,84,"Trappe, Kylie","TRAPPE, KYLIE",Buena Vista,BVU,1040-5032,1,0,4,0,4,0,.000,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0.0,0,0.00,0.00,1.00,0.00,0.00,0.00,,,,,,
2026-27,wvball,American Rivers Conference (ARC),arc,Buena Vista,"Nieuwenhuis, Reese",Reese,Nieuwenhuis,,84,"Nieuwenhuis, Reese","NIEUWENHUIS, REESE",Buena Vista,BVU,1040-5026,12,0,10,0,10,0,.140,43,11,17,0,0,0,0,0,0,0,0,0,1,1,6,3,0,3,0,18.5,0,1.42,0.00,0.50,0.25,0.00,1.54,,,,,,
2026-27,wvball,American Rivers Conference (ARC),arc,Buena Vista,"Vanderlinden, Hope",Hope,Vanderlinden,,84,"Vanderlinden, Hope","VANDERLINDEN, HOPE",Buena Vista,BVU,1040-5033,12,4,21,0,21,0,.243,37,6,15,3,0,9,0,9,2,57,0,0,5,1,5,7,0,4,3,29,0,1.25,0.25,0.42,0.58,0.75,2.42,,,,,,
2026-27,wvball,American Rivers Conference (ARC),arc,Buena Vista,"Vaughn, Kyla",Kyla,Vaughn,,84,"Vaughn, Kyla","VAUGHN, KYLA",Buena Vista,BVU,1040-5034,2,0,22,0,22,0,.333,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1.5,0,0.50,0.00,0.00,0.50,0.00,0.75,,,,,,
2026-27,wvball,American Rivers Conference (ARC),arc,Buena Vista,"Meints, Sydney",Sydney,Meints,,84,"Meints, Sydney","MEINTS, SYDNEY",Buena Vista,BVU,1040-5025,12,4,16,0,16,0,.219,32,7,14,1,0,4,0,0,0,0,0,0,1,0,2,5,0,4,1,17,0,1.17,0.08,0.17,0.42,0.00,1.42,,,,,,
2026-27,wvball,American Rivers Conference (ARC),arc,Buena Vista,"Ramirez, Merced",Merced,Ramirez,,84,"Ramirez, Merced","RAMIREZ, MERCED",Buena Vista,BVU,1040-6657,12,4,7,0,7,0,.563,16,0,9,58,2,160,0,4,8,47,0,0,1,0,27,0,0,0,0,13,0,0.75,4.83,2.25,0.00,0.33,1.08,,,,,,
2026-27,wvball,American Rivers Conference (ARC),arc,Buena Vista,"Livingston, Genevieve",Genevieve,Livingston,,84,"Livingston, Genevieve","LIVINGSTON, GENEVIEVE",Buena Vista,BVU,1040-6655,1,0,12,0,12,0,.000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,
2026-27,wvball,American Rivers Conference (ARC),arc,Buena Vista,"Ogle, Peyton",Peyton,Ogle,,84,"Ogle, Peyton","OGLE, PEYTON",Buena Vista,BVU,1040-6656,1,0,20,0,20,0,-.250,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1.00,0.00,0.00,0.00,0.00,1.00,,,,,,
2026-27,wvball,American Rivers Conference (ARC),arc,Buena Vista,"Hernandez, Charley",Charley,Hernandez,,84,"Hernandez, Charley","HERNANDEZ, CHARLEY",Buena Vista,BVU,1040-6770,12,4,1,0,1,0,.429,105,5,50,7,2,19,0,5,8,54,0,0,70,5,42,1,0,1,0,55.5,1,4.17,0.58,3.50,0.08,0.42,4.63,,,,,,
2026-27,wvball,American Rivers Conference (ARC),arc,Buena Vista,"Freel, Josey",Josey,Freel,,84,"Freel, Josey","FREEL, JOSEY",Buena Vista,BVU,1040-6767,2,0,5,0,5,0,.800,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4.5,0,2.00,0.00,0.00,0.50,0.00,2.25,,,,,,
2026-27,wvball,American Rivers Conference (ARC),arc,Buena Vista,"Welsh, Macy",Macy,Welsh,,84,"Welsh, Macy","WELSH, MACY",Buena Vista,BVU,1040-6773,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2026-27,wvball,American Rivers Conference (ARC),arc,Buena Vista,"Fitzgerald, Faith",Faith,Fitzgerald,,84,"Fitzgerald, Faith","FITZGERALD, FAITH",Buena Vista,BVU,1040-6765,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2026-27,wvball,American Rivers Conference (ARC),arc,Buena Vista,"Havermann, Ashlyne",Ashlyne,Havermann,,84,"Havermann, Ashlyne","HAVERMANN, ASHLYNE",Buena Vista,BVU,1040-6769,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2026-27,wvball,American Rivers Conference (ARC),arc,Buena Vista,"Taylor, Sophia",Sophia,Taylor,,84,"Taylor, Sophia","TAYLOR, SOPHIA",Buena Vista,BVU,1040-6772,0,0,24,0,24,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2026-27,wvball,American Rivers Conference (ARC),arc,Buena Vista,"Flores, Marti",Marti,Flores,,84,"Flores, Marti","FLORES, MARTI",Buena Vista,BVU,1040-6766,2,0,23,0,23,0,.000,0,0,0,0,0,1,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0.00,0.00,0.50,0.00,0.00,0.00,,,,,,
2026-27,wvball,American Rivers Conference (ARC),arc,Buena Vista,"Hisek, Sofia",Sofia,Hisek,,84,"Hisek, Sofia","HISEK, SOFIA",Buena Vista,BVU,1040-6771,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2026-27,wvball,American Rivers Conference (ARC),arc,Buena Vista,"Seaman, Anabel",Anabel,Seaman,,84,"Seaman, Anabel","SEAMAN, ANABEL",Buena Vista,BVU,1040-7230,12,0,3,0,3,0,.000,1,0,0,65,3,138,0,4,4,37,0,0,0,0,11,0,0,0,0,4,0,0.00,5.42,0.92,0.00,0.33,0.33,,,,,,
