season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats,team_name,team_id,sdrm_id,this_is_softball,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs
2026-27,baseball,Empire 8 (E8),e8,Russell Sage,Joseph Karpierz,Joseph,Karpierz,,11036,Joseph Karpierz,0,0RSCBASE,21,21,,,81,35,39,23,8,2,0,15,0,3,8,2,13,3,2,2,0,0,0,0,0,2,0,0.564,51,103,16,.813,.481,.630,28,45,8,0,0,0,0,9,0,81,.901,0,.000,,3,1,12,23,"10,21",0.48,10,21,"26,47",0.55,26,47,"15,28",0.54,15,28,"6,12",0.50,6,12,0,0,0,0,"7,15","9,13","39,57",55,0,0,0,0,0,0,0,11,5,0,,Russell Sage,RSCBASE,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Empire 8 (E8),e8,Russell Sage,Nick Irizarry,Nick,Irizarry,,11036,Nick Irizarry,0,0RSCBASE,21,21,,,82,31,28,12,4,0,0,20,0,3,7,2,23,1,2,1,0,0,0,0,0,1,0,0.481,32,108,24,.958,.341,.390,43,6,3,0,0,0,0,2,0,52,.942,0,.000,,2,8,34,14,"5,24",0.21,5,24,"14,37",0.38,14,37,"9,23",0.39,9,23,"3,9",0.33,3,9,0,0,0,0,"16,37","6,6","26,44",59,0,0,0,0,0,0,0,6,21,0,,Russell Sage,RSCBASE,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Empire 8 (E8),e8,Russell Sage,Collin Casey,Collin,Casey,,11036,Collin Casey,0,0RSCBASE,21,20,,,70,25,24,23,4,1,1,12,1,7,17,2,7,1,2,2,0,0,0,0,1,0,0,0.473,33,93,8,.875,.343,.471,148,15,1,8,0,10,8,1,0,164,.994,18,.556,,5,1,13,16,"6,19",0.32,6,19,"14,39",0.36,14,39,"11,33",0.33,11,33,"6,13",0.46,6,13,0,0,0,0,"11,21","11,17","33,50",4,0,0,0,0,0,0,0,14,12,0,,Russell Sage,RSCBASE,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Empire 8 (E8),e8,Russell Sage,Darren Dengler,Darren,Dengler,,11036,Darren Dengler,0,0RSCBASE,21,20,,,77,10,17,29,7,0,2,7,1,4,10,4,6,1,0,4,0,0,0,0,1,2,0,0.304,30,92,7,.857,.221,.390,130,12,5,0,0,3,1,7,0,147,.966,4,.750,,5,3,21,28,"7,25",0.28,7,25,"15,48",0.31,15,48,"12,31",0.39,12,31,"3,14",0.21,3,14,0,0,0,0,"1,15","11,13","33,57",59,0,0,0,0,0,0,0,13,18,0,,Russell Sage,RSCBASE,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Empire 8 (E8),e8,Russell Sage,Evan Grimes,Evan,Grimes,,11036,Evan Grimes,0,0RSCBASE,21,21,,,73,26,24,33,4,4,3,20,1,3,18,4,12,2,0,3,0,0,0,0,2,0,0,0.475,45,99,14,.857,.329,.616,55,9,1,0,0,2,2,1,0,65,.985,4,.500,,0,2,9,25,"7,30",0.23,7,30,"19,52",0.37,19,52,"15,40",0.38,15,40,"6,12",0.50,6,12,0,0,0,0,"6,13","13,16","33,61",64,0,0,0,0,0,0,0,9,30,0,,Russell Sage,RSCBASE,0,False,25,1,6,3,1,0,0,0,0,0,32.0,16,13,21,43,4,1,0,3.66,120,147,4,5,1,0,1,0,0,9,.208,12,38,0,"2,7","2,11","1,6",0,"0,7"
2026-27,baseball,Empire 8 (E8),e8,Russell Sage,Jayden Kennedy,Jayden,Kennedy,,11036,Jayden Kennedy,0,0RSCBASE,17,17,,,59,22,21,17,5,0,2,11,0,7,10,7,4,0,1,0,0,0,0,0,1,1,0,0.506,32,78,4,1.000,.356,.542,8,26,7,0,0,0,0,1,0,41,.829,0,.000,,2,2,10,17,"4,14",0.29,4,14,"14,32",0.44,14,32,"9,23",0.39,9,23,"5,9",0.56,5,9,0,0,0,0,"4,12","5,7","25,39",1,0,0,0,0,0,0,0,3,7,0,,Russell Sage,RSCBASE,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Empire 8 (E8),e8,Russell Sage,Mitch Neer,Mitch,Neer,,11036,Mitch Neer,0,0RSCBASE,16,13,,,40,10,14,10,3,0,1,15,0,1,13,7,6,0,0,1,0,0,0,0,0,0,0,0.526,20,57,6,1.000,.350,.500,13,4,2,0,0,0,0,3,0,19,.895,0,.000,,0,0,6,8,"8,19",0.42,8,19,"7,25",0.28,7,25,"5,13",0.38,5,13,"2,6",0.33,2,6,0,0,0,0,"4,7","2,3","17,31","0,1",0,0,1,"1,3",0.33,1,3,6,12,0,,Russell Sage,RSCBASE,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Empire 8 (E8),e8,Russell Sage,Matthew Rinaldi,Matthew,Rinaldi,,11036,Matthew Rinaldi,0,0RSCBASE,3,2,,,5,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.167,0,6,0,.000,.000,.000,13,0,0,0,0,0,0,0,0,13,1.000,0,.000,,1,0,2,1,"0,2",0,0,2,"0,3",0,0,3,"0,2",0,0,2,0,0,0,0,0,0,0,0,0,"1,1","2,4","0,1",0,0,1,0,0,0,0,2,3,0,,Russell Sage,RSCBASE,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Empire 8 (E8),e8,Russell Sage,Connor Griffin,Connor,Griffin,,11036,Connor Griffin,0,0RSCBASE,13,12,,,39,7,14,4,1,1,0,2,0,3,6,3,6,2,0,1,0,0,0,0,1,2,0,0.422,17,45,8,.750,.359,.436,16,2,0,0,0,1,2,0,0,18,1.000,3,.333,,1,2,10,9,"7,18",0.39,7,18,"8,23",0.35,8,23,"3,14",0.21,3,14,"2,5",0.40,2,5,0,0,0,0,"2,6","1,4","9,24","0,1",0,0,1,0,0,0,0,1,13,0,,Russell Sage,RSCBASE,0,False,13,1,3,2,0,0,0,0,0,0,21.0,8,2,11,7,2,0,0,0.86,74,85,3,0,0,0,0,0,0,3,.176,32,19,0,"6,17","8,28","6,16",0,"3,15"
2026-27,baseball,Empire 8 (E8),e8,Russell Sage,Anthony Rizzo,Anthony,Rizzo,,11036,Anthony Rizzo,0,0RSCBASE,21,21,,,74,21,28,13,6,0,2,6,0,9,6,4,4,1,1,2,0,0,0,1,2,1,0,0.473,40,92,5,.800,.378,.541,28,50,3,0,0,0,0,9,0,81,.963,0,.000,,2,6,23,17,"7,23",0.30,7,23,"11,39",0.28,11,39,"7,26",0.27,7,26,"8,12",0.67,8,12,0,0,0,0,"12,20","3,5","24,46",27,0,0,0,0,0,0,0,5,22,0,,Russell Sage,RSCBASE,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Empire 8 (E8),e8,Russell Sage,Greg Mays,Greg,Mays,,11036,Greg Mays,0,0RSCBASE,6,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,.000,.000,.000,3,2,1,0,0,2,1,0,0,6,.833,3,.667,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Russell Sage,RSCBASE,0,False,15,1,0,2,0,1,0,0,0,0,15.0,5,3,6,12,1,0,1,1.80,60,69,3,2,0,0,1,0,0,1,.250,16,14,0,"1,1","1,3","1,1",0,"0,1"
2026-27,baseball,Empire 8 (E8),e8,Russell Sage,Nick Chicaway,Nick,Chicaway,,11036,Nick Chicaway,0,0RSCBASE,9,6,,,25,6,6,5,0,0,0,6,0,2,6,2,2,0,1,0,0,0,0,0,0,0,0,0.424,6,34,2,1.000,.240,.240,8,8,1,0,0,0,0,1,0,17,.941,0,.000,,0,1,8,6,"5,13",0.38,5,13,"4,10",0.40,4,10,"3,9",0.33,3,9,"1,4",0.25,1,4,0,0,0,0,"1,5",0,"11,15","0,1",0,0,1,0,0,0,0,4,6,0,,Russell Sage,RSCBASE,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Empire 8 (E8),e8,Russell Sage,Xavier Garcia,Xavier,Garcia,,11036,Xavier Garcia,0,0RSCBASE,6,5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,.000,.000,.000,0,3,2,0,0,5,0,0,0,5,.600,5,1.000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Russell Sage,RSCBASE,0,False,22,1,5,2,0,0,0,0,0,0,20.0,22,16,21,22,7,0,2,7.20,83,109,1,3,1,2,0,0,0,8,.265,21,14,1,"3,4","4,14","0,1",0,"2,6"
2026-27,baseball,Empire 8 (E8),e8,Russell Sage,Nate Shook-Timot,Nate,Shook-Timot,,11036,Nate Shook-Timot,0,0RSCBASE,3,0,,,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,2,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0.000,0,.000,,0,0,1,0,"0,1",0,0,1,"0,1",0,0,1,"0,1",0,0,1,0,0,0,0,0,0,0,0,"0,1",0,"0,1",0,0,0,0,"0,1",0,0,1,0,2,0,,Russell Sage,RSCBASE,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Empire 8 (E8),e8,Russell Sage,Brian Dengler,Brian,Dengler,,11036,Brian Dengler,0,0RSCBASE,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,.000,.000,.000,1,0,0,0,0,0,0,1,0,1,1.000,0,.000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Russell Sage,RSCBASE,0,False,1,1,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0.00,4,4,1,0,0,0,0,0,0,0,.250,0,2,0,"1,1","0,2","0,2",0,"1,2"
2026-27,baseball,Empire 8 (E8),e8,Russell Sage,Shane Smith,Shane,Smith,,11036,Shane Smith,0,0RSCBASE,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0.000,0,.000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Russell Sage,RSCBASE,0,False,4,1,0,0,0,0,0,0,0,0,0.1,3,3,0,0,2,0,0,81.00,5,5,0,0,0,0,0,0,0,0,.800,0,1,0,0,"4,5","1,1",0,"4,5"
2026-27,baseball,Empire 8 (E8),e8,Russell Sage,Connor Hollenbeck,Connor,Hollenbeck,,11036,Connor Hollenbeck,0,0RSCBASE,4,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0.000,0,.000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Russell Sage,RSCBASE,0,False,4,1,0,0,0,0,0,0,0,0,3.2,5,1,4,2,1,0,0,2.45,15,20,0,1,0,0,0,0,0,1,.267,6,2,0,"1,1","2,6","0,2",0,"1,3"
2026-27,baseball,Empire 8 (E8),e8,Russell Sage,Aidan Green,Aidan,Green,,11036,Aidan Green,0,0RSCBASE,6,5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,.000,.000,.000,2,3,1,0,0,1,4,0,0,6,.833,5,.200,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Russell Sage,RSCBASE,0,False,27,1,5,3,0,0,1,0,1,0,30.2,15,11,8,25,5,2,2,3.23,113,126,3,4,1,0,1,0,0,6,.239,34,24,2,"2,5","2,9","2,5",0,"1,6"
