season,sport,gender,conference,conference_code,team,school_name,player_name,position,class_year,clippd_player_id,clippd_rank,player_ranking_status,scoring_stats_scoring_average,scoring_stats_vs_par,scoring_stats_rounds,scoring_stats_adjusted_score,scoring_stats_stroke_play_events,top10_finishes,events_won,average_points,strength_of_schedule,region,data_source,global_rank,rating,composite_score
2025-26,mgolf,Men,Empire 8,e8,SUNY Canton,State University of NY at Canton,Raine Rumble,,Second Year,8005,738,ACTIVE,76.13,4.13,23,77.2895773982715,16,6,2,11.9962055417057,-16.7942210942188,Region I - (M) DIII,clippd_scoreboard,524,85,16.2875897489858
2025-26,mgolf,Men,Empire 8,e8,Nazareth,Nazareth University,Lincoln Crosby,,Fourth Year,19199,707,ACTIVE,76.5,4.5,18,76.9324625730425,11,3,0,12.4853016947694,-16.4514400840852,Region II - (M) DIII,clippd_scoreboard,617,84,14.257130162576
2025-26,mgolf,Men,Empire 8,e8,St. John Fisher,St. John Fisher University,Nick Years,,Third Year,35730,614,ACTIVE,77.04,5.04,23,76.4237993307183,10,3,1,14.2795991489194,-12.0978036807481,Region II - (M) DIII,clippd_scoreboard,750,81,11.784485691015
2025-26,mgolf,Men,Empire 8,e8,St. John Fisher,St. John Fisher University,Colin Patterson,,Third Year,35727,644,ACTIVE,77.13,5.13,23,76.5107558524574,10,4,1,13.8373305310876,-12.0978036807481,Region II - (M) DIII,clippd_scoreboard,775,81,11.3950047650491
2025-26,mgolf,Men,Empire 8,e8,SUNY Canton,State University of NY at Canton,Anthony Marion,,,14375,913,ACTIVE,77.13,5.13,23,78.2895773982715,16,5,1,8.99002150947458,-16.7942210942188,Region I - (M) DIII,clippd_scoreboard,776,81,11.3793792813622
2025-26,mgolf,Men,Empire 8,e8,Utica,Utica University,Adam Degregory,,First Year,6268,100000,ACTIVE,78.12,6.12,8,80.3966329136489,5,0,0,5.07059638448341,-16.9973148829934,Region II - (M) DIII,clippd_scoreboard,1020,76,7.60877451501379
2025-26,mgolf,Men,Empire 8,e8,SUNY Oswego,State University of NY at Oswego,Tyce Helmick,,Fourth Year,20115,1075,ACTIVE,78.16,6.16,19,79.2143204974109,10,0,0,6.88979401334827,-14.9349429034288,Region II - (M) DIII,clippd_scoreboard,1029,76,7.54832139710892
2025-26,mgolf,Men,Empire 8,e8,Utica,Utica University,Aydin Parekh,,Fourth Year,6267,1127,ACTIVE,78.38,6.38,13,79.8552599230514,8,2,1,6.1991670454292,-15.9851599049476,Region II - (M) DIII,clippd_scoreboard,1071,75,6.944044698053
2025-26,mgolf,Men,Empire 8,e8,Nazareth,Nazareth University,Jaxstin Bingham,,Second Year,8665,1009,ACTIVE,78.4,6.4,20,79.0284254569451,12,4,0,7.69739165822501,-16.5641324831522,Region II - (M) DIII,clippd_scoreboard,1079,75,6.84194161400096
2025-26,mgolf,Men,Empire 8,e8,SUNY Oswego,State University of NY at Oswego,Sam Ligas,,Second Year,8846,1014,ACTIVE,78.74,6.74,19,79.7932678658319,10,1,0,7.65138430435139,-14.9349429034288,Region II - (M) DIII,clippd_scoreboard,1167,73,5.67718231839039
2025-26,mgolf,Men,Empire 8,e8,Russell Sage,Russell Sage College,Ryan Arp,,Fourth Year,10088,1029,ACTIVE,79.22,7.22,18,79.8029641773036,12,3,1,7.54832139710892,-16.2014042507237,Region II - (M) DIII,clippd_scoreboard,1293,71,4.03748039902984
2025-26,mgolf,Men,Empire 8,e8,SUNY Oswego,State University of NY at Oswego,Kevin Waters,,Second Year,80351,100000,ACTIVE,79.5,7.5,6,78.6595378705347,3,1,0,8.69876725775634,-15.7174994971608,Region II - (M) DIII,clippd_scoreboard,1336,70,3.47124735682592
2025-26,mgolf,Men,Empire 8,e8,Utica,Utica University,Koltin Pickell,,Second Year,6269,1202,ACTIVE,79.5,7.5,14,80.8974044955513,9,1,0,5.26052094147795,-15.8285974000701,Region II - (M) DIII,clippd_scoreboard,1342,70,3.39159040284893
2025-26,mgolf,Men,Empire 8,e8,St. John Fisher,St. John Fisher University,Jack Doran,,Third Year,35729,1061,ACTIVE,79.62,7.62,21,79.1397503400051,9,0,0,7.12117278129424,-11.761089165327,Region II - (M) DIII,clippd_scoreboard,1362,70,3.08177640362304
2025-26,mgolf,Men,Empire 8,e8,SUNY Oswego,State University of NY at Oswego,Jack Shaw,,Second Year,8845,1177,ACTIVE,79.63,7.63,19,80.6880047079372,10,0,0,5.57736934160732,-14.9349429034288,Region II - (M) DIII,clippd_scoreboard,1368,70,2.92037353471306
2025-26,mgolf,Men,Empire 8,e8,Nazareth,Nazareth University,Vincent Falgiatano,,,26134,1155,ACTIVE,79.65,7.65,20,80.2784254569451,12,1,0,5.7859706750885,-16.5641324831522,Region II - (M) DIII,clippd_scoreboard,1376,69,2.72331710937295
2025-26,mgolf,Men,Empire 8,e8,SUNY Oswego,State University of NY at Oswego,Justin Alvord,,Second Year,8842,1220,ACTIVE,79.89,7.89,19,80.951162602674,10,0,0,4.96688892472553,-14.9349429034288,Region II - (M) DIII,clippd_scoreboard,1433,68,1.73988456894078
2025-26,mgolf,Men,Empire 8,e8,SUNY Canton,State University of NY at Canton,Kahontiio Lazore,,Third Year,35935,1199,ACTIVE,79.93,7.93,14,81.0591864855383,10,1,0,5.29518551900803,-16.7409671499906,Region I - (M) DIII,clippd_scoreboard,1449,68,1.39611504788696
2025-26,mgolf,Men,Empire 8,e8,Utica,Utica University,Nathan Macdonald,,,22698,1232,ACTIVE,80.08,8.08,12,81.4362981501609,6,0,0,4.82249396678117,-15.3583756905151,Region II - (M) DIII,clippd_scoreboard,1478,68,0.874657684853333
