season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,team_name,team_id,sdrm_id,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,goalie_stats,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,avg_points_game,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct,goal_stats,penalty_stats,misc_stats,shot_stats
2025-26,wlax,Empire 8 (E8),e8,Alfred,Darby Lukowski,Darby,Lukowski,,18,Darby Lukowski,"LUKOWSKI,DARBY",LUKOWSKIDARBYALFRED,15,3,,,Alfred,ALFRED,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,10,2,12,6,175:00,76,0,1.000,,11,16,2,3,0,3,.688,0.20,,,,,,,,,,,,,,,,,,
2025-26,wlax,Empire 8 (E8),e8,Alfred,Alescia Nitti,Alescia,Nitti,,18,Alescia Nitti,"NITTI,ALESCIA",NITTIALESCIAALFRED,4,2,,,Alfred,ALFRED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,3,123:00,51,0,1.000,,3,5,1,3,1,2,.600,0.75,,,,,,,,,,,,,,,,,,
2025-26,wlax,Empire 8 (E8),e8,Alfred,Shyanne Trinh,Shyanne,Trinh,,18,Shyanne Trinh,"TRINH,SHYANNE",TRINHSHYANNEALFRED,7,1,,,Alfred,ALFRED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,1,2,60:00,0,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,
2025-26,wlax,Empire 8 (E8),e8,Alfred,Sarah Anderson,Sarah,Anderson,,18,Sarah Anderson,"ANDERSON,SARAH",ANDERSONSARAHALFRED,11,7,,,Alfred,ALFRED,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,13,0,16,11,420:00,0,0,1.000,,5,7,0,4,1,3,.714,0.36,,,,,,,,,,,,,,,,,,
2025-26,wlax,Empire 8 (E8),e8,Alfred,Nora Vick,Nora,Vick,,18,Nora Vick,"VICK,NORA",VICKNORAALFRED,16,16,,,Alfred,ALFRED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,2,0,0,0,0,0,0,12,2,22,23,960:00,76,0,1.000,,1,2,0,0,0,0,.500,0.00,,,,,,,,,,,,,,,,,,
2025-26,wlax,Empire 8 (E8),e8,Alfred,Lauren Sfeir,Lauren,Sfeir,,18,Lauren Sfeir,"SFEIR,LAUREN",SFEIRLAURENALFRED,15,11,,,Alfred,ALFRED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,28,1,19,9,758:00,45,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,
2025-26,wlax,Empire 8 (E8),e8,Alfred,Anna Priebe,Anna,Priebe,,18,Anna Priebe,"PRIEBE,ANNA",PRIEBEANNAALFRED,7,7,,,Alfred,ALFRED,0,0,1,0,0,0,0,6,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,8,0,15,1,404:00,72,0,1.000,,17,27,5,20,9,11,.630,2.86,,,,,,,,,,,,,,,,,,
2025-26,wlax,Empire 8 (E8),e8,Alfred,Paige Stansfield,Paige,Stansfield,,18,Paige Stansfield,"STANSFIELD,PAIGE",STANSFIELDPAIGEALFRED,16,16,,,Alfred,ALFRED,0,0,2,0,0,0,1,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,21,3,27,9,911:00,144,0,1.000,,24,34,6,19,6,13,.706,1.19,2,42:48,20,10,0,0,3,0,1,0,0,40,28.04,.333,,,,
2025-26,wlax,Empire 8 (E8),e8,Alfred,Megan Rinker,Megan,Rinker,,18,Megan Rinker,"RINKER,MEGAN",RINKERMEGANALFRED,16,16,,,Alfred,ALFRED,0,0,4,0,0,0,1,12,0,4,1,0,0,0,3,1,0,0,0,0,0,0,0,2,25,22,40,22,959:00,96,2,1.000,,39,56,11,26,6,20,.696,1.63,,,,,,,,,,,,,,,,,,
2025-26,wlax,Empire 8 (E8),e8,Alfred,Mallory Johnson,Mallory,Johnson,,18,Mallory Johnson,"JOHNSON,MALLORY",JOHNSONMALLORYALFRED,16,15,,,Alfred,ALFRED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,13,0,10,18,857:00,98,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,
