season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,matches_played,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,attack_stats,set_stats,serve_stats,defense_stats,block_stats,misc_stats
2025-26,wvball,Empire 8 (E8),e8,St. John Fisher,"Whitcavitch, Marilyn",Marilyn,Whitcavitch,,601,"Whitcavitch, Marilyn","WHITCAVITCH, MARILYN",St. John Fisher,SJF,1009-6097,38,3,24,0,24,0,.189,74,14,28,3,0,9,0,18,23,111,0,0,0,0,15,13,0,8,5,55,0,0.74,0.08,0.39,0.34,0.47,1.45,,,,,,
2025-26,wvball,Empire 8 (E8),e8,St. John Fisher,"Hartpence, Kiera",Kiera,Hartpence,,601,"Hartpence, Kiera","HARTPENCE, KIERA",St. John Fisher,SJF,1009-5537,102,1,1,0,1,0,.000,20,2,2,110,1,348,0,23,18,350,0,0,453,16,361,0,0,0,0,25,0,0.02,1.08,3.54,0.00,0.23,0.25,,,,,,
2025-26,wvball,Empire 8 (E8),e8,St. John Fisher,"Edholm, Erika",Erika,Edholm,,601,"Edholm, Erika","EDHOLM, ERIKA",St. John Fisher,SJF,1009-5538,18,2,4,0,4,0,.030,33,7,8,2,0,8,0,2,6,26,0,0,19,3,19,0,0,0,0,10,0,0.44,0.11,1.06,0.00,0.11,0.56,,,,,,
2025-26,wvball,Empire 8 (E8),e8,St. John Fisher,"Morrow, Reilly",Reilly,Morrow,,601,"Morrow, Reilly","MORROW, REILLY",St. John Fisher,SJF,1009-5540,94,58,7,0,7,0,.160,156,17,42,974,11,2286,0,47,53,346,0,0,5,0,212,41,0,38,3,111,2,0.45,10.36,2.26,0.44,0.50,1.18,,,,,,
2025-26,wvball,Empire 8 (E8),e8,St. John Fisher,"Mahar, Isabella",Isabella,Mahar,,601,"Mahar, Isabella","MAHAR, ISABELLA",St. John Fisher,SJF,1009-5542,90,0,18,0,18,0,.143,7,1,2,4,0,17,0,38,31,368,0,0,10,0,53,0,0,0,0,40,0,0.02,0.04,0.59,0.00,0.42,0.44,,,,,,
2025-26,wvball,Empire 8 (E8),e8,St. John Fisher,"Bouton, Madalyn",Madalyn,Bouton,,601,"Bouton, Madalyn","BOUTON, MADALYN",St. John Fisher,SJF,1009-5543,93,57,2,0,2,0,.234,265,40,102,5,0,27,0,0,0,0,0,0,2,0,22,46,1,38,8,129,1,1.10,0.05,0.24,0.49,0.00,1.39,,,,,,
2025-26,wvball,Empire 8 (E8),e8,St. John Fisher,"Gutman, Ana",Ana,Gutman,,601,"Gutman, Ana","GUTMAN, ANA",St. John Fisher,SJF,1009-5819,97,57,16,0,16,0,.328,345,46,159,9,1,53,0,0,1,8,0,0,3,1,22,81,4,68,13,206,0,1.64,0.09,0.23,0.84,0.00,2.12,,,,,,
2025-26,wvball,Empire 8 (E8),e8,St. John Fisher,"Kern, Jordan",Jordan,Kern,,601,"Kern, Jordan","KERN, JORDAN",St. John Fisher,SJF,1009-5821,22,0,26,0,26,0,.000,0,0,0,1,0,2,0,1,3,25,0,0,1,0,3,0,0,0,0,1,0,0.00,0.05,0.14,0.00,0.05,0.05,,,,,,
2025-26,wvball,Empire 8 (E8),e8,St. John Fisher,"Lawler, Emma",Emma,Lawler,,601,"Lawler, Emma","LAWLER, EMMA",St. John Fisher,SJF,1009-5816,9,0,11,0,11,0,.057,35,9,11,0,0,3,0,0,0,1,0,0,0,0,6,2,0,2,0,12,0,1.22,0.00,0.67,0.22,0.00,1.33,,,,,,
2025-26,wvball,Empire 8 (E8),e8,St. John Fisher,"Noble, Kaylene",Kaylene,Noble,,601,"Noble, Kaylene","NOBLE, KAYLENE",St. John Fisher,SJF,1009-5815,98,59,10,0,10,0,.321,904,111,401,12,3,83,0,13,46,202,0,0,321,33,252,29,2,20,9,433,0,4.09,0.12,2.57,0.30,0.13,4.42,,,,,,
