conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct,z_shot_stats_points,z_shot_stats_goals,z_shot_stats_assists,z_misc_stats_ground_balls,z_misc_stats_caused_turnovers,z_misc_stats_turnovers,z_penalty_stats_minutes,composite_score,rank,rating
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,mlax,Hanover,Owen Parker,,,,15,15,0.0,0.0,0.0,0.0,0.0,2.0,18.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,23.0,28.0,85.0,0.0,33.0,11.0,869:00,100.0,51.0,1.0,64.0,125.0,0.0,66.0,29.0,37.0,0.512,,,,,,,,,,,,,,,3.4641815534138614,2.8147325739042,4.179424521904183,2.524285097634003,0.6231146908971554,1.6001251665565586,0.0,8.945734647806873,1,99
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,mlax,Hanover,Colin O'Brien,,,,15,15,0.0,0.0,0.0,0.0,0.0,3.0,13.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,41.0,0.0,20.0,9.0,869:00,100.0,0.0,1.0,81.0,105.0,0.0,61.0,10.0,51.0,0.771,,,,,,,,,,,,,,,3.153678277039748,4.118496214422274,1.0724509614406887,0.8073940354792257,0.3721960234217908,0.555692003448512,0.0,7.33079113787695,2,94
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,mlax,Transylvania,Andrew Welch,,,,15,14,0.0,0.0,0.0,0.0,0.0,4.0,9.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,19.0,3.0,841:00,66.0,0.0,1.0,55.0,88.0,0.0,55.0,22.0,33.0,0.625,,,,,,,,,,,,,,,2.7810743453908113,2.4422286766133214,3.0347500522597377,-0.6753755181999002,-0.38055997900430294,0.47535099090173916,0.0,6.352261277741328,3,91
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,mlax,Transylvania,Huck Campbell,,,,16,14,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,26.0,0.0,16.0,5.0,838:00,20.0,0.0,1.0,64.0,104.0,0.0,50.0,24.0,26.0,0.615,,,,,,,,,,,,,,,2.4705710690166978,1.7903468563542844,3.3617999007295793,0.22209026429009712,-0.12964131152893835,0.2343279532614207,0.0,6.19011198913461,4,90
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,mlax,Hanover,Alex Kleinhelter,,,,14,14,0.0,0.0,0.0,0.0,0.0,2.0,14.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,24.0,0.0,29.0,3.0,809:00,100.0,1.0,1.0,59.0,104.0,0.0,54.0,22.0,32.0,0.567,,,,,,,,,,,,,,,2.718973690115989,2.349102702290602,3.0347500522597377,0.14404976146488,-0.38055997900430294,1.2787611163694674,0.0,6.140123376720672,5,88
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,mlax,Anderson,Noah Walsh,,,,15,13,0.0,0.0,0.0,0.0,0.0,3.0,27.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,40.0,10.0,781:00,57.0,0.0,1.0,86.0,138.0,0.0,55.0,20.0,35.0,0.623,,,,,,,,,,,,,,,2.7810743453908113,2.6284806252587605,2.707700203789896,-0.09007174701077147,0.4976553571594731,2.1625122543839685,0.0,6.036519169541769,6,87
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,mlax,Earlham,Robert Gift,,,,15,15,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,1.0,32.0,0.0,50.0,4.0,900:00,0.0,2.0,1.0,79.0,134.0,0.0,52.0,19.0,33.0,0.59,,,,,,,,,,,,,,,2.594772379566343,2.4422286766133214,2.5441752795549757,0.4562117727657486,-0.25510064526662063,2.9659223798516967,0.0,5.2034424028545425,7,86
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,mlax,Transylvania,Jack Miller,,,,17,1,0.0,0.0,0.0,0.0,1.0,2.0,21.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,0.0,0.0,0.0,0.0,24.0,0.0,15.0,1.0,60:00,0.0,0.0,1.0,61.0,101.0,0.0,44.0,9.0,35.0,0.604,,,,,,,,,,,,,,,2.0979671373677613,2.6284806252587605,0.9089260372057679,0.14404976146488,-0.6314786464796676,0.15398694071464786,0.0,4.629176421828513,8,85
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,mlax,Hanover,Ethan Abdoo,,,,13,11,0.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,33.0,0.0,19.0,9.0,629:00,100.0,0.0,1.0,49.0,72.0,0.0,39.0,14.0,25.0,0.681,,,,,,,,,,,,,,,1.7874638609936477,1.6972208820315646,1.7265506583803718,0.49523202417835716,0.3721960234217908,0.47535099090173916,0.0,4.4239140454045085,9,84
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,mlax,Anderson,Connor Kistner,,,,15,14,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,30.0,0.0,18.0,6.0,841:00,57.0,0.0,1.0,78.0,134.0,0.0,40.0,6.0,34.0,0.582,,,,,,,,,,,,,,,1.8495645162684704,2.535354650936041,0.41835126450100557,0.37817126994053146,-0.0041819777912560615,0.3950099783549664,0.0,4.124886918470803,10,83
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,mlax,Hanover,Kasey Hospelhorn,,,,14,13,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,7.0,0.0,0.0,87.0,74.0,75.0,0.0,22.0,14.0,749:00,100.0,161.0,1.0,51.0,74.0,0.0,32.0,12.0,20.0,0.689,,,,,,,,,,,,,,,1.3527592740698884,1.2315910104179666,1.3995008099105302,2.1340825835079174,0.9994926921102023,0.7163740285420577,0.0,3.971205620610246,11,82
