season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,goalie_stats,composite_score,global_rank,rating
2026-27,msoc,Heartland Collegiate Athletic Conference (HCAC),hcac,Berea,"Takpor, Tobore",Tobore,Takpor,,30171,"Takpor, Tobore","TAKPOR,TOBORE",Berea,BER,921-1348,3,3,11,0,11,0,0,6,9,9,3,3,0,0,3.00,2.00,3.00,1.000,1.000,3,0,0,0,1,1,1,.333,3,0,1,0,1.00,.33,.00,.00,0,,189:00,0,.00,.00,,,,,,,,,,,,,,,,,,27.378973013941557,1,99
2026-27,msoc,Heartland Collegiate Athletic Conference (HCAC),hcac,Berea,"Gorantla, Ramesh",Ramesh,Gorantla,,30171,"Gorantla, Ramesh","GORANTLA,RAMESH",Berea,BER,921-1630,3,3,30,0,30,0,0,6,14,7,1,3,2,1,4.67,2.00,2.33,1.000,.333,3,0,1,0,0,1,1,.333,1,0,1,0,.33,.33,.00,.00,0,,188:00,0,.00,.00,,,,,,,,,,,,,,,,,,19.877731198916514,2,99
2026-27,msoc,Heartland Collegiate Athletic Conference (HCAC),hcac,Rose-Hulman,"Shapiro, Ryan",Ryan,Shapiro,,585,"Shapiro, Ryan","SHAPIRO,RYAN",Rose-Hulman,RHT,1038-5056,3,3,13,0,13,0,0,3,5,7,1,3,0,0,1.67,1.00,2.33,1.000,.333,0,0,0,0,2,0,2,.667,2,0,1,0,.67,.33,.00,.00,0,,154:00,0,.00,.00,,,,,,,,,,,,,,,,,,18.374756241550553,3,99
2026-27,msoc,Heartland Collegiate Athletic Conference (HCAC),hcac,Rose-Hulman,"Fila, Oliver",Oliver,Fila,,585,"Fila, Oliver","FILA,OLIVER",Rose-Hulman,RHT,1038-4744,3,3,8,0,8,0,0,4,4,5,1,2,1,1,1.33,1.33,1.67,.667,.333,2,0,0,0,1,1,0,.000,1,0,0,0,.33,.00,.00,.00,0,,170:00,0,.00,.00,,,,,,,,,,,,,,,,,,14.114769914525716,4,98
2026-27,msoc,Heartland Collegiate Athletic Conference (HCAC),hcac,Rose-Hulman,"Kedzior, Chase",Chase,Kedzior,,585,"Kedzior, Chase","KEDZIOR,CHASE",Rose-Hulman,RHT,1038-4745,3,3,6,0,6,0,0,1,1,4,2,1,0,0,.33,.33,1.33,.333,.667,0,0,0,0,0,0,0,.000,1,0,0,0,.33,.00,.00,.00,0,,144:00,0,.00,.00,,,,,,,,,,,,,,,,,,11.601437885192123,5,98
2026-27,msoc,Heartland Collegiate Athletic Conference (HCAC),hcac,Earlham,"De La O, John",John,De La O,,195,"De La O, John","DE LA O,JOHN",Earlham,EC,1215-2060,3,3,8,0,8,0,0,6,12,4,0,2,0,0,4.00,2.00,1.33,.667,.000,4,0,0,0,1,0,1,.333,4,0,0,0,1.33,.00,.00,.00,0,,227:00,0,.00,.00,,,,,,,,,,,,,,,,,,11.366132311923831,6,98
2026-27,msoc,Heartland Collegiate Athletic Conference (HCAC),hcac,Transylvania,"Varela, Cole",Cole,Varela,,28749,"Varela, Cole","VARELA,COLE",Transylvania,TRA,1039-2715,2,2,7,0,7,0,0,6,6,4,0,2,2,2,3.00,3.00,2.00,1.000,.000,4,1,0,0,1,2,1,.500,1,0,1,0,.50,.50,.00,.00,0,,140:00,0,.00,.00,,,,,,,,,,,,,,,,,,11.366132311923831,7,97
2026-27,msoc,Heartland Collegiate Athletic Conference (HCAC),hcac,Earlham,"Martinez, Eduardo",Eduardo,Martinez,,195,"Martinez, Eduardo","MARTINEZ,EDUARDO",Earlham,EC,1215-2057,3,3,2,0,2,0,0,1,4,3,3,0,0,0,1.33,.33,1.00,.000,1.000,1,0,0,0,0,0,0,.000,2,0,0,0,.67,.00,.00,.00,0,,179:00,0,.00,.00,,,,,,,,,,,,,,,,,,10.591080813224488,8,97
2026-27,msoc,Heartland Collegiate Athletic Conference (HCAC),hcac,Earlham,"Paul, Mason",Mason,Paul,,195,"Paul, Mason","PAUL,MASON",Earlham,EC,1215-1831,3,3,19,0,19,0,0,3,4,4,0,2,2,2,1.33,1.00,1.33,.667,.000,1,1,0,0,1,2,0,.000,3,0,0,0,1.00,.00,.00,.00,0,,254:00,0,.00,.00,,,,,,,,,,,,,,,,,,9.863157354557874,9,97
2026-27,msoc,Heartland Collegiate Athletic Conference (HCAC),hcac,Manchester,"Taylor, Quentin",Quentin,Taylor,,1192,"Taylor, Quentin","TAYLOR,QUENTIN",Manchester,MANCHEST,1036-3074,3,2,15,0,15,0,0,2,3,4,0,2,0,0,1.00,.67,1.33,.667,.000,0,0,0,0,1,1,1,.333,0,0,0,0,.00,.00,.00,.00,0,,98:00,0,.00,.00,,,,,,,,,,,,,,,,,,9.362165702102555,10,96
