conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Anderson,Cayla Creech,,,,13,7,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,8,0,7,1,420:00,0,0,1.000,1,60:00,6,3,0,1,0,0,0,0,0,15,6.00,.333,1,1,0,1,0,1,1.000
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Anderson,Iyana Phelps,,,,16,12,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19,11,26,9,705:00,0,0,1.000,,,,,,,,,,,,,,,12,18,6,8,5,3,.667
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Anderson,Avery Jarosinski,,,,16,15,0,0,0,0,0,2,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,27,14,885:00,0,0,1.000,,,,,,,,,,,,,,,38,48,3,26,6,20,.792
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Anderson,Marta Stender,,,,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17,0,6,13,885:00,0,0,1.000,,,,,,,,,,,,,,,0,0,0,0,0,0,.000
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Anderson,Lauren Brown,,,,16,16,0,4,0,0,0,1,9,0,1,0,0,0,0,9,2,0,0,0,0,0,0,0,0,51,102,59,25,945:00,0,0,1.000,,,,,,,,,,,,,,,29,40,12,35,24,11,.725
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Anderson,Natalie Hay,,,,16,15,0,1,0,0,0,0,8,0,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,44,12,36,12,900:00,0,0,1.000,,,,,,,,,,,,,,,14,23,4,18,10,8,.609
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Anderson,Jocelyn DeVol,,,,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,7,1,120:00,0,0,1.000,,,,,,,,,,,,,,,2,3,1,0,0,0,.667
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Anderson,Sarah Weist,,,,16,16,0,11,0,0,0,5,33,0,4,1,0,0,0,4,4,0,0,0,0,0,0,0,0,34,3,46,18,945:00,0,0,1.000,,,,,,,,,,,,,,,62,87,17,54,10,44,.713
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Anderson,Jazzy Stephens,,,,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,60:00,0,0,1.000,,,,,,,,,,,,,,,0,2,1,0,0,0,.000
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Anderson,Allison King,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00,0,0,1.000,,,,,,,,,,,,,,,0,0,0,0,0,0,.000
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Anderson,River Grabowski,,,,13,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,16,1,300:00,0,0,1.000,,,,,,,,,,,,,,,4,6,2,3,1,2,.667
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Anderson,Kelsee Smit,,,,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,24,11,825:00,0,0,1.000,,,,,,,,,,,,,,,0,1,0,0,0,0,.000
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Anderson,Katte Escobar,,,,15,14,0,4,0,0,0,2,9,0,4,1,0,0,0,6,4,0,0,0,0,0,0,0,0,24,11,34,13,825:00,0,0,1.000,,,,,,,,,,,,,,,44,61,12,28,5,23,.721
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Anderson,Lillie Casey,,,,12,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,32,2,15,23,585:00,0,0,1.000,,,,,,,,,,,,,,,6,8,1,2,1,1,.750
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Anderson,Julia Jarrells,,,,16,16,0,3,0,0,0,0,3,1,7,2,0,0,0,2,1,0,0,0,0,0,0,0,0,21,54,30,13,945:00,0,0,1.000,,,,,,,,,,,,,,,46,65,7,33,5,28,.708
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Anderson,Alli Rastrelli,,,,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,26,0,17,8,945:00,0,0,1.000,,,,,,,,,,,,,,,0,1,0,0,0,0,.000
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Anderson,Kimber Weiss,,,,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,23,0,885:00,0,0,1.000,15,885:00,168,107,0,8,7,0,0,0,0,373,11.39,.389,1,2,0,0,0,0,.500
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Anderson,Kailey Anderson,,,,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,105:00,0,0,1.000,,,,,,,,,,,,,,,0,0,0,0,0,0,.000
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Anderson,Lillie Cassey,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,60,0,0,1.000,,,,,,,,,,,,,,,0,0,0,0,0,0,.000
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Franklin,Alyssa Christian,,,,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0,528:00,30,0,1.000,,,,,,,,,,,,,,,4,6,1,0,0,0,.667
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Franklin,Addie Whitman,,,,9,9,0,3,0,0,1,2,20,4,5,1,0,0,0,3,1,0,0,0,0,0,0,0,0,36,40,31,14,528:00,30,0,1.000,,,,,,,,,,,,,,,43,66,9,29,2,27,.652
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Franklin,Aubrey Small,,,,9,9,0,1,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,1,17,7,528:00,30,0,1.000,,,,,,,,,,,,,,,10,21,4,7,0,7,.476
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Franklin,Abby Moore,,,,9,9,0,6,0,0,0,0,10,0,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,21,27,35,22,528:00,30,0,1.000,,,,,,,,,,,,,,,19,24,9,16,4,12,.792
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Franklin,Claire Ecenbarger,,,,8,8,0,2,0,0,0,0,4,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,14,19,28,6,468:00,30,0,1.000,,,,,,,,,,,,,,,13,17,4,11,5,6,.765
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Franklin,Maddie Cary,,,,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,28,4,21,27,528:00,30,0,1.000,1,30:00,6,4,0,0,0,0,0,0,0,11,12.00,.400,1,1,0,0,0,0,1.000
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Franklin,Catherine Scott,,,,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,25,1,528:00,30,0,1.000,9,528:30,128,53,0,1,6,0,0,0,0,243,14.53,.293,0,0,0,0,0,0,.000
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Franklin,Gabby Cunningham,,,,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,5,408:00,30,0,1.000,1,0:00,14,2,0,0,0,0,0,0,0,18,.00,.125,0,0,0,0,0,0,.000
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Franklin,Avery Tomlinson,,,,9,9,0,0,0,0,0,0,3,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,15,2,13,12,528:00,30,0,1.000,,,,,,,,,,,,,,,7,8,0,3,0,3,.875
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Franklin,Mayanna Navarra,,,,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,6,468:00,30,0,1.000,,,,,,,,,,,,,,,0,0,0,0,0,0,.000
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Franklin,Abby Thornburg,,,,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,7,1,528:00,30,0,1.000,,,,,,,,,,,,,,,1,2,2,0,0,0,.500
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Franklin,Anna Kute,,,,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,120:00,0,0,1.000,,,,,,,,,,,,,,,0,0,0,0,0,0,.000
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Franklin,Maggie Matthews,,,,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,21,4,528:00,30,0,1.000,,,,,,,,,,,,,,,6,10,1,1,1,0,.600
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Franklin,Payton Seay,,,,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,60:00,0,0,1.000,,,,,,,,,,,,,,,0,0,0,0,0,0,.000
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Hanover,Brooke McKnight,,,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,3,180:00,0,0,1.000,,,,,,,,,,,,,,,0,1,0,0,0,0,.000
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Hanover,Abby Mensing,,,,10,10,0,7,0,0,0,2,17,1,5,1,0,0,0,13,4,0,0,0,0,0,0,0,0,29,25,36,13,594:00,52,0,1.000,,,,,,,,,,,,,,,41,54,14,30,1,29,.759
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Hanover,Eliza Cox,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,60:00,0,0,1.000,,,,,,,,,,,,,,,0,0,0,0,0,0,.000
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Hanover,Brooklynn Walker,,,,10,10,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,17,4,594:00,52,0,1.000,,,,,,,,,,,,,,,4,5,3,2,1,1,.800
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Hanover,Natalie Mullin,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,00:00,0,0,1.000,,,,,,,,,,,,,,,0,0,0,0,0,0,.000
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Hanover,Mallory Mahin,,,,10,10,0,2,0,0,0,0,3,1,2,0,0,0,0,6,4,0,0,0,0,0,0,0,0,15,1,29,9,594:00,52,0,1.000,,,,,,,,,,,,,,,9,15,4,7,3,4,.600
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Hanover,Alysha Baker,,,,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,23,5,26,7,594:00,52,0,1.000,,,,,,,,,,,,,,,7,16,2,4,3,1,.438
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Hanover,Anissa Weber,,,,10,10,0,1,0,0,0,1,5,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,25,6,36,13,594:00,52,0,1.000,,,,,,,,,,,,,,,12,14,3,14,5,9,.857
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Hanover,Quinn Cherry,,,,10,10,0,1,0,0,0,1,8,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,15,0,16,5,594:00,52,0,1.000,,,,,,,,,,,,,,,20,31,7,23,10,13,.645
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Hanover,Kaylee Britton,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00,0,0,1.000,,,,,,,,,,,,,,,0,0,0,0,0,0,.000
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Hanover,Kaitlyn Madden,,,,9,9,0,1,0,0,0,0,2,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,25,37,13,8,528:00,93,0,1.000,,,,,,,,,,,,,,,16,21,4,8,3,5,.762
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Hanover,Adair Dooley,,,,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,28,6,15,7,594:00,52,0,1.000,,,,,,,,,,,,,,,1,1,0,1,0,1,1.000
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Hanover,Jennavee Houser,,,,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,60:00,0,0,1.000,,,,,,,,,,,,,,,0,0,0,0,0,0,.000
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Hanover,Emma Williams,,,,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,34,2,594:00,52,0,1.000,10,594:52,142,102,0,2,9,0,0,0,0,315,14.32,.418,0,0,0,0,0,0,.000
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Hanover,Aniyah Johnson,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Hanover,Maggie Wimsatt,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Hanover,Elizabeth Wahlman,,,,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,1,2,360:00,0,0,1.000,,,,,,,,,,,,,,,0,0,0,0,0,0,.000
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Hanover,Maddie Kaplan,,,,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,114:00,52,0,1.000,,,,,,,,,,,,,,,0,0,0,0,0,0,.000
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Hanover,Dorothy Dewees,,,,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,4,474:00,52,0,1.000,,,,,,,,,,,,,,,0,0,0,0,0,0,.000
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Hanover,Kaylee Johnsonbaugh,,,,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,7,2,474:00,52,0,1.000,,,,,,,,,,,,,,,0,0,0,1,1,0,.000
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Hanover,Laurel Everson,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Mount St. Joseph,Rachel Winkler,,,,13,12,0,0,0,0,0,0,2,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,29,0,20,19,724:00,19,0,1.000,,,,,,,,,,,,,,,6,7,1,4,1,3,.857
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Mount St. Joseph,Abby Cole,,,,13,13,0,10,0,0,0,1,28,2,5,1,0,0,0,2,5,0,0,0,0,0,0,0,0,23,45,35,21,784:00,19,0,1.000,,,,,,,,,,,,,,,60,76,25,40,6,34,.789
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Mount St. Joseph,Grayson Drew,,,,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,10,0,11,15,724:00,19,0,1.000,,,,,,,,,,,,,,,0,0,0,0,0,0,.000
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Mount St. Joseph,Alyson Schmidt,,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00,0,0,1.000,,,,,,,,,,,,,,,0,0,0,0,0,0,.000
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Mount St. Joseph,Erika Borges,,,,13,13,0,3,0,0,0,0,3,0,2,0,0,0,0,4,2,0,0,0,0,0,0,0,0,23,18,33,10,784:00,19,0,1.000,,,,,,,,,,,,,,,13,18,7,7,0,7,.722
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Mount St. Joseph,Jamie Turner,,,,11,11,0,0,0,0,0,0,2,0,1,0,0,0,0,3,6,0,0,0,0,0,0,0,0,5,1,17,5,660:00,0,0,1.000,,,,,,,,,,,,,,,8,10,2,6,2,4,.800
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Mount St. Joseph,Serenity Stonom,,,,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,4,2,604:00,19,0,1.000,,,,,,,,,,,,,,,2,2,1,0,0,0,1.000
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Mount St. Joseph,Jayden Wilson,,,,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,13,4,784:00,19,0,1.000,,,,,,,,,,,,,,,0,0,0,1,1,0,.000
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Mount St. Joseph,Grace Imm,,,,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,2,1,9,3,784:00,19,0,1.000,,,,,,,,,,,,,,,3,8,3,0,0,0,.375
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Mount St. Joseph,Alyssa Young,,,,11,11,0,11,0,0,0,0,39,2,14,1,0,0,0,5,2,0,0,0,0,0,0,0,0,30,30,19,10,664:00,19,0,1.000,,,,,,,,,,,,,,,62,68,14,59,11,48,.912
