season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,goalie_stats,composite_score,global_rank,rating
2026-27,wsoc,Heartland Collegiate Athletic Conference (HCAC),hcac,Franklin,Trinity Inglert,Trinity,Inglert,,2694,Trinity Inglert,"INGLERT,TRINITY",Franklin,FRANKLIN,1034-2975,2,2,31,0,31,0,0,6,7,6,2,2,0,0,3.50,3.00,3.00,1.000,1.000,4,0,0,0,1,0,1,.500,0,0,0,0,.00,.00,.00,.00,0,,150:00,0,.00,.00,,,,,,,,,,,,,,,,,,18.68649009992319,1,99
2026-27,wsoc,Heartland Collegiate Athletic Conference (HCAC),hcac,Mount St. Joseph,"Anhofer, Mary",Mary,Anhofer,,8567,"Anhofer, Mary","ANHOFER,MARY",Mount St. Joseph,MSJ,1037-2559,3,3,21,0,21,0,0,5,8,6,0,3,0,0,2.67,1.67,2.00,1.000,.000,2,0,0,0,2,1,0,.000,1,0,0,0,.33,.00,.00,.00,0,,169:00,0,.00,.00,,,,,,,,,,,,,,,,,,15.464966137933803,2,99
2026-27,wsoc,Heartland Collegiate Athletic Conference (HCAC),hcac,Rose-Hulman,"Darini, Lena",Lena,Darini,,585,"Darini, Lena","DARINI,LENA",Rose-Hulman,RHT,1038-4970,2,2,8,0,8,0,0,5,5,6,0,3,0,0,2.50,2.50,3.00,1.500,.000,2,0,0,0,1,0,0,.000,1,0,0,0,.50,.00,.00,.00,0,,96:00,0,.00,.00,,,,,,,,,,,,,,,,,,15.464966137933803,3,99
2026-27,wsoc,Heartland Collegiate Athletic Conference (HCAC),hcac,Rose-Hulman,"Fleury, Madison",Madison,Fleury,,585,"Fleury, Madison","FLEURY,MADISON",Rose-Hulman,RHT,1038-5333,2,0,15,0,15,0,0,1,3,5,3,1,0,0,1.50,.50,2.50,.500,1.500,0,0,0,0,0,1,1,.500,1,0,0,0,.50,.00,.00,.00,0,,93:00,0,.00,.00,,,,,,,,,,,,,,,,,,15.059893260527437,4,98
2026-27,wsoc,Heartland Collegiate Athletic Conference (HCAC),hcac,Anderson,"Cornette, Mailee",Mailee,Cornette,,939,"Cornette, Mailee","CORNETTE,MAILEE",Anderson,AU,0,2,2,5,0,5,0,0,5,8,5,1,2,0,0,4.00,2.50,2.50,1.000,.500,3,0,0,0,1,0,1,.500,0,0,0,0,.00,.00,.00,.00,0,,136:00,0,.00,.00,,,,,,,,,,,,,,,,,,14.466269196270346,5,98
2026-27,wsoc,Heartland Collegiate Athletic Conference (HCAC),hcac,Franklin,Mylee McAdams,Mylee,McAdams,,2694,Mylee McAdams,"MCADAMS,MYLEE",Franklin,FRANKLIN,1034-2970,2,2,23,0,23,0,0,3,8,5,1,2,0,0,4.00,1.50,2.50,1.000,.500,1,0,0,0,0,0,0,.000,1,0,0,0,.50,.00,.00,.00,0,,117:00,0,.00,.00,,,,,,,,,,,,,,,,,,13.415109237177429,6,98
2026-27,wsoc,Heartland Collegiate Athletic Conference (HCAC),hcac,Franklin,Amirah Curry,Amirah,Curry,,2694,Amirah Curry,"CURRY,AMIRAH",Franklin,FRANKLIN,1034-2303,2,2,10,0,10,0,0,2,3,5,1,2,0,0,1.50,1.00,2.50,1.000,.500,0,0,0,0,1,0,1,.500,0,0,0,0,.00,.00,.00,.00,0,,125:00,0,.00,.00,,,,,,,,,,,,,,,,,,12.889529257630969,7,97
2026-27,wsoc,Heartland Collegiate Athletic Conference (HCAC),hcac,Franklin,Lauren Barker,Lauren,Barker,,2694,Lauren Barker,"BARKER,LAUREN",Franklin,FRANKLIN,1034-2301,2,2,11,0,11,0,0,3,7,4,2,1,0,0,3.50,1.50,2.00,.500,1.000,2,0,0,0,0,0,0,.000,5,0,0,0,2.50,.00,.00,.00,0,,121:00,0,.00,.00,,,,,,,,,,,,,,,,,,12.416412295513974,8,97
2026-27,wsoc,Heartland Collegiate Athletic Conference (HCAC),hcac,Rose-Hulman,"Johns, Emma",Emma,Johns,,585,"Johns, Emma","JOHNS,EMMA",Rose-Hulman,RHT,1038-4818,2,2,21,0,21,0,0,1,1,4,2,1,0,0,.50,.50,2.00,.500,1.000,0,0,0,0,0,0,0,.000,1,0,0,0,.50,.00,.00,.00,0,,103:00,0,.00,.00,,,,,,,,,,,,,,,,,,11.365252336421054,9,97
2026-27,wsoc,Heartland Collegiate Athletic Conference (HCAC),hcac,Anderson,"Hurst, Kennedy",Kennedy,Hurst,,939,"Hurst, Kennedy","HURST,KENNEDY",Anderson,AU,0,2,2,20,0,20,0,0,4,7,4,0,2,0,0,3.50,2.00,2.00,1.000,.000,2,0,0,0,0,2,0,.000,1,0,0,0,.50,.00,.00,.00,0,,167:00,0,.00,.00,,,,,,,,,,,,,,,,,,10.246048292617507,10,96
2026-27,wsoc,Heartland Collegiate Athletic Conference (HCAC),hcac,Mount St. Joseph,"Eagan, Gabrielle",Gabrielle,Eagan,,8567,"Eagan, Gabrielle","EAGAN,GABRIELLE",Mount St. Joseph,MSJ,1037-3140,3,2,13,0,13,0,0,3,3,4,0,2,0,0,1.00,1.00,1.33,.667,.000,1,0,0,0,0,0,1,.333,0,0,0,0,.00,.00,.00,.00,0,,136:00,0,.00,.00,,,,,,,,,,,,,,,,,,9.720468313071049,11,96
2026-27,wsoc,Heartland Collegiate Athletic Conference (HCAC),hcac,Anderson,"Cameron, Izzy",Izzy,Cameron,,939,"Cameron, Izzy","CAMERON,IZZY",Anderson,AU,0,2,2,28,0,28,0,0,4,6,3,1,1,0,0,3.00,2.00,1.50,.500,.500,3,0,0,0,0,1,0,.000,2,0,0,0,1.00,.00,.00,.00,0,,150:00,0,.00,.00,,,,,,,,,,,,,,,,,,9.247351350954052,12,96
2026-27,wsoc,Heartland Collegiate Athletic Conference (HCAC),hcac,Mount St. Joseph,"Fox, Kendal",Kendal,Fox,,8567,"Fox, Kendal","FOX,KENDAL",Mount St. Joseph,MSJ,1037-2869,3,3,54,0,54,0,0,4,7,2,2,0,0,0,2.33,1.33,.67,.000,.667,4,0,0,0,0,0,0,.000,1,0,0,0,.33,.00,.00,.00,0,,154:00,0,.00,.00,,,,,,,,,,,,,,,,,,8.248654409290594,13,95
2026-27,wsoc,Heartland Collegiate Athletic Conference (HCAC),hcac,Rose-Hulman,"Untermeyer, Delaney",Delaney,Untermeyer,,585,"Untermeyer, Delaney","UNTERMEYER,DELANEY",Rose-Hulman,RHT,1038-5335,2,0,26,0,26,0,0,2,2,3,1,1,0,0,1.00,1.00,1.50,.500,.500,1,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,55:00,0,.00,.00,,,,,,,,,,,,,,,,,,8.196191391861133,14,95
2026-27,wsoc,Heartland Collegiate Athletic Conference (HCAC),hcac,Mount St. Joseph,"Cracchilo, Maya",Maya,Cracchilo,,8567,"Cracchilo, Maya","CRACCHILO,MAYA",Mount St. Joseph,MSJ,1037-2868,3,0,5,0,5,0,0,1,1,3,1,1,0,0,.33,.33,1.00,.333,.333,0,0,0,0,0,0,1,.333,1,0,0,0,.33,.00,.00,.00,0,,94:00,0,.00,.00,,,,,,,,,,,,,,,,,,7.670611412314673,15,95
