season,sport,gender,conference,conference_code,team,school_name,player_name,position,class_year,clippd_player_id,clippd_rank,player_ranking_status,scoring_stats_scoring_average,scoring_stats_vs_par,scoring_stats_rounds,scoring_stats_adjusted_score,scoring_stats_stroke_play_events,top10_finishes,events_won,average_points,strength_of_schedule,region,data_source,global_rank,rating,composite_score
2025-26,wgolf,Women,Independent,independent,Christopher Newport,Christopher Newport University,Julia Pelletier,,,19849,128,ACTIVE,78.77,6.77,22,77.1714847944875,10,2,0,17.7718239549221,-16.4518023381737,Southeast - (W) DIII,clippd_scoreboard,163,90,13.8827246517338
2025-26,wgolf,Women,Independent,independent,Christopher Newport,Christopher Newport University,Katie Watson,,,20324,162,ACTIVE,79.73,7.73,22,78.1260302490329,10,0,0,13.9546135280513,-16.4518023381737,Southeast - (W) DIII,clippd_scoreboard,220,89,10.1924335836167
2025-26,wgolf,Women,Independent,independent,Christopher Newport,Christopher Newport University,Maddie Cameron,,Second Year,8174,194,ACTIVE,79.86,7.86,21,78.2629347258183,10,1,0,11.579706643448,-16.4290666985085,Southeast - (W) DIII,clippd_scoreboard,229,88,9.54135047579737
2025-26,wgolf,Women,Independent,independent,Christopher Newport,Christopher Newport University,Gabi McGehee,,Second Year,8173,168,ACTIVE,80.18,8.18,17,78.674387088998,8,1,0,13.6029303479085,-17.9182830977882,Southeast - (W) DIII,clippd_scoreboard,259,88,8.07997169757176
2025-26,wgolf,Women,Independent,independent,Christopher Newport,Christopher Newport University,Taylor Davis,,Third Year,8268,178,ACTIVE,80.42,8.42,19,78.792945050804,9,0,0,12.8055786891004,-16.8915124416599,Southeast - (W) DIII,clippd_scoreboard,276,87,7.71998280582955
2025-26,wgolf,Women,Independent,independent,Christopher Newport,Christopher Newport University,Sara McCaskill,,Second Year,8175,324,ACTIVE,83.43,11.43,14,81.4679613135269,6,0,0,5.89882793847817,-15.3727616695451,Southeast - (W) DIII,clippd_scoreboard,479,81,2.75313529759054
2025-26,wgolf,Women,Independent,independent,Christopher Newport,Christopher Newport University,Cassie Sengul,,Third Year,34457,100000,ACTIVE,84.0,12.0,7,82.8248499225754,4,0,0,3.97711148973265,-24.4546580058704,Southeast - (W) DIII,clippd_scoreboard,512,80,2.37396779219982
2025-26,wgolf,Women,Independent,independent,Christopher Newport,Christopher Newport University,Maggie Umphlet,,,13695,100000,ACTIVE,89.17,17.17,6,86.9227773183619,3,0,0,1.43830164328622,-19.4814849246545,Southeast - (W) DIII,clippd_scoreboard,851,69,0.202682217418367
2025-26,wgolf,Women,Independent,independent,Saint Joseph's (ME),Saint Joseph's College (ME),Averi Beaudoin,,,35838,100000,ACTIVE,95.87,23.87,8,98.0090159864579,7,2,0,0.129997451835492,-36.9127579097126,East - (W) DIII,clippd_scoreboard,1115,61,0.446431545913806
2025-26,wgolf,Women,Independent,independent,Saint Joseph's (ME),Saint Joseph's College (ME),Reese Beaudoin,,Third Year,35840,100000,ACTIVE,99.06,27.06,8,101.001279625613,7,1,0,0.0793257922477702,-36.3301170463017,East - (W) DIII,clippd_scoreboard,1192,59,1.19403476409983
2025-26,wgolf,Women,Independent,independent,Saint Joseph's (ME),Saint Joseph's College (ME),Mackenzie Murphy,,,8359,100000,ACTIVE,120.77,48.77,8,122.384015986458,7,0,0,0.00184765091688265,-36.9127579097126,East - (W) DIII,clippd_scoreboard,1439,52,6.38611173624299e-06
2025-26,wgolf,Women,Independent,independent,Saint Joseph's (ME),Saint Joseph's College (ME),Cailin Henry,,Second Year,8791,100000,ACTIVE,123.06,51.06,8,125.053208103432,7,0,0,0.000222095206739845,-36.7034229189978,East - (W) DIII,clippd_scoreboard,1446,51,0.000631584612048248
