season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats,team_name,team_id,sdrm_id,this_is_softball,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs
2026-27,baseball,Landmark Conference,landmark_conference,Drew,F. Master,F.,Master,,190,F. Master,0,0DREW,15,15,,,55,18,21,8,4,1,0,12,0,0,7,5,6,1,0,0,0,0,0,0,0,0,0,0.493,27,67,7,.857,.382,.491,24,0,0,0,0,0,0,0,0,24,1.000,0,.000,,3,0,15,9,"5,18",0.28,5,18,"10,20",0.50,10,20,"7,17",0.41,7,17,"4,12",0.33,4,12,0,0,0,0,"11,25","2,4","15,23",7,0,0,0,0,0,0,0,0,13,0,,Drew,DREW,1050-4721,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Landmark Conference,landmark_conference,Drew,A. Mitchell,A.,Mitchell,,190,A. Mitchell,0,0DREW,9,6,,,20,5,5,5,1,0,0,2,0,1,4,1,1,0,1,1,0,0,0,0,0,0,0,0.333,6,25,1,1.000,.250,.300,21,0,0,0,0,0,0,0,0,21,1.000,0,.000,,0,1,5,8,"1,9",0.11,1,9,"4,15",0.27,4,15,"4,12",0.33,4,12,"3,11",0.27,3,11,0,0,0,0,"0,1","1,3","9,19",4,0,0,0,44,0,0,0,2,11,0,,Drew,DREW,1050-4575,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Landmark Conference,landmark_conference,Drew,N. Bisaccia,N.,Bisaccia,,190,N. Bisaccia,0,0DREW,17,16,,,46,17,14,14,2,2,2,15,0,1,16,5,10,0,6,0,0,0,0,0,0,0,0,0.484,26,68,10,1.000,.304,.565,4,33,9,0,0,0,0,0,0,46,.804,0,.000,,0,2,12,10,"5,15",0.33,5,15,"9,26",0.35,9,26,"7,17",0.41,7,17,"4,13",0.31,4,13,0,0,0,0,"8,13","2,5","18,34",111,0,0,0,0,0,0,0,10,14,0,,Drew,DREW,1050-4858,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Landmark Conference,landmark_conference,Drew,Z. Maxwell,Z.,Maxwell,,190,Z. Maxwell,0,0DREW,17,17,,,62,15,25,12,6,2,0,6,0,3,7,3,6,1,3,0,0,0,0,0,0,0,0,0.479,35,74,7,.857,.403,.565,17,1,1,0,0,0,0,0,0,19,.947,0,.000,,5,2,9,20,"9,22",0.41,9,22,"17,34",0.50,17,34,"13,21",0.62,13,21,"7,17",0.41,7,17,0,0,0,0,"5,13","3,4","24,39",11,0,0,0,0,0,0,0,4,9,0,,Drew,DREW,1050-4722,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Landmark Conference,landmark_conference,Drew,N. Donofrio,N.,Donofrio,,190,N. Donofrio,0,0DREW,17,17,,,60,15,18,20,3,1,4,8,1,1,16,3,0,0,0,3,0,0,0,0,0,0,0,0.375,35,72,0,.000,.300,.583,86,9,1,0,0,13,5,0,0,96,.990,18,.722,,3,2,9,18,"2,20",0.10,2,20,"13,42",0.31,13,42,"9,26",0.35,9,26,"7,15",0.47,7,15,0,0,0,0,"6,11","11,15","22,48",22,0,0,0,0,0,0,0,4,20,0,,Drew,DREW,1050-4862,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Landmark Conference,landmark_conference,Drew,C. Stokoe,C.,Stokoe,,190,C. Stokoe,0,0DREW,4,2,,,8,1,0,0,0,0,0,0,0,0,7,1,1,0,1,0,0,0,0,0,0,0,0,0.000,0,9,1,1.000,.000,.000,7,1,0,0,0,0,0,0,0,8,1.000,0,.000,,0,0,1,1,"0,2",0,0,2,"0,2",0,0,2,"0,1",0,0,1,"0,1",0,0,1,0,0,0,0,"0,1","0,1","2,3",0,0,0,0,3,0,0,0,2,0,0,,Drew,DREW,1050-4727,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Landmark Conference,landmark_conference,Drew,Z. Chhabria,Z.,Chhabria,,190,Z. Chhabria,0,0DREW,11,2,,,7,3,0,0,0,0,0,5,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0.417,0,12,0,.000,.000,.000,32,1,0,0,0,0,0,1,0,33,1.000,0,.000,,0,0,1,1,"0,1",0,0,1,"0,3",0,0,3,"0,3",0,0,3,"0,1",0,0,1,0,0,0,0,"3,6","0,1","0,3",0,0,0,0,0,0,0,0,0,1,0,,Drew,DREW,1050-4558,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Landmark Conference,landmark_conference,Drew,A. Vallaro,A.,Vallaro,,190,A. Vallaro,0,0DREW,17,17,,,60,15,16,9,7,0,1,1,0,6,4,1,3,0,1,1,0,0,0,1,0,3,0,0.338,26,69,3,1.000,.267,.433,25,27,2,0,0,0,0,5,0,54,.963,0,.000,,2,2,19,21,"3,18",0.17,3,18,"9,31",0.29,9,31,"5,20",0.25,5,20,"2,11",0.18,2,11,0,0,0,0,"6,16","5,5","18,36","0,1",0,0,1,0,0,0,0,3,13,0,,Drew,DREW,1050-4728,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Landmark Conference,landmark_conference,Drew,N. Garbooshi,N.,Garbooshi,,190,N. Garbooshi,0,0DREW,5,3,,,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,3,0,.000,.000,.000,1,1,0,0,0,0,0,0,0,2,1.000,0,.000,,0,0,0,0,"0,1",0,0,1,"0,2",0,0,2,"0,1",0,0,1,"0,1",0,0,1,0,0,0,0,"0,1",0,"0,2",0,0,0,0,4,0,0,0,0,2,0,,Drew,DREW,1050-4719,False,11,1,2,3,0,0,0,0,0,0,15.2,7,6,3,12,1,1,0,3.45,61,66,0,1,0,1,0,0,0,2,.180,23,12,0,"4,15","7,28","0,6",0,"1,18"
2026-27,baseball,Landmark Conference,landmark_conference,Drew,T. Giordano,T.,Giordano,,190,T. Giordano,0,0DREW,17,15,,,45,6,11,9,1,0,2,6,0,3,7,4,1,0,1,0,0,0,0,0,0,3,0,0.370,18,55,1,1.000,.244,.400,85,5,3,0,0,5,1,4,0,93,.968,6,.833,,2,2,7,18,"2,10",0.20,2,10,"6,24",0.25,6,24,"4,15",0.27,4,15,"5,13",0.38,5,13,0,0,0,0,"1,7","3,4","14,28",12,0,0,0,1,0,0,0,2,8,0,,Drew,DREW,1050-4865,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
