season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,team_name,team_id,sdrm_id,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,avg_points_game,goalie_stats,goal_stats,penalty_stats,misc_stats,shot_stats,composite_score,global_rank,rating
2025-26,mlax,Landmark Conference,landmark_conference,Susquehanna,Jack Gaillard,Jack,Gaillard,,685,Jack Gaillard,"GAILLARD,JACK",GAILLARDJACKSU,19,19,,,Susquehanna,SU,0,0,0,0,0,0,2,11,0,4,3,0,0,0,0,0,0,1,4,0,0,0,0,0,26,0,30,6,1133:00,107,0,1.000,,,,,,,,,,,,,,,67,98,0,102,63,39,.684,5.37,,,,,,18.77765426692081,1,99
2025-26,mlax,Landmark Conference,landmark_conference,Susquehanna,Chris Ciccarello,Chris,Ciccarello,,685,Chris Ciccarello,"CICCARELLO,CHRIS",CICCARELLOCHRISSU,19,19,,,Susquehanna,SU,0,0,0,0,0,0,2,27,1,6,2,0,0,0,0,0,0,0,2,1,0,0,0,0,30,0,19,10,1133:00,107,0,1.000,,,,,,,,,,,,,,,122,180,0,95,32,63,.678,5.00,,,,,,17.499910997985054,2,99
2025-26,mlax,Landmark Conference,landmark_conference,Goucher,Jacob Morgan,Jacob,Morgan,,1467,Jacob Morgan,"MORGAN,JACOB",MORGANJACOBGOUCHER,19,19,,,Goucher,GOUCHER,0,0,0,0,0,0,1,32,0,2,1,0,0,0,0,0,0,0,0,3,0,0,0,0,25,0,39,5,1135:00,56,0,1.000,,,,,,,,,,,,,,,84,135,0,96,57,39,.622,5.05,,,,,,17.417943449080543,3,99
2025-26,mlax,Landmark Conference,landmark_conference,Drew,Mike DeMayo,Mike,DeMayo,,190,Mike DeMayo,"DEMAYO,MIKE",DEMAYOMIKEDREW,17,17,,,Drew,DREW,0,0,0,0,0,0,1,17,2,9,0,0,0,0,0,0,0,1,0,1,0,0,0,0,47,0,28,11,1022:00,123,0,1.000,,,,,,,,,,,,,,,76,101,0,86,40,46,.752,5.06,,,,,,16.72933732689391,4,98
2025-26,mlax,Landmark Conference,landmark_conference,Catholic,Victor Rosado,Victor,Rosado,,124,Victor Rosado,"ROSADO,VICTOR",ROSADOVICTORCU,19,19,,,Catholic,CU,0,0,0,0,0,0,1,26,1,2,2,0,0,0,0,0,0,0,1,3,0,0,0,0,51,0,59,13,1171:00,64,0,1.000,,,,,,,,,,,,,,,75,125,0,76,37,39,.600,4.00,,,,,,15.235328832318455,5,98
2025-26,mlax,Landmark Conference,landmark_conference,Elizabethtown,Tristan Coleman,Tristan,Coleman,,211,Tristan Coleman,"COLEMAN,TRISTAN",COLEMANTRISTANETOWN,18,18,,,Elizabethtown,ETOWN,0,0,0,0,0,0,2,19,1,1,2,0,0,0,0,0,0,0,1,2,0,0,0,0,35,0,44,6,1078:00,53,0,1.000,,,,,,,,,,,,,,,65,96,0,82,41,41,.677,4.56,,,,,,15.021448826773991,6,98
2025-26,mlax,Landmark Conference,landmark_conference,Goucher,Gianni Karam,Gianni,Karam,,1467,Gianni Karam,"KARAM,GIANNI",KARAMGIANNIGOUCHER,19,19,,,Goucher,GOUCHER,0,0,0,0,0,0,2,11,1,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,26,0,25,9,1135:00,56,0,1.000,,,,,,,,,,,,,,,124,189,0,77,5,72,.656,4.05,,,,,,13.444532131723353,7,97
2025-26,mlax,Landmark Conference,landmark_conference,Wilkes,Austin Sosnovik,Austin,Sosnovik,,784,Austin Sosnovik,"SOSNOVIK,AUSTIN",SOSNOVIKAUSTINWUML,16,16,,,Wilkes,WUML,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,32,0,61,11,965:00,15,0,1.000,,,,,,,,,,,,,,,45,81,0,58,43,15,.556,3.63,,,,,,11.21904918473016,8,97
2025-26,mlax,Landmark Conference,landmark_conference,Lycoming,Sean Farrell,Sean,Farrell,,373,Sean Farrell,"FARRELL,SEAN",FARRELLSEANLYCOMING,15,15,,,Lycoming,LYCOMING,0,0,0,0,0,0,2,11,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,27,0,69,7,906:00,138,0,1.000,,,,,,,,,,,,,,,50,91,0,61,37,24,.549,4.07,,,,,,10.992212902095652,9,97
2025-26,mlax,Landmark Conference,landmark_conference,Lycoming,Joey Hoover,Joey,Hoover,,373,Joey Hoover,"HOOVER,JOEY",HOOVERJOEYLYCOMING,15,15,,,Lycoming,LYCOMING,0,0,0,0,0,0,2,20,0,3,1,0,0,0,0,0,0,1,4,2,0,0,0,0,57,0,40,18,906:00,138,0,1.000,,,,,,,,,,,,,,,80,140,0,51,8,43,.571,3.40,,,,,,10.930572316859145,10,96
