conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,field_goals_made,field_goals_attempted,three_points_made,three_points_attempted,free_throws_attempted,free_throws_made,points_scored,blocked_shots,steals,assists,minutes_played,offensive_rebounds,defensive_rebounds,total_rebounds,personal_fouls,technical_fouls,turnovers,disqualifications,deadballs,field_goals_pct,three_points_pct,free_throws_pct,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocked_shots_per_game
landmark_conference,Landmark Conference,2025-26,wbball,Scranton,"Cieszko,Selena",0,G,00,20,0,14,31,0,3,11,8,36,0,7,16,125,11,15,26,11,0,6,0,0,0.45,0.00,0.73,1.80,1.30,0.80,0.35,0.00
landmark_conference,Landmark Conference,2025-26,wbball,Scranton,"Romanowski,Kaeli",0,G,01,27,27,51,117,12,36,28,24,138,7,104,116,641,64,85,149,40,0,31,0,0,0.44,0.33,0.86,5.11,5.52,4.30,3.85,0.26
landmark_conference,Landmark Conference,2025-26,wbball,Scranton,"Talutto,Sophia",0,G,02,27,2,77,199,21,87,26,21,196,19,58,53,500,8,37,45,46,0,25,1,0,0.39,0.24,0.81,7.26,1.67,1.96,2.15,0.70
landmark_conference,Landmark Conference,2025-26,wbball,Scranton,"Gorski,Katie",0,G,05,27,27,118,229,13,44,65,49,298,29,40,41,591,47,110,157,49,0,35,0,0,0.52,0.30,0.75,11.04,5.81,1.52,1.48,1.07
landmark_conference,Landmark Conference,2025-26,wbball,Scranton,"Raguso,Kaitlyn",0,G,06,26,1,31,60,1,5,33,17,80,6,25,43,333,28,50,78,32,0,23,0,0,0.52,0.20,0.52,3.08,3.00,1.65,0.96,0.23
landmark_conference,Landmark Conference,2025-26,wbball,Scranton,"Miedreich,Kelsey",0,F,10,21,0,23,54,0,4,23,15,61,6,8,9,166,20,27,47,22,0,8,0,0,0.43,0.00,0.65,2.90,2.24,0.43,0.38,0.29
landmark_conference,Landmark Conference,2025-26,wbball,Scranton,"Kranson,Kaci",0,G,11,27,27,189,361,42,98,103,84,504,3,38,31,631,65,83,148,24,0,45,0,0,0.52,0.43,0.82,18.67,5.48,1.15,1.41,0.11
landmark_conference,Landmark Conference,2025-26,wbball,Scranton,"Sloan,Jenna",0,G,12,25,25,18,42,0,5,6,1,37,6,29,85,493,15,43,58,20,0,7,0,0,0.43,0.00,0.17,1.48,2.32,3.40,1.16,0.24
landmark_conference,Landmark Conference,2025-26,wbball,Scranton,"Stoupakis,Natalie",0,G,14,24,1,15,36,8,27,13,9,47,1,7,13,137,7,14,21,6,0,7,0,0,0.42,0.30,0.69,1.96,0.88,0.54,0.29,0.04
landmark_conference,Landmark Conference,2025-26,wbball,Scranton,"Bennett,Elizabeth",0,F,15,27,1,125,252,35,93,59,49,334,31,21,31,521,56,70,126,24,0,15,0,0,0.50,0.38,0.83,12.37,4.67,1.15,0.78,1.15
landmark_conference,Landmark Conference,2025-26,wbball,Scranton,"Lamanna,Meghan",0,G,20,26,24,95,210,57,134,25,20,267,4,25,56,622,14,38,52,24,0,15,0,0,0.45,0.43,0.80,10.27,2.00,2.15,0.96,0.15
landmark_conference,Landmark Conference,2025-26,wbball,Scranton,"Halligan,Lizzie",0,F,22,18,0,12,38,2,11,17,10,36,1,9,8,107,11,16,27,13,0,10,0,0,0.32,0.18,0.59,2.00,1.50,0.44,0.50,0.06
landmark_conference,Landmark Conference,2025-26,wbball,Scranton,"Montgomery,Elyse",0,F,23,17,0,6,23,0,0,8,5,17,1,2,7,83,9,11,20,15,0,8,0,0,0.26,0.00,0.63,1.00,1.18,0.41,0.12,0.06
landmark_conference,Landmark Conference,2025-26,wbball,Scranton,"Francione,Marisa",0,G,24,22,0,14,38,7,16,12,9,44,1,6,22,167,15,21,36,10,0,8,0,0,0.37,0.44,0.75,2.00,1.64,1.00,0.27,0.05
landmark_conference,Landmark Conference,2025-26,wbball,Scranton,"Murphy,Gabriella",0,G,25,20,0,25,74,9,39,6,3,62,4,10,11,146,6,13,19,15,0,8,0,0,0.34,0.23,0.50,3.10,0.95,0.55,0.50,0.20
landmark_conference,Landmark Conference,2025-26,wbball,Scranton,"Kraker,Sabrina",0,F,30,18,0,6,17,2,8,0,0,14,0,3,4,75,5,8,13,5,0,3,0,0,0.35,0.25,0.00,0.78,0.72,0.22,0.17,0.00
landmark_conference,Landmark Conference,2025-26,wbball,Scranton,"Olender,Brooke",0,F,32,17,0,6,20,0,2,0,0,12,0,0,0,62,3,4,7,10,0,4,0,0,0.30,0.00,0.00,0.71,0.41,0.00,0.00,0.00
landmark_conference,Landmark Conference,2025-26,wbball,Susquehanna,"Pinckert,Julia",0,G,00,26,26,98,222,39,96,40,29,264,1,50,109,748,33,116,149,55,0,65,2,0,0.44,0.41,0.73,10.15,5.73,4.19,1.92,0.04
landmark_conference,Landmark Conference,2025-26,wbball,Susquehanna,"Wells,Renee",0,G,02,26,0,32,90,8,32,26,20,92,0,8,33,411,5,41,46,18,0,36,0,0,0.36,0.25,0.77,3.54,1.77,1.27,0.31,0.00
landmark_conference,Landmark Conference,2025-26,wbball,Susquehanna,"Chilcote,Delany",0,G,10,7,0,1,16,3,19,2,4,9,2,3,13,80,2,11,13,4,0,8,0,0,0.06,0.16,2.00,1.29,1.86,1.86,0.43,0.29
landmark_conference,Landmark Conference,2025-26,wbball,Susquehanna,"Weyant,Sydney",0,G,11,26,26,83,205,40,120,27,25,231,13,14,38,800,21,64,85,25,0,33,0,0,0.40,0.33,0.93,8.88,3.27,1.46,0.54,0.50
landmark_conference,Landmark Conference,2025-26,wbball,Susquehanna,"George,Carly",0,F,12,26,26,126,243,1,10,59,41,294,16,21,57,640,58,146,204,69,0,45,2,0,0.52,0.10,0.69,11.31,7.85,2.19,0.81,0.62
landmark_conference,Landmark Conference,2025-26,wbball,Susquehanna,"Hansen,Lilly",0,C,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
landmark_conference,Landmark Conference,2025-26,wbball,Susquehanna,"Greek,Annie",0,G,15,26,26,83,230,45,140,71,55,266,6,18,39,687,15,48,63,54,0,57,0,0,0.36,0.32,0.77,10.23,2.42,1.50,0.69,0.23
landmark_conference,Landmark Conference,2025-26,wbball,Susquehanna,"Roth,Julia",0,G,21,25,25,138,307,2,9,98,59,337,12,55,57,716,102,134,236,60,0,52,1,0,0.45,0.22,0.60,13.48,9.44,2.28,2.20,0.48
landmark_conference,Landmark Conference,2025-26,wbball,Susquehanna,"Maffei,Zoie",0,F,24,24,1,80,168,6,19,64,50,216,8,23,73,524,37,115,152,57,0,42,1,0,0.48,0.32,0.78,9.00,6.33,3.04,0.96,0.33
landmark_conference,Landmark Conference,2025-26,wbball,Susquehanna,"Nelson,Avery",0,G,25,18,0,19,48,11,32,6,5,54,2,4,10,137,4,8,12,20,0,5,1,0,0.40,0.34,0.83,3.00,0.67,0.56,0.22,0.11
landmark_conference,Landmark Conference,2025-26,wbball,Susquehanna,"Laughard,Tatum",0,G,30,7,0,1,4,0,2,0,0,2,0,1,0,20,1,0,1,3,0,0,0,0,0.25,0.00,0.00,0.29,0.14,0.00,0.14,0.00
landmark_conference,Landmark Conference,2025-26,wbball,Susquehanna,"Servitto,Greta",0,F,32,21,0,17,32,1,2,12,6,41,4,2,10,140,12,30,42,21,0,16,0,0,0.53,0.50,0.50,1.95,2.00,0.48,0.10,0.19
landmark_conference,Landmark Conference,2025-26,wbball,Susquehanna,"Henn,Kate",0,G,35,8,0,3,5,2,3,2,2,10,0,0,1,35,1,6,7,0,0,2,0,0,0.60,0.67,1.00,1.25,0.88,0.13,0.00,0.00
landmark_conference,Landmark Conference,2025-26,wbball,Susquehanna,"Doemling,Cassie",0,F,42,8,0,4,10,0,0,3,2,10,0,1,1,27,5,6,11,4,0,4,0,0,0.40,0.00,0.67,1.25,1.38,0.13,0.13,0.00
landmark_conference,Landmark Conference,2025-26,wbball,Susquehanna,Delaney Chilcote,0,g,10,9,0,16,29,4,6,5,3,39,1,5,20,167,4,9,13,6,0,11,0,0,0.55,0.67,0.60,4.33,1.44,2.22,0.56,0.11
landmark_conference,Landmark Conference,2025-26,wbball,Catholic,"Johnson,Gabrielle",0,G,01,4,0,2,3,0,1,2,1,5,0,0,2,12,0,2,2,1,0,0,0,0,0.67,0.00,0.50,1.25,0.50,0.50,0.00,0.00
landmark_conference,Landmark Conference,2025-26,wbball,Catholic,"Guidetti,Raquel",0,G,02,27,6,56,149,4,24,31,29,145,0,18,20,437,22,40,62,43,0,36,0,0,0.38,0.17,0.94,5.37,2.30,0.74,0.67,0.00
landmark_conference,Landmark Conference,2025-26,wbball,Catholic,"Travieso,Sofia",0,G,03,21,0,15,40,5,19,11,8,43,4,3,7,128,10,19,29,5,0,6,0,0,0.38,0.26,0.73,2.05,1.38,0.33,0.14,0.19
landmark_conference,Landmark Conference,2025-26,wbball,Catholic,"McLaughlin,Molly",0,G,04,16,0,13,36,3,14,6,3,32,2,7,8,132,2,5,7,7,0,15,0,0,0.36,0.21,0.50,2.00,0.44,0.50,0.44,0.13
landmark_conference,Landmark Conference,2025-26,wbball,Catholic,"Boccella,Olivia",0,G,10,23,0,40,115,37,105,0,0,117,0,12,13,250,4,22,26,24,0,11,0,0,0.35,0.35,0.00,5.09,1.13,0.57,0.52,0.00
landmark_conference,Landmark Conference,2025-26,wbball,Catholic,"Kennedy,Amelia",0,G,11,26,26,84,170,9,28,79,54,231,5,38,44,553,31,90,121,58,0,49,0,0,0.49,0.32,0.68,8.88,4.65,1.69,1.46,0.19
landmark_conference,Landmark Conference,2025-26,wbball,Catholic,"Burden,Ryan",0,G,12,16,0,5,24,2,8,4,3,15,0,4,3,100,6,13,19,10,0,8,0,0,0.21,0.25,0.75,0.94,1.19,0.19,0.25,0.00
landmark_conference,Landmark Conference,2025-26,wbball,Catholic,"Iacone,Ella",0,G,15,20,0,17,46,8,25,11,5,47,3,17,9,151,14,17,31,23,0,10,0,0,0.37,0.32,0.45,2.35,1.55,0.45,0.85,0.15
landmark_conference,Landmark Conference,2025-26,wbball,Catholic,"Villa,Lia",0,F,20,20,0,10,30,4,17,14,5,29,4,10,4,116,4,9,13,17,0,12,0,0,0.33,0.24,0.36,1.45,0.65,0.20,0.50,0.20
landmark_conference,Landmark Conference,2025-26,wbball,Catholic,"O'Dowd,Juliana",0,G,21,16,0,20,70,2,21,15,10,52,2,4,5,141,8,25,33,14,0,10,0,0,0.29,0.10,0.67,3.25,2.06,0.31,0.25,0.13
landmark_conference,Landmark Conference,2025-26,wbball,Catholic,"Archbold,Bridget",0,G,22,4,0,3,11,1,2,2,2,9,0,1,0,14,5,2,7,2,0,1,0,0,0.27,0.50,1.00,2.25,1.75,0.00,0.25,0.00
landmark_conference,Landmark Conference,2025-26,wbball,Catholic,"Karlson,McKenna",0,G,23,26,25,54,152,6,41,54,37,151,8,27,25,550,30,33,63,68,0,45,4,0,0.36,0.15,0.69,5.81,2.42,0.96,1.04,0.31
landmark_conference,Landmark Conference,2025-26,wbball,Catholic,"Kenah,Alexa",0,G,24,26,1,37,107,14,50,11,9,97,24,16,25,380,35,61,96,64,0,22,1,0,0.35,0.28,0.82,3.73,3.69,0.96,0.62,0.92
landmark_conference,Landmark Conference,2025-26,wbball,Catholic,"Kraft,Lauren",0,G,25,26,23,86,223,52,159,27,18,242,16,42,19,547,24,86,110,56,0,38,2,0,0.39,0.33,0.67,9.31,4.23,0.73,1.62,0.62
landmark_conference,Landmark Conference,2025-26,wbball,Catholic,"Catania,Carly",0,G,30,27,27,101,208,22,67,45,35,259,6,43,48,710,57,95,152,53,0,30,0,0,0.49,0.33,0.78,9.59,5.63,1.78,1.59,0.22
