season,sport,gender,conference,conference_code,team,school_name,player_name,position,class_year,clippd_player_id,clippd_rank,player_ranking_status,scoring_stats_scoring_average,scoring_stats_vs_par,scoring_stats_rounds,scoring_stats_adjusted_score,scoring_stats_stroke_play_events,top10_finishes,events_won,average_points,strength_of_schedule,region,data_source,global_rank,rating,composite_score
2025-26,wgolf,Women,Landmark Conference,landmark_conference,Drew,Drew University,Josephine Nguyen,,Third Year,34455,124,ACTIVE,76.62,4.62,16,77.2062662653865,10,8,5,17.8952441212404,-27.6616889474532,Southeast - (W) DIII,clippd_scoreboard,73,93,27.0435570710495
2025-26,wgolf,Women,Landmark Conference,landmark_conference,Catholic (DC),Catholic University of America,Brooke Smith,,,12991,161,ACTIVE,78.95,6.95,20,78.2437168310514,12,8,3,14.0910183044403,-25.5394200268034,Southeast - (W) DIII,clippd_scoreboard,174,90,13.164368522594
2025-26,wgolf,Women,Landmark Conference,landmark_conference,Susquehanna,Susquehanna University,Kennedy Petrovich,,Third Year,36941,181,ACTIVE,79.76,7.76,17,79.60557733326,12,4,3,12.3816111186771,-28.500496821581,Southeast - (W) DIII,clippd_scoreboard,226,89,9.74693945516307
2025-26,wgolf,Women,Landmark Conference,landmark_conference,Wilkes,Wilkes University,Kyleen McCance,,Fourth Year,30250,283,ACTIVE,79.87,7.87,15,81.6796912933368,13,10,9,7.50017724581627,-37.1485348467402,Southeast - (W) DIII,clippd_scoreboard,230,88,9.51612480733229
2025-26,wgolf,Women,Landmark Conference,landmark_conference,Drew,Drew University,Roxy Riles,,,18260,244,ACTIVE,79.94,7.94,16,80.5187662653865,10,4,2,8.82576674566316,-27.6616889474532,Southeast - (W) DIII,clippd_scoreboard,235,88,9.12017800848334
2025-26,wgolf,Women,Landmark Conference,landmark_conference,Susquehanna,Susquehanna University,Cailyn Schall,,Second Year,6829,261,ACTIVE,81.67,9.67,18,81.3462421929647,13,3,2,8.06422642162037,-28.3990910860521,Southeast - (W) DIII,clippd_scoreboard,344,85,5.25034883229085
2025-26,wgolf,Women,Landmark Conference,landmark_conference,Catholic (DC),Catholic University of America,Gabrielle Courtney,,Fourth Year,27986,346,ACTIVE,82.8,10.8,20,82.0937168310514,12,2,0,5.23662791189433,-25.5394200268034,Southeast - (W) DIII,clippd_scoreboard,424,82,3.62427480024818
2025-26,wgolf,Women,Landmark Conference,landmark_conference,Catholic (DC),Catholic University of America,Lauren Wright,,,15961,376,ACTIVE,84.06,12.06,18,83.2368814755145,11,2,0,4.50016667307109,-26.014089935858,Southeast - (W) DIII,clippd_scoreboard,516,80,2.33467061388213
2025-26,wgolf,Women,Landmark Conference,landmark_conference,Susquehanna,Susquehanna University,Peyton Cerminaro,,Third Year,36940,564,ACTIVE,86.39,14.39,18,86.0684644151869,13,2,0,1.90044224252667,-28.3990910860521,Southeast - (W) DIII,clippd_scoreboard,680,75,1.03690656156964
2025-26,wgolf,Women,Landmark Conference,landmark_conference,Moravian,Moravian University,Heidi Wegscheider,,Fourth Year,16440,520,ACTIVE,86.63,14.63,19,86.2427180751072,14,5,2,2.3030145423291,-32.3050218499111,Southeast - (W) DIII,clippd_scoreboard,694,74,0.989211095833087
