conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,z_per_set_stats_points,z_per_set_stats_kills,z_per_set_stats_assists,z_per_set_stats_blocks,z_per_set_stats_aces,z_per_set_stats_digs,z_attack_stats_errors,z_serve_stats_errors,composite_score,rank,rating
landmark_conference,Landmark Conference,2025-26,wvball,Lycoming,"Skeith, Kamryn",0,,9,96,41,0.233,675.0,81.0,238.0,348.0,23.0,1234.0,0.0,56.0,58.0,375.0,0.0,0.0,23.0,5.0,218.0,43.0,5.0,37.0,6.0,318.5,1.0,2.48,3.63,2.27,0.45,0.58,3.32,2.2947537785164545,1.8657267023782642,1.6636053813670206,1.151426737524273,2.261541053338343,1.0505898292403901,1.3535111808873714,3.0766328322038934,5.950110097248986,1,99
landmark_conference,Landmark Conference,2025-26,wvball,Elizabethtown,"Stanek, Lucy",0,,18,109,31,0.195,1208.0,173.0,408.0,16.0,1.0,120.0,0.0,34.0,25.0,358.0,0.0,0.0,564.0,32.0,385.0,29.0,0.0,25.0,4.0,458.5,1.0,3.74,0.15,3.53,0.27,0.31,4.21,3.216344240508257,3.283704786131052,-0.3433904506678424,0.35920479747173734,0.7814465172310372,2.2174723942733783,3.768800710602789,0.8503310958612309,5.84502965150234,2,95
landmark_conference,Landmark Conference,2025-26,wvball,Scranton,"Whelpley, Deanna",0,,15,117,45,0.27,1247.0,136.0,473.0,8.0,6.0,74.0,0.0,17.0,11.0,150.0,0.0,0.0,166.0,18.0,112.0,36.0,3.0,29.0,7.0,511.5,0.0,4.04,0.07,0.96,0.31,0.15,4.37,3.3820234246865586,3.621318615596001,-0.3895282858870347,0.5352541174834119,-0.09564654120292201,-0.1625975994843836,2.7974342693041976,-0.09416054985989876,5.684009589145729,3,93
landmark_conference,Landmark Conference,2025-26,wvball,Wilkes,"Leon, Mia",0,,11,77,40,0.166,729.0,105.0,226.0,12.0,8.0,111.0,0.0,31.0,28.0,307.0,0.0,0.0,85.0,8.0,253.0,39.0,18.0,28.0,11.0,282.0,0.0,2.94,0.16,3.29,0.51,0.4,3.66,2.646822044895346,2.3834012408911867,-0.33762322126544336,1.4155007175417853,1.2748113626001394,1.9952090485528091,1.9835867103783502,1.052722162801473,5.565456712442363,4,92
landmark_conference,Landmark Conference,2025-26,wvball,Juniata,"Muth, Audrey",0,,10,90,48,0.236,708.0,96.0,263.0,17.0,3.0,45.0,0.0,24.0,33.0,233.0,0.0,0.0,247.0,16.0,157.0,42.0,0.0,28.0,14.0,315.0,0.0,2.92,0.19,1.74,0.47,0.27,3.5,2.4811428607170445,2.3608936522601898,-0.32032153305824623,1.2394513975301105,0.5621732526225475,0.5597582741074664,1.7473083868192332,1.3900406077018763,4.673733692897154,5,90
landmark_conference,Landmark Conference,2025-26,wvball,Scranton,"Quirk, Cammi",0,,7,118,58,0.179,318.0,19.0,76.0,1187.0,29.0,3012.0,0.0,51.0,31.0,457.0,0.0,0.0,9.0,0.0,287.0,38.0,8.0,37.0,1.0,146.5,6.0,0.64,10.06,2.43,0.32,0.43,1.24,0.14092438419853584,-0.20497145167342498,5.3719338871095985,0.5792664474863306,1.4392663110565067,1.198765393054103,-0.2741839369643229,1.255113229741715,4.2944641159735415,6,89
landmark_conference,Landmark Conference,2025-26,wvball,Juniata,"Mishinkash, Molly",0,,9,117,67,0.415,550.0,69.0,297.0,3.0,1.0,13.0,0.0,14.0,6.0,123.0,0.0,0.0,7.0,0.0,33.0,85.0,3.0,60.0,25.0,366.0,0.0,2.54,0.03,0.28,0.73,0.12,3.13,2.098009747304722,1.9332494682712542,-0.41259720349663076,2.383771977605996,-0.26010148965928936,-0.792343745692663,1.0384734161418823,-0.4314789947603022,4.122263672587517,7,89
landmark_conference,Landmark Conference,2025-26,wvball,Scranton,"Kramer, Danielle",0,,2,109,51,0.247,510.0,100.0,226.0,10.0,4.0,45.0,0.0,34.0,39.0,377.0,0.0,0.0,11.0,2.0,92.0,96.0,10.0,77.0,19.0,317.5,0.0,2.07,0.09,0.84,0.88,0.31,2.91,1.8702008690595575,1.4043211354428333,-0.3779938270822366,3.0439569276497758,0.7814465172310372,-0.2737292723446682,1.8523209750677296,1.7948227415823603,3.983039764623836,8,88
landmark_conference,Landmark Conference,2025-26,wvball,Moravian,"Reigner, Gabbie",0,,4,88,45,0.136,826.0,102.0,214.0,9.0,6.0,104.0,0.0,50.0,24.0,320.0,0.0,0.0,380.0,33.0,233.0,10.0,0.0,10.0,0.0,269.0,0.0,2.43,0.1,2.65,0.11,0.57,3.06,2.0255251042267153,1.8094577308007729,-0.37222659767983757,-0.3449924825749614,2.20672273718622,1.4025067932979578,1.9048272691919779,0.7828674068811502,3.8513226876444167,9,87
landmark_conference,Landmark Conference,2025-26,wvball,Drew,"Millis, Lindsey",0,,18,105,56,0.148,896.0,166.0,299.0,19.0,3.0,103.0,0.0,38.0,49.0,320.0,0.0,0.0,522.0,53.0,334.0,10.0,0.0,7.0,3.0,343.5,2.0,2.85,0.18,3.18,0.1,0.36,3.27,2.2429790334607356,2.2821170920517018,-0.3260887624606453,-0.38900481257788005,1.0555380979916493,1.8933383484308817,3.5850286811679206,2.469459631383167,3.6101151702692484,10,86
landmark_conference,Landmark Conference,2025-26,wvball,Juniata,"Edmund, Maeve",0,,4,31,13,0.25,196.0,23.0,72.0,5.0,2.0,14.0,0.0,11.0,9.0,40.0,0.0,0.0,86.0,6.0,41.0,8.0,0.0,8.0,0.0,87.0,0.0,2.32,0.16,1.32,0.26,0.35,2.81,1.766651378948119,1.685665993330291,-0.33762322126544336,0.3151924674688186,1.0007197818395268,0.1707974190964703,-0.16917134871582648,-0.22908792782006013,3.569936804622595,11,85
