conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,z_hitting_stats_hits,z_hitting_stats_runs,z_hitting_stats_runs_batted_in,z_hitting_stats_home_runs,z_hitting_stats_stolen_bases,z_hitting_stats_strikeouts,composite_score,rank,rating
lec,Little East Conference (LEC),2025-26,softball,Plymouth State,Avery Couch,,,,42,40,130,24,40,39,7,1,6,12,0,1,19,4,10,1,4,4,0,0,0,1,0,5,0,0.361,67,151,11,0.909,0.308,0.515,47,4,4,0,0,0,0,0,0,55,0.927,0,0.0,2,9,40,35,"16,46",0.35,16,46,"31,90",0.34,31,90,"20,57",0.35,20,57,"2,6",0.33,2,6,0,0,0,0,"5,17","11,18","59,98",2,0.0,0,0,44,0.0,0,0,26,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6167660729653583,1.5132281687153895,3.3522116461682194,5.578731420478185,1.0969983597635427,1.6408867479702833,7.492712051636038,1,99
lec,Little East Conference (LEC),2025-26,softball,Rhode Island College,Victoria Young,,,,40,40,124,29,46,32,9,6,4,8,1,2,16,1,8,2,0,0,0,0,0,1,0,1,0,0.418,79,134,10,0.8,0.371,0.637,36,63,5,0,0,0,0,1,0,104,0.952,0,0.0,3,5,26,31,"14,40",0.35,14,40,"26,71",0.37,26,71,"15,44",0.34,15,44,"3,5",0.6,3,5,0,0,0,0,"13,26","8,9","39,73",128,0.0,0,0,0,0.0,0,0,9,30,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,2.0021519947556987,2.027165087621633,2.5947379633036936,3.587848260880054,0.7752121742329036,1.212729787220828,6.070511487326032,2,95
lec,Little East Conference (LEC),2025-26,softball,Western Connecticut,Jaycee Filancia,,,,44,44,135,51,53,17,11,1,0,28,0,1,8,3,43,2,0,0,0,0,0,1,0,1,0,0.5,66,164,45,0.956,0.393,0.489,57,112,8,0,0,0,0,5,0,177,0.955,0,0.0,6,3,26,42,"12,33",0.36,12,33,"21,49",0.43,21,49,"14,32",0.44,14,32,"2,13",0.15,2,13,0,0,0,0,"42,74","5,9","33,57",11,0.0,0,0,0,0.0,0,0,2,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4517689035110957,4.288487530809105,0.9715800714511378,-0.39391805831620774,6.4064704210190895,0.07097789188894711,5.401407304407574,3,93
lec,Little East Conference (LEC),2025-26,softball,UMass Boston,Hayley Krockta,,,,46,46,134,17,45,45,10,0,3,8,0,3,19,3,3,1,0,2,0,0,0,0,0,1,0,0.381,64,147,4,0.75,0.336,0.478,244,14,5,0,0,0,0,8,0,263,0.981,0,0.0,3,7,25,44,"22,53",0.42,22,53,"32,84",0.38,32,84,"25,61",0.41,25,61,"3,4",0.75,3,4,0,0,0,0,"10,26","9,14","46,88",133,0.0,0,0,0,0.0,0,0,8,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.937921007790642,0.7937164822466481,4.001474802909242,2.5924066810809885,-0.029253289593694446,1.6408867479702833,5.358855419603116,4,92
lec,Little East Conference (LEC),2025-26,softball,Plymouth State,Kenzie Bessette,,,,42,42,136,42,66,23,10,4,0,16,1,0,25,3,38,4,2,1,0,0,0,0,0,1,0,0.536,84,155,42,0.905,0.485,0.618,65,3,7,0,0,0,0,1,0,75,0.907,0,0.0,4,4,24,22,"20,39",0.51,20,39,"22,51",0.43,22,51,"17,37",0.46,17,37,"3,8",0.38,3,8,0,0,0,0,"41,72","6,11","36,57",77,0.0,0,0,0,0.0,0,0,6,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.286771734056833,3.363401076777867,1.62084322819216,-0.39391805831620774,5.6020049571924915,2.497200669469194,5.195348120503105,5,90
lec,Little East Conference (LEC),2025-26,softball,UMass Dartmouth,Raelynn Perregaux,,,,38,38,122,23,54,30,18,1,2,10,0,1,8,5,5,1,0,4,0,0,0,0,0,0,0,0.474,80,137,6,0.833,0.443,0.656,42,111,15,0,0,0,0,9,0,168,0.911,0,0.0,4,6,24,36,"15,41",0.37,15,41,"28,64",0.44,28,64,"23,48",0.48,23,48,"6,12",0.5,6,12,0,0,0,0,"12,20","12,12","42,71",33,0.0,0,0,0,0.0,0,0,13,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5159998904761522,1.4104407849341407,2.378316911056686,1.596965101281923,0.29253289593694476,0.07097789188894711,4.692206256194,6,89
lec,Little East Conference (LEC),2025-26,softball,UMass Boston,Mary Matthews,,,,46,45,133,33,48,23,8,6,1,4,0,3,13,4,21,1,2,1,0,0,0,0,0,1,0,0.39,71,143,22,0.955,0.361,0.534,50,6,5,0,0,0,0,2,0,61,0.918,0,0.0,4,5,30,42,"10,42",0.24,10,42,"23,74",0.31,23,74,"15,48",0.31,15,48,"1,3",0.33,1,3,0,0,0,0,"12,27","7,10","41,79",18,0.0,0,0,0,0.0,0,0,12,38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.130613968685812,2.438314622746628,1.62084322819216,0.6015235214828577,2.8668223801820583,0.7845728264713727,4.350398781023777,7,88
lec,Little East Conference (LEC),2025-26,softball,Rhode Island College,Noelle Simmons,,,,38,38,123,27,47,24,11,8,2,6,0,1,10,1,4,2,0,7,0,0,0,0,0,1,0,0.394,80,137,6,0.667,0.382,0.65,95,48,5,0,0,0,0,7,0,148,0.966,0,0.0,8,4,25,46,"13,44",0.3,13,44,"19,50",0.38,19,50,"14,34",0.41,14,34,"0,5",0.0,0,5,0,0,0,0,"24,49","10,8","32,59",1,0.0,0,0,0,0.0,0,0,15,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0663829817207553,1.8215903200591357,1.7290537543156639,1.596965101281923,0.13163980317162516,0.35641586572191736,4.091982508349956,8,88
lec,Little East Conference (LEC),2025-26,softball,UMass Boston,Haley Tilberry,,,,47,47,143,36,43,28,3,3,0,17,0,3,4,1,18,2,0,5,0,0,0,0,0,0,0,0.375,52,168,20,0.9,0.301,0.364,99,78,15,0,0,0,0,9,0,192,0.922,0,0.0,6,3,35,59,"9,35",0.26,9,35,"22,75",0.29,22,75,"14,49",0.29,14,49,"2,2",1.0,2,2,0,0,0,0,"7,19","14,17","46,84",145,0.0,0,0,0,0.0,0,0,18,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8094590338605285,2.7466767740903744,2.1618958588096784,-0.39391805831620774,2.3841431018860995,-0.49989805577699337,4.020963546138157,9,87
lec,Little East Conference (LEC),2025-26,softball,UMass Dartmouth,Larissa Piessens,,,,37,37,107,25,34,28,10,1,2,9,0,5,11,2,9,2,5,3,0,0,0,0,0,0,0,0.387,52,129,11,0.818,0.318,0.486,44,89,12,0,0,0,0,6,0,145,0.917,0,0.0,4,5,33,33,"12,32",0.38,12,32,"18,64",0.28,18,64,"13,45",0.29,13,45,"4,8",0.5,4,8,0,0,0,0,"9,20","13,15","44,76",60,0.0,0,0,0,0.0,0,0,21,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.231380151175018,1.6160155524966382,2.1618958588096784,1.596965101281923,0.936105266998223,0.4991348526384025,3.9812520074586057,10,86
