season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats,team_name,team_id,sdrm_id,this_is_softball,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs
2026-27,softball,Little East Conference (LEC),lec,UMass Dartmouth,Raelynn Perregaux,Raelynn,Perregaux,,656,Raelynn Perregaux,0,0MASS.-DA,46,46,,,170,52,74,32,22,2,7,11,1,2,1,1,3,2,0,1,0,0,0,0,0,-1,0,0.473,121,184,5,.600,.435,.712,43,162,11,0,0,0,0,24,0,216,.949,0,.000,,14,1,27,58,"18,35",0.51,18,35,"26,65",0.40,26,65,"16,39",0.41,16,39,"5,10",0.50,5,10,"0,0",0,0,0,"47,77","3,9","36,67",67,0,0,0,0,0,0,0,7,19,0,,UMass Dartmouth,MASS.-DA,1072-3761,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,softball,Little East Conference (LEC),lec,UMass Dartmouth,Olivia Silva,Olivia,Silva,,656,Olivia Silva,0,0MASS.-DA,53,53,,,178,29,64,37,10,0,3,10,0,1,3,1,6,3,4,1,0,0,0,6,0,10,0,0.395,83,194,9,.667,.360,.466,132,31,6,3,0,10,5,3,0,169,.964,15,.667,,9,7,58,48,"18,58",0.31,18,58,"39,112",0.35,39,112,"28,66",0.42,28,66,"2,9",0.22,2,9,"0,0",0,0,0,"17,32","8,10","73,121",11,0,0,0,1,0,0,0,32,27,0,,UMass Dartmouth,MASS.-DA,1072-4016,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,softball,Little East Conference (LEC),lec,UMass Dartmouth,Lily Routhier,Lily,Routhier,,656,Lily Routhier,0,0MASS.-DA,52,52,,,161,38,43,30,7,2,1,7,0,4,11,4,6,3,7,1,0,0,0,0,0,6,0,0.312,57,180,9,.667,.267,.354,71,20,1,0,0,0,0,1,0,92,.989,0,.000,,8,11,43,65,"11,43",0.26,11,43,"25,100",0.25,25,100,"19,66",0.29,19,66,"3,8",0.38,3,8,"0,-2",0,0,-2,"18,31","11,19","57,114",150,0,0,0,0,0,0,0,22,28,0,,UMass Dartmouth,MASS.-DA,1072-4013,True,9,1,0,3,0,1,1,0,0,1,15.0,7,5,7,2,3,1,1,2.33,50,60,2,1,0,1,1,0,0,1,.180,8,30,0,"3,7","3,13","0,3","1,7","0,6"
2026-27,softball,Little East Conference (LEC),lec,UMass Dartmouth,Lena Tsonis,Lena,Tsonis,,656,Lena Tsonis,0,0MASS.-DA,45,51,,,156,33,53,43,10,0,7,13,0,1,11,3,5,2,3,1,0,0,0,1,0,4,0,0.392,84,174,7,.714,.340,.538,91,9,1,1,0,27,1,3,0,101,.990,28,.964,,6,6,48,42,"11,41",0.27,11,41,"33,94",0.35,33,94,"20,59",0.34,20,59,"2,8",0.25,2,8,"0,0",0,0,0,"14,37","8,19","60,105",49,0,0,0,0,0,0,0,15,35,0,,UMass Dartmouth,MASS.-DA,1072-3760,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,softball,Little East Conference (LEC),lec,UMass Dartmouth,Sydney Menz,Sydney,Menz,,656,Sydney Menz,0,0MASS.-DA,45,49,,,125,30,43,32,12,0,0,16,0,16,15,1,11,2,6,1,0,0,0,0,1,1,0,0.475,55,164,13,.846,.344,.440,79,0,1,0,0,0,0,1,0,80,.988,0,.000,,3,15,40,29,"16,40",0.40,16,40,"33,88",0.38,33,88,"22,63",0.35,22,63,"1,4",0.25,1,4,"0,0",0,0,0,"15,26","13,22","63,99",235,0,0,0,0,0,0,0,21,33,0,,UMass Dartmouth,MASS.-DA,1072-3759,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,softball,Little East Conference (LEC),lec,UMass Dartmouth,Emma Talpey,Emma,Talpey,,656,Emma Talpey,0,0MASS.-DA,42,46,,,130,24,49,19,6,1,0,9,0,1,17,7,16,1,3,0,0,0,0,0,0,1,0,0.421,57,143,17,.941,.377,.438,87,68,8,0,0,0,0,19,0,163,.951,0,.000,,6,5,38,21,"13,47",0.28,13,47,"27,84",0.32,27,84,"18,59",0.31,18,59,"4,7",0.57,4,7,"0,-2",0,0,-2,"11,18","10,19","43,89",79,0,0,0,0,0,0,0,8,41,0,,UMass Dartmouth,MASS.-DA,1072-3757,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,softball,Little East Conference (LEC),lec,UMass Dartmouth,Bre Fontes,Bre,Fontes,,656,Bre Fontes,0,0MASS.-DA,44,44,,,134,34,59,27,8,0,0,14,0,1,8,6,2,0,1,5,0,0,0,0,0,1,0,0.481,67,155,2,1.000,.440,.500,342,13,4,0,0,0,0,23,0,359,.989,0,.000,,5,1,24,45,"13,43",0.30,13,43,"32,81",0.40,32,81,"22,48",0.46,22,48,"4,8",0.50,4,8,"0,0",0,0,0,"19,33","13,18","60,94",24,0,0,0,0,0,0,0,30,28,0,,UMass Dartmouth,MASS.-DA,1072-4435,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,softball,Little East Conference (LEC),lec,UMass Dartmouth,Liv Matos,Liv,Matos,,656,Liv Matos,0,0MASS.-DA,4,0,,,-4,6,-4,0,1,0,0,-1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1.000,-3,-5,1,1.000,1.000,.750,7,-10,-3,0,0,0,0,0,0,-6,.500,0,.000,,1,1,-7,4,"1,-2",-0.50,1,-2,"-1,-3",0.33,-1,-3,"-1,-6",0.17,-1,-6,"1,1",1.00,1,1,0,0,0,0,"-2,1","1,-1","-4,-3","0,1",0,0,1,0,0,0,0,-2,3,0,,UMass Dartmouth,MASS.-DA,1072-4015,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,softball,Little East Conference (LEC),lec,UMass Dartmouth,Nina O'Neil,Nina,O'Neil,,656,Nina O'Neil,0,0MASS.-DA,25,12,,,51,3,7,9,2,0,0,2,0,1,9,2,0,0,0,0,0,0,0,1,0,1,0,0.185,9,54,0,.000,.137,.176,15,12,2,0,0,0,0,4,0,29,.931,0,.000,,2,1,22,11,"4,21",0.19,4,21,"4,29",0.14,4,29,"3,18",0.17,3,18,"0,2",0,0,2,0,0,0,0,"1,7","4,5","10,29",77,0,0,0,16,0,0,0,9,17,0,,UMass Dartmouth,MASS.-DA,1072-4193,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,softball,Little East Conference (LEC),lec,UMass Dartmouth,Chloe Edwards,Chloe,Edwards,,656,Chloe Edwards,0,0MASS.-DA,49,49,,,125,18,32,20,8,1,1,7,0,1,23,12,0,1,5,1,0,0,0,0,0,1,0,0.299,45,139,1,.000,.256,.360,78,86,25,0,0,0,0,6,0,189,.868,0,.000,,2,4,26,48,"10,50",0.20,10,50,"20,68",0.29,20,68,"13,53",0.25,13,53,"3,6",0.50,3,6,"-1,-1",1.00,-1,-1,"9,34","5,12","35,78",42,0,0,0,0,0,0,0,8,45,0,,UMass Dartmouth,MASS.-DA,1072-4436,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
