season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,team_name,team_id,sdrm_id,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,goalie_stats,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,avg_points_game,goal_stats,penalty_stats,misc_stats,shot_stats,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct
2026-27,wlax,Little East Conference (LEC),lec,Eastern Connecticut,Maeve Gunning,Maeve,Gunning,,200,Maeve Gunning,"GUNNING,MAEVE",GUNNINGMAEVEEASTERN,17,17,,,Eastern Connecticut,EASTERN,1067-2037,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,2,7,6,1020:00,0,0,1.000,,0,1,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,
2026-27,wlax,Little East Conference (LEC),lec,Eastern Connecticut,Jenna Mahoney,Jenna,Mahoney,,200,Jenna Mahoney,"MAHONEY,JENNA",MAHONEYJENNAEASTERN,15,3,,,Eastern Connecticut,EASTERN,1067-1875,0,2,0,0,0,1,8,0,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,5,1,17,2,452:00,179,0,1.000,,30,42,6,16,2,14,.714,1.07,,,,,,,,,,,,,,,,,,
2026-27,wlax,Little East Conference (LEC),lec,Eastern Connecticut,Nina Cirianni,Nina,Cirianni,,200,Nina Cirianni,"CIRIANNI,NINA",CIRIANNININAEASTERN,13,1,,,Eastern Connecticut,EASTERN,1067-2036,0,2,0,0,0,0,2,0,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,21,2,410:00,234,0,1.000,,5,6,3,11,9,2,.833,0.85,,,,,,,,,,,,,,,,,,
2026-27,wlax,Little East Conference (LEC),lec,Eastern Connecticut,Ella Huard,Ella,Huard,,200,Ella Huard,"HUARD,ELLA",HUARDELLAEASTERN,17,14,,,Eastern Connecticut,EASTERN,1067-2217,0,2,0,0,0,1,5,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,19,0,28,7,923:00,48,0,1.000,,36,43,5,25,7,18,.837,1.47,,,,,,,,,,,,,,,,,,
2026-27,wlax,Little East Conference (LEC),lec,Eastern Connecticut,Alexa Coty,Alexa,Coty,,200,Alexa Coty,"COTY,ALEXA",COTYALEXAEASTERN,17,16,,,Eastern Connecticut,EASTERN,1067-1870,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,28,1,7,10,994:00,2,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,
2026-27,wlax,Little East Conference (LEC),lec,Eastern Connecticut,Jocelyn Kennedy,Jocelyn,Kennedy,,200,Jocelyn Kennedy,"KENNEDY,JOCELYN",KENNEDYJOCELYNEASTERN,17,9,,,Eastern Connecticut,EASTERN,1067-2038,0,2,0,0,0,0,6,0,1,0,0,0,0,6,1,0,0,0,0,0,0,0,0,19,18,19,10,623:00,26,0,1.000,,17,34,8,13,4,9,.500,0.76,,,,,,,,,,,,,,,,,,
2026-27,wlax,Little East Conference (LEC),lec,Eastern Connecticut,Molly Page,Molly,Page,,200,Molly Page,"PAGE,MOLLY",PAGEMOLLYEASTERN,17,14,,,Eastern Connecticut,EASTERN,1067-2184,0,4,0,0,0,3,13,0,5,3,0,0,0,8,3,0,0,0,0,0,0,0,0,10,10,27,6,899:00,47,0,1.000,,47,60,9,34,9,25,.783,2.00,,,,,,,,,,,,,,,,,,
2026-27,wlax,Little East Conference (LEC),lec,Eastern Connecticut,Katie Campbell,Katie,Campbell,,200,Katie Campbell,"CAMPBELL,KATIE",CAMPBELLKATIEEASTERN,11,1,,,Eastern Connecticut,EASTERN,1067-1701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,1,8,5,120:00,48,0,1.000,,6,7,0,4,2,2,.857,0.36,,,,,,,,,,,,,,,,,,
2026-27,wlax,Little East Conference (LEC),lec,Eastern Connecticut,Hannah Seltzer,Hannah,Seltzer,,200,Hannah Seltzer,"SELTZER,HANNAH",SELTZERHANNAHEASTERN,17,17,,,Eastern Connecticut,EASTERN,1067-2041,0,3,0,0,0,0,11,1,7,1,0,0,0,2,1,0,0,0,0,0,0,0,0,28,24,35,9,1020:00,0,0,1.000,,55,80,8,36,8,28,.688,2.12,,,,,,,,,,,,,,,,,,
2026-27,wlax,Little East Conference (LEC),lec,Eastern Connecticut,Grace Saldaña,Grace,Saldaña,,200,Grace Saldaña,"SALDAÑA,GRACE",SALDAÑAGRACEEASTERN,16,16,,,Eastern Connecticut,EASTERN,1067-1877,0,0,0,0,0,0,1,1,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,44,22,11,27,960:00,0,0,1.000,,2,4,0,1,0,1,.500,0.06,,,,,,,,,,,,,,,,,,
2026-27,wlax,Little East Conference (LEC),lec,Eastern Connecticut,Brianny Espinal,Brianny,Espinal,,200,Brianny Espinal,"ESPINAL,BRIANNY",ESPINALBRIANNYEASTERN,5,0,,,Eastern Connecticut,EASTERN,1067-1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,00:00,0,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,
2026-27,wlax,Little East Conference (LEC),lec,Eastern Connecticut,Bree Foucault,Bree,Foucault,,200,Bree Foucault,"FOUCAULT,BREE",FOUCAULTBREEEASTERN,5,2,,,Eastern Connecticut,EASTERN,1067-1940,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,2,66:00,0,0,1.000,,3,8,0,2,0,2,.375,0.40,,,,,,,,,,,,,,,,,,
2026-27,wlax,Little East Conference (LEC),lec,Eastern Connecticut,Sophia Ramino,Sophia,Ramino,,200,Sophia Ramino,"RAMINO,SOPHIA",RAMINOSOPHIAEASTERN,16,14,,,Eastern Connecticut,EASTERN,1067-1876,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,17,3,11,6,747:00,66,0,1.000,,1,1,0,0,0,0,1.000,0.00,,,,,,,,,,,,,,,,,,
2026-27,wlax,Little East Conference (LEC),lec,Eastern Connecticut,Kaylin Stockwell,Kaylin,Stockwell,,200,Kaylin Stockwell,"STOCKWELL,KAYLIN",STOCKWELLKAYLINEASTERN,0,0,,,Eastern Connecticut,EASTERN,1067-2219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
2026-27,wlax,Little East Conference (LEC),lec,Eastern Connecticut,Hailey Iozzia,Hailey,Iozzia,,200,Hailey Iozzia,"IOZZIA,HAILEY",IOZZIAHAILEYEASTERN,13,3,,,Eastern Connecticut,EASTERN,1067-2181,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,8,0,2,6,278:00,89,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,
2026-27,wlax,Little East Conference (LEC),lec,Eastern Connecticut,Mallory Jennings,Mallory,Jennings,,200,Mallory Jennings,"JENNINGS,MALLORY",JENNINGSMALLORYEASTERN,7,2,,,Eastern Connecticut,EASTERN,1067-2216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,4,3,156:00,9,0,1.000,,0,1,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,
2026-27,wlax,Little East Conference (LEC),lec,Eastern Connecticut,Noelle Castonguay,Noelle,Castonguay,,200,Noelle Castonguay,"CASTONGUAY,NOELLE",CASTONGUAYNOELLEEASTERN,1,0,,,Eastern Connecticut,EASTERN,1067-2179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00,0,0,1.000,,1,1,0,1,0,1,1.000,1.00,,,,,,,,,,,,,,,,,,
2026-27,wlax,Little East Conference (LEC),lec,Eastern Connecticut,Neely Hart,Neely,Hart,,200,Neely Hart,"HART,NEELY",HARTNEELYEASTERN,14,14,,,Eastern Connecticut,EASTERN,1067-1871,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,0,0,0,0,0,0,0,0,25,15,6,11,833:00,51,0,1.000,,0,0,0,2,2,0,.000,0.14,,,,,,,,,,,,,,,,,,
2026-27,wlax,Little East Conference (LEC),lec,Eastern Connecticut,Maeve Maroney,Maeve,Maroney,,200,Maeve Maroney,"MARONEY,MAEVE",MARONEYMAEVEEASTERN,6,2,,,Eastern Connecticut,EASTERN,1067-2182,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,3,128:00,20,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,
2026-27,wlax,Little East Conference (LEC),lec,Eastern Connecticut,Alexa Vizzini,Alexa,Vizzini,,200,Alexa Vizzini,"VIZZINI,ALEXA",VIZZINIALEXAEASTERN,17,17,,,Eastern Connecticut,EASTERN,1067-1710,0,10,0,0,0,2,45,2,8,3,0,0,0,13,1,0,0,0,0,0,0,0,0,37,74,45,26,1014:00,23,0,1.000,,97,137,21,81,22,59,.708,4.76,,,,,,,,,,,,,,,,,,
