season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,matches_played,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,attack_stats,set_stats,serve_stats,defense_stats,block_stats,misc_stats,composite_score,global_rank,rating
2026-27,wvball,Little East Conference (LEC),lec,Rhode Island College,"Marines, Sarina",Sarina,Marines,,571,"Marines, Sarina","MARINES, SARINA",Rhode Island College,RIC,1070-1023,6,2,11,0,11,0,.351,37,8,21,7,0,7,0,6,3,22,0,0,21,1,13,5,0,3,2,30.5,0,3.50,1.17,2.17,0.83,1.00,5.08,,,,,,,11.519839418411026,1,99
2026-27,wvball,Little East Conference (LEC),lec,UMass Boston,"Blomgren, Addie",Addie,Blomgren,,401,"Blomgren, Addie","BLOMGREN, ADDIE",UMass Boston,UMB,1071-4876,15,4,17,0,17,0,.294,51,6,21,0,0,2,0,5,5,36,0,0,0,0,12,20,0,15,5,38.5,0,1.40,0.00,0.80,1.33,0.33,2.57,,,,,,,7.064862310713195,2,99
2026-27,wvball,Little East Conference (LEC),lec,Rhode Island College,"Colonis, Marina",Marina,Colonis,,571,"Colonis, Marina","COLONIS, MARINA",Rhode Island College,RIC,1070-1019,6,2,15,0,15,0,.296,27,4,12,1,1,4,0,10,2,37,0,0,22,1,8,1,0,1,0,22.5,0,2.00,0.17,1.33,0.17,1.67,3.75,,,,,,,6.889578626922507,3,99
2026-27,wvball,Little East Conference (LEC),lec,UMass Dartmouth,"Pate, Allison",Allison,Pate,,656,"Pate, Allison","PATE, ALLISON",UMass Dartmouth,UMD,1072-3924,11,5,1,0,1,0,.262,103,12,39,2,0,18,0,4,2,49,0,0,57,4,27,1,0,1,0,43.5,0,3.55,0.18,2.45,0.09,0.36,3.95,,,,,,,6.741451411566555,4,98
2026-27,wvball,Little East Conference (LEC),lec,VTSU Castleton,"Rojas, Alondra",Alondra,Rojas,,123,"Rojas, Alondra","ROJAS, ALONDRA",VTSU Castleton,Castle,1199-5091,6,2,12,0,12,0,.154,26,6,10,44,5,147,0,5,1,29,0,0,2,1,22,1,0,1,0,15.5,0,1.67,7.33,3.67,0.17,0.83,2.58,,,,,,,5.597155539957049,5,98
2026-27,wvball,Little East Conference (LEC),lec,Eastern Connecticut,"Praskievicz, Brooke",Brooke,Praskievicz,,200,"Praskievicz, Brooke","PRASKIEVICZ, BROOKE",Eastern Connecticut,ECSU,1067-1793,13,3,1,0,1,0,.263,99,9,35,1,0,15,0,4,3,50,0,0,54,2,32,2,0,2,0,40,0,2.69,0.08,2.46,0.15,0.31,3.08,,,,,,,5.377164000089822,6,98
2026-27,wvball,Little East Conference (LEC),lec,Plymouth State,"McKay, Sya",Sya,McKay,,548,"McKay, Sya","MCKAY, SYA",Plymouth State,Plym,1069-7358,18,7,27,0,27,0,.324,71,10,33,1,0,12,0,6,7,57,0,0,1,0,13,13,0,12,1,46,1,1.83,0.06,0.72,0.72,0.33,2.56,,,,,,,5.208131792135454,7,97
2026-27,wvball,Little East Conference (LEC),lec,UMass Boston,"Coulson, Paige",Paige,Coulson,,401,"Coulson, Paige","COULSON, PAIGE",UMass Boston,UMB,1071-4707,15,4,10,0,10,0,.155,155,25,49,0,0,12,0,4,11,69,0,0,112,9,29,0,0,0,0,53,0,3.27,0.00,1.93,0.00,0.27,3.53,,,,,,,4.898927805289644,8,97
2026-27,wvball,Little East Conference (LEC),lec,UMass Dartmouth,"Schweitzer, Norah",Norah,Schweitzer,,656,"Schweitzer, Norah","SCHWEITZER, NORAH",UMass Dartmouth,UMD,1072-4458,11,5,12,0,12,0,.152,66,9,19,5,1,17,0,4,3,43,0,0,43,4,34,4,1,0,4,27,0,1.73,0.45,3.09,0.36,0.36,2.45,,,,,,,4.8815465536773575,9,97
2026-27,wvball,Little East Conference (LEC),lec,Eastern Connecticut,"Robinson, Emma",Emma,Robinson,,200,"Robinson, Emma","ROBINSON, EMMA",Eastern Connecticut,ECSU,1067-1926,13,3,5,0,5,0,.269,93,11,36,1,0,9,0,4,6,50,0,0,42,6,26,1,0,1,0,40.5,0,2.77,0.08,2.00,0.08,0.31,3.12,,,,,,,4.872265886890924,10,96
