season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats,team_name,team_id,sdrm_id,this_is_softball,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,hitting_stats,hitting_summary_stats,global_rank,rating,composite_score,ranking_segment,pitching_stats_k_per_9,pitching_stats_whip
2026-27,baseball,Liberty League (LL),ll,Ithaca,Ethan Fantel,Ethan,Fantel,,313,Ethan Fantel,0,0ITHACA,14,14,,,50.0,15.0,24.0,26.0,3.0,1.0,3.0,13.0,0.0,4.0,7.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.603,38.0,68.0,0.0,0.0,0.48,0.76,95,6,2,0,0,0,0,12,0,103,0.981,0,0.0,,0.0,0.0,13.0,7.0,"6,15",0.4,6.0,15.0,"15,25",0.6,15.0,25.0,"13,23",0.57,13.0,23.0,"4,8",0.5,4.0,8.0,0,0.0,0.0,0.0,"6,8","10,16","22,29",68,0.0,0.0,0.0,0,0.0,0.0,0.0,3.0,7.0,0.0,,Ithaca,ITHACA,1006-11452,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,99,125.0,batting,,
2026-27,baseball,Liberty League (LL),ll,Clarkson,Beau Vardion,Beau,Vardion,,146,Beau Vardion,0,0CLARKSON,15,15,,,55.0,9.0,24.0,14.0,9.0,0.0,1.0,3.0,0.0,3.0,12.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.484,36.0,62.0,0.0,0.0,0.436,0.655,16,17,6,0,0,0,0,3,0,39,0.846,0,0.0,,0.0,3.0,11.0,8.0,"11,21",0.52,11.0,21.0,"16,35",0.46,16.0,35.0,"9,19",0.47,9.0,19.0,"3,6",0.5,3.0,6.0,0,0.0,0.0,0.0,"4,9","2,5","24,41",5,0.0,0.0,0.0,0,0.0,0.0,0.0,3.0,8.0,0.0,,Clarkson,CLARKSON,1057-5065,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,99,124.0,batting,,
2026-27,baseball,Liberty League (LL),ll,Bard,Elias Grosfoguel,Elias,Grosfoguel,,962,Elias Grosfoguel,0,0BARD,10,8,,,26.0,8.0,14.0,13.0,5.0,2.0,0.0,3.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.581,23.0,31.0,0.0,0.0,0.538,0.885,4,0,0,0,0,0,0,0,0,4,1.0,0,0.0,,1.0,0.0,2.0,4.0,"6,12",0.5,6.0,12.0,"10,14",0.71,10.0,14.0,"8,12",0.67,8.0,12.0,"1,1",1.0,1.0,1.0,0,0.0,0.0,0.0,"5,7","5,5","11,15",0,0.0,0.0,0.0,104,0.0,0.0,0.0,1.0,5.0,0.0,,Bard,BARD,1232-2606,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,99,123.0,batting,,
2026-27,baseball,Liberty League (LL),ll,Hobart,Aidan Davenport,Aidan,Davenport,,282,Aidan Davenport,0,0HOB,12,10,,,31.0,8.0,13.0,13.0,2.0,2.0,1.0,2.0,0.0,2.0,8.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.472,22.0,36.0,1.0,1.0,0.419,0.71,16,0,0,0,0,0,0,0,0,16,1.0,0,0.0,,1.0,1.0,4.0,6.0,"6,9",0.67,6.0,9.0,"9,18",0.5,9.0,18.0,"7,13",0.54,7.0,13.0,"0,1",0.0,0.0,1.0,0,0.0,0.0,0.0,"3,8","2,3","11,19",11,0.0,0.0,0.0,22,0.0,0.0,0.0,2.0,4.0,0.0,,Hobart,HOB,1059-8960,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,98,122.0,batting,,
2026-27,baseball,Liberty League (LL),ll,Bard,Angus Lunt-Woodward,Angus,Lunt-Woodward,,962,Angus Lunt-Woodward,0,0BARD,12,11,,,42.0,14.0,20.0,13.0,4.0,1.0,0.0,3.0,0.0,0.0,7.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.511,26.0,45.0,3.0,0.667,0.476,0.619,5,15,4,0,0,0,0,0,0,24,0.833,0,0.0,,1.0,0.0,8.0,6.0,"9,15",0.6,9.0,15.0,"15,29",0.52,15.0,29.0,"11,21",0.52,11.0,21.0,"2,2",1.0,2.0,2.0,0,0.0,0.0,0.0,"4,9","2,3","17,30",165,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.0,0.0,,Bard,BARD,1232-2704,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,98,121.0,batting,,
2026-27,baseball,Liberty League (LL),ll,Skidmore,Jack Collins,Jack,Collins,,642,Jack Collins,0,0SKIDMORE,13,13,,,42.0,12.0,17.0,12.0,5.0,0.0,0.0,8.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.51,22.0,51.0,0.0,0.0,0.405,0.524,64,4,1,0,0,0,0,2,0,69,0.986,0,0.0,,2.0,1.0,14.0,6.0,"7,18",0.39,7.0,18.0,"10,28",0.36,10.0,28.0,"9,22",0.41,9.0,22.0,"1,7",0.14,1.0,7.0,0,0.0,0.0,0.0,"4,6","3,5","17,31",23,0.0,0.0,0.0,0,0.0,0.0,0.0,4.0,15.0,0.0,,Skidmore,SKIDMORE,1063-2907,False,11.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1,6.0,4.0,5.0,13.0,2.0,1.0,0.0,2.35,57.0,65.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,4.0,0.193,24.0,9.0,0.0,"1,6","1,10","1,10",0,"3,9",,,6,98,120.0,batting,,
2026-27,baseball,Liberty League (LL),ll,Rochester,Sammy Besztery,Sammy,Besztery,,581,Sammy Besztery,0,0ROC,15,15,,,55.0,12.0,22.0,11.0,4.0,0.0,0.0,5.0,0.0,4.0,5.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,26.0,67.0,2.0,0.5,0.4,0.473,25,46,3,0,0,0,0,15,0,74,0.959,0,0.0,,2.0,4.0,14.0,15.0,"7,18",0.39,7.0,18.0,"12,26",0.46,12.0,26.0,"11,19",0.58,11.0,19.0,"5,7",0.71,5.0,7.0,0,0.0,0.0,0.0,"7,11","5,7","23,33",22,0.0,0.0,0.0,0,0.0,0.0,0.0,6.0,8.0,0.0,,Rochester,ROC,1061-3419,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,97,119.0,batting,,
2026-27,baseball,Liberty League (LL),ll,Bard,Jack Leandri,Jack,Leandri,,962,Jack Leandri,0,0BARD,12,11,,,37.0,16.0,16.0,10.0,5.0,0.0,0.0,7.0,0.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.522,21.0,48.0,5.0,0.6,0.432,0.568,15,3,1,0,0,0,0,1,0,19,0.947,0,0.0,,3.0,0.0,13.0,6.0,"1,8",0.13,1.0,8.0,"12,23",0.52,12.0,23.0,"7,15",0.47,7.0,15.0,"2,5",0.4,2.0,5.0,0,0.0,0.0,0.0,"7,9","4,4","21,29",13,0.0,0.0,0.0,0,0.0,0.0,0.0,6.0,8.0,0.0,,Bard,BARD,1232-2702,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,97,118.0,batting,,
2026-27,baseball,Liberty League (LL),ll,Skidmore,Eddie Galvao,Eddie,Galvao,,642,Eddie Galvao,0,0SKIDMORE,12,12,,,38.0,17.0,16.0,9.0,2.0,2.0,3.0,11.0,0.0,2.0,8.0,4.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.558,31.0,52.0,6.0,0.833,0.421,0.816,6,13,2,0,0,0,0,0,0,21,0.905,0,0.0,,2.0,2.0,4.0,9.0,"4,11",0.36,4.0,11.0,"6,20",0.3,6.0,20.0,"3,13",0.23,3.0,13.0,"4,7",0.57,4.0,7.0,0,0.0,0.0,0.0,"8,11","3,4","11,22",0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,6.0,0.0,,Skidmore,SKIDMORE,1063-2656,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,97,117.0,batting,,
2026-27,baseball,Liberty League (LL),ll,Ithaca,S. Walker iii,S. Walker,iii,,313,S. Walker iii,0,0ITHACA,14,14,,,50.0,24.0,20.0,8.0,3.0,1.0,0.0,12.0,0.0,4.0,8.0,3.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.545,25.0,66.0,10.0,0.8,0.4,0.5,16,0,0,0,0,0,0,0,0,16,1.0,0,0.0,,4.0,1.0,15.0,4.0,"4,13",0.31,4.0,13.0,"10,21",0.48,10.0,21.0,"8,14",0.57,8.0,14.0,"5,10",0.5,5.0,10.0,0,0.0,0.0,0.0,"13,25","5,5","22,29",11,0.0,0.0,0.0,0,0.0,0.0,0.0,5.0,7.0,0.0,,Ithaca,ITHACA,1006-11461,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,96,116.0,batting,,
