season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats,team_name,team_id,sdrm_id,this_is_softball,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs
2025-26,softball,Liberty League (LL),ll,Ithaca,Sela Scheinman,Sela,Scheinman,,313,Sela Scheinman,0,0ITH,38,38,,,118,37,41,18,13,1,1,21,0,1,15,9,18,2,3,2,1,0,0,0,1,0,0,0.444,59,146,20,.900,.347,.500,53,45,9,0,0,0,0,0,0,107,.916,0,.000,,1,2,19,45,"11,32",0.34,11,32,"18,50",0.36,18,50,"12,34",0.35,12,34,"1,7",0.14,1,7,0,0,0,0,"28,61","5,9","31,60",3,0,0,0,0,0,0,0,9,24,0,,Ithaca,ITH,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-26,softball,Liberty League (LL),ll,Ithaca,Jessie Lopez,Jessie,Lopez,,313,Jessie Lopez,0,0ITH,37,37,,,105,31,35,25,3,2,0,10,0,0,17,4,14,1,1,0,0,0,0,0,0,1,0,0.391,42,116,15,.933,.333,.400,30,2,0,0,0,0,0,0,0,32,1.000,0,.000,,7,11,41,6,"9,27",0.33,9,27,"21,61",0.34,21,61,"18,45",0.40,18,45,"0,5",0,0,5,0,0,0,0,"6,13","7,15","41,67",83,0,0,0,0,0,0,0,11,18,0,,Ithaca,ITH,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-26,softball,Liberty League (LL),ll,Ithaca,Elise Waddington,Elise,Waddington,,313,Elise Waddington,0,0ITH,36,35,,,112,23,37,37,11,0,3,7,0,3,7,3,2,0,0,3,0,0,0,0,0,0,0,0.376,57,125,2,1.000,.330,.509,77,7,3,0,0,0,0,1,0,87,.966,0,.000,,5,5,24,42,"11,35",0.31,11,35,"28,72",0.39,28,72,"19,47",0.40,19,47,"3,6",0.50,3,6,0,0,0,0,"4,17","14,21","45,77",103,0,0,0,12,0,0,0,15,16,0,,Ithaca,ITH,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-26,softball,Liberty League (LL),ll,Ithaca,Haley Petrucci,Haley,Petrucci,,313,Haley Petrucci,0,0ITH,37,37,,,103,27,37,25,11,0,3,18,0,0,16,6,5,0,1,2,0,0,0,0,0,0,0,0.447,57,124,5,1.000,.359,.553,258,11,2,5,0,17,6,0,0,271,.993,23,.739,,3,5,17,31,"11,34",0.32,11,34,"27,63",0.43,27,63,"15,37",0.41,15,37,"2,6",0.33,2,6,0,0,0,0,"13,26","9,16","37,69",88,0,0,0,0,0,0,0,12,24,0,,Ithaca,ITH,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-26,softball,Liberty League (LL),ll,Ithaca,Kailen Winkelblech,Kailen,Winkelblech,,313,Kailen Winkelblech,0,0ITH,36,34,,,102,19,34,34,5,0,2,7,0,4,14,3,1,0,1,1,0,0,0,0,0,0,0,0.395,45,115,1,1.000,.333,.441,19,0,1,0,0,0,0,0,0,20,.950,0,.000,,4,5,27,23,"11,33",0.33,11,33,"25,64",0.39,25,64,"20,43",0.47,20,43,"1,6",0.17,1,6,0,0,0,0,"7,18","13,18","37,72",54,0,0,0,7,0,0,0,7,26,0,,Ithaca,ITH,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-26,softball,Liberty League (LL),ll,Ithaca,Isabella Maynard,Isabella,Maynard,,313,Isabella Maynard,0,0ITH,20,15,,,47,8,11,12,1,1,2,1,0,0,7,3,0,0,0,2,0,0,0,0,0,1,0,0.240,20,50,0,.000,.234,.426,11,16,5,0,0,0,0,0,0,32,.844,0,.000,,1,1,12,18,"7,22",0.32,7,22,"7,31",0.23,7,31,"4,17",0.24,4,17,"2,6",0.33,2,6,0,0,0,0,"1,4","4,7","12,33",57,0,0,0,22,0,0,0,6,14,0,,Ithaca,ITH,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-26,softball,Liberty League (LL),ll,Ithaca,Sydney Miranda,Sydney,Miranda,,313,Sydney Miranda,0,0ITH,15,15,,,35,8,6,6,2,0,1,7,0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0.356,11,45,1,1.000,.171,.314,67,5,2,0,0,0,0,1,0,74,.973,0,.000,,4,2,10,11,"3,13",0.23,3,13,"1,16",0.06,1,16,"0,8",0,0,8,0,0,0,0,0,0,0,0,"3,10","2,2","14,22",20,0,0,0,0,0,0,0,5,7,0,,Ithaca,ITH,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-26,softball,Liberty League (LL),ll,Ithaca,Cate Murray,Cate,Murray,,313,Cate Murray,0,0ITH,33,33,,,96,31,33,22,7,2,1,13,0,1,6,1,12,2,5,1,0,0,0,0,1,1,0,0.423,47,116,14,.857,.344,.490,52,30,4,0,0,0,0,1,0,86,.953,0,.000,,7,5,27,25,"15,34",0.44,15,34,"19,55",0.35,19,55,"16,37",0.43,16,37,"1,5",0.20,1,5,0,0,0,0,"10,18","2,5","41,65",220,0,0,0,0,0,0,0,13,14,0,,Ithaca,ITH,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-26,softball,Liberty League (LL),ll,Ithaca,De Oliviera,De,Oliviera,,313,De Oliviera,0,0ITH,38,38,,,102,26,38,23,4,0,1,9,0,0,11,2,3,2,2,1,0,0,0,0,0,0,0,0.420,45,114,5,.600,.373,.441,49,1,0,0,0,0,0,0,0,50,1.000,0,.000,,4,6,27,25,"13,38",0.34,13,38,"28,60",0.47,28,60,"18,42",0.43,18,42,"2,6",0.33,2,6,0,0,0,0,"8,25","7,9","40,66",215,0,0,0,0,0,0,0,6,24,0,,Ithaca,ITH,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-26,softball,Liberty League (LL),ll,Ithaca,Anna Cornell,Anna,Cornell,,313,Anna Cornell,0,0ITH,25,24,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,.000,.000,.000,0,7,0,0,0,12,3,0,0,7,1.000,15,.800,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Ithaca,ITH,0,True,79,1,24,16,5,0,17,8,1,0,128.1,35,24,30,201,11,2,6,1.31,459,512,2,9,0,4,10,0,0,64,.172,118,60,0,"0,4","4,10","0,5",0,"0,4"
