season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,shot_stats,goal_stats,caution_stats,misc_stats,composite_score,global_rank,rating
2026-27,wsoc,Liberty League (LL),ll,RPI,"Kaminski, Maddy",Maddy,Kaminski,,570,"Kaminski, Maddy","KAMINSKI,MADDY",RPI,RPI,1060-6708,3,3,28,0,28,0,0,5,7,6,0,3,0,0,2.33,1.67,2.00,1.000,.000,2,1,0,0,2,0,1,.333,2,0,1,0,.67,.33,.00,.00,0,,143:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,15.563131064203393,1,99
2026-27,wsoc,Liberty League (LL),ll,Bard,Brooke Egrestis,Brooke,Egrestis,,962,Brooke Egrestis,"EGRESTIS,BROOKE",Bard,BARD-W,1232-2720,3,1,25,0,25,0,0,3,5,5,1,2,0,0,1.67,1.00,1.67,.667,.333,1,1,0,0,0,1,1,.333,0,0,0,0,.00,.00,.00,.00,0,,193:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,13.527527462565837,2,99
2026-27,wsoc,Liberty League (LL),ll,Clarkson,"Armistead, Thea",Thea,Armistead,,146,"Armistead, Thea","ARMISTEAD,THEA",Clarkson,CLK,1057-5467,3,3,13,0,13,0,0,3,5,4,2,1,0,0,1.67,1.00,1.33,.333,.667,2,0,0,0,1,0,1,.333,2,0,0,0,.67,.00,.00,.00,0,,240:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,12.31503533590031,3,99
2026-27,wsoc,Liberty League (LL),ll,Ithaca,"Bogle, Jayne",Jayne,Bogle,,313,"Bogle, Jayne","BOGLE,JAYNE",Ithaca,ITC,1006-9907,3,3,5,0,5,0,0,2,6,4,2,1,0,0,2.00,.67,1.33,.333,.667,1,0,0,0,0,1,0,.000,1,0,0,0,.33,.00,.00,.00,0,,185:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,11.903479598414295,4,98
2026-27,wsoc,Liberty League (LL),ll,Vassar,"Valle, Elena",Elena,Valle,,737,"Valle, Elena","VALLE,ELENA",Vassar,VC,1065-4465,2,2,15,0,15,0,0,1,2,4,2,1,0,0,1.00,.50,2.00,.500,1.000,0,0,0,0,0,0,0,.000,3,0,0,0,1.50,.00,.00,.00,0,,122:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,11.49192386092828,5,98
2026-27,wsoc,Liberty League (LL),ll,Ithaca,"Lynch, Kyra",Kyra,Lynch,,313,"Lynch, Kyra","LYNCH,KYRA",Ithaca,ITC,1006-11722,3,3,4,0,4,0,0,6,7,4,0,2,0,0,2.33,2.00,1.33,.667,.000,4,0,0,0,0,0,1,.333,3,0,0,0,1.00,.00,.00,.00,0,,252:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,10.977159061347967,6,98
2026-27,wsoc,Liberty League (LL),ll,William Smith,"Middaugh, Kristin",Kristin,Middaugh,,30073,"Middaugh, Kristin","MIDDAUGH,KRISTIN",William Smith,WSC,1059-10182,3,3,7,0,7,0,0,6,11,4,0,2,0,0,3.67,2.00,1.33,.667,.000,4,0,0,0,0,1,0,.000,4,0,0,0,1.33,.00,.00,.00,0,,183:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,10.977159061347967,7,97
2026-27,wsoc,Liberty League (LL),ll,Vassar,"Crowley, Alice",Alice,Crowley,,737,"Crowley, Alice","CROWLEY,ALICE",Vassar,VC,1065-4240,2,2,9,0,9,0,0,4,8,4,0,2,0,0,4.00,2.00,2.00,1.000,.000,2,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,103:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,10.154047586375937,8,97
2026-27,wsoc,Liberty League (LL),ll,William Smith,"Moncrieffe, Ameya",Ameya,Moncrieffe,,30073,"Moncrieffe, Ameya","MONCRIEFFE,AMEYA",William Smith,WSC,1059-8900,2,0,25,0,25,0,0,4,4,4,0,2,0,0,2.00,2.00,2.00,1.000,.000,2,0,0,0,1,1,1,.500,0,0,0,0,.00,.00,.00,.00,0,,40:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,10.154047586375937,9,97
2026-27,wsoc,Liberty League (LL),ll,Ithaca,"Medearis, Mia",Mia,Medearis,,313,"Medearis, Mia","MEDEARIS,MIA",Ithaca,ITC,1006-9909,3,3,25,0,25,0,0,3,4,3,1,1,0,0,1.33,1.00,1.00,.333,.333,2,0,0,0,0,0,1,.333,4,0,0,0,1.33,.00,.00,.00,0,,140:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,8.529999722224398,10,96
